0x0000 WM_NULL 空消息，此消息将被接收窗口忽略
0x0001 WM_CREATE 应用程序创建一个窗口
0x0002 WM_DESTROY 一个窗口被销毁
0x0003 WM_MOVE 移动一个窗口
0x0005 WM_SIZE 改变一个窗口的大小
0x0006 WM_ACTIVATE 一个窗口被激活或失去激活状态
0x0007 WM_SETFOCUS 获得焦点后
0x0008 WM_KILLFOCUS 失去焦点
0x000A WM_ENABLE 应用程序Enable状态改变时产生
0x000B WM_SETREDRAW 设置窗口是否能重画
0x000C WM_SETTEXT 应用程序发送此消息来设置一个窗口的文本
0x000D WM_GETTEXT 应用程序发送此消息来复制对应窗口的文本到缓冲区
0x000E WM_GETTEXTLENGTH 得到与一个窗口有关的文本的长度（不包含空字符）
0x000F WM_PAINT 要求一个窗口重绘自己
0x0010 WM_CLOSE 当一个窗口或应用程序要关闭时发送一个信号
0x0011 WM_QUERYENDSESSION 用户选择结束对话框或应用程序自己调用ExitWindows()函数
0x0012 WM_QUIT 用来结束程序运行或应用程序调用Postquitmessage()函数来产生此消息
0x0013 WM_QUERYOPEN 当用户窗口恢复以前的大小位置时，把此消息发送给某个图标
0x0014 WM_ERASEBKGND 当窗口背景必须被擦除时（例如在窗口改变大小时）
0x0015 WM_SYSCOLORCHANGE 当系统颜色改变时，发送此消息给所有顶级窗口
0x0016 WM_ENDSESSION 当系统进程发出WM_QUERYENDSESSION消息后，此消息发送给应用程序
0x0018 WM_SHOWWINDOW 当隐藏或显示窗口是发送此消息给这个窗口
0x001C WM_ACTIVATEAPP 当某个窗口将被激活时，将被激活窗口和当前活动（即将失去激活）窗口会收到此消息，发此消息给应用程序哪个窗口是激活的，哪个是非激活的
0x001D WM_FONTCHANGE 当系统的字体资源库变化时发送此消息给所有顶级窗口
0x001E WM_TIMECHANGE 当系统的时间变化时发送此消息给所有顶级窗口
0x001F WM_CANCELMODE 发送此消息来取消某种正在进行的操作
