00008E75 00008E80 ??3@YAXPAX@Z
00008E85 00008E92 ?InitializeHooks@ShimLib@@YGXK@Z
00008E97 00008EB0 ?NotifyFn@@YGXK@Z
00008EB5 0000C06A ?InitializeHooksEx@ShimLib@@YGPAUtagHOOKAPI@@KPAGPADPAK@Z
0000C06F 0000C0E1 ?ProcessCommandLine@NS_AddProcessParametersFlags@@YGXPBD@Z
0000C0E6 0000C109 ?NotifyFn@NS_AddProcessParametersFlags@@YGHK@Z
0000C10E 0000C176 ?InitializeHooksMulti@NS_AddProcessParametersFlags@@YGPAUtagHOOKAPI@@KPADPAK@Z
0000C17B 0000C1AF ?APIHook_DDRAW_DllGetClassObject@NS_AliasDXDC@@YGJABU_GUID@@0PAPAX@Z
0000C1B4 0000C1E8 ?APIHook_DSOUND_DllGetClassObject@NS_AliasDXDC@@YGJABU_GUID@@0PAPAX@Z
0000C1ED 0000C221 ?APIHook_DPLAYX_DllGetClassObject@NS_AliasDXDC@@YGJABU_GUID@@0PAPAX@Z
0000C226 0000C25A ?APIHook_DINPUT_DllGetClassObject@NS_AliasDXDC@@YGJABU_GUID@@0PAPAX@Z
0000C25F 0000C296 ?APIHook_DirectDrawCreate@NS_AliasDXDC@@YGJPAU_GUID@@PAPAXPAUIUnknown@@@Z
0000C29B 0000C2D6 ?APIHook_DirectDrawCreateEx@NS_AliasDXDC@@YGJPAU_GUID@@PAPAXABU2@PAUIUnknown@@@Z
0000C2DB 0000C315 ?APIHook_DirectSoundCreate@NS_AliasDXDC@@YGJPBU_GUID@@PAPAUIDirectSound@@PAUIUnknown@@@Z
0000C31A 0000C354 ?APIHook_DirectPlayCreate@NS_AliasDXDC@@YGJPAU_GUID@@PAPAUIDirectPlay@@PAUIUnknown@@@Z
0000C359 0000C396 ?APIHook_DirectInputCreateA@NS_AliasDXDC@@YGJPAUHINSTANCE__@@KPAPAUIDirectInputA@@PAUIUnknown@@@Z
0000C39B 0000C3D8 ?APIHook_DirectInputCreateW@NS_AliasDXDC@@YGJPAUHINSTANCE__@@KPAPAUIDirectInputW@@PAUIUnknown@@@Z
0000C3DD 0000C41B ?APIHook_DirectInputCreateEx@NS_AliasDXDC@@YGJPAUHINSTANCE__@@KABU_GUID@@PAPAXPAUIUnknown@@@Z
0000C420 0000C436 ?FixDC@NS_AliasDXDC@@YGPAUHDC__@@PAU2@@Z
0000C43B 0000C47D ?COMHook_IDirectDraw_CreateSurface@NS_AliasDXDC@@YGJPAXPAU_DDSURFACEDESC@@PAPAUIDirectDrawSurface@@PAUIUnknown@@@Z
0000C482 0000C4C4 ?COMHook_IDirectDraw2_CreateSurface@NS_AliasDXDC@@YGJPAXPAU_DDSURFACEDESC@@PAPAUIDirectDrawSurface@@PAUIUnknown@@@Z
0000C4C9 0000C50B ?COMHook_IDirectDraw4_CreateSurface@NS_AliasDXDC@@YGJPAXPAU_DDSURFACEDESC2@@PAPAUIDirectDrawSurface@@PAUIUnknown@@@Z
0000C510 0000C552 ?COMHook_IDirectDraw7_CreateSurface@NS_AliasDXDC@@YGJPAXPAU_DDSURFACEDESC2@@PAPAUIDirectDrawSurface@@PAUIUnknown@@@Z
0000C557 0000C58E ?COMHook_IDirectDrawSurface_GetDC@NS_AliasDXDC@@YGJPAUIDirectDrawSurface@@PAPAUHDC__@@@Z
0000C593 0000C5CA ?COMHook_IDirectDrawSurface2_GetDC@NS_AliasDXDC@@YGJPAUIDirectDrawSurface@@PAPAUHDC__@@@Z
0000C5CF 0000C606 ?COMHook_IDirectDrawSurface4_GetDC@NS_AliasDXDC@@YGJPAUIDirectDrawSurface@@PAPAUHDC__@@@Z
0000C60B 0000C642 ?COMHook_IDirectDrawSurface7_GetDC@NS_AliasDXDC@@YGJPAUIDirectDrawSurface@@PAPAUHDC__@@@Z
