000068F0 0000691A _MapPredefinedHandle@8
00006920 00006939 @__security_check_cookie@4
0000693E 00006944 _memmove
00006944 0000697F __SEH_prolog
0000697F 00006990 __SEH_epilog
00006995 00006A9A _LocalBaseRegOpenKey@20
00006A9F 00006B9A _RegOpenKeyExW@20
00006B9F 00006BAA _LocalBaseRegCloseKey@4
00006BAA 00006C12 _BaseRegCloseKeyInternal@4
00006C17 00006C9F _RegCloseKey@4
00006CA4 00006CCB _MapPredefinedRegistryHandleToIndex@4
00006D4B 00006D6A _BaseSetLastNTError@4
00006DA2 00006DB7 _BaseRegReleaseKeySemantics@4
00006DBC 00006DC2 _wcsrchr
00006DC7 00006DCD _wcslen
00006DD2 00006DED _StateObjectInit@8
00006DF2 00006FEA _LocalBaseRegQueryValue@24
00006FEF 000070CD _RegQueryValueExW@24
000070FB 00007110 _DllInitialize@12
00007110 00007177 __DllInitialize@12
0000717C 000071D1 _RegInitialize@12
000071D6 000071E1 _CleanupClassesRoot@4
000071E1 00007207 _CleanupClassesEnumTable@4
0000720C 0000727B _EnumTableClear@8
00007280 00007299 _StateObjectListInit@8
0000729E 000072B7 _StateObjectListClear@8
000072BC 000072E3 _OpenThreadToken@16
000072F5 0000731E _GetTokenInformation@20
00007328 0000734F _RevertToSelf@0
00007354 0000735A _NdrClientCall2
00007390 000073D2 _AccessCheck@32
000073D7 00007411 _GetSecurityDescriptorDacl@16
00007416 00007449 _ImpersonateNamedPipeClient@4
0000744E 00007477 _MakeSelfRelativeSD@12
0000747C 00007499 _AllocateLocallyUniqueId@4
000074AB 000074B7 _GetSecurityDescriptorLength@4
000074BC 00007757 _LocalBaseRegCreateKey@32
0000775C 0000783D _RegCreateKeyExW@36
00007842 00007931 _RegOpenKeyExA@20
00007936 00007976 _RegOpenKeyW@12
0000797B 0000799E _OpenProcessToken@12
000079A3 000079A9 _wcschr
000079B6 000079D6 _InitializeSecurityDescriptor@8
000079DB 00007A01 _SetSecurityDescriptorDacl@16
00007A06 00007A0C _wcscpy
00007A11 00007A17 _wcscat
00007AAB 00007BC4 _RegQueryValueExA@24
00007BC9 00007CA3 _RegEnumKeyExW@32
00007CA8 00007CB4 _FreeSid@4
00007CB9 00007CF4 _AllocateAndInitializeSid@44
00007CF9 00007D1C _InitializeAcl@12
00007D21 00007D47 _AddAccessAllowedAce@16
00007D4C 00007D60 _GetLengthSid@4
00007D65 00007EBD _LocalBaseRegEnumValue@28
00007EC2 00007ED8 _ValStateRelease@4
00007EDD 00007FB5 _RegEnumValueW@32
00007FBA 00008106 _CheckTokenMembership@12
0000810B 00008147 _RegOpenCurrentUser@8
0000818E 000081FC _DuplicateTokenEx@24
00008201 0000821E _DuplicateToken@12
00008292 000082AA _SystemFunction036@8
000082AF 000082E9 _NewGenRandom@16
000082EE 0000834E _NewGenRandomEx@12
00008353 00008390 _GenRandom@12
00008395 00008448 _RandomFillBuffer@8
0000844D 00008530 _UpdateCircularHash@12
00008535 00008572 _InitRand@8
00008577 000085B2 _InitializeRNG@4
000085F4 00008633 _rc4_safe@16
00008633 00008756 _rc4@12
0000875B 0000878A _MD4Init@4
0000878F 0000882A _MD4Final@4
0000882A 00008C93 _MD4Transform@8
00008CF4 00008D74 _MD4Update@12
00008D79 00008DA4 _rc4_safe_select@12
00008DA9 00008DBE _Sys003Initialize@12
00008DC3 00008E07 _AppmgmtInitialize@12
00008E0C 00008E2E _CodeAuthzInitialize@12
