00001491 000014A1 ??3@YAXPAX@Z
000016B9 000016DB ??0CLock@@QAE@PAVRTSemExclusive@@@Z
000016FD 00001704 ??1SCHEMADEFS@@QAE@XZ
00001805 0000182B ?Release@StgTSICRReadOnly@@UAGKXZ
000018ED 000018FD ??2@YAPAXI@Z
00001902 0000191B @__security_check_cookie@4
00001955 0000197E ??0CStructArray@@QAE@FF@Z
00001983 000019D3 ?BindCol@@YGJPAUtagDBBINDING@@KKKKKG@Z
000019D8 000019F6 ?GetData@StgPool@@MAEPAEK@Z
000019FB 00001A16 ?Find@CClosedHashBase@@QAEPAEPAX@Z
00001A1B 00001A34 ?Status@COpenTablePtrHash@@UAE?AW4ELEMENTSTATUS@CClosedHashBase@@PAE@Z
00001A6D 00001AA6 ?QueryByColumns@StgTSICRReadOnly@@UAGJHPBUQUERYHINT@@HQBK1QAPBX1QBGQAPAXHPAVCRCURSOR@@PAH@Z
00001AAB 00001ACC ?OpenTable@StgTSICRReadOnly@@UAGJPBU_tagCOMPLIBSCHEMA@@KPAH@Z
00001AD1 00001B1A ?QueryFilter@StgRecordManager@@UAEJPAHKQAUtagDBBINDING@@PAXQAK@Z
00001B1F 00001B38 ?GetColDesc@STGTABLEDEF@@QBEPAUSTGCOLUMNDEF@@H@Z
00001B3D 00001B7A ?QueryTableScan@StgRecordManager@@UAEJPAVCFetchRecords@@KQAUtagDBBINDING@@PAXQAKJ@Z
00001BDE 00001BF9 ?GetFlags@CStgRecordFlags@@QAEEJ@Z
00001BFE 00001C0D ?GetTableDef@StgRecordManager@@UAEPAUSTGTABLEDEF@@XZ
00001C12 00001C2B ?GetTableDef@STGSCHEMA@@QBEPAUSTGTABLEDEF@@H@Z
00001C30 00001C38 ?Hash@COpenTablePtrHash@@UAEKPBX@Z
00001C40 00001C5F ?HashStringA@@YGKPBD@Z
00001C64 00001D0E ?OpenTable@StgDatabase@@UAGJPBU_tagCOMPLIBSCHEMA@@KPAH@Z
00001D13 00001D3E ?_SchemaFind@StgDatabase@@IAEPAUSCHEMADEFS@@PBU_tagCOMPLIBSCHEMA@@PAH@Z
00001D59 00001DA7 ?GetIndexDefByName@StgRecordManager@@IAEPAUSTGINDEXDEF@@PBD@Z
00001DAC 00001DC3 ?NextIndexDef@STGINDEXDEF@@QBEPAU1@XZ
00001DF0 00001E3D ?QueryByColumns@StgDatabase@@UAGJHPBUQUERYHINT@@HQBK1QAPBX1QBGQAPAXHPAVCRCURSOR@@PAH@Z
00001E42 00001EB2 ?QueryRowsExecute@StgRecordManager@@UAEJPAVCFetchRecords@@KQAUtagDBBINDING@@KQAKPAXKQAPAUQUERYINDEX@@@Z
00001EEE 00001F02 ?_RegGetICR@@YGJPAPAUIComponentRecords@@H@Z
00001F5F 00001FB4 ?_RegGetLatestVersion@@YGJPBGPAUREGAPI_DBINFO@@HH@Z
000020A2 000020BB __chkstk
00002142 00002145 nullsub_2
0000214A 00002221 ?OpenTable@StgDatabase@@UAEJPBGAAPAVSTGOPENTABLE@@HPAUSCHEMADEFS@@HPAUSTGTABLEDEF@@KPAHK@Z
00002235 0000224E ?GetIndexDesc@STGTABLEDEF@@QBEPAUSTGINDEXDEF@@H@Z
000022B7 0000236F ?GetDBName@@YGIPAGIPBG_J@Z
000023B0 000023D8 ?CopyDBNamePart@@YGIPAGPBGAAI@Z
000024D5 000024EB ?AddRef@TiggerStream@@UAGKXZ
000024F0 00002520 ?GetStringW@StgPoolReadOnly@@UAEJKPAGH@Z
00002525 00002554 ?WszMultiByteToWideChar@@YGHIKPBDHPAGH@Z
00002559 00002575 ?TableListFind@StgDatabase@@IAEPAVSTGOPENTABLE@@PBD@Z
0000257A 000025AA ?TableListHashCreate@StgDatabase@@IAEJXZ
0000273E 0000275C ??_GCComClass@@UAEPAXI@Z
00002761 00002770 ?GetSafeType@STGCOLUMNDEF@@QBEGXZ
0000278C 000027BE ?CompareData@@YGHGPAEKPAUtagDBBINDING@@0K@Z
000027C3 000027F6 ?GetLoadedIndex@StgRecordManager@@IAEPAVIStgIndex@@PAUSTGINDEXDEF@@@Z
000027FB 00002811 ?GetIndexDef@StgHashedIndex@@UAEPAUSTGINDEXDEF@@XZ
00002833 00002854 ?GetOffsetForColumn@StgRecordManager@@KGKPAUSTGCOLUMNDEF@@PAH@Z
00002859 000028B2 ?GetColCellData@StgRecordManager@@QAEPAEPAUSTGCOLUMNDEF@@PAHPAK@Z
000028CF 000028F1 ?Release@CComClass@@EAGKXZ
00002940 00002967 ?GetClassInfoW@CComCLBCatalog@@EAGJPAUIUserToken@@ABU_GUID@@1PAPAXPAX@Z
0000296C 0000298A ?Create@CComClass@@SGJABU_GUID@@HW4ProcessNature@@PBU2@2PAX0PAPAX@Z
0000298F 00002BDE ??0CComClass@@AAE@HW4ProcessNature@@@Z
00002BE3 00002BF9 ?InitSoapActivationInfo@@YGXPAUtagSOAP_ACTIVATION_INFO@@@Z
00002BFE 00002C8D ?Init@CComClass@@AAEJABU_GUID@@PAXPBU2@2@Z
00002CAA 00002CFB ?IsComplusComponent@@YGHPBU_GUID@@PAH@Z
00002D00 00002D49 ?GetClassInfoW@CLegacyCatalog@@UAGJPAUIUserToken@@ABU_GUID@@1PAPAXPAX@Z
00002D4E 00002D94 ?IsComplusLegacyComponent@@YGHPBU_GUID@@PAH@Z
00002DC8 00002E06 ?FindRecord@StgHashedIndex@@UAEJPAEKQAUtagDBBINDING@@QAKPAVCFetchRecords@@0K12@Z
00002E0B 00002E62 ?HashKeys@StgHashedIndex@@AAEJPAUSTGTABLEDEF@@PAEKQAUtagDBBINDING@@PAK@Z
00002ED1 00002EE7 ?AddRef@CComClass@@EAGKXZ
00002EFC 00002F12 ?ClearSoapActivationInfo@@YGXPAUtagSOAP_ACTIVATION_INFO@@@Z
00002F27 00002F42 ??$CompareNumbers@J@@YGHKJJ@Z
00002F47 00002F62 ?GetGuid@StgPoolReadOnly@@UAEPAU_GUID@@K@Z
00002F67 00002F7C ?GetGuidi@StgPoolReadOnly@@IAEPAU_GUID@@K@Z
00002FAA 00002FC3 ?Compare@COpenTablePtrHash@@UAEKPBXPAE@Z
00002FD8 00003043 __CRT_INIT@12
00003048 000030AD __DllMainCRTStartup@12
000030B2 0000312D _DllMain@12
00003132 00003138 _free
000031F5 00003225 ?_RegReleaseReference@@YGXPAUREGAPI_STATE@@@Z
0000322A 00003253 ?Release@StgDatabase@@UAGKXZ
00003258 000032B2 ?CtorInit@StgIO@@AAEXXZ
000032B7 000032CC ?Release@StgIO@@QAEJXZ
000032D1 000032E7 ?InitFreeChain@?$CHashTableAndData@VCNewData@@@@AAEXGG@Z
000032EC 00003315 ?ClearVars@StgVariantPool@@QAEXXZ
0000331A 00003338 ??4?$CIfacePtr@UIStream@@@@QAEAAV0@PAUIStream@@@Z
00003389 000033AF ?Release@CComCLBCatalog@@EAGKXZ
000033B4 000033B9 ?FlushCache@CComCLBCatalog@@EAGJXZ
000033BE 000033E6 ?Release@CLegacyCatalog@@UAGKXZ
000033F3 000033F9 _malloc
00003455 00003473 ??_GCLegacyCatalog@@QAEPAXI@Z
00003489 000034A7 ??_GCComCLBCatalog@@QAEPAXI@Z
000034AC 000034D1 ??1CComCLBCatalog@@QAE@XZ
00003B23 00003B5B ?GetRegCatalogs@CLegacyCatalog@@AAEJPAX@Z
00003E34 00003E48 ?SetCatalogLocation@CComCLBCatalog@@EAGJH@Z
00003E4D 00003E57 ?Release@CComCLBCatalog@@G7AGKXZ
00003E6F 00003EBD ??_Etype_info@@UAEPAXI@Z
00003EC9 00003EFF ?QueryInterface@CComCLBCatalog@@EAGJABU_GUID@@PAPAX@Z
00003F04 00003F33 ?QueryInterface@CLegacyCatalog@@UAGJABU_GUID@@PAPAX@Z
00003F51 00003F58 ?AddRef@CComAppl@@G7AGKXZ
00003F5D 00003F73 ?AddRef@CSLTComs@@UAGKXZ
00003F78 00003F80 _GetCatalogObject@8
00003F85 00003F94 ?Create@CComCLBCatalog@@SGJABU_GUID@@PAPAX@Z
00003FA5 00003FDE ??0CComCLBCatalog@@AAE@XZ
00003FE3 00004012 ?GetProcessNature@CComCLBCatalog@@AAE?AW4ProcessNature@@XZ
00004017 00004026 _GetCatalogObject2@8
00004037 00004051 ??0CLegacyCatalog@@QAE@XZ
00004071 00004087 ?AddRef@CEnumClassInfo@@EAGKXZ
00004379 00004392 ??0?$CDynArray@UStgVariant@StgVariantPool@@@@QAE@H@Z
00004397 000043A6 ?IsReadOnly@StgDatabase@@UAEHXZ
000043AB 000043C4 ??0?$CDynArray@E@@QAE@H@Z
000043C9 000043D6 ??0VMStructArray@@QAE@XZ
000043DB 00004414 ?InitOnMem@VMStructArray@@QAEJPAXKKHH@Z
00004419 00004432 ?GetFreeEntry@?$TFreeList@E@@QAEEXZ
00004437 0000444A ?InitList@?$TItemHeap@VSTGOPENTABLE@@$0DA@E@@AAEHXZ
00004458 000044C6 ?OpenStream@TiggerStorage@@UAGJPBGPAKPAPAX@Z
000044D9 0000451C ?GetChunk@CMemChunk@@QAEPAEH@Z
00004521 00004546 ?TableListAdd@StgDatabase@@IAEJPBDAAPAVSTGOPENTABLE@@@Z
0000454B 00004568 ?AddOpenTable@COpenTableHeap@@QAEPAVSTGOPENTABLE@@XZ
0000456D 00004594 ?AddEntry@?$TItemHeap@VSTGOPENTABLE@@$0DA@E@@QAEPAVSTGOPENTABLE@@XZ
00004599 000045D2 ?Open@StgRecordManager@@UAEJPAUSCHEMADEFS@@KHPAXK0PAUSTGTABLEDEF@@K@Z
000045D7 000045EB ??0STGOPENTABLE@@QAE@XZ
000045F0 0000463D ??0StgRecordManager@@QAE@XZ
00004642 0000467E ?GetCoreTableStreamName@@YGXGGPAGH@Z
000046C9 000046CC ?GetCustomTableProcessingOrder@CMigApl1xBeta2ToCurrent@@UAEPBKXZ
000046D1 00004713 ?Add@CClosedHashBase@@QAEPAEPAX@Z
00004718 00004765 ?DoAdd@CClosedHashBase@@AAEPAEPAXPAEAAHH22@Z
00004801 0000484E ?LoadIndexes@StgRecordManager@@IAEJPAUSTGTABLEDEF@@KHPAUSTGINDEXHDR@@@Z
00004A07 00004A30 ___security_init_cookie
00004A35 00004A75 ?RunningOnWinNT@@YGHXZ
00004A7A 00004AA0 ??0?$StaticGuidHashTable@$$CBUtagDispenserServerTableInfo@@$0GL@$0EO@@@QAE@XZ
00004AA5 00004AC9 ??0?$StaticGuidHashTable@UtagDispenserClsidInfo@@$0CL@$0CC@@@QAE@XZ
00004ACE 00004B21 ??0DebugFlags@@AAE@XZ
00004B65 00004BFE ??0CSemExclusive@@QAE@K@Z
00004C03 00004C09 __initterm
00004C0E 00004C4C ??0CSimpleTableDispenserLookup@@QAE@XZ
00004C74 00004CD5 ?AddElement@?$StaticGuidHashTable@$$CBUtagDispenserServerTableInfo@@$0GL@$0EO@@@QAEHABU_GUID@@PBUtagDispenserServerTableInfo@@@Z
00004D0E 00004D6F ?AddElement@?$StaticGuidHashTable@UtagDispenserClsidInfo@@$0CL@$0CC@@@QAEHABU_GUID@@PAUtagDispenserClsidInfo@@@Z
00004D74 00004DBF ?AddElement@?$StaticGuidHashTable@$$CBUtagDispenserDatabaseInfo@@$07$04@@QAEHABU_GUID@@PBUtagDispenserDatabaseInfo@@@Z
00004DD7 00004E27 ?AddElement@?$StaticGuidHashTable@$$CBUtagDispenserClientTableInfo@@$04$02@@QAEHABU_GUID@@PBUtagDispenserClientTableInfo@@@Z
00004E2C 00004E3D ?InitializeCriticalSection@CComCLBCatalog@@SGJXZ
00004E5D 00004E6E ?InitializeCriticalSection@CComAppl@@SGJXZ
00004E8D 00004E9E ?InitializeCriticalSection@CComProcess@@SGJXZ
00004EBD 00004ECE ?InitializeCriticalSection@CComClass@@SGJXZ
00004F1E 00004F1F nullsub_1
00004F90 0000502C _CoRegInitialize@0
0000503F 00005080 ?InitMemoryGates@@YGXXZ
000051C1 000051D8 _atexit
000051DD 00005206 __onexit
0000520B 00005211 ___dllonexit
00005216 00005283 ?InitNew@VMStructArray@@QAEJKHKK@Z
00005294 000052B9 ?Append@VMStructArray@@QAEPAXXZ
000052C4 00005301 ??0StgHashedIndex@@QAE@_N@Z
00005306 0000531C ?AddRef@StgSortedIndex@@UAGKXZ
0000532A 00005350 ?Append@CStructArray@@QAEPAXXZ
00005355 0000537D ?Grow@CStructArray@@AAEHH@Z
00005382 000053C2 ?InitNew@?$CHashHelper@K$0PPPPPPPP@@@QAEJPAUSTGINDEXDEF@@@Z
000053C7 0000541B ?Open@StgHashedIndex@@UAEJIPAVStgRecordManager@@PAURECORDHEAP@@KPAUSTGINDEXHDR@@PAK@Z
00005420 00005450 ?LoadIndexes@StgRecordManager@@IAEJXZ
000054A1 000054CD ?GetRecordHeap@StgDatabase@@IAEJKHKHPAPAURECORDHEAP@@PAK@Z
00005529 00005538 ?GetCapacity@VMStructArray@@QAEKXZ
00005538 00005539 nullsub_3
00005551 00005561 ??0CInterfaceMethod@CComClass@@QAE@XZ
00005566 00005570 ??0CGrowableBuffer@@QAE@XZ
00005585 0000559E ??0?$CDynArray@UStgBlobRemap@StgBlobPool@@@@QAE@H@Z
000055A3 000055C5 ??0CBlobPoolHash@@QAE@PAVStgPoolReadOnly@@@Z
000055E1 00005603 ??0CGuidPoolHash@@QAE@PAVStgPoolReadOnly@@@Z
0000561D 00005635 ?AddRef@StgDatabase@@UAGKXZ
00005673 0000567A ?GetCurrentOffset@StgIO@@QAEKXZ
0000567F 000056E0 ??0StgIO@@QAE@_N@Z
000056E5 00005710 ?Read@StgIO@@QAEJPAXKPAK@Z
00005732 00005752 ?Append@CSchemaList@@QAEJPAUSCHEMADEFS@@@Z
000057C5 000057FF ?SchemaAdd@StgTSICRReadWrite@@UAGJPBU_tagCOMPLIBSCHEMABLOB@@@Z
0000582A 00005830 _realloc
00005835 00005862 ?ReHash@CClosedHashBase@@AAE_NXZ
00005867 00005890 ?InitFree@CClosedHashBase@@AAEXPAEH@Z
000058A8 000058CE ?AddCoreOverrides@StgDatabase@@AAEJPAUSCHEMADEFS@@PBU2@HHQAE@Z
000058F2 00005937 ??0StgStringPool@@QAE@XZ
000059A1 000059E5 ?InitOnMem@StgStringPool@@UAEJPAXKH@Z
000059EA 00005A2F ?InitSchemaLoad@StgDatabase@@AAEJJPAUSTGSCHEMA@@HHHQAE@Z
00005A3B 00005A6E ?ReadHeader@TiggerStorage@@AAEJXZ
00005B19 00005BA7 ?InitClbFile@StgDatabase@@IAEJKPAVStgIO@@@Z
00005BAC 00005BC7 ?InitNew@StgVariantPool@@QAEJPAVStgBlobPool@@PAVStgStringPool@@@Z
00005BCC 00005BF5 ?GetStgDatabase@@YGJPAPAVStgDatabase@@@Z
00005BFA 00005CC8 ?SchemaAdd@StgDatabase@@UAGJPBU_tagCOMPLIBSCHEMABLOB@@@Z
00005CCD 00005D05 ?QueryInterface@StgTSICRReadOnly@@UAGJABU_GUID@@PAPAX@Z
00005D0A 00005D39 ?Open@StgIO@@QAEJPBGJPBXKPAUIStream@@@Z
00005D4B 00005D8C ?AddSchemasRefsFromFile@StgDatabase@@IAEJPAUSTGEXTRA@@@Z
00005D91 00005DC7 ?NewInit@?$CHashTableAndData@VCNewData@@@@QAEJGGH@Z
00005DCC 00005DE6 ?NewInit@CHashTable@@QAEJPAEG@Z
00005DEB 00005E7B ?InitDatabase@StgDatabase@@UAEJPBGKPAXKPAUIStream@@@Z
00005E80 00005EA8 ?GetThreadSafeICR@@YGJHPAUIComponentRecords@@ABU_GUID@@PAPAX@Z
00005EBA 00005EE6 ?VerifySignature@TiggerStorage@@AAEJPAUSTORAGESIGNATURE@@@Z
00005EEB 00005F70 ?Init@TiggerStorage@@QAEJPAVStgIO@@@Z
00005F75 00005F91 ?GetPersistHashMethod@@YGP6GKKGPBEK@ZH@Z
00005FA1 00005FB7 ??0?$TStringMap@PAUIUserSection@@$0BB@VCNewData@@$0BAAA@@@QAE@XZ
00005FC1 00005FE8 ??0?$CHashTableAndData@VCNewData@@@@QAE@G@Z
00005FED 00006012 ??0CHashTable@@QAE@G@Z
00006017 00006039 ??0CStringPoolHash@@QAE@PAVStgPoolReadOnly@@@Z
00006055 00006085 ??0?$CChainedHash@UGUIDHASH@@@@QAE@H@Z
0000608A 000060E8 ?GetFileTypeForPath@@YGJPAVStgIO@@PAW4FILETYPE@@@Z
000060ED 00006131 ?Seek@StgIO@@QAEKJK@Z
00006136 000061BD ??0SCHEMADEFSDATA@@QAE@XZ
000061C2 000061F5 ??0StgGuidPool@@QAE@XZ
00006261 00006284 ?InitOnMem@StgGuidPool@@UAEJPAXKH@Z
00006289 000062C2 ?InitOnMem@StgPool@@UAEJPAXKH@Z
000062C7 000062E9 ?InitOnMemReadOnly@StgPoolReadOnly@@QAEJPAXK@Z
000062EE 00006322 ??0StgBlobPool@@QAE@K@Z
00006391 000063AF ?InitOnMem@StgBlobPool@@UAEJPAXKH@Z
000063B4 000063EC ??0StgVariantPool@@QAE@XZ
00006459 00006497 ??0StgPool@@QAE@K@Z
0000649C 000064E3 ??0SCHEMADEFSCOR@@QAE@XZ
000064F9 00006602 ??0StgDatabase@@QAE@XZ
00006607 00006694 ??0RTSemExclusive@@QAE@K@Z
00006699 000066BB ??0?$CClosedHash@USTGOPENTABLEHASH@@@@QAE@H_N@Z
000066C0 000066F4 ??0CClosedHashBase@@QAE@HH_N@Z
000066F9 00006718 ??0COpenTablePtrHash@@QAE@H@Z
00006735 00006755 ?SetStatus@COpenTablePtrHash@@UAEXPAEW4ELEMENTSTATUS@CClosedHashBase@@@Z
0000675A 0000678D ??0TiggerStorage@@QAE@XZ
00006792 000067AB ??0?$CDynArray@USTORAGESTREAM@@@@QAE@H@Z
000067CA 000067F6 ?Init@?$TFreeList@E@@QAEXPAEH@Z
000067FB 0000683D ??0StgTSICRReadOnly@@QAE@PAUIComponentRecords@@@Z
00006861 00006875 ?GetClassInfoFromProgId@CLegacyCatalog@@UAGJPAUIUserToken@@PAGABU_GUID@@PAPAXPAX@Z
00006892 000068C1 ?GetCellNull@StgRecordManager@@IAE_NPAHHPAUSTGTABLEDEF@@@Z
000068C6 00006906 ?GetClassInfoFromProgId@CComCLBCatalog@@EAGJPAUIUserToken@@PAGABU_GUID@@PAPAXPAX@Z
0000690B 00006980 ?IsSelfRegProgID@@YGHQAGPAHPAU_GUID@@@Z
00006A7B 00006AB3 ?WszCreateFile@@YGPAXPBGKKPAU_SECURITY_ATTRIBUTES@@KKPAX@Z
00006AB8 00006AEA ?WszCreateFileMapping@@YGPAXPAXPAU_SECURITY_ATTRIBUTES@@KKKPBG@Z
00006AEF 00006B0A ?MapFileError@@YGJK@Z
00006B0F 00006B19 ?PostError@@YAJJZZ
00006B5D 00006B7A __allmul
00006B7F 00006BE8 ?GetVersionFromClbName@@YG_JPAG@Z
00006C2D 00006C39 ?DeleteCriticalSection@CComCLBCatalog@@SGXXZ
00006C3E 00006C4A ?DeleteCriticalSection@CComAppl@@SGXXZ
