000010A0 000010A6 _memset
000010A6 000010A7 ?nraInitTheAllocator@@YGXXZ
000010A7 000010EC __SEH_prolog4
000010EC 00001100 __SEH_epilog4
000021AD 00002249 ?compSetOptimizationLevel@Compiler@@IAEXXZ
00002249 0000225C ?lvNormalizeOnLoad@LclVarDsc@Compiler@@QAE_NXZ
0000225C 000022D4 ?impPushOnStack@Compiler@@IAEXPAUGenTree@@VtypeInfo@@@Z
00002447 00002467 ?nraAlloc@norls_allocator@@QAEPAXI@Z
00002467 000024A1 ?gtNewNode@Compiler@@QAIPAUGenTree@@EE@Z
000024A1 000024C5 ?impBeginTreeList@Compiler@@IAIXXZ
000024C5 000024FB ?impCurStmtOffsSet@Compiler@@IAEXI@Z
000024FB 0000255F ?impInitBlockLineInfo@Compiler@@IAEIXZ
00002567 00002740 ?fgFindJumpTargets@Compiler@@IAEXPBEIPAE@Z
00002740 0000276A ?fgHaveProfileData@Compiler@@IAE_NXZ
0000276A 00002780 ?fgGetProfileWeightForBasicBlock@Compiler@@IAE_NIPAI@Z
000027CA 000028EA ?fgMakeBasicBlocks@Compiler@@IAEXPBEIPAE@Z
000028F5 00002C0C ?impImportBlockCode@Compiler@@IAEXPAUBasicBlock@@@Z
00002C0C 00002C8D ?bbNewBasicBlock@Compiler@@QAEPAUBasicBlock@@E@Z
00002C8D 00002CC1 ?fgNewBasicBlock@Compiler@@QAEPAUBasicBlock@@E@Z
00002CC1 00002D85 ?impImportBlock@Compiler@@IAEXPAUBasicBlock@@@Z
00002DA4 00002E80 ?impImport@Compiler@@QAEXPAUBasicBlock@@@Z
00002E80 00002EB4 ?fgImport@Compiler@@QAEXXZ
00002EB4 00002EF4 ?compCompile@Compiler@@IAEXPAPAXPAKI@Z
00002EF4 00002F2E ?verInitCurrentState@Compiler@@QAEXXZ
00002F2E 00002F5C ?verInitBBEntryState@Compiler@@QAEXPAUBasicBlock@@PAUEntryStateStruct@@@Z
00002F5C 00002FEE ?impImportBlockPending@Compiler@@IAEXPAUBasicBlock@@_N@Z
00002FF0 00002FFE @__security_check_cookie@4
00002FFE 000030DE ?fgFindBasicBlocks@Compiler@@QAEXXZ
000030DE 000032B9 ?compCompileHelper@Compiler@@QAIHPAUCORINFO_MODULE_STRUCT_@@PAVICorJitInfo@@PAUCORINFO_METHOD_INFO@@PAPAXPAKIW4CorInfoInstantiationVerification@@@Z
000032B9 000033B0 ?compCompile@Compiler@@QAIHPAUCORINFO_METHOD_STRUCT_@@PAUCORINFO_MODULE_STRUCT_@@PAVICorJitInfo@@PAUCORINFO_METHOD_INFO@@PAPAXPAKI@Z
000033CC 000034EE ?jitNativeCode@@YIHPAUCORINFO_METHOD_STRUCT_@@PAUCORINFO_MODULE_STRUCT_@@PAVICorJitInfo@@PAUCORINFO_METHOD_INFO@@PAPAXPAKIPAX@Z
00003518 0000354D ?impInit@Compiler@@QAEXXZ
0000354D 0000362F ?fgInit@Compiler@@QAEXXZ
0000362F 000036CA ?compInit@Compiler@@QAEXPAUnorls_allocator@@PAUInlineInfo@@@Z
000036CA 00003710 ?compSetProcessor@Compiler@@IAEXXZ
00003710 000037B8 ?compInitOptions@Compiler@@IAEXI@Z
000037B8 000037FF ?fgInitBBLookup@Compiler@@IAEXXZ
000037FF 00003843 ?fgLinkBasicBlocks@Compiler@@IAEXXZ
00005DD0 00005E15 ?impPopStack@Compiler@@IAE?AUStackEntry@@XZ
00005E24 00005E5B ?compileMethod@CILJit@@EAG?AW4CorJitResult@@PAVICorJitInfo@@PAUCORINFO_METHOD_INFO@@IPAPAEPAK@Z
00005E66 00005E7B ?NormaliseForStack@typeInfo@@QAEAAV1@XZ
00005E7B 00005E9B ?impGetToken@Compiler@@IAEIPBEPAUCORINFO_MODULE_STRUCT_@@H@Z
00005EA2 00005EC2 ?gtNewLclvNode@Compiler@@QAIPAUGenTree@@IEI@Z
00005EC2 00005EE0 ?gtNewIconNode@Compiler@@QAIPAUGenTree@@HE@Z
00005EF8 00005F0C ?genRegArgNum@@YGII@Z
00005F0C 00005F22 ?isRegParamType@@YG_NE@Z
