00001619 0000162F _LibMain@12
0000162F 000017C4 __LibMain@12
000017C9 000017E4 _TermColor@0
000017E9 000017F7 _TermFont@0
000017FC 0000180A _Print_UnloadLibraries@0
0000180F 00001851 _TermFile@0
00001856 00001864 _vDeleteDirDriveBitmap@0
00001D7D 00001DFA _staticIsOS@4
00001DFF 00001E5F _FInitColor@4
00001E64 00001F3C _FInitFile@4
00001F41 00001F6A ___security_init_cookie
00001F6F 00001F90 _Mirror_IsEnabledOS@0
00001F95 00001FAE @__security_check_cookie@4
00001FB3 00001FCB ?StringCchCopyW@@YGJPAGIPBG@Z
00001FCB 00002017 _StringCopyWorkerW@12
0000201C 0000204E _CDGetAppCompatFlags@0
00002306 00002365 _GetFileTitleW@12
0000236A 00002433 _GetFileTitleX@12
00002563 00002610 _GetFileTitleA@12
00002615 0000270A ?OpenDlgProc@@YGHPAUHWND__@@IIJ@Z
0000270F 00002771 ?OnCommandMessage@CFileOpenBrowser@@QAEJIJ@Z
00002789 000027B7 _Pidl_Set@8
000027D3 00002850 _ThunkOpenFileNameA2W@4
00002855 00002876 ??0TEMPMEM@@QAE@I@Z
0000287B 00002896 ??0WAIT_CURSOR@CFileOpenBrowser@@QAE@PAV1@@Z
000028AD 000028C7 ??0TEMPSTR@@QAE@I@Z
000028CC 000028E8 ?SetSaveButton@CFileOpenBrowser@@QAEXI@Z
000028ED 0000291F ?GetFocusedChild@@YGPAUHWND__@@PAU1@0@Z
00002924 000029A0 ?OpenFileHookProc@@YGJHIJ@Z
00002A0C 00002A1D __tailMerge_ole32
00002A6C 00002AD9 ___delayLoadHelper2@8
00002AF1 00002B16 ?GetListboxItem@@YGPAVMYLISTBOXITEM@@PAUHWND__@@I@Z
00002B1B 00002B3A ?Release@MYLISTBOXITEM@@QAEKXZ
00002B3F 00002BEA _ThunkOpenFileNameW2A@4
00002BEF 00002BFC _GetStoredExtendedError@0
00002C01 00002C27 ?Release@CFileOpenBrowser@@UAGKXZ
00002C2C 00002C33 ?Release@CFileOpenBrowser@@W3AGKXZ
00002C38 00002CB2 ?SendOFNotify@@YGJPAUHWND__@@0IPAGPAUtagOFNW@@PAUOPENFILEINFO@@@Z
00002CB7 00002CF0 ?_WaitCursor@CFileOpenBrowser@@QAEXH@Z
00002CF5 00002D21 _IsWild@4
00002DA5 00002DAD ?SetMenuSB@CPrintBrowser@@UAGJPAUHMENU__@@PAXPAUHWND__@@@Z
00002DB2 00002DBA ?RemoveMenusSB@CPrintBrowser@@UAGJPAUHMENU__@@@Z
00002DBF 00002E0A ?OKSubclass@@YGJPAUHWND__@@IIJ@Z
00002E0F 00002E54 ?SelectEditText@@YGXPAUHWND__@@@Z
00002EF5 00002F0A ?LastVisitedCompareProc@@YGHPBX0I@Z
00002F0F 00002F39 _ParseFileNew@16
00002F3E 0000309A _ParseFile@16
0000309F 000030BF _GetOpenFileNameA@4
000032A5 00003352 _GetFileName@8
00003357 0000336A _NewGetOpenFileName@4
0000336F 000035D5 ?NewGetFileName@@YGHPAUOPENFILEINFO@@H@Z
00003651 00003AB0 ?InitLocation@@YGHPAUHWND__@@PAU_OFNINITINFO@@@Z
00003B22 00003B34 ??2@YAPAXI@Z
00003B39 00003B7B ?TSStrCpy@TEMPSTR@@QAEHPBG@Z
