0000153C 00001577 __SEH_prolog
00001577 00001588 __SEH_epilog
000015CD 000015F0 ?CertPerfDllMain@@YGHPAUHINSTANCE__@@KPAX@Z
000015F5 0000162D __CRT_INIT@12
00001632 000016A1 __DllMainCRTStartup@12
000016A6 000016F2 _DllMain@12
000016F7 00001725 ?CertHelperDllMain@@YGHPAUHINSTANCE__@@KPAX@Z
0000172A 0000174D ?I_CryptOIDFuncDllMain@@YGHPAUHINSTANCE__@@KPAX@Z
00001752 00001777 ?I_CryptOIDInfoDllMain@@YGHPAUHINSTANCE__@@KPAX@Z
0000177C 000017AF ?I_CryptTlsDllMain@@YGHPAUHINSTANCE__@@KPAX@Z
000017C1 000017E9 ?CryptSIPDllMain@@YGHPAUHINSTANCE__@@KPAX@Z
000017EE 00001810 ?UnicodeDllMain@@YGHPAUHINSTANCE__@@KPAX@Z
00001815 0000182B ?I_CertCTLUsageFuncDllMain@@YGHPAUHINSTANCE__@@KPAX@Z
00001830 00001854 ?CertChainPolicyDllMain@@YGHPAUHINSTANCE__@@KPAX@Z
00001859 0000186F ?I_CertRevFuncDllMain@@YGHPAUHINSTANCE__@@KPAX@Z
00001874 0000188E ?CryptFrmtFuncDllMain@@YGHPAUHINSTANCE__@@KPAX@Z
00001893 000018BB ?CryptMsgDllMain@@YGHPAUHINSTANCE__@@KPAX@Z
000018C0 000018DC ?ImportExportDllMain@@YGHPAUHINSTANCE__@@KPAX@Z
000018E1 00001908 ?ChainDllMain@@YGHPAUHINSTANCE__@@KPAX@Z
0000190D 00001948 ?CertStoreDllMain@@YGHPAUHINSTANCE__@@KPAX@Z
0000194D 00001988 ?I_RegStoreDllMain@@YGHPAUHINSTANCE__@@KPAX@Z
0000198D 000019B2 ?I_ProtectedRootDllMain@@YGHPAUHINSTANCE__@@KPAX@Z
000019B7 000019F1 ?CertASNDllMain@@YGHPAUHINSTANCE__@@KPAX@Z
000019F6 00001A1C _I_CryptOIDConvDllMain@12
00001A21 00001A70 ?CryptPFXDllMain@@YGHPAUHINSTANCE__@@KPAX@Z
00001A75 00001A9B ?EncodeDecodeDllMain@@YGHPAUHINSTANCE__@@KPAX@Z
000040A0 000040B6 _PkiFree@4
00004193 000041E1 ?GetCryptTls@@YGPAPAXKH@Z
000041EA 0000420C _I_CryptDetachTls@4
00004260 00004279 @__security_check_cookie@4
00004280 00004281 ??1CDefaultChainEngineMgr@@QAE@XZ
0000428C 000042B6 ?PurgeAllEntries@CLruCache@@QAEXKPAX@Z
000042BF 000042EC _I_CryptFlushLruCache@12
000042F1 00004311 ??2@YAPAXI@Z
00004316 0000435C _I_CryptCreateLruCache@8
00004361 000043CF ??0CLruCache@@QAE@PAU_LRU_CACHE_CONFIG@@AAH@Z
000043D4 0000443E _I_CryptAllocTls@0
00004443 00004485 _I_CryptInstallAsn1Module@12
0000448A 0000449D _FIsWinNT@0
000044B0 000044D2 _PkiZeroAlloc@4
