00001370 000013AB ?RPORDllMain@@YGHPAUHINSTANCE__@@KPAX@Z
000013B0 000013FD _DllMain@12
00001410 00001416 ?DemandLoadDllMain@@YGHPAUHINSTANCE__@@KPAX@Z
00001420 00001495 __DllMainCRTStartup@12
000014A0 000014D8 __CRT_INIT@12
000014E0 000014F3 _PkiFree@4
000014F8 000014FE _I_CryptDetachTls@4
00001520 00001539 @__security_check_cookie@4
00001590 000015CB __SEH_prolog
000015D0 000015E1 __SEH_epilog
000015E6 000015EC ??2@YAPAXI@Z
00001670 000016B2 ?I_CryptnetIsProcessDetachFreeLibrary@@YGHPAX@Z
000016D8 0000173F ?GetBaseCrl@@YGHPBU_CERT_CONTEXT@@0PAU_CERT_REVOCATION_PARA@@PAU_CERT_EXTENSION@@KPAU_FILETIME@@PAPBU_CRL_CONTEXT@@PAH5@Z
00001744 00001755 ?TVOCacheHashOriginIdentifier@@YGKPAU_CRYPTOAPI_BLOB@@@Z
0000175A 0000178F _MD5Init@4
00001790 00001E09 _TransformMD5@8
00001E0E 00001E14 _CertFindExtension@12
00001E19 00001E1F _CryptGetOIDFunctionAddress@24
00001E60 00001F3F _MD5Update@12
00001F71 0000202F ?GetTimeValidCrl@@YGHPBDPAXPBU_CERT_CONTEXT@@2PAU_CERT_REVOCATION_PARA@@PAU_CERT_EXTENSION@@KKPAU_FILETIME@@PAPBU_CRL_CONTEXT@@PAH@Z
00002034 000020A6 _CryptGetTimeValidObject@36
000020AB 000020B1 _CryptFreeOIDFunctionAddress@8
000020B6 00002300 ?MicrosoftCertDllVerifyRevocation@@YGHKKKQAPAXKPAU_CERT_REVOCATION_PARA@@PAU_CERT_REVOCATION_STATUS@@@Z
00002305 0000230B _CertFreeCertificateContext@4
00002310 00002341 ?CrlFromCertGetTimeValidObject@@YGHPBDPAXPBU_CERT_CONTEXT@@PAU_FILETIME@@KKPAPAXPAU_CRYPT_CREDENTIALS@@1@Z
00002346 00002476 ?GetTimeValidObject@CTVOAgent@@QAEHPBDPAX0PBU_CERT_CONTEXT@@PAU_FILETIME@@KKPAPAXPAU_CRYPT_CREDENTIALS@@1@Z
0000247B 000024B0 ?FindCacheEntry@CTVOCache@@QAEPAU_TVO_CACHE_ENTRY@@QAEPBDPAX@Z
000024B5 000024BB _I_CryptFindLruEntry@8
