000015D1 000015F5 _Wizard_DllMain@12
000015FA 00001636 _TrustUIDllMain@12
0000163B 000016A6 __CRT_INIT@12
000016AB 00001710 __DllMainCRTStartup@12
00001715 0000178D _DllMain@12
00001792 000017BA _ProtectUI_DllMain@12
000017EA 00001812 _IsolationAwareFindActCtxSectionStringW@20
00001832 0000187A ?IsWin95@@YGHXZ
0000187F 000018A8 ___security_init_cookie
000018B0 000018EB __SEH_prolog
000018F0 000018F6 __initterm
000019B0 000019F9 _WinbaseIsolationAwarePrivatetEgzlnCgpgk@0
00001A20 00001A39 @__security_check_cookie@4
00001A40 00001A91 _IsolationAwarePrivatenCgIiAgEzlnCgpgk@4
00001AA0 00001AC9 _IsolationAwareActivateActCtx@8
00001AE0 00001B27 _WinbaseIsolationAwarePrivatetEgCebCnDDeEff_xEeaELDC_DLL@4
00001B60 00001B89 _IsolationAwareDeactivateActCtx@8
00001BDD 00001C50 _CommctrlIsolationAwarePrivatetEgCebCnDDeEff_pbMCgLDC_DLL@4
00001C61 00001CB8 _IsolationAwareLoadLibraryW@4
00001CFC 00001D46 _InitializeProtectPasswordCache@0
00001D60 00001D71 __SEH_epilog
00001D76 00001D93 ?CheckRichedit20Exists@@YGHXZ
00001D98 00001DEF _IsolationAwareLoadLibraryA@4
00001E34 00001EA3 _IsolationAwareInitCommonControlsEx@4
00001FAD 00002009 _DeleteProtectPasswordCache@0
0000205D 0000209A __chkstk
0000209A 00002BF1 _SHATransform@8
00002BF1 00003E90 _SHATransformP3@8
00004FE1 0000506C _I_CryptUIProtectFailure@12
00005071 00005169 _DialogChooseSecurityLevel@16
0000516E 000051C1 _DialogChooseSecurityLevelMedium@16
000051C6 00005210 _ComputePasswordHash@12
00005215 00005298 _GetEffectiveLogonId@4
0000529D 00005354 _InitializeDetailGlobals@0
00005359 00005407 _AddProtectPasswordCache@8
0000540C 000054BB _PurgeProtectPasswordCache@0
000054C0 0000552D _IsCachePWAllowed@0
000055B7 000055E2 _IsolationAwareCreateActCtxW@4
000055F7 0000565C _IsolationAwareDialogBoxParamW@20
000056B1 00005A61 _DialogChooseSecurityLevelHigh@16
00005A66 00005B85 _DialogAdvancedSecurityDetails@16
00005B8A 00005CB6 _SearchProtectPasswordCache@12
00005CBB 00005D78 _ChooseSecurityLevel@8
00005D7D 00005DA1 _AdvancedSecurityDetails@8
00005DA6 00005F77 _DialogConfirmProtect@16
00005F7C 0000628C _DialogConfirmAccess@16
00006291 000062B9 _ProtectUIConfirm@4
000062BE 000062E6 _UnprotectUIConfirm@4
000062EB 000063A3 _I_CryptUIProtect@24
000063A8 000063FC ?PrettySubject@@YGPAGPBU_CERT_CONTEXT@@@Z
00006401 0000644E ?OnContextHelp@@YGHPAUHWND__@@IIJPBUHELPMAP@@@Z
0000646D 00006470 _DllRegisterServer@0
00006475 000064A6 ?FreeAndCloseKnownStores@@YGHKPAPAX@Z
000064AB 00006583 ?AllocAndOpenKnownStores@@YGHPAKPAPAPAX@Z
00006651 00006796 ?LoadResourceBitmap@@YGPAUHBITMAP__@@PAUHINSTANCE__@@PADPAPAUHPALETTE__@@@Z
0000679B 00006A2B ?MaskBlt@@YGXAAPAUHBITMAP__@@PAUHPALETTE__@@AAPAUHDC__@@HHHH@Z
00006A30 00006ADF ?GetSignersCert@@YGPBU_CERT_CONTEXT@@PBU_CMSG_SIGNER_INFO@@PAXKPAPAX@Z
00006AE4 00006B0E ?fIsCatalogFile@@YGHPAU_CTL_USAGE@@@Z
00006B2C 00006C49 ?SetRicheditTextWCallback@@YGKKPAEJPAJ@Z
00006C4E 00006D1B ?fRichedit20Usable@@YGHPAUHWND__@@@Z
00006D45 00006ECB ?IsValidURL@@YGHPAG@Z
00006ED0 00006F48 ?FormatMessageUnicode@@YGPAGPAGPAPAD@Z
00006F4D 00006F91 ?SetRicheditIMFOption@@YGXPAUHWND__@@@Z
00006F96 00007009 ?FormatMessageUnicodeIds@@YAPAGIZZ
0000700E 00007094 ?CryptUISetRicheditTextW@@YGKPAUHWND__@@IPBG@Z
00007099 000070DA ?CommonInit@@YGHXZ
000070DF 000076C8 _CryptUIDlgViewCertificateW@8
000076CD 00007734 _CryptUIDlgViewCertificateA@8
00007739 00007AEB _CryptUIDlgViewCTLW@4
00007AF0 00007B54 _CryptUIDlgViewCTLA@4
00007B59 00007E79 _CryptUIDlgViewCRLW@4
00007E7E 00007EE2 _CryptUIDlgViewCRLA@4
