000010E9 00001156 ___security_init_cookie
0000115B 000011CD __CRT_INIT@12
000011D2 000011D8 __initterm
000011DD 00001245 __DllMainCRTStartup@12
0000124A 0000126B _DllMain@12
000014B5 000014CD _CClassFactory_CreateInstance@16
000014D2 000014DE _DllAddRef@0
000014E3 000014EF _DllRelease@0
000014F4 00001500 _DllCanUnloadNow@0
00001505 00001556 _TStringFromGUID@8
00001591 00001637 _DeleteKeyAndSubKeys@8
0000163C 000017B6 _DllRegisterServer@0
000017E4 00001862 _DllUnregisterServer@0
00001867 000018B2 _CClassFactory_QueryInterface@12
000018B7 000018C2 _CClassFactory_AddRef@4
000018C7 000018D2 _CClassFactory_Release@4
000018D7 000018F4 _CClassFactory_LockServer@8
000018F9 00001965 _DllGetClassObject@12
0000196A 0000197C ??2@YAPAXI@Z
00001981 00001991 ??3@YAXPAX@Z
00001996 00001A4B ?Init@CDirectDrawEx@@QAEJPAU_GUID@@PAUHWND__@@KKP6GJ0PAPAUIDirectDraw@@PAUIUnknown@@@Z@Z
00001A50 00001A8F ??1CDirectDrawEx@@QAE@XZ
00001A94 00001B98 ?NonDelegatingQueryInterface@CDirectDrawEx@@UAGJABU_GUID@@PAPAX@Z
00001BDD 00001BFE ?NonDelegatingAddRef@CDirectDrawEx@@UAGKXZ
00001C03 00001C24 ??_GCDirectDrawEx@@QAEPAXI@Z
00001C29 00001C43 ?QueryInterface@CDirectDrawEx@@UAGJABU_GUID@@PAPAX@Z
00001C48 00001C5D ?AddRef@CDirectDrawEx@@UAGKXZ
00001C62 00001C77 ?Release@CDirectDrawEx@@UAGKXZ
00001C7C 00001CE1 ?GetSurfaceFromDC@CDirectDrawEx@@UAGJPAUHDC__@@PAPAUIDirectDrawSurface@@@Z
00001CE6 00001D17 ?AddSurfaceToList@CDirectDrawEx@@QAEXPAVCDDSurface@@@Z
00001D1C 00001D58 ?RemoveSurfaceFromList@CDirectDrawEx@@QAEXPAVCDDSurface@@@Z
00001D5D 00001D98 ?AddSurfaceToPrimaryList@CDirectDrawEx@@QAEXPAVCDDSurface@@@Z
00001D9D 00001DE0 ?RemoveSurfaceFromPrimaryList@CDirectDrawEx@@QAEXPAVCDDSurface@@@Z
00001DE5 00001E16 ?AddPaletteToList@CDirectDrawEx@@QAEXPAVCDDPalette@@@Z
