00001354 00001365 __SEH_epilog
00001365 000013A0 __SEH_prolog
000013B0 000013C9 @__security_check_cookie@4
000013CE 000013D4 _time
000013E0 00001433 _DhcpFindOption@24
00001438 00001466 _DhcpIsInitState@4
0000146B 000014D6 __CRT_INIT@12
000014DB 00001540 __DllMainCRTStartup@12
00001545 0000158C _DllMain@12
00001591 000015BA ___security_init_cookie
000015BF 000015C5 __initterm
000015CA 000015E2 _DhcpInitializeParamChangeRequests@0
000015E7 000016A6 _DhcpInitGlobalData@0
00001BD1 00001BED _UnlockDhcpContext@4
00001BF2 00001C05 _STRING_HANDLE_unbind@8
00001F5B 00001FA3 _FindDhcpContextOnNicList@8
000025A8 0000260B _LockDhcpContext@8
00002A4F 00002AE4 _STRING_HANDLE_bind@4
00002AE9 00002AEF _NdrClientCall2
00002AF4 00002AFA _NdrServerCall2@4
00002AFF 00002B1E _DhcpRpcCallback@8
00002B23 00002B99 _IsLRPC@4
00002B9E 00002BC5 _RpcValidateRequests@8
00002BCA 00002C90 _NetpAccessCheck@12
00002C95 00002CB2 _CancelRenew@4
00002CB2 00002CE5 __chkstk
00002CEA 00002D24 _CheckSwitchedNetwork@12
00002D29 00002D86 _RetreiveGatewaysList@12
00002D8B 00002D91 _IcmpCreateFile@0
00002D96 00002DE8 _ProcessMediaConnectEvent@8
00002DED 00002E54 _RefreshNotNeeded@4
00002E59 00002F68 _AnyGatewaysReachable@12
00002F73 00002F79 _IcmpSendEcho@32
00002FBD 00002FF1 _RpcSrvNotifyMediaReconnected@8
00002FF6 000030DB _DhcpApiProcessAdapterOnlyApi@12
000030E0 000030F6 _NotifyMediaReconnected@4
000030FB 0000312D _DhcpNotifyMediaReconnected@4
00003141 00003163 _RpcCliNotifyMediaReconnected@8
00003190 000031A4 _NetpMemoryFree@4
000031A9 000031AF _wcslen
000031CB 00003234 _DhcpOpenDriver@8
00003239 0000324E _DhcpAdapterName@4
00003253 000032B9 _IPSetInterface@4
000032BE 00003357 _OpenDhcpSocket@4
0000335C 00003371 _NdisWanAdapter@4
000033B0 00003407 _DhcpOemToUnicodeN@12
00003424 0000349A _CloseDhcpSocket@4
0000349F 000034D8 _IPResetInterface@4
000034DD 00003571 _DhcpAddOption@36
00003576 0000359D _DhcpAppendMagicCookie@8
000035A2 000035BF _DhcpAppendClassIdOption@12
00003662 00003688 _DhcpDelOption@4
0000368D 000036CA _InsertInPriorityList@12
0000373F 00003966 _DhcpExtractFullOrLiteOptions@40
0000396B 000039CD _DhcpAppendClientIDOption@20
000039D2 00003A3B _DhcpAppendOption@20
00003A40 00003A86 _DhcpAppendSendOptions@48
00003A95 00003B92 _SendDhcpMessage@12
00003B97 00003D55 _DhcpAppendParamRequestList@24
00003D5A 00003D90 _DhcpAddParamRequestChangeRequestList@20
00003D95 00003E30 _DhcpAddIncomingOption@44
00003E35 00003E74 _DhcpMarkParamChangeRequests@16
00003E79 00003EF1 _DhcpCalculateWaitTime@8
00003EF6 00003EFC _rand
00003F01 00003F6B _GetSpecifiedDhcpMessage@16
00003F70 00003FE9 _GetSpecifiedDhcpMessageEx@16
00003FEE 0000409E _ProcessRecvFromSocket@4
000040A3 00004124 _TryReceive@20
00004129 000041E9 _AsyncSelect@8
000041EE 000042FB _InitializeDhcpSocket@12
00004300 00004306 _SystemFunction036@8
0000430B 000043E8 _DhcpDoInform@8
000043ED 000045E0 _DhcpRequestOptions@28
000045F1 00004613 _RpcCliRequestParams@24
00004689 00004800 _RequestParams@20
00004805 0000485F _RequestParamsDetailed@36
00004864 0000496E _DhcpSendInformIfRequired@32
000049AA 00004B22 _SendInformAndGetReplies@12
00004B27 00004CA9 _SendDhcpInform@12
00004CAE 00004D4C _FormatDhcpInform@4
00004DD0 00004E29 _DhcpFindAndRefContext@8
00004E2E 00004E81 _RpcSrvRequestParams@24
00004E86 00004F45 _DhcpAddMissingOptions@28
00004F4A 00004F50 _wcsrchr
00004F55 00005054 _DhcpRegExpandString@16
00005059 0000505F _wcscpy
00005064 00005103 _DhcpRegSaveOptionAtLocation@16
00005108 00005185 _DhcpRegSaveOptionAtLocationEx@16
0000518A 0000526E _DhcpRegSaveOptions@16
00005273 000052DD _DhcpRegClearOptDefs@4
000052E7 00005321 _DhcpOemToUnicode@8
0000552F 0000557A _DhcpFindOptionDef@20
00005595 000055CF _DhcpRegSaveOption@8
000058AD 000058C1 _MIDL_user_allocate@4
0000591B 00005940 _DhcpFreeAllOptionDefs@8
00005AC9 00005B32 _DhcpSetNotFoundOptionExpirationTime@28
00005B52 00005BD0 _DhcpCleanupGlobalData@0
00005BD5 00005BF4 _DhcpFreeAllClasses@4
00005C4D 00005C8F _NLANotifyDHCPChange@0
00005C94 00005D12 _NLAConnectLPC@0
00005D39 00005E3E _ReRenewParameters@8
00005E43 00005EC5 _DhcpRenewThread@4
00005F1E 00005F50 _DhcpSetLeaseRenewalStatus@8
0000604F 00006095 _InitializeInterface@4
0000609A 0000613C _IPSetIPAddress@12
00006141 000061DC _GetPerAdapterRegConfig@20
00006247 0000624D _DnsQueryConfigDword@8
00006281 000062FA _GetRegistryString@16
000062FF 00006314 _DhcpIpGetIfIndex@4
00006319 00006325 _DhcpCancelWaitableTimer@4
0000632A 00006479 _ProcessDhcpRequestForever@4
0000647E 000064FC _ScheduleWakeUp@12
00006567 000065A6 _CalculateTimeToSleep@4
000065C2 000065FA _DhcpFindDwordOption@16
000065FF 00006637 _DhcpFindByteOption@16
0000663C 0000666A _DhcpSetRouterDiscoverOption@4
0000666F 0000673F _TcpIpNotifyRouterDiscoveryOption@12
00006751 000068AF _NdisHandlePnPEvent@28
000068C7 00006922 _NdispUnicodeStringToVar@12
00006927 0000699F _DhcpSetAllStackParameters@8
000069A4 000069DD _DhcpNotifyMarkedParamChangeRequests@4
000069E2 00006B9C _DhcpSetGateways@12
00006BC1 00006BF6 _DhcpSetIpGateway@16
00006BFB 00006CDE _DhcpSetRoute@28
00006CE3 00006D7A _TCPSetInformationEx@16
00006D7F 00006E02 _DhcpCreateListFromStringAndFree@12
00006E07 00006E25 _x_wcschr@8
00006E2A 00006F26 _DhcpRegisterWithDns@8
00006F2B 0000701D _DhcpDynDnsRegisterDhcpOrRasAdapter@44
00007022 000071FB _DhcpDynDnsRegisterAdapterCheckingForStatic@40
0000721F 000072BA _DhcpDynDnsRegisterAdapter@28
000072BF 000072C5 _DnsAsyncRegisterHostAddrs@40
000072CA 000072D6 _NotifyDnsCache@0
000072DB 000072E1 _DnsNotifyResolver@8
000072E6 0000736F _DhcpGetStackGateways@16
00007374 0000737A _AllocateAndGetIpForwardTableFromStack@16
0000737F 0000741F _UsingStaticGateways@20
00007443 000074BA _DhcpSetStaticRoutes@8
000074BF 0000753C _UpdateDhcpStaticRouteOptions@8
000076D1 000076F5 _JustBooted@4
000076FA 00007717 _UninitializeInterface@4
0000771C 00007780 _DhcpRegGetAltKey@4
000077C0 000077DC _DhcpDestroyOptionsList@8
000077E1 000078B6 _FormatDhcpRequest@8
000078BB 00007915 _GetDomainNameOption@12
00007977 00007B9C _DhcpSetAllRegistryParameters@8
00007BA1 00007C24 _RegSetIpAddress@16
00007C29 00007C83 _DhcpGetExpiredOptions@8
00007C88 00007D4D _RenewLease@8
00007E1C 00007E3E _InvalidSID@4
00007E43 00007F89 _SetDhcpConfigurationForNIC@24
00007F8E 00007FBC _DhcpDefaultSubnetMask@4
00008255 000083B4 _DhcpDynDnsGetDynDNSOption@28
000083B9 000084EF _DhcpDynDnsGetDynDNSOptionDomainOem@24
000087A9 00008808 _DhcpCreateThreadAndRenew@4
00008814 000089C5 _DhcpMakeNICEntry@28
000089E7 00008A67 _ReadClientID@16
00008ACB 00008B16 _DhcpRegFillFallbackConfig@4
00008B47 00008BB7 _IPGetWOLCapability@8
00008BBC 00008C0B _IPGetIPEventRequest@24
00008C21 00008C27 __wtol
00008C2C 00008C32 _LsaNtStatusToWinError@4
00008C37 00008C3D _LsaRegisterPolicyChangeNotification@8
00008C6B 00008CA8 _NetpInitializeAllowedAce@24
00008CC6 00008D8E _DhcpAddOptionDef@32
00008D93 00008DFA _DhcpGetRegistryValueWithKey@16
00008DFF 00008EB8 _QueryIfIndex@8
00008EBD 00008F38 _TCPQueryInformationEx@20
00009080 00009121 _FindHardwareAddr@36
00009126 0000921A _DhcpInitRegistry@0
0000921F 0000965E _DhcpRegReadOptionDefList@0
00009663 000098A2 _DhcpRegReadOptionDef@4
000098A7 000098DB _DhcpInitMediaSense@0
000098E0 000099F9 _MediaSenseDetectionLoop@0
000099FE 00009A97 _ProcessAdapterBindingEvent@12
00009AA8 00009AFD _DhcpRegReadFromAnyLocation@20
00009B02 00009DA2 _DhcpQueryHWInfo@20
00009DE8 00009E2A _DhcpRegFillSendOptions@16
00009E2F 0000A0BD _IsUnidirectionalAdapter@4
0000A0C2 0000A153 _GetAdapterFlag@8
0000A158 0000A193 _GetRegistryClassIdName@8
0000A235 0000A2EA _DhcpRegReadFromLocation@20
0000A35A 0000A4A1 _DhcpAddNICtoListEx@12
0000A4B5 0000A5EB _DhcpRegReadOptionCache@16
0000A5F0 0000A619 _RemoveLeaseRenewalStatusValue@4
0000A61E 0000A69A _ServiceMain@8
0000A69F 0000A6C9 _UpdateStatus@0
0000A6CE 0000A8A2 _DhcpMakeContext@12
0000A8E3 0000AAF7 _DhcpInitRPCSecurityDescriptors@0
0000AAFC 0000AB5F _NetpCreateSecurityObject@24
0000AB64 0000AD39 _NetpCreateSecurityDescriptor@20
0000AD3E 0000AD5C _NetpMemoryAllocate@4
0000AD61 0000AF8A _DhcpRegistryFillParams@28
0000B085 0000B142 _DhcpRegReadClassId@4
0000B21D 0000B288 _FixupDhcpClassId@8
0000B28D 0000B30F _SetRegistryClassIdBin@12
0000B314 0000B384 _GetRegClassIdBinLocation@4
0000B4C1 0000B4EC _DhcpInitialize@4
0000B4F1 0000B582 _SystemInitialize@0
0000B5A3 0000B5A9 _DnsAsyncRegisterInit@4
0000B5AE 0000B70C _DhcpInitData@0
0000B711 0000B85B _DhcpOpenGlobalEvent@0
0000B883 0000B902 _DhcpCommonInit@0
0000B907 0000B96F _DhcpUnicodeToOem@8
0000B997 0000B9C6 _DhcpStartWaitableTimer@8
0000B9CB 0000BA0F _DhcpCalculateTime@4
0000BA14 0000BE9C _DhcpRegFillParams@8
0000BF99 0000C030 _DhcpStartRPCServer@0
0000C069 0000C077 _DhcpRpcRegisterAuthInfo@0
0000C140 0000C18F _DhcpReportEventW@28
0000C1D0 0000C21E _DhcpHexToString@12
0000C223 0000C534 _DhcpLogEvent@12
0000D6A8 0000D6BE _DhcpAllocateMemory@4
0000DB7F 0000DBA4 _AsciiNulTerminate@16
0000E43F 0000E4E5 _SendDhcpRequest@24
0000FA31 0000FA6A _StringLengthWorkerW@12
0000FA6F 0000FACA _DhcpAcquireParameters@4
0000FAE1 0000FB3C _DhcpAcquireParametersByBroadcast@4
0000FB51 0000FBAC _DhcpFallbackRefreshParams@4
0000FBC1 0000FC1C _DhcpReleaseParameters@4
0000FC31 0000FC8E _DhcpEnableDynamicConfig@4
0000FCA1 0000FCFD _DhcpDisableDynamicConfig@4
0000FD11 0000FD65 _DhcpStaticRefreshParamsInternal@8
0000FD79 0000FD8C _DhcpStaticRefreshParams@4
0000FD91 0000FE97 _DhcpRegisterParameterChangeNotificationInternal@32
0000FEA9 0000FF03 _VxDGetDescriptor@8
0000FF26 0000FFEF _DhcpCreateApiEventAndDescriptor@8
0000FFF4 000100A6 _DhcpRegisterParameterChangeNotification@28
000100AB 0001011B _DhcpDeRegisterParameterChangeNotification@4
00010131 000102DB _DhcpRegistryFillParamsList@8
000102E0 0001037D _DhcpRegistryCreateUniqueKey@8
00010382 000104C6 _DhcpPersistentRequestParamsInternal@24
000104D9 000104FF _CharInMem@12
00010504 000106F4 _DhcpRegisterOptions@16
000107A3 000107AE _DhcpDeRegisterOptions@4
000107B3 000107CB _DhcpCApiInitialize@4
000107D0 000107D2 DhcpCApiCleanup
000107D2 000107D3 _DhcpCApiCleanup@0
000107D8 00010905 _DhcpRegisterParamChange@28
0001090A 0001091B _DhcpDeRegisterParamChange@12
00010920 0001096C _DhcpRemoveDNSRegistrations@0
00010981 00010B2A _DhcpRequestCachedParams@20
00010B41 00010C39 _DhcpRegisterConnectionStateNotification@12
00010C51 00010E3D _DhcpGetNotificationStatus@8
00010E51 00010EBC _DhcpDeRegisterConnectionStateNotification@8
00010ED1 0001100A _DhcpGetDhcpServicedConnections@12
00011021 0001102C _DhcpFreeMem@4
00011031 00011194 _ConvertToInternalParamsArray@8
00011199 0001138D _DhcpRegistryPersistentRequestParams@32
00011392 000113D6 _DhcpPersistentRequestParams@28
000113DB 0001155A _DhcpDelPersistentRequestParams@8
0001155F 00011864 _DhcpRequestParams@44
00011879 000118A3 _DhcpUndoRequestParams@16
000118A8 00011A83 _DhcpSetMSFTVendorSpecificOptions@24
00011A99 00011AD3 _ConvertNetworkString@8
00011AD8 00011C9E _ConvertFromBufferToClassInfo@16
00011CA3 00011DC1 _DhcpEnumClasses@16
00011DD9 00011F0C _ConvertClassIdNameToBin@20
00011F11 00011F6D _DhcpHandlePnPEvent@20
00011F72 00011FE8 _ServiceControlHandler@16
00011FED 00012036 _CheckForAddressConflict@8
0001203B 00012122 _SetAutoConfigurationForNIC@12
00012127 0001216B _DhcpDoReleaseOnShutDown@4
00012170 00012190 _CancelAllRenew@0
00012195 000122FE _DhcpDestroyContextEx@8
00012303 00012316 _DhcpDestroyContext@4
0001231B 000123C1 _DoInterfaceMetricChange@8
000123C6 0001248C _DoWOLCapabilityChange@8
00012491 000127D9 _DhcpCleanup@4
000127DE 000128A4 _HandleFailedRenewals@0
000128A9 00012961 _ParseIpString@8
00012966 00012AB6 _DhcpRegRecurseDeleteSub@8
00012ABB 00012AE5 _DhcpRegRecurseDelete@8
00012AEA 00012CFA _SetOverRideDefaultGateway@4
00012CFF 00012D7C _GuidToClientID@16
00012D81 00012EFD _DhcpSetContextForcedBroadcastFlag@4
00012F3B 00012F67 _DhcpSetLeaseRenewalTime@8
00012F6C 000131F2 _DhcpInitGlobalForceBroadcastList@0
00013233 00013418 _DhcpCleanupRegistryOnServiceStop@0
00013433 000135A1 _RegGetIpAndSubnet@12
000135BF 0001363F _IPDelIPAddress@4
00013644 0001378E _IPDelNonPrimaryAddresses@4
00013793 00013897 _IPAddIPAddress@12
0001389C 000138B2 _IPResetIPAddress@8
000138B7 0001395E _NetBTNotifyRegChanges@4
00013971 00013B75 _SetDefaultGateway@12
00013B7A 00013CE0 _GetIpInterfaceContext@12
00013CE5 00013D87 _DhcpEnableDynamicConfigEx@4
00013D8C 00013DC5 _DhcpNotifyConfigChangeNotifications@0
00013DCA 00013F36 _DhcpNotifyConfigChangeEx@32
00013F3B 00013F60 _DhcpNotifyConfigChange@28
00013F65 00014034 _BringUpInterface@4
00014039 00014055 _IPCancelIPEventRequest@8
0001405A 0001415D _GetHardwareAddressForIpAddress@12
00014162 000141C3 _GetSeed@0
000141C8 00014663 _DhcpRenewIpAddressLeaseEx@24
