00002610 00002629 @__security_check_cookie@4
0000262E 00002651 _Dns_Free@4
00002656 00002670 _NetInfo_Free@4
000026CC 0000275C _Dns_StringCopy@24
00002761 000027F0 _Dns_GetBufferLengthForStringCopy@16
000027F5 0000284D @Dns_UnicodeToUtf8@16
000028BC 00002932 _Dns_ValidateName_W@8
00002937 00002996 _Dns_ValidateName_UTF8@8
0000299B 00002A38 _validateDnsNamePrivate@16
00002A3D 00002A48 _DnsValidateName_W@8
00002D20 00002D5B __SEH_prolog
00002D5B 00002D6C __SEH_epilog
00002D71 00002D84 _DNS_RPC_HANDLE_unbind@8
00002D89 00002D8F _NdrClientCall2
00002D94 00002DD0 _DnsQuery_W@24
000032D1 0000333B _DNS_RPC_HANDLE_bind@4
000033B7 00003403 _Dns_CreateRecordForIpString_W@12
00003408 00003455 _Dns_Ip4StringToAddress_W@8
0000345A 00003462 _DnsNameCompare_W@8
00003467 000034B6 _Dns_NameCompare_W@8
000034BB 000034E1 _Dns_Ip4StringToAddress_A@8
0000350B 0000352A _Dns_IsRpcRecordType@4
000035CC 000035EE _R_ResolverQuery@20
00003634 00003655 _Dns_AllocZero@4
0000365A 000036A9 _Dns_GetCurrentTimeInSeconds@0
000036F2 0000370C _SearchList_Free@4
00003711 0000375C _FreeAdapterInformation@4
00003761 0000376C _DnsApiFree@4
00003771 000037F8 @Dns_Utf8ToUnicode@16
000037FD 00003877 _Dns_StringCopyAllocate@16
0000387C 0000389D _Dns_CreateIpArray@4
000038A2 000038C4 _NetInfo_Alloc@4
000038C9 00003936 _Dns_CreateStringCopy@8
0000393B 00003943 _DnsApiAlloc@4
00003948 00003969 _Dns_Alloc@4
0000396E 000039A5 _Dns_RecordFree@4
000039AA 000039C3 _AdapterInfo_Alloc@4
000039C8 000039F6 _SearchList_Copy@4
000039FB 00003A10 _Dns_AllocateRecord@4
00003A15 00003ABA _NetInfo_Copy@4
00003ABF 00003B3E _AdapterInfo_Copy@4
00003B43 00003B58 _Dns_CreateIpArrayCopy@4
00003B5D 00003BB3 _Dns_CopyAndExpandIpArray@12
00003BB8 00003BD9 _SearchList_Alloc@8
00003BDE 00003C3E _NetInfo_Clean@8
00003C43 00003CC4 _GetNextQueryName@4
00003CDA 00003D6A _Dns_ReadRecordStructureFromPacket@12
00003D79 00003E2D _ResetDnsServerPriority@12
00003E32 00003EA6 _bestDnsServerForNextSend@4
00003EAB 00003EEA _SetMsgRemoteSockaddr@12
00003EEF 00003F40 _Dns_GetUdpSocket@0
00003F45 00003F83 _Trace_LogQueryEvent@8
00003F88 00003FE9 _Dns_NameCompare_A@8
00003FEE 00004011 @Dns_IsNameFQDN@4
00004016 0000403C _Dns_NameCopyStandard_A@8
0000406C 00004086 _Dns_RecordTableIndexForType@4
0000408B 000040DE _Dns_WriteQuestionToMessage@16
000040E3 00004219 @Dns_WriteDottedNameToPacket@24
00004265 00004322 @Dns_ReadPacketName@28
0000433B 000046F6 _Dns_ParseMessage@20
000046FB 00004714 @Dns_IsStringAscii@4
00004719 00004774 _Dns_IsSamePacketQuestion@8
00004779 000047A3 @Dns_SkipPacketName@8
000047BB 000047DD _Dns_ExtractRecordsFromMessage@12
000047E2 00004831 _Dns_ExtractRecordsFromBuffer@16
00004836 0000485B _Dns_RecordListAppend@8
00004860 00004883 _IsEmptyDnsResponse@4
00004888 000048D3 _Dns_AllocateMsgBuf@4
000048D8 00004922 _Dns_InitializeMsgBuf@4
00004952 00004989 _Dns_NameCompare_UTF8@8
0000498E 00004B3F _Query_Main@4
00004B44 00004B73 _GetRecordsForLocalName@4
00004B78 00004C2B _GetLocalAddressRecord@4
00004C57 00004C70 _Dns_SplitHostFromDomainName_A@4
00004C80 00004C98 @DnsGetDomainName@4_0
00004C9D 00004D4B _Query_SingleName@4
00004D50 00004D76 _Trace_LogResponseEvent@12
00004D7B 00004E88 _Dns_SendAndRecv@24
00004E8D 00004ED1 _Dns_NormalizeAllRecordTtls@4
00004ED6 00004F60 _Dns_BuildPacket@28
