00002FB5 00002FD9 _memnuke@8
00002FDE 0000300E _checkContext@4
00003013 0000305D _allocContext@0
00003062 000030D4 _freeContext@4
000030D9 00003173 _initContext@20
00003178 00003189 _AddContext@4
0000318E 000031AB _addContextHash@8
000031B0 000031E8 _checkContextHash@8
000031ED 0000320A _addContextKey@8
0000320F 00003244 _checkContextKey@8
00003249 000032F3 _CPAcquireContext@16
000032F8 0000333D _CPReleaseContext@8
00003342 0000339D _DeletePersistedKey@8
000033A2 000034F5 _CPSetProvParam@16
000034FA 00003A4B _CPGetProvParam@20
00003A50 00003AD4 _FipsRNGPreHashCheck@4
00003AD9 00003B34 _RNG16BitStateCheck@12
00003B39 00003B44 _DestroyFips186@0
00003B49 00003B63 _fips186bignum_create_modulus@20
00003B68 00003B7F _fips186bignum_uncreate_modulus@8
00003B84 00003B9E _fips186bignum_to_modular@20
00003BA3 00003BF1 _fips186bignum_big_endian_bytes_to_digits@16
00003BF6 00003C50 _fips186bignum_digits_to_big_endian_bytes@16
00003C55 00003DFD _FIPS186Gen@32
00003E02 00003E22 _FIPS186GenRandom@20
00003E27 00003E57 _random_bytes@8
00003E5C 00003E8C _new_random_callback@12
00003E91 00003EDE _CPGenRandom@12
00003EE3 00003F42 _InitFips186@0
00003F47 00004095 _CPEncrypt@32
0000409A 000041D3 _CPDecrypt@28
000041D8 00004239 _CPSetHashParam@20
0000423E 000042A2 _CPGetHashParam@24
000042A7 00004368 _CPCreateHash@20
0000436D 000043E8 _CPHashData@20
000043ED 00004562 _CPHashSessionKey@16
00004567 000045B7 _CPDestroyHash@8
000045BC 0000467F _CPDuplicateHash@20
00004684 00004786 _FIsValidKey@16
0000478B 00004BBB _CPGenKey@16
00004BC0 00004D41 _CPDeriveKey@20
00004D46 00004D96 _CPDestroyKey@8
00004D9B 00004E7C _CPSetKeyParam@20
00004E81 00004EF4 _CPGetKeyParam@24
00004EF9 00005146 _CPExportKey@28
0000514B 00005481 _UnWrapSymKey@24
00005486 00005B76 _CPImportKey@24
00005B7B 00005CB1 _CPGetUserKey@12
00005CB6 00005D70 _CPDuplicateKey@20
00005D75 00005E8D _CPSignHash@28
00005E92 00005F67 _CPVerifySignature@28
00005F6C 00005FA5 _CheckNotWinPE@0
00005FAA 00006367 _AlgorithmCheck@0
0000636C 000063FB _DllMain@12
00006400 000064A9 _CheckForDefault@16
000064AE 000066F3 _SetCSPInfo@36
000066F8 000067CD _DllRegisterServer@0
000067D2 000067D5 _DllUnregisterServer@0
000067DA 000067F4 _initKeyDES@4
000067F9 0000688F _desGetKeyLength@16
00006894 000069A6 _desDeriveKey@12
000069AB 00006A56 _setDESParams@12
00006A5B 00006A80 _BN_MapError@4
00006A85 00006AAE _BN_DSA_verify_j@8
00006AB3 00006AE5 _BN_DSA_check_g@20
00006AEA 00006B13 _BN_DSA_parameter_verification@8
00006B18 00006B44 _BN_DSA_precompute@12
00006B49 00006B88 _BN_from_modular@12
00006B8D 00006BBB _BN_mod_exp@20
00006BC0 00006C02 _BN_to_modular@16
00006C07 00006C33 _BN_DSA_gen_x_and_y@12
00006C38 00006C61 _BN_DSA_precompute_pgy@8
00006C66 00006C95 _BN_DSA_key_generation@16
00006C9A 00006CC7 _GetEncryptedXSize@8
00006CCC 00006CF9 _EncryptPrivateKeyInMemory@8
00006CFE 00006D32 _CopyAndDecryptPrivateKey@12
00006D37 00006DCF _initKeyDH@20
00006DD4 00006DDF _allocDHKey@0
00006DE4 00006F72 _getDHParams@16
00006F77 000070C8 _DHExpo@16
000070CD 000071BB _UseDHKey@12
000071C0 0000740F _setDHParams@16
00007414 00007499 _dhGenerateKey@8
0000749E 00007757 _exportDHKey@36
0000775C 00007830 _CheckAndFixUpParams@4
00007835 00007A40 _DHPrivBlobToKey@20
00007A45 00007D3A _importDHKey@28
00007D3F 00007D86 _copyDHKey@16
00007D8B 00007DBD _BN_DSA_signature_verification@20
00007DC2 00007DF1 _BN_DSA_sign@16
00007DF6 00007E25 _BN_create_modulus@16
00007E2A 00007E50 _BN_DSA_key_import_fillin@4
00007E55 00007E77 _freeKeyDSS@4
00007E7C 00007EF4 _initKeyDSS@16
00007EF9 0000802B _SignAndVerifyWithKey@20
00008030 000080D4 _genDSSKeys@8
000080D9 00008228 _getDSSParams@16
0000822D 0000825E _copyDHPubKey@8
00008263 00008290 _copyDSSKey@8
00008295 000082CD _DSSValueExists@12
000082D2 00008530 _ExportDSSPrivBlob3@32
00008535 00008558 _CheckAllZeros@8
0000855D 00008703 _ComputeY@4
00008708 00008898 _ImportDSSPrivBlob3@16
0000889D 000089F1 _ExportDSSPubBlob3@20
000089F6 00008B41 _ImportDSSPubBlob3@16
00008B46 00008EB8 _exportDSSKey@28
00008EBD 000091EB _importDSSKey@24
000091F0 00009365 _dssGenerateSignature@20
0000936A 000094BF _setDSSParams@16
000094C4 0000951A _TestMD5@12
0000951F 0000956F _TestSHA1@12
00009574 00009595 _checkHash@4
0000959A 000095BE _allocHash@0
000095C3 00009659 _freeHash@4
0000965E 000096A7 _LocalInitHash@8
000096AC 0000986A _initHash@12
0000986F 000099D4 _DuplicateHash@8
000099D9 00009A1E _LocalFeedHashData@16
00009A23 00009D32 _feedHashData@12
00009D37 00009DA4 _LocalFinishHash@12
00009DA9 0000A0BF _finishHash@12
0000A0C4 0000A120 _getHashVal@12
0000A125 0000A1AE _getHashParams@16
0000A1B3 0000A350 _setHashParams@12
0000A355 0000A3BB _UnpickleKey@20
0000A3C0 0000A3E4 _checkKey@4
0000A3E9 0000A40A _allocKey@0
0000A40F 0000A4DC _freeKey@4
0000A4E1 0000A52C _CopyPubKey@8
0000A531 0000A703 _initKey@16
0000A708 0000A87C _ExpandHashToKeySize@20
0000A881 0000A97D _RCExpandKey@4
0000A982 0000AB30 _RCDeriveKey@28
0000AB35 0000AC98 _deriveKey@32
0000AC9D 0000AD44 _generateKey@20
0000AD49 0000AEE4 _DuplicateKey@16
0000AEE9 0000AF45 _GetCorrectCMSKeyLen@16
0000AF4A 0000B1E2 _ConvertAgreedKey@20
0000B1E7 0000B36F _SetSymKeyParam@16
0000B374 0000B4DD _setKeyParams@20
0000B4E2 0000B70B _GetSymParams@16
0000B710 0000B851 _getKeyParams@24
0000B856 0000B984 _ExportOpaqueBlob@12
0000B989 0000BAC9 _ImportOpaqueBlob@16
0000BACE 0000BB90 _GetRC4KeyForSymWrap@16
0000BB95 0000BBF5 _GetSymmetricKeyChecksum@12
0000BBFA 0000BD96 _BlockEncrypt@28
0000BD9B 0000BEFB _BlockDecrypt@24
0000BF00 0000BFCA _feedPlainText@20
0000BFCF 0000C076 _feedCypherText@16
0000C07B 0000C0BC _generateSignature@20
