000012F5 0000131E ___security_init_cookie
00001323 000013C7 ?_CreateDXSurface@@YGJPBU_GUID@@KPAUIUnknown@@ABU1@PAPAX23@Z
000013DD 000013F6 ?FinalConstruct@CDXTFilterFactory@@QAEJXZ
0000140D 00001442 ?FinalConstruct@CDXTFilterBehavior@@UAGJXZ
00001469 00001568 ??0CTableBuilder@@QAE@XZ
00001579 000015A0 ??0CDXMMXInfo@@QAE@XZ
000015AC 000015BD __SEH_epilog
000015C2 00001616 __DllMainStartup@12
0000161B 00001683 __DllMainCRTStartup@12
00001688 000016C0 _DllMain@12
000016C5 000016E5 ?Init@CComModule@ATL@@QAEXPAU_ATL_OBJMAP_ENTRY@2@PAUHINSTANCE__@@@Z
000016EA 00001712 ?HrInitializeCriticalSection@@YGJPAU_RTL_CRITICAL_SECTION@@@Z
00001724 0000175F __SEH_prolog
0000177F 00001796 _atexit
0000179B 000017C4 __onexit
000017C9 000017CF ___dllonexit
000017D4 00001846 __CRT_INIT@12
0000184B 00001851 __initterm
00001851 0000188E __chkstk
000027A1 000027C0 ?UpdateRegistryFromResourceD@CComModule@ATL@@QAGJIHPAU_ATL_REGMAP_ENTRY@2@@Z
000027C5 000027C8 ?GetControllingUnknown@CDXTFilterBehavior@@UAEPAUIUnknown@@XZ
000027CD 000027E3 ?FreeDataChain@CDXPlex@@QAEXXZ
000027E8 00002805 ?UpdateRegistry@CDXTransformFactory@@SGJH@Z
0000280A 00002827 ?UpdateRegistry@CDXTaskManager@@SGJH@Z
0000282C 00002850 ??_H@YGXPAXIHP6EPAX0@Z@Z
00002855 00002872 ?UpdateRegistry@CDXRasterizer@@SGJH@Z
00002877 0000288D ??0?$CComObjectRootEx@VCComMultiThreadModel@ATL@@@ATL@@QAE@XZ
00002892 000028BE ??_I@YGXPAXIHP6EX0@Z@Z
000028C3 000028E0 ?UpdateRegistry@CDX2D@@SGJH@Z
000028E5 00002902 ?UpdateRegistry@CDXSurface@@SGJH@Z
00002907 00002924 ?UpdateRegistry@CDXSurfaceModifier@@SGJH@Z
00002929 00002943 ??1CDXBaseSurface@@QAE@XZ
00002948 00002965 ?UpdateRegistry@CDXTFilter@@SGJH@Z
0000296A 00002987 ?UpdateRegistry@CDXTFilterBehavior@@SGJH@Z
0000298C 000029A9 ?UpdateRegistry@CDXTFilterCollection@@SGJH@Z
000029AE 000029CB ?UpdateRegistry@CDXTFilterFactory@@SGJH@Z
000029D0 000029DC _DllCanUnloadNow@0
000029E1 000029FE _DllGetClassObject@12
00002A03 00002A43 _DllEnumClassObjects@12
00002A48 00002A4B ?GetObjectDescription@?$CComCoClass@VCDXGradient@@$1?CLSID_DXGradient@@3U_GUID@@B@ATL@@SGPBGXZ
00002A50 00002A66 ??1CComClassFactory@ATL@@QAE@XZ
00002A6B 00002A84 ??1CDXTScale@@QAE@XZ
00002A89 00002AD2 ??1CDXSurfaceModifier@@QAE@XZ
00002AD7 00002B20 ??0?$CComContainedObject@VCDXTScale@@@ATL@@QAE@PAX@Z
00002BD7 00002BD8 ?OnReleaseObjects@CDXBaseNTo1@@UAEXXZ
00002BDD 00002BE5 ?OnExecute@CDXBaseNTo1@@UAEJPBU_GUID@@PBUDXBNDS@@PBUDXVEC@@@Z
00002BEA 00002C0A ?OnGetSurfacePickOrder@CDXBaseNTo1@@UAEXABV?$CDXBnds@JKUDXDBND@@$0A@@@AAKQAKQAE@Z
00002C0F 00002C2F ?SetOutputSize@CDXTScale@@UAGJUtagSIZE@@H@Z
00002C34 00002C89 ?SetScales@CDXTScale@@UAGJQAM@Z
00002C8E 00002CC4 ?GetScales@CDXTScale@@UAGJQAM@Z
00002CC9 00002D21 ?GetInterfaceSafetyOptions@?$IObjectSafetyImpl@VCDXBaseNTo1@@@ATL@@UAGJABU_GUID@@PAK1@Z
00002D26 00002D59 ?SetInterfaceSafetyOptions@?$IObjectSafetyImpl@VCDXBaseNTo1@@@ATL@@UAGJABU_GUID@@KK@Z
00002D5E 00002D78 ?QueryInterface@?$CComContainedObject@VCDXSurfaceModifier@@@ATL@@UAGJABU_GUID@@PAPAX@Z
00002D7D 00002DD0 ??0?$CComContainedObject@VCDXGradient@@@ATL@@QAE@PAX@Z
00002ED1 00002EE5 ?SetAppData@CDXBaseSurface@@UAGJK@Z
00002EEA 00002EF2 ?LockSurfaceDC@CDXBaseSurface@@UAGJPBUDXBNDS@@KKPAPAUIDXDCLock@@@Z
00002EF7 00002EFB ?OnGetObjectSize@CDXSurfaceModifier@@UAEKXZ
00002F00 00002F51 ??0?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@QAE@PAX@Z
0000308D 00003092 ?Notify@CDXTFilterBehavior@@UAGJJPAUtagVARIANT@@@Z
00003097 000030AC ?AddRef@?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@UAGKXZ
000030B1 000030C6 ?Release@?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@UAGKXZ
000030CB 000030E5 ?QueryInterface@?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@UAGJABU_GUID@@PAPAX@Z
000030EA 000030EE ?GetControllingUnknown@?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@UAEPAUIUnknown@@XZ
000030F3 00003114 ??_E?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@UAEPAXI@Z
00003119 0000312A ?SetEmpty@?$CDXBnds@JKUDXDBND@@$0A@@@QAEXXZ
0000312F 00003150 ??0?$CDXList@UTMTASKINFO@@AAU1@@@QAE@H@Z
00003155 00003165 ??0?$CDXArray@PAXPAX@@QAE@XZ
0000316A 00003188 ??0?$CDynArray@PAVCDXTFilterNode@@@@QAE@XZ
0000318D 000031A3 ??1?$CDynArray@PAVCDXTFilterNode@@@@UAE@XZ
000031A8 000031F3 ?SetItem@?$CDynArray@PAVCDXTFilterNode@@@@UAGJAAPAVCDXTFilterNode@@K@Z
000031F8 00003220 ?GetItem@?$CDynArray@PAVCDXTFilterNode@@@@UAGJPAPAPAVCDXTFilterNode@@K@Z
00003225 0000324D ?GetItem@?$CDynArray@PAVCDXTFilterNode@@@@UAGJAAPAVCDXTFilterNode@@K@Z
00003252 000032C7 ?ExpandTo@?$CDynArray@PAVCDXTFilterNode@@@@UAGJK@Z
000032CC 000032ED ??_E?$CDynArray@PAVCDXTFilterNode@@@@UAEPAXI@Z
