00005747 00005750 ?IsUnicode@CCompressedString@@QBEHXZ
00005755 00005759 ?GetRawData@CCompressedString@@QBEPAEXZ
0000575E 00005763 ?TranslateToNewHeap@CCompressedString@@QAEHPAVCFastHeap@@0@Z
00005768 00005774 ?LowerByte@CCompressedString@@KGDG@Z
00005779 00005788 ?UpperByte@CCompressedString@@KGDG@Z
0000578D 000057A1 ??4CCompressedString@@QAEAAV0@ABV0@@Z
000057A6 000057B0 ??0CFixedBSTRArray@@QAE@XZ
000057B5 000057B8 ?GetStart@CPropertyLookupTable@@QAEPAEXZ
000057BD 000057CF ?GetAt@CFixedBSTRArray@@QAEAAPAGH@Z
000057D4 000057E6 ?SetData@CCompressedStringList@@QAEXPAE@Z
000057EB 000057F0 ?GetNumProperties@CPropertyLookupTable@@QAEHXZ
000057F5 00005802 ?IsEmpty@CCompressedStringList@@QAEHXZ
00005807 00005814 ?Reset@CCompressedStringList@@QAEXXZ
00005819 00005827 ?GetFirst@CCompressedStringList@@QAEPAVCCompressedString@@XZ
0000582C 0000584A ?GetPrevious@CCompressedStringList@@QAEPAVCCompressedString@@PAV2@@Z
0000584F 0000586B ?EstimateExtraSpace@CCompressedStringList@@SGKPAVCCompressedString@@@Z
00005870 00005884 ?EstimateExtraSpace@CCompressedStringList@@SGKPBG@Z
00005889 000058A2 ?ComputeNecessarySpace@CCompressedStringList@@QAEKPAVCCompressedString@@@Z
000058A7 000058D7 ?CopyData@CCompressedStringList@@QAEPAEPAE@Z
000058DC 0000593F ?CreateWithExtra@CCompressedStringList@@QAEPAEPAEPAVCCompressedString@@@Z
00005944 00005952 ?IsOutOfLine@CFastHeap@@IAEHXZ
00005957 0000595D ?GetInLineLength@CFastHeap@@IAEPAKXZ
00005962 00005977 ?GetHeaderLength@CFastHeap@@IAEKXZ
0000597C 0000598B ?SetContainer@CFastHeap@@QAEXPAVCHeapContainer@@@Z
00005990 000059A0 ?GetStart@CFastHeap@@QAEPAEXZ
000059A5 000059B4 ?Empty@CFastHeap@@QAEXXZ
000059B9 000059C0 ?GetUsedLength@CFastHeap@@QAEKXZ
000059C5 000059D7 ?SetUsedLength@CFastHeap@@QAEXK@Z
000059DC 00005A0E ?ResolveHeapPointer@CFastHeap@@QAEPAEK@Z
00005A13 00005A24 ?IsFakeAddress@CFastHeap@@SGHK@Z
00005A29 00005A3A ?GetIndexFromFake@CFastHeap@@SGHK@Z
00005A3F 00005A50 ?MakeFakeFromIndex@CFastHeap@@SGKH@Z
00005A55 00005A78 ?ResolveString@CFastHeap@@QAEPAVCCompressedString@@K@Z
00005A7D 00005A90 ?AugmentRequest@CFastHeap@@IAEKKK@Z
00005A95 00005AA3 ?AbsoluteToHeap@CFastHeap@@IAEKPAE@Z
00005AA8 00005AC1 ??4CMethodDescription@@QAEAAU0@ABU0@@Z
00005AC6 00005ACC ?GetLength@CEmbeddedObject@@QAEKXZ
00005AD1 00005AE7 ??4CEmbeddedObject@@QAEAAV0@ABV0@@Z
00005AEC 00005AF2 ??0CType@@QAE@XZ
00005AF7 00005B07 ??0CType@@QAE@K@Z
00005B0C 00005B14 ?GetLength@CType@@QAEKXZ
00005B19 00005B2A ?GetBasic@CType@@SGKK@Z
00005B2F 00005B37 ?GetBasic@CType@@QAEKXZ
