0000857E 00008581 nullsub_10
00008581 00008584 nullsub_11
00008584 00008587 nullsub_12
000085A4 000085A7 nullsub_8
00013FB6 00013FB7 nullsub_7
00016960 00016963 nullsub_13
00033837 00033838 nullsub_1
0004A0C6 0004A0D2 DllCanUnloadNow
0004A0D2 0004A0EB DllGetClassObject
0004A1BE 0004A1E0 DllRegisterServer
0004A574 0004A596 DllUnregisterServer
0004E37D 0004E3C1 DialogFunc
0004F45F 0004F460 nullsub_2
0005C3A7 0005C3BB DllEntryPoint
0005D23D 0005D249 Proc
0005D4A9 0005D4AA nullsub_3
00060175 00060185 fptc
00060515 00060518 nullsub_4
0007B516 0007B519 nullsub_9
0007CFFC 0007D002 waveInGetNumDevs
0007D14F 0007D160 StartAddress
00092A60 00092A61 nullsub_5
00094B30 00094B31 nullsub_6
00098C40 00098C46 PrintDlgA
00098C46 00098C4C setsockopt
00098C4C 00098C52 htonl
00098C52 00098C58 gethostbyname
00098C58 00098C5E inet_addr
00098C5E 00098C64 htons
00099600 0009962F __alloca_probe
00099660 00099666 CreateURLMoniker
00099666 0009966C RegisterBindStatusCallback
0009966C 00099672 HlinkSimpleNavigateToMoniker
