00004B65 00004B6A ??4_Lockit@std@@QAEAAV01@ABV01@@Z
00004B6F 00004B88 ??4ParsedObjectPath@@QAEAAU0@ABU0@@Z
00004B8D 00004BA6 ??4CObjectPathParser@@QAEAAV0@ABV0@@Z
00004BAB 00004BB3 ??_FCObjectPathParser@@QAEXXZ
00004BB8 00004BD2 ?SafeStrlen@CHString@@KGHPBG@Z
00004BD7 00004BF5 ??0CHString@@QAE@PBE@Z
00004BFA 00004C03 ?GetLength@CHString@@QBEHXZ
00004C08 00004C18 ?IsEmpty@CHString@@QBEHXZ
00004C1D 00004C2F ?GetAt@CHString@@QBEGH@Z
00004C34 00004C37 ?GetData@CHStringArray@@QBEPBVCHString@@XZ
00004C3C 00004C45 ?GetAllocLength@CHString@@QBEHXZ
00004C4A 00004C61 ??4CHString@@QAEABV0@PBE@Z
00004C66 00004C7D ??4CHString@@QAEABV0@PAV0@@Z
00004C82 00004C9C ??4CHString@@QAEABV0@D@Z
00004CA1 00004CBB ??YCHString@@QAEABV0@D@Z
00004CC0 00004CD6 ?CompareNoCase@CHString@@QBEHPBG@Z
00004CDB 00004CF1 ?Collate@CHString@@QBEHPBG@Z
00004CF6 00004CFB ?GetUpperBound@CHStringArray@@QBEHXZ
00004D00 00004D0A ?RemoveAll@CHStringArray@@QAEXXZ
00004D0F 00004D47 ?GetAt@CHStringArray@@QBE?AVCHString@@H@Z
00004D4C 00004D65 ?SetAt@CHStringArray@@QAEXHPBG@Z
00004D6A 00004D83 ?Add@CHStringArray@@QAEHPBG@Z
00004D88 00004DBA ??ACHStringArray@@QBE?AVCHString@@H@Z
00004DBF 00004DD7 ??4CHPtrArray@@QAEAAV0@ABV0@@Z
00004DDC 00004DF3 ??0WBEMTimeSpan@@QAE@QAG@Z
00004DF8 00004E19 ??9WBEMTimeSpan@@QBEHABV0@@Z
00004E1E 00004E41 ??OWBEMTime@@QBEHABV0@@Z
00004E46 00004E56 ?IsOk@WBEMTime@@QBE_NXZ
00004E5B 00004E63 ?Clear@WBEMTime@@QAEXXZ
00004E68 00004E72 ??0WBEMTimeSpan@@QAE@XZ
00004E77 00004E8E ??0WBEMTime@@QAE@QAG@Z
00004E93 00004EAA ??0WBEMTime@@QAE@ABU_SYSTEMTIME@@@Z
00004EAF 00004EC6 ??0WBEMTime@@QAE@ABU_FILETIME@@@Z
00004ECB 00004EE2 ??0WBEMTime@@QAE@ABUtm@@@Z
00004EE7 00004EFE ??0WBEMTime@@QAE@ABJ@Z
00004F03 00004F24 ??8WBEMTimeSpan@@QBEHABV0@@Z
00004F29 00004F4C ??MWBEMTime@@QBEHABV0@@Z
00004F51 00004F74 ??NWBEMTime@@QBEHABV0@@Z
00004F79 00004F9C ??PWBEMTime@@QBEHABV0@@Z
00004FA1 00004FA7 ?GetTime@WBEMTimeSpan@@QBE_KXZ
00004FAC 00004FC4 ??4WBEMTime@@QAEAAV0@ABV0@@Z
00004FC9 00004FF8 ??0CThreadBase@@QAE@ABV0@@Z
00004FFD 00005026 ??4CThreadBase@@QAEAAV0@ABV0@@Z
0000502B 00005033 ??_FCThreadBase@@QAEXXZ
00005038 00005086 ??_ECThreadBase@@UAEPAXI@Z
0000508B 00005096 ?Unlock@CThreadBase@@AAEXXZ
0000509B 000050AB ?BeginWrite@CThreadBase@@QAEHK@Z
000050B0 000050BB ?Lock@CThreadBase@@AAEXXZ
000050C0 0000510D ??0MethodContext@@QAE@ABV0@@Z
00005112 0000513E ??4MethodContext@@QAEAAV0@ABV0@@Z
00005143 00005191 ??_EMethodContext@@UAEPAXI@Z
00005196 000051B8 ?_Free@Data_t@_bstr_t@@AAEXXZ
