00005973 00005980 _NtGdiFlush@0
00005985 0000598E _GdiFlush@0
00005993 000059E0 _pldcGet@4
000059E5 00005A64 _GdiReleaseDC@4
00005A69 00005B5C _GetDeviceCaps@8
00005B70 00005D67 _SelectObject@8
00005D6C 00005D72 _GetAppCompatFlags2@4
00005D77 00005E24 _SetTextColor@8
00005E29 00005ED6 _SetBkColor@8
00005EDB 00005F65 _SetBkMode@8
00005F6A 00005F86 _bDIBSectionSelected@4
00005FCC 00005FDB _NtGdiSelectBitmap@8
00005FE0 00006049 _CreateCompatibleDC@4
0000604E 0000605D _NtGdiCreateCompatibleDC@4
00006062 00006170 _hGetPEBHandle@8
00006175 000061A0 _CreateBrush@20
000061A5 000061BC _CreateSolidBrush@4
000061C1 000061EA _GetStockObject@4
000061EF 00006298 _CreateBitmap@20
0000629D 000062AC _NtGdiCreateBitmap@20
000062B1 00006455 _PolyPatBlt@20
00006468 00006477 _NtGdiCreateSolidBrush@8
0000647C 000064C5 _GdiValidateHandle@4
0000652C 0000653B _NtGdiGetStockObject@4
00006587 000065A7 __DllMainCRTStartupForGS@12
000065B3 000065F3 _GdiProcessShutdown@0
000065F8 00006607 _NtGdiConsoleTextOut@16
0000660C 000067B3 _GdiProcessSetup@0
000067B8 000067C5 _NtGdiInit@0
000067CA 000067D9 _NtGdiQueryFontAssocInfo@4
000067DE 00006807 ___security_init_cookie
0000680C 000069CB _bBatchTextOut@40
000069D0 00006A27 _GetCodePage@4
00006A2C 00006A3B _NtGdiGetCharSet@4
00006A56 00006A88 _IntersectClipRect@20
00006A8D 00006A9C _NtGdiIntersectClipRect@20
00006AA1 00006AA9 _GetClipBox@8
00006AAE 00006ABD _NtGdiGetAppClipBox@8
00006AC2 00006AD1 _NtGdiGetRandomRgn@12
00006AD6 00006B08 _GetClipRgn@8
00006B0D 00006B29 _GetTextExtentPointW@16
00006B2E 00006B99 _GetLayout@4
00006B9E 00006BE1 _GdiDrawStream@12
00006BE6 00006BF5 _NtGdiDrawStream@12
00006BFA 00006DB7 _DeleteObject@4
00006E11 00006E20 _NtGdiDeleteObjectApp@4
00006E5F 00006E75 _DeleteDC@4
00006E7A 00006F2C _InternalDeleteDC@8
00006F31 00006F69 _IcmReleaseCachedColorSpace@4
00006F79 00006FF1 _BitBlt@36
00006FF6 00007005 _NtGdiBitBlt@44
0000700A 000070E1 _CreateCompatibleBitmap@12
000070E6 000070F5 _NtGdiCreateCompatibleBitmap@12
000070FA 00007237 _pcfLocateCFONT@24
0000723C 00007449 _bComputeTextExtent@28
00007496 0000768D _GetTextExtentPointWInternal@20
000076B5 00007772 _DeleteRegion@4
00007786 0000786F _CreateRectRgn@16
00007874 00007A68 _ExtSelectClipRgn@12
00007A6D 00007A7C _NtGdiExtSelectClipRgn@12
00007AA0 00007AB6 _SelectClipRgn@8
00007ABB 00007B47 _OffsetWindowOrgEx@16
00007B4C 00007BFC _SetViewportOrgEx@16
00007C01 00007C74 _GetViewportOrgEx@8
00007C79 00007CEC _GetWindowExtEx@8
00007CF1 00007D65 _GetViewportExtEx@8
00007D6A 00007DB4 _bGetTextMetricsWInternal@16
00007DB9 00007E51 _GetTextMetricsW@8
00007E56 00007EA7 _GetHFONT@4
00007EAC 00007F37 _TextOutW@20
00007F3C 00007F55 @__security_check_cookie@4
00007F60 00007F6F _NtGdiExtGetObjectW@12
00007F9D 00007FB9 _GetTextExtentPoint32W@16
00007FBE 00007FCD _NtGdiExtTextOutW@36
00007FD2 00007FE1 _NtGdiSelectFont@8
00008030 0000806B __SEH_prolog
00008070 00008081 __SEH_epilog
00008086 000080A7 _ExtTextOutW@32
0000813A 00008149 _NtGdiGetDCDword@12
0000814E 000081D1 _GetObjectType@4
000081D6 000081F9 _GetDCDWord@12
0000821B 00008223 _RectVisible@8
00008228 00008237 _NtGdiRectVisible@8
0000827C 00008298 _CreateRectRgnIndirect@4
000082C3 000082D2 _NtGdiPolyPolyDraw@20
000082D7 00008324 _GetDCObject@8
00008329 00008338 _NtGdiGetDCObject@8
0000833D 0000839A _GetCurrentObject@8
0000839F 000083AE _NtGdiPolyPatBlt@20
000083B3 0000840E _GetObjectW@12
00008413 00008454 _cjGetNonFontObject@12
00008488 00008497 _NtGdiGetTextCharsetInfo@12
0000850E 00008545 _vDeleteLOCALFONT@4
0000854A 00008576 _vFreeCFONTCrit@4
00008597 0000862D _SetStretchBltMode@8
00008632 0000865E _SelectPalette@12
00008663 00008672 _NtUserSelectPalette@12
00008677 00008682 _cjBitmapBitsSize@4
00008687 00008696 _NtGdiDoPalette@24
0000869B 000087E7 _PatBlt@24
000087EC 00008923 _SetBrushOrgEx@16
00008928 00008AF2 _ExtTextOutInternalA@36
00008AF7 00008B14 _IcmRestoreDC@12
00008B19 00008BC6 _RestoreDC@8
00008BCB 00008BDA _NtGdiRestoreDC@8
00008BDF 00008C63 _SaveDC@4
00008C68 00008C77 _NtGdiSaveDC@4
00008C7C 00008D11 _SetTextAlign@8
00008D16 00008D92 _GetObjectA@12
00008D97 00008DAC _GetRegionData@12
00008DAC 00008DBB _NtGdiGetRegionData@12
00008E05 00008ED8 _SetWindowOrgEx@16
00008EDD 00008F47 _GetMapMode@4
00008F4C 00008F9B _GetBkColor@4
00008FA0 00008FEF _GetTextColor@4
00008FF4 00009003 _NtGdiSetLayout@12
00009008 0000908F _SetLayout@8
00009094 000090BC _GdiConvertAndCheckDC@4
000090DD 0000910F _ExcludeClipRect@20
00009114 00009123 _NtGdiExcludeClipRect@20
00009259 00009288 _plfCreateLOCALFONT@4
0000928D 00009300 _CreateFontIndirectExW@4
00009305 00009314 _NtGdiHfontCreate@20
0000938F 000093E1 _CreateFontIndirectW@4
000093E6 0000940B _vConvertLogFontW@8
00009410 000094A4 _SetMapMode@8
000094EB 000094FA _NtGdiGetTextExtent@20
000095D8 00009736 _CombineRgn@16
0000973B 0000974A _NtGdiCombineRgn@16
0000974F 000097FB _SetRectRgn@20
00009800 0000987C _iRectRelation@8
000098D8 000099CE _OffsetRgn@12
000099D3 000099E2 _NtGdiOffsetRgn@12
000099E7 00009A56 _GetBrushOrgEx@8
00009A5B 00009B2D _pbmiConvertInfo@16
00009B41 00009BB2 _CalculateColorTableSize@24
00009BB7 00009BF6 _cjBitmapScanSize@8
