00001E49 00001E6B ?FValidInterface@@YGHPAX@Z
00001E70 00001ECA ?HrCallOnDataAvailable@@YGJPAUIBindStatusCallback@@PAUtagSTGMEDIUM@@@Z
00001ECF 00001EE6 ?CompObjFree@@YGXPAX@Z
00001EEB 00001F12 ?StubCreateFormatEnumerator@@YGJIPAUtagFORMATETC@@PAPAUIEnumFORMATETC@@@Z
00001F17 00001F3E ?StubRegisterFormatEnumerator@@YGJPAUIBindCtx@@PAUIEnumFORMATETC@@K@Z
00001F43 00001F6A ?StubRegisterBindStatusCallback@@YGJPAUIBindCtx@@PAUIBindStatusCallback@@PAPAU2@K@Z
00001F6F 00002004 ?HrUrlmonBindToStorage@@YGJPAUIMoniker@@PAUIBindStatusCallback@@PAUIBindCtx@@PAPAX@Z
00002009 00002045 ?CleanupStgMedium@@YGXPAUtagSTGMEDIUM@@@Z
0000204A 000021E7 ?HrResolveMonikerForData@@YGJPAUIMoniker@@PAUIBindCtx@@KPAUtagFORMATETC@@PAUIBindStatusCallback@@0@Z
000021EC 0000223F ?QueryInterface@BCW@@EAGJABU_GUID@@PAPAX@Z
00002244 00002256 ?AddRef@BCW@@EAGKXZ
0000225B 00002280 ?RegisterObjectBound@BCW@@EAGJPAUIUnknown@@@Z
00002285 000022AA ?RevokeObjectBound@BCW@@EAGJPAUIUnknown@@@Z
000022AF 000022CE ?ReleaseBoundObjects@BCW@@EAGJXZ
000022D3 000022F8 ?SetBindOptions@BCW@@EAGJPAUtagBIND_OPTS@@@Z
000022FD 00002322 ?GetBindOptions@BCW@@EAGJPAUtagBIND_OPTS@@@Z
00002327 0000234E ?GetRunningObjectTable@BCW@@EAGJPAPAUIRunningObjectTable@@@Z
00002353 0000237B ?RegisterObjectParam@BCW@@EAGJPAGPAUIUnknown@@@Z
00002380 000023A8 ?GetObjectParam@BCW@@EAGJPAGPAPAUIUnknown@@@Z
000023AD 000023D2 ?EnumObjectParam@BCW@@EAGJPAPAUIEnumString@@@Z
000023D7 000023FA ?RevokeObjectParam@BCW@@EAGJPAG@Z
000023FF 00002413 ??1BCW_ROT@@QAE@XZ
