00009C85 00009C8E ??1CComBSTR@ATL@@QAE@XZ
00009C93 00009CB9 ??1stringdispid@CComTypeInfoHolder@ATL@@QAE@XZ
00009CBE 00009D0C ??_Estringdispid@CComTypeInfoHolder@ATL@@QAEPAXI@Z
00009D11 00009D48 _PrxDllGetClassObject@12
00009D4D 00009D59 _PrxDllCanUnloadNow@0
00009D5E 00009D74 _CStdStubBuffer_Release@4
00009D79 00009D7A __purecall
00009D7F 00009D99 _PrxDllMain@12
00009D9E 00009DC5 _PrxDllRegisterServer@0
00009DCA 00009DCF ?UpdateRegistry@FwAuthApp@@SGJH@Z
00009DD4 00009E08 ?InlineIsEqualGUID@@YGHABU_GUID@@0@Z
00009E0D 00009E25 ?FreeLibrary@CXPSP2Resource@@SGXXZ
00009E2A 00009E2D ?GetObjectDescription@?$CComCoClass@VFwMgr@@$1?_GUID_304ce942_6e39_40d8_943a_b913c40c9cd4@@3U__s_GUID@@B@ATL@@SGPBGXZ
00009E32 00009E5A ?AtlA2WHelper@@YGPAGPAGPBDHI@Z
00009E5F 00009E78 ?AtlA2WHelper@@YGPAGPAGPBDH@Z
00009E7D 00009E87 ??1CComAutoCriticalSection@ATL@@QAE@XZ
00009E8C 00009EBD ?ReplaceSingleQuote@CComModule@ATL@@SGXPAGPBG@Z
00009EC2 00009F02 ??0?$CComObject@VFwMgr@@@ATL@@QAE@PAX@Z
00009F07 00009F47 ??0?$CComObject@VFwOpenPort@@@ATL@@QAE@PAX@Z
00009F4C 00009F8C ??0?$CComObject@VFwAuthApp@@@ATL@@QAE@PAX@Z
00009F91 00009FAA ?Close@CRegKey@ATL@@QAEJXZ
00009FAF 00009FFF ?Create@CRegKey@ATL@@QAEJPAUHKEY__@@PBGPAGKKPAU_SECURITY_ATTRIBUTES@@PAK@Z
0000A004 0000A03B ?Open@CRegKey@ATL@@QAEJPAUHKEY__@@PBGK@Z
0000A040 0000A05E ?SetValue@CRegKey@ATL@@QAEJKPBG@Z
0000A063 0000A090 ?SetValue@CRegKey@ATL@@QAEJPBG0@Z
0000A095 0000A0B4 ??0CExpansionVector@ATL@1@QAE@XZ
0000A0B9 0000A0C3 ??1CExpansionVector@ATL@1@QAE@XZ
0000A0C8 0000A1C3 ?Add@CExpansionVector@ATL@2@QAEJPBG0@Z
0000A1C8 0000A205 ?Find@CExpansionVector@ATL@2@QAEPBGPAG@Z
0000A20A 0000A253 ?ClearReplacements@CExpansionVector@ATL@2@QAEJXZ
0000A258 0000A274 ?EndOfVar@CRegParser@ATL@2@IAEHXZ
0000A279 0000A29D ??0CParseBuffer@CRegParser@ATL@2@QAE@H@Z
0000A2A2 0000A2AC ??1CParseBuffer@CRegParser@ATL@2@QAE@XZ
0000A2B1 0000A2F1 ?AddChar@CParseBuffer@CRegParser@ATL@3@QAEHPBG@Z
