000011FD 00001268 __CRT_INIT@12
0000126D 000012D2 __DllMainCRTStartup@12
000012D7 00001343 _DllMain@12
00001403 0000140F ??1SYMSRV@LOCATOR@@QAE@XZ
00001436 00001448 ?tlsFree@@YGXXZ
000014B3 000014B9 ??_V@YAXPAX@Z
000020F1 00002107 ?tlsAlloc@@YGHXZ
0000210C 00002135 ___security_init_cookie
0000213A 00002140 __initterm
000021D0 00002219 ?hashTypeLeaf@@YAII@Z
00002220 00002280 ?hashSymRecTyp@@YAII@Z
00002293 000022F3 ??0InitHash@@QAE@XZ
00003423 00003440 ??0SysPage@pdb_internal@@QAE@XZ
00003466 0000347D _atexit
00003482 000034AB __onexit
000034B0 000034B6 ___dllonexit
000034B6 000034F1 __SEH_prolog
000034F1 00003502 __SEH_epilog
0000414A 00004197 _RtlpImageNtHeader@4
000041A9 000041C5 _ImageDirectoryEntryToData@16
000041CA 0000421A _ImageDirectoryEntryToDataEx@20
0000421F 0000426E ?ImageDirectoryEntryToData32@@YGPAXPAXEGPAKPAPAU_IMAGE_SECTION_HEADER@@PAU_IMAGE_FILE_HEADER@@PAU_IMAGE_OPTIONAL_HEADER@@@Z
00004273 00004295 _UnMapIt@4
0000429A 00004330 ?FindCertificate@@YGHPAU_LOADED_IMAGE@@KPAPAU_WIN_CERTIFICATE@@@Z
00004341 000043E3 _ImageGetCertificateData@16
000043E8 0000446F _MapIt@12
00004474 0000455D _CalculateImagePtrs@4
0000456C 000046F6 _ChkSum@12
000046F6 00004733 __chkstk
000053F9 00005413 _pMemAlloc@4
00005418 00005438 _pMemFree@4
0000543D 00005463 _CharNext@4
00005468 000054B8 _CharPrev@8
000054BD 000054CC ?AllocIt@@YAPAXI@Z
000054D1 000054E0 ?FreeIt@@YAXPAX@Z
000054E5 000055F0 _UnDecorateSymbolName@16
00005639 00005694 _GetTimestampForLoadedLibrary@4
000056A9 000056BC ?tlsMemFree@@YGXXZ
000056C1 00005702 _OptionalHeadersFromNtHeaders@12
00005707 00005789 ?BindpCaptureImportModuleName@@YGPADPAD@Z
0000578E 0000580E ?BindpAddImportDescriptor@@YGPAU_IMPORT_DESCRIPTOR@@PAU_BINDP_PARAMETERS@@PAPAU1@PAU_IMAGE_IMPORT_DESCRIPTOR@@PADPAU_LOADED_IMAGE@@@Z
00005813 0000593B ?BindpCreateNewImportSection@@YGPAU_IMAGE_BOUND_IMPORT_DESCRIPTOR@@PAU_BINDP_PARAMETERS@@PAPAU_IMPORT_DESCRIPTOR@@PAK@Z
00005940 00005B2C ?BindpExpandImageFileHeaders@@YGHPAU_BINDP_PARAMETERS@@PAU_LOADED_IMAGE@@K@Z
00005B31 00005B70 ?BindpRvaToVa@@YGPAXPAU_BINDP_PARAMETERS@@KPAU_LOADED_IMAGE@@@Z
00005B75 00005BC2 ?SetIdataToRo@@YGXPAU_LOADED_IMAGE@@@Z
00005BD0 00005C83 _GetImageUnusedHeaderBytes@8
00005C88 00006050 ?BindpAddForwarderReference@@YGPAEPAU_BINDP_PARAMETERS@@PAD1PAU_IMPORT_DESCRIPTOR@@1PAEPAH@Z
0000605A 000063A4 ?BindpLookupThunk@@YGHPAU_BINDP_PARAMETERS@@PAU_IMAGE_THUNK_DATA32@@PAU_LOADED_IMAGE@@112PAU_IMAGE_EXPORT_DIRECTORY@@PAU_IMPORT_DESCRIPTOR@@PADPAPAK@Z
000063A9 00006A9D ?BindpWalkAndProcessImports@@YGXPAU_BINDP_PARAMETERS@@PAU_LOADED_IMAGE@@PADPAH@Z
00006AB1 00006EB7 _BindImageEx@20
00006EC9 00006EE4 _BindImage@12
00006EE9 00006FAC _CheckSumMappedFile@16
00006FC1 00007059 _MapFileAndCheckSumA@12
0000705E 000070A3 _TouchFileTimes@8
000070A8 00007106 _MapFileAndCheckSumW@12
0000710B 00007110 ?FailStackWalk@@YGHKPAX0PAU_tagSTACKFRAME@@0P6GH0K0KPAK@ZP6GPAX0K@ZP6GK0K@ZP6GK00PAU_tagADDRESS@@@Z@Z
00007115 0000711A ?FailSymGetLineFromName@@YGHPAXPAD1KPAJPAU_IMAGEHLP_LINE@@@Z
0000711F 00007124 ?FailSymGetSymNext64@@YGHPAXPAU_IMAGEHLP_SYMBOL64@@@Z
00007129 00007130 ?FailSymGetModuleBase64@@YG_KPAX_K@Z
00007135 0000713A ?FailSymEnumerateModules@@YGHPAXP6GHPADK0@Z0@Z
0000713F 00007144 ?FailSymEnumerateSymbols@@YGHPAXKP6GHPADKK0@Z0@Z
00007149 0000714E ?FailSymEnumSym@@YGHPAX_KP6GHPAU_SYMBOL_INFO@@K0@Z0@Z
00007153 0000715A ?FailSymLoadModule64@@YG_KPAX0PAD1_KK@Z
0000715F 00007164 ?FailUnmapDebugInformation@@YGHPAU_IMAGE_DEBUG_INFORMATION@@@Z
00007169 000071AE ?FindFailureProc@@YGP6GHXZIPBD@Z
000071B3 00007262 ?ParsePath@@YGXPAD00@Z
00007267 00007384 ?ImagehlpDelayLoadHook@@YGP6GHXZIPAUDelayLoadInfo@@@Z
00007395 000073A0 _ImageNtHeader@4
000073A5 00007444 ?ImageDirectoryEntryToDataRom@@YGPAXPAXEGPAKPAPAU_IMAGE_SECTION_HEADER@@PAU_IMAGE_FILE_HEADER@@PAU_IMAGE_ROM_OPTIONAL_HEADER@@@Z
00007458 000074F4 ?ImageDirectoryEntryToData64@@YGPAXPAXEGPAKPAPAU_IMAGE_SECTION_HEADER@@PAU_IMAGE_FILE_HEADER@@PAU_IMAGE_OPTIONAL_HEADER64@@@Z
000074F9 00007537 _ImageRvaToSection@12
0000753C 00007590 _ImageRvaToVa@16
00007595 00007662 _GrowMap@8
00007667 000076A2 _GetImageConfigInformation@8
000076A7 00007725 _SetImageConfigInformation@8
0000772A 00007750 _UnMapAndLoad@4
00007755 00007783 _ImageUnload@4
00007788 000077BC _UnloadAllImages@0
000077C1 00007938 _MapAndLoad@20
0000794A 00007B55 _ImageLoad@8
00007B5A 00007BAE ?AdjImageBaseSize@@YGXPAK0H@Z
00007C27 00007DBB ?xxLdrProcessRelocationBlock64@@YGPAU_IMAGE_BASE_RELOCATION@@KKPAG_J@Z
00007DEC 00007F99 ?RelocateImage@@YGHPAU_LOADED_IMAGE@@_KPA_KK@Z
00007FD1 0000841E _ReBaseImage64@44
00008423 0000847D _ReBaseImage@44
00008482 0000972F _SplitSymbols@16
0000973A 00009854 _UpdateDebugInfoFileEx@20
00009859 00009AA6 _RemovePrivateCvSymbolicEx@16
00009AF1 00009BF2 _CopyPdb@12
00009C09 00009C27 _UpdateDebugInfoFile@16
00009C2C 00009C5E _RemovePrivateCvSymbolic@12
00009C63 00009C79 ??0EXCLUDE_LIST@@QAE@XZ
00009C7E 00009CA1 ??1EXCLUDE_LIST@@QAE@XZ
00009CA6 00009CCD ?Init@EXCLUDE_LIST@@QAEXPAU_LOADED_IMAGE@@P6GHPAXPAEK@Z1@Z
00009CD2 00009D2C ?Add@EXCLUDE_LIST@@QAEXKKW4ADDRTYPE@@@Z
00009D31 00009DC0 ?Emit@EXCLUDE_LIST@@QAEHPAEK@Z
00009DC5 0000A249 _ImageGetDigestStream@16
0000A261 0000A40F _ImageAddCertificate@12
0000A421 0000A517 _ImageRemoveCertificate@8
0000A529 0000A650 _ImageEnumerateCertificates@20
0000A661 0000A6EE _ImageGetCertificateHeader@12
0000A701 0000A712 @__security_check_cookie@4
0000A712 0000A80A ___report_gsfailure
0000A80F 0000A816 __imp_load__EnumerateLoadedModules64@12
0000A816 0000A827 __tailMerge_DBGHELP
0000A82C 0000A832 _EnumerateLoadedModules64@12
0000A837 0000A83E __imp_load__EnumerateLoadedModules@12
0000A843 0000A849 _EnumerateLoadedModules@12
0000A84E 0000A855 __imp_load__FindDebugInfoFile@12
0000A85A 0000A860 _FindDebugInfoFile@12
0000A865 0000A86C __imp_load__FindDebugInfoFileEx@20
0000A871 0000A877 _FindDebugInfoFileEx@20
0000A87C 0000A883 __imp_load__FindExecutableImage@12
0000A888 0000A88E _FindExecutableImage@12
0000A893 0000A89D __imp_load__FindExecutableImageEx@20
0000A8A2 0000A8A8 _FindExecutableImageEx@20
0000A8AD 0000A8B7 __imp_load__FindFileInPath@32
0000A8BC 0000A8C2 _FindFileInPath@32
0000A8C7 0000A8D1 __imp_load__FindFileInSearchPath@28
0000A8D6 0000A8DC _FindFileInSearchPath@28
0000A8E1 0000A8EB __imp_load__ImagehlpApiVersion@0
0000A8F0 0000A8F6 _ImagehlpApiVersion@0
0000A8FB 0000A905 __imp_load__ImagehlpApiVersionEx@4
0000A90A 0000A910 _ImagehlpApiVersionEx@4
0000A915 0000A91F __imp_load__MakeSureDirectoryPathExists@4
