00002734 000027A2 GetIpStatsFromStack
00002841 000028CA GetInterfaceInfo
000028CF 00002A71 GetAdapterOrderMap
00002D18 00002D4B GetUniDirectionalAdapterInfo
00003A6E 00003B03 GetIpAddrTableFromStack
00003B08 00003B75 GetIfEntryFromStack
00003B9C 00003C78 GetIpAddrTable
00003E54 00003EB8 GetAdaptersAddresses
00004B79 00004CD1 IcmpSendEcho
00004CD6 00004D2E IcmpParseReplies
00004D33 00004D59 IcmpCloseHandle
00004D5E 00004DDC IcmpCreateFile
0000505D 0000513E GetIfTableFromStack
00005143 00005269 GetIfTable
0000526E 000052BD GetNumberOfInterfaces
000052DC 000052E2 MprAdminIsServiceRunning
0000530A 0000536F DllEntryPoint
000056B7 000056BD _initterm
00005877 0000587D __dllonexit
00005C9C 00005D35 AllocateAndGetArpEntTableFromStack
00006051 000061CD GetAdaptersInfo
00006300 0000637E NotifyAddrChange
00006383 000063EA AllocateAndGetIpAddrTableFromStack
000063EF 00006438 GetIfEntry
00006769 00006884 GetPerAdapterInfo
000069C3 000069C9 HrLanConnectionNameFromGuidOrPath
00006A73 00006AE3 NhGetInterfaceNameFromDeviceGuid
00006AE8 00006BEF NhpAllocateAndGetInterfaceInfoFromStack
00006F4B 00006F51 ??3@YAXPAX@Z
00006FB4 00007048 AllocateAndGetIfTableFromStack
000070AA 0000712C AllocateAndGetIpForwardTableFromStack
00007131 00007281 GetIpForwardTableFromStack
0000964C 0000965D GetFriendlyIfIndex
00009962 00009AC8 GetIpNetTable
00009ACD 00009B8E GetIpStatisticsEx
00009B93 00009C25 GetIpStatistics
00009C2A 00009C69 GetIcmpStatistics
00009C6E 00009D0F GetIcmpStatisticsEx
00009D14 00009D73 GetTcpStatisticsEx
00009D78 00009DB7 GetTcpStatistics
00009E00 00009E5F GetUdpStatisticsEx
00009E64 00009EA3 GetUdpStatistics
00009EEC 00009F50 SetIfEntry
00009F55 00009FAE CreateIpForwardEntry
00009FB3 0000A00C SetIpForwardEntry
0000A011 0000A071 DeleteIpForwardEntry
0000A076 0000A0CA SetIpStatistics
0000A0CF 0000A137 CreateIpNetEntry
0000A13C 0000A190 SetIpNetEntry
0000A195 0000A1E9 DeleteIpNetEntry
0000A1EE 0000A24D FlushIpNetTable
0000A252 0000A2A5 SetTcpEntry
0000A2AA 0000A356 GetBestInterface
0000A35B 0000A3EA GetBestInterfaceEx
0000A3EF 0000A43B GetBestRoute
0000A440 0000A51B CreateProxyArpEntry
0000A520 0000A60B DeleteProxyArpEntry
0000AAC7 0000AC18 GetIpForwardTable
0000AC1D 0000ACB2 GetTcpTable
0000ACB7 0000AFFB GetExtendedTcpTable
0000B000 0000B046 GetOwnerModuleFromTcpEntry
0000B04B 0000B091 GetOwnerModuleFromTcp6Entry
0000B096 0000B126 GetUdpTable
0000B12B 0000B42E GetExtendedUdpTable
0000B433 0000B479 GetOwnerModuleFromUdpEntry
0000B47E 0000B4C4 GetOwnerModuleFromUdp6Entry
0000B4C9 0000B508 SetIpTTL
0000B50D 0000B595 GetIpErrorString
0000B65D 0000B6E4 Icmp6CreateFile
0000B73C 0000B941 IcmpSendEcho2
0000B946 0000B988 Icmp6ParseReplies
0000B98D 0000BB28 Icmp6SendEcho2
0000BB2D 0000BB43 register_icmp
0000BB48 0000BC13 do_echo_req
0000BC18 0000BD94 do_echo_rep
0000BD99 0000BE81 InternalGetIfTable
0000BE86 0000BF32 InternalGetIpAddrTable
0000BF37 0000BFE5 InternalGetIpNetTable
0000BFEA 0000C09F InternalGetIpForwardTable
0000C0A4 0000C0C1 InternalGetTcpTable
0000C0C6 0000C0E3 InternalGetUdpTable
0000C0E8 0000C12C InternalSetIfEntry
0000C131 0000C17D InternalCreateIpForwardEntry
0000C182 0000C1CE InternalSetIpForwardEntry
0000C1D3 0000C242 InternalDeleteIpForwardEntry
0000C247 0000C286 InternalSetIpStats
0000C28B 0000C2CC InternalCreateIpNetEntry
0000C2D1 0000C312 InternalSetIpNetEntry
0000C317 0000C373 InternalDeleteIpNetEntry
0000C378 0000C38D InternalSetTcpEntry
0000C392 0000C40A GetIgmpList
0000C40F 0000C48A SetBlockRoutes
0000C48F 0000C4E0 SetRouteWithRef
0000C4E5 0000C5B5 GetAdapterIndex
0000C5BA 0000C6DB AddIPAddress
0000C6E0 0000C71C DeleteIPAddress
0000C829 0000C98D GetRTTAndHopCount
0000C992 0000C9F6 IsLocalAddress
0000C9FB 0000CA90 NotifyRouteChangeEx
0000CA95 0000CAD4 CancelIPChangeNotify
0000CAD9 0000CB62 EnableRouter
0000CB67 0000CBCF UnenableRouter
0000CBD4 0000CC5D DisableMediaSense
0000CC62 0000CCCA RestoreMediaSense
