00001629 0000176A _DeviceIoControl@32
0000176F 000017E4 _GetSystemTime@4
000017E9 0000180D _GetSystemTimeAsFileTime@4
00001812 00001A23 _ReadFile@20
00001A28 00001A5C _CreateFileA@28
00001A61 00001ACF _VirtualProtectEx@20
00001AD4 00001AF0 _VirtualProtect@16
00001AF5 00001D4E _LoadLibraryExW@12
00001D53 00001D76 _LoadLibraryExA@12
00001D7B 00001E15 _LoadLibraryA@4
00001E1A 00001E4F _TerminateProcess@8
00001E54 00001EED _GetStartupInfoW@4
00001EF2 000021AE _GetStartupInfoA@4
000021D0 0000220E _ReadProcessMemory@20
00002213 00002331 _WriteProcessMemory@20
00002336 00002366 _CreateProcessW@40
0000236B 0000239B _CreateProcessA@40
000023A0 00002431 _SleepEx@8
00002446 00002459 _Sleep@4
00002480 000024B2 _BaseFormatTimeOut@8
000024B7 000024D6 _ReleaseMutex@4
000024D6 00002511 __SEH_prolog
00002511 00002522 __SEH_epilog
00002530 00002546 _WaitForSingleObject@8
00002550 00002603 _WaitForSingleObjectEx@12
0000932E 0000933D _GetTickCount@0
00009342 00009370 _SetLastError@4
0000937C 000093D8 _BaseFormatObjectAttributes@12
000093DD 000093F8 _BaseGetNamedObjectDirectory@0
000093FD 0000941B _BaseSetLastNTError@4
00009420 000094E9 _CreateFileMappingW@24
000094EE 00009548 _CreateFileMappingA@24
000095BC 00009664 _WaitForMultipleObjectsEx@20
00009689 00009707 _SetWaitableTimer@24
0000970C 0000978D _BasepAllocateActivationContextActivationBlock@16
00009792 000097AB @__security_check_cookie@4
000097B8 000097C2 _GetCurrentThreadId@0
000097D0 000097F6 _TlsGetValue@4
000097F6 00009807 _InterlockedIncrement@4
0000980A 0000981B _InterlockedDecrement@4
0000981E 00009831 _InterlockedExchange@8
00009832 00009845 _InterlockedCompareExchange@12
00009846 00009855 _InterlockedExchangeAdd@8
00009856 00009976 _MulDiv@12
0000997B 0000997F _GetCurrentThread@0
00009984 000099A0 _BasepMapModuleHandle@8
000099A5 000099AB _GetACP@0
000099B0 000099BA _GetCurrentProcessId@0
000099BF 00009A00 _LocalFree@4
00009A1D 00009A83 _LocalAlloc@8
00009A99 00009AC9 _lstrlenW@4
00009AE1 00009AFD _VirtualAlloc@16
00009B02 00009B6F _VirtualAllocEx@20
00009B74 00009B8D _VirtualFree@12
00009B92 00009BD2 _VirtualFreeEx@16
00009BD7 00009C2A _CloseHandle@4
00009C55 00009C83 _TlsSetValue@8
00009C88 00009E8C _MultiByteToWideChar@24
00009E91 00009EF3 _IsBadReadPtr@8
00009F09 00009F6D _IsBadWritePtr@8
00009F81 00009F9B _InitializeCriticalSection@4
00009FA0 0000A00C _GetUserDefaultLCID@0
0000A011 0000A02A _BaseDllFreeResourceId@4
0000A02F 0000A035 _LdrFindResource_U@16
0000A03A 0000A040 _LdrAccessResource@16
0000A045 0000A088 _LoadResource@8
0000A0A7 0000A0C6 _SetEvent@4
0000A0CB 0000A0E8 _ResetEvent@4
0000A0ED 0000A109 _WaitForMultipleObjects@16
0000A159 0000A15F __allmul
0000A164 0000A286 _WideCharToMultiByte@32
0000A28B 0000A35F _GetMBNoDefault@24
0000A364 0000A3E9 @NlsStrLenW@4
0000A3EE 0000A4A0 _CompareStringW@24
0000A4A5 0000A4B2 _GetThreadLocale@0
0000A4B7 0000A4E4 _QueryPerformanceCounter@4
