00001005 0000101A ?AfxGetThread@@YGPAVCWinThread@@XZ
0000101F 00001048 ?FromHandle@CWnd@@SGPAV1@PAUHWND__@@@Z
0000104D 000010BF ?afxMapHWND@@YGPAVCHandleMap@@H@Z
000010C4 0000116F ?FromHandle@CHandleMap@@QAEPAVCObject@@PAX@Z
00001186 000011BF ?AttachControlSite@CWnd@@IAEXPAVCHandleMap@@@Z
000011C4 000011FD ?GetValueAt@CMapPtrToPtr@@QBEPAXPAX@Z
00001202 00001219 ?FromHandlePermanent@CWnd@@SGPAV1@PAUHWND__@@@Z
0000121E 00001260 ?PumpMessage@CWinThread@@UAEHXZ
00001265 000012E3 ?IsIdleMessage@CWinThread@@UAEHPAUtagMSG@@@Z
000012E8 000012FB ?AfxGetMainWnd@@YGPAVCWnd@@XZ
00001300 0000131B ?GetMainWnd@CWinThread@@UAEPAVCWnd@@XZ
00001320 00001384 ?PreTranslateMessage@CWinThread@@UAEHPAUtagMSG@@@Z
00001389 000013CD ?WalkPreTranslateTree@CWnd@@SGHPAUHWND__@@PAUtagMSG@@@Z
000013D2 000013FA ?GetTopLevelParent@CWnd@@QBEPAV1@XZ
000013FF 00001446 ?AfxGetParentOwner@@YGPAUHWND__@@PAU1@@Z
0000144B 00001462 ?GetOwner@CWnd@@QBEPAV1@XZ
00001467 00001480 ?PreTranslateMessage@CWnd@@UAEHPAUtagMSG@@@Z
00001485 000014FF ?PreTranslateMessage@CFrameWnd@@UAEHPAUtagMSG@@@Z
00001504 00001514 ?_FilterToolTipMessage@CWnd@@SGXPAUtagMSG@@PAV1@@Z
00001519 0000197C ?FilterToolTipMessage@CWnd@@QAEXPAUtagMSG@@@Z
00001982 00001988 _memset
0000198D 00001A06 ?Alloc@CFixedAlloc@@QAEPAXXZ
00001A22 00001A6F ?AfxWndProc@@YGJPAUHWND__@@IIJ@Z
00001A74 00001B72 ?AfxCallWndProc@@YGJPAVCWnd@@PAUHWND__@@IIJ@Z
00001B77 00001BBD ?WindowProc@CWnd@@MAEJIIJ@Z
00001BC2 0000205E ?OnWndMsg@CWnd@@MAEHIIJPAJ@Z
00002127 00002170 ?DefWindowProcA@CWnd@@MAEJIIJ@Z
00002175 000021B4 ?GetParentFrame@CWnd@@QBEPAVCFrameWnd@@XZ
000021B9 000021C0 ?GetBackColor@COleControl@@QAEKXZ
000021C5 000021EE ?Default@CWnd@@IAEJXZ
000021F3 00002236 ?GetTopLevelFrame@CWnd@@QBEPAVCFrameWnd@@XZ
0000223B 00002269 ?Free@CFixedAlloc@@QAEXPAX@Z
0000226E 000022B0 ?AfxFindMessageEntry@@YGPBUAFX_MSGMAP_ENTRY@@PBU1@III@Z
000022B5 000023C1 ?OnCmdMsg@CCmdTarget@@UAEHIHPAXPAUAFX_CMDHANDLERINFO@@@Z
000023C6 00002410 ??0CCmdTarget@@QAE@XZ
00002415 00002439 ??0CWnd@@QAE@XZ
0000243E 00002549 ?_AfxDispatchCmdMsg@@YGHPAVCCmdTarget@@IHP81@AEXXZPAXIPAUAFX_CMDHANDLERINFO@@@Z
0000254E 00002574 ??0CCmdUI@@QAE@XZ
00002579 000025F5 ??1CWnd@@UAE@XZ
000025FA 00002638 ??1CCmdTarget@@UAE@XZ
0000263D 00002657 ?GetStyle@CWnd@@QBEKXZ
0000265C 00002667 ??0CString@@QAE@XZ
0000266C 00002672 ?AfxGetEmptyString@@YGABVCString@@XZ
00002677 000026F9 ?AllocBuffer@CString@@IAEXH@Z
000026FE 00002704 _memcpy
00002709 00002736 ??1CString@@QAE@XZ
0000273B 00002780 ?FreeData@CString@@KIXPAUCStringData@@@Z
00002785 000027AD ?AfxDynamicDownCast@@YAPAVCObject@@PAUCRuntimeClass@@PAV1@@Z
000027B2 00002802 ?GetBuffer@CString@@QAEPADH@Z
00002807 0000282C ?Release@CString@@KGXPAUCStringData@@@Z
00002831 0000285B ?ReleaseBuffer@CString@@QAEXH@Z
00002860 00002890 ?CopyBeforeWrite@CString@@IAEXXZ
00002895 000028A0 ?IsKindOf@CObject@@QBEHPBUCRuntimeClass@@@Z
000028A5 000028BE ?IsDerivedFrom@CRuntimeClass@@QBEHPBU1@@Z
000028C3 000028D9 ?FreeDataChain@CPlex@@QAEXXZ
000028DE 00002943 ?DeleteTemp@CHandleMap@@QAEXXZ
00002948 00002A17 ?WindowProc@CControlBar@@UAEJIIJ@Z
00002A1C 00002A22 ?GetMessageMap@CView@@MBEPBUAFX_MSGMAP@@XZ
00002A27 00002A2D ?GetMessageMap@CStatusBar@@MBEPBUAFX_MSGMAP@@XZ
00002A32 00002AC9 ?OnCmdMsg@CFrameWnd@@UAEHIHPAXPAUAFX_CMDHANDLERINFO@@@Z
00002ACE 00002B3D ?OnCmdMsg@CView@@UAEHIHPAXPAUAFX_CMDHANDLERINFO@@@Z
00002B42 00002B88 ?OnCmdMsg@CDocument@@UAEHIHPAXPAUAFX_CMDHANDLERINFO@@@Z
00002B8D 00002BDA ?OnCmdMsg@CDocTemplate@@UAEHIHPAXPAUAFX_CMDHANDLERINFO@@@Z
00002BDF 00002BE5 ?GetMessageMap@CToolBar@@MBEPBUAFX_MSGMAP@@XZ
00002BEA 00002BF0 ?GetMessageMap@CDockBar@@MBEPBUAFX_MSGMAP@@XZ
00002BF5 00002BF9 ?GetFirstViewPosition@CDocument@@UBEPAU__POSITION@@XZ
00002BFE 00002C61 ?DoUpdate@CCmdUI@@QAEHPAVCCmdTarget@@H@Z
00002C66 00002CE5 ?SendMessageToDescendants@CWnd@@SGXPAUHWND__@@IIJHH@Z
00002CEA 00002D5B ?OnIdle@CWinApp@@UAEHJ@Z
00002D60 00002E68 ?OnIdle@CWinThread@@UAEHJ@Z
00002E6D 00002E9C ?SendChildNotifyLastMsg@CWnd@@QAEHPAJ@Z
00002EA1 00002EF4 ?OnChildNotify@CWnd@@MAEHIIJPAJ@Z
00002EF9 00002FE3 ?ReflectChildNotify@CWnd@@IAEHIIJPAJ@Z
00002FE8 0000308B ?ReflectLastMsg@CWnd@@KGHPAUHWND__@@PAJ@Z
00003090 000030B2 ?GetBufferSetLength@CString@@QAEPADH@Z
000030B7 000030BF ?GetFirstDocPosition@CSingleDocTemplate@@UBEPAU__POSITION@@XZ
000030C4 000030D8 ?GetNextDoc@CSingleDocTemplate@@UBEPAVCDocument@@AAPAU__POSITION@@@Z
000030DD 000030E6 ?AfxLockTempMaps@@YGXXZ
000030EB 000031EC ?AfxUnlockTempMaps@@YGHH@Z
000031F1 0000327F ?OnCommand@CWnd@@MAEHIJ@Z
00003284 000032FD ?OnCommand@CFrameWnd@@MAEHIJ@Z
00003302 000033AC ?OnIdleUpdateCmdUI@CControlBar@@QAEJIJ@Z
000033B1 00003427 ?OnUpdateCmdUI@CStatusBar@@UAEXPAVCFrameWnd@@H@Z
0000342C 00003462 ?Enable@CStatusCmdUI@@UAEXH@Z
00003467 00003478 ?GetPaneStyle@CStatusBar@@QBEIH@Z
0000347D 000034D0 ?SetPaneStyle@CStatusBar@@QAEXHI@Z
