00001255 0000128D __CRT_INIT@12
00001292 000012F9 __DllMainCRTStartup@12
000012FE 0000132F _DllMain@12
00001334 00001337 _threadTerminate@4
00001360 00001381 _threadInitialize@4
0000139A 000013B3 @__security_check_cookie@4
0000144F 0000149E _pcmDriverProc@20
000014A3 000014BE _threadTerminateProcess@4
000014C3 000015FF _IDriverFree@8
00001604 0000163E _AcquireLockExclusive@4
00001643 0000169D _ReleaseLock@4
000016A2 000016C9 _DeleteLock@4
0000173C 000017D7 _IDriverRemove@8
000017DC 000017FB _DeleteHandle@4
0000180F 0000188F _acmTerminate@8
00001894 000018C0 _pagDelete@4
000018DE 000018F4 _acmdDriverClose@4
00001A21 00001AF4 _IDriverDetails@12
00001AF9 00001BAB _IDriverGetFormatTags@4
00001BB0 00001C0A _IDriverGetFilterTags@4
00001C0F 00001C70 _acmdFormatTagDetails@12
00001C79 00001CC0 _IDriverWriteRegistryData@4
00001D24 00001D3A _IRegCloseKey@4
00001D3F 00001DCC _IRegOpenKeyAcm@4
00001E4D 00001E8D _IRegReadString@16
00001E92 00001ED5 _IRegReadDwordDefault@12
00001F07 00001FD1 _IDriverGetNext@16
0000205D 000020D4 _IDriverFind@12
000020E1 00002292 _IDriverAdd@24
00002297 0000246C _IDriverLoad@8
00002471 000024CB _ValidateStringW@8
000024CB 000024DC __SEH_epilog
000024FB 00002550 _IDriverMessageId@16
0000256E 000027D6 _IDriverReadRegistryData@4
000027DB 0000285A _acmBootDrivers@4
000028D5 0000297F _IDriverPrioritiesRestore@4
00002984 000029BC _IDriverRefreshPriority@4
00002A00 00002B02 _acmInitialize@8
00002B55 00002C53 _acmBootPnpDrivers@4
00002C67 00002C80 _acmdDriverOpen@8
00002C93 00002D94 _acmdDriverDetails@8
00002D99 00002DDF _NewHandle@4
00002DEC 00002E27 __SEH_prolog
00002E69 00002EA3 _pagNew@0
00002EA8 00002EBD _threadInitializeProcess@4
00002EDF 00002EFF _IRegValueExists@8
00002F12 00002F76 _InitializeLock@4
00002F89 00002FB2 ___security_init_cookie
00002FB7 0000302E _acmFindDrivers@8
00003073 00003079 __initterm
0000354D 0000355C _acmGetVersion@0
000045B9 000048CF _acmMetrics@12
000048D4 0000492A _ValidateWritePointer@8
00004941 00004B16 _acmFormatTagDetailsW@12
00004B1B 00004CA2 _acmDriverPriority@12
00004CA7 00004CFD _IDriverSupport@12
00004D02 00004D6B _ValidateHandle@8
00004D81 00004DA9 _threadEnterListShared@4
00004DAE 00004DD6 _threadLeaveListShared@4
00004DDB 00004E00 _threadQueryInListShared@4
00004E05 00004E67 _IDriverMessage@16
00004E6C 00004F02 _IDriverCount@16
00004F07 00004F60 _IDriverCountGlobal@4
00004F65 00004FD3 _IDriverLockPriority@12
00004FD8 00005081 _IDriverPriority@16
00005086 00005147 _IDriverClose@8
0000514C 0000521C _IDriverConfigure@8
