00001208 00001216 @__security_check_cookie@4
00001216 00001249 __EH_prolog3
00001249 00001253 __EH_epilog3_GS
00001253 00001267 __EH_epilog3
00001267 0000127C ?GetEEMemoryManager@@YGPAUIEEMemoryManager@@XZ
0000127C 00001296 ??1SaveLastErrorHolder@@QAE@XZ
00001296 0000129C ?GetLog@@YGPAVShimLog@@XZ
000012E0 000012F1 ?IsFixedSize@SString@@ABEHXZ
000012F1 00001305 ?ConvertToFixed@SString@@ABEXXZ
00001305 0000131E ?GetCount@SString@@QBEIXZ
0000131E 00001354 __EH_prolog3_GS
00001354 0000137A ?ConvertToUnicode@SString@@ABEXXZ
0000137A 00001395 ?IsRepresentation@SString@@ABEHW4Representation@1@@Z
00001395 000013DF ??0SString@@IAE@PAXI@Z
000013DF 00001439 ??0SString@@QAE@W4tagLiteral@0@PBG@Z
00001439 0000144F ?ConvertToIteratable@SString@@ABEXXZ
0000144F 0000148B ?GetCompatibleString@SString@@ABEABV1@ABV1@AAV1@ABVCIterator@1@@Z
00001490 000014A8 ?ClrHeapAlloc@UtilExecutionEngine@@EAGPAXPAXKK@Z
000014A8 000014CF ?ClrHeapAlloc@@YGPAXPAXKV?$ClrSafeInt@K@@@Z
000014CF 000014FB ?ClrAllocInProcessHeapBootstrap@@YGPAXKK@Z
000014FB 0000153D ??3@YAXPAX@Z
0000153D 0000155F ?ClrFreeInProcessHeapBootstrap@@YGHKPAX@Z
0000155F 0000157C ?ClrHeapFree@@YGHPAXK0@Z
0000157C 00001594 ?ClrHeapFree@UtilExecutionEngine@@EAGHPAXK0@Z
000015AF 000015E5 __EH_prolog3_catch
000015E5 000015E9 ?LogEnabled@ShimLog@@QAEHXZ
000015E9 00001632 ??2@YAPAXI@Z
00001632 00001657 ??1?$BaseWrapper@PAPAGV?$FunctionBase@PAPAG$1??$DoNothing@PAPAG@@YGXPAPAG@Z$1??$DeleteArray@PAG@@YGX0@Z$01@@$0A@$1??$CompareDefault@PAPAG@@YGHPAPAG0@Z$01@@QAE@XZ
00001660 0000168B ?CreateVersionString@CLRRuntimeInfoImpl@@AAEPAGXZ
0000168B 00001742 ?LoadLibrary@RuntimeDesc@@QAEJPBGPAPAUHINSTANCE__@@@Z
00001742 000017D5 ?CaseCompareHelper@SString@@CGHPBG0IKHH@Z
000017DC 0000180F ?Log@ShimLog@@QAAXIZZ
00001A9C 00001B02 _memcpy
00001B02 00001B6E ?Resize@SString@@AAEXIW4Representation@1@W4Preserve@SBuffer@@@Z
00001E21 00001E87 _memmove
00001E87 00001EA9 ?Copy@SBuffer@@QAEXABVIterator@1@PBXI@Z
00001EA9 00001ED1 _wcsncmp
00001ED1 00001FF1 ?FindBack@SString@@QBEHAAVCIterator@1@ABV1@@Z
00002014 0000204D __EH_prolog3_catch_GS
0000204D 0000205C __EH_epilog3_catch_GS
0000205C 0000209D ??2@YAPAXIABUNoThrow@@@Z
000023B8 000023CF ?AddRef@CLRMetaHostPolicyImpl@@UAGKXZ
000023CF 00002410 _wmemcpy_s
00002417 00002436 ?Begin@SBuffer@@QAE?AVIterator@1@XZ
00002436 0000248F ?Set@SString@@QAEXABV1@ABVCIterator@1@I@Z
000024C7 000024FD ??E?$Indexer@GVIterator@SString@@@@QAE?AVIterator@SString@@H@Z
000024FD 000025B7 ?GetVersion@RuntimeDesc@@QAEAAVSString@@AAV2@@Z
000025B7 000026A3 ?GetVersionString@CLRRuntimeInfoImpl@@UAGJPAGPAK@Z
00003578 0000358D _RealDllMain@12
0000358D 000035AA ___set_flsgetvalue
000035AA 000035F1 _DllMain@12
00003FF8 00004048 __calloc_impl
00004048 0000407A __calloc_crt
0000407A 0000409E __lock
0000409E 0000413A __initptd
00004168 000041F7 ___addlocaleref
000041F7 0000423C __SEH_prolog4
0000423C 000042C1 __CRT_INIT@12
000042E4 000042F8 __SEH_epilog4
000043A4 000043C6 __DllMainCRTStartup@12
000043CF 000043E6 __unlock
000043EF 00004410 ?OnShimDllMainCalled@@YGHPAXK0@Z
00004430 0000444D ?RunningOnWin7@@YGHXZ
0000444D 00004470 ?GetInstance@CLRWatsonSxSManager@@SGPAUIWatsonSxSManager@@XZ
00004470 00004476 _GetCLRUEFManager@8
00004476 0000451D ?CreateObject@CLRUEFManager@@SGJABU_GUID@@PAPAUIUnknown@@@Z
0000451D 0000456E ?QueryInterface@CLRUEFManager@@UAGJABU_GUID@@PAPAX@Z
000045AF 000045C5 ?IsCallbackAlreadyRegistered@CLRUEFManager@@AAEHP6GJPAU_EXCEPTION_POINTERS@@@Z@Z
000045C5 000045D2 ?ReleaseUEFChainLock@CLRUEFManager@@QAEXXZ
000045D2 000045DC ?GetWastonSxSManagerInstance@CLRUEFManager@@UAGPAUIWatsonSxSManager@@XZ
000045DC 000045FF ?Release@CLRUEFManager@@UAGKXZ
000045FF 00004615 ??1CLRUEFChainLockHolder@@QAE@XZ
00004615 00004660 ?AddUnhandledExceptionFilter@CLRUEFManager@@UAGHP6GJPAU_EXCEPTION_POINTERS@@@ZH@Z
00004660 0000466D ?AcquireUEFChainLock@CLRUEFManager@@QAEXXZ
0000466D 00004690 ??0CLRUEFChainLockHolder@@QAE@PAVCLRUEFManager@@@Z
00004690 0000469D ?ReleaseWatsonSxSLock@CLRWatsonSxSManager@@QAEXXZ
0000469D 000046B3 ??1CLRWatsonSxSLockHolder@@QAE@XZ
000046B3 000046D6 ?Release@CLRWatsonSxSManager@@UAGKXZ
000046D6 000046E3 ?AcquireWatsonSxSLock@CLRWatsonSxSManager@@QAEXXZ
000046E3 00004706 ??0CLRWatsonSxSLockHolder@@QAE@PAVCLRWatsonSxSManager@@@Z
00004706 00004781 ?RegisterExceptionClaimingCallback@CLRWatsonSxSManager@@UAGHP6GHPAU_EXCEPTION_RECORD@@@Z@Z
00004781 000047A1 ?SetUnhandledExceptionFilter@CLRUEFManager@@QAEHXZ
000047A1 0000480F ?AddUnhandledExceptionFilterInternal@CLRUEFManager@@AAGHP6GJPAU_EXCEPTION_POINTERS@@@ZH@Z
0000480F 00004831 ?RegisterCallback@CLRUEF@@QAEXP6GJPAU_EXCEPTION_POINTERS@@@ZHPAPAV1@@Z
00004831 00004845 ??0SOIntolerantTransitionHandler@@QAE@XZ
00004845 00004888 ?open@XMLParserShimFileStream@@QAE_NPBG_N@Z
00004888 00004939 _CreateConfigStream@8
00004939 00004970 ??0XMLParserShimFileStream@@QAE@XZ
00004970 000049A2 ?GetTrueOSVersion@@YGHPAU_OSVERSIONINFOW@@@Z
000049A2 000049C3 ?CreateStringFromGUID@ShimLog@@QAEPAGU_GUID@@@Z
000049C3 000049E0 ?HRESULT_FROM_GetLastErrorNA@@YGJXZ
000049E0 000049F2 ??1SOIntolerantTransitionHandler@@QAE@XZ
000049F2 00004A2C ??1XMLParserShimFileStream@@UAE@XZ
00004A2C 00004A4D ??_EXMLParserShimFileStream@@UAEPAXI@Z
00004A4D 00004A66 ?Release@?$_unknown@UIStream@@$1?IID_IStream@@3U_GUID@@B@@UAGKXZ
00004A66 00004AAB ?Read@XMLParserShimFileStream@@UAGJPAXKPAK@Z
00004AE0 00004B26 ?QueryInterface@?$_unknown@UIStream@@$1?IID_IStream@@3U_GUID@@B@@UAGJABU_GUID@@PAPAX@Z
00004B38 00004B4F ??BSString@@QBEPBGXZ
00004B4F 00004C16 ?GetRuntimeDirectory@CLRRuntimeInfoImpl@@UAGJPAGPAK@Z
00004C16 00004C31 ?GetTrueOSVersion@CLRRuntimeHostInternalImpl@@UAGJPAU_OSVERSIONINFOW@@@Z
00004C31 00004C53 ??_GCLRRuntimeHostInternalImpl@@UAEPAXI@Z
00004C74 00004D01 ?GetInterfaceInternal@CLRRuntimeInfoImpl@@AAEJABU_GUID@@0PAPAX@Z
00004D14 00004DE3 ?GetInterface@CLRRuntimeInfoImpl@@UAGJABU_GUID@@0PAPAX@Z
00004DE3 00004E7A ?InternalQueryInterface@?$InternalUnknownImpl@VCLRRuntimeHostInternalImpl@@$E?IID_ICLRRuntimeHostInternal@@3U_GUID@@BUICLRRuntimeHostInternal@@$E?2@3U3@BU4@@@IAEJABU_GUID@@PAPAX@Z
00004E7A 00004E94 ?QueryInterface@CLRRuntimeHostInternalImpl@@UAGJABU_GUID@@PAPAX@Z
00004E94 00004EBD ?InternalRelease@?$InternalUnknownImpl@VCLRRuntimeHostInternalImpl@@$E?IID_ICLRRuntimeHostInternal@@3U_GUID@@BUICLRRuntimeHostInternal@@$E?2@3U3@BU4@@@IAEKXZ
00004EBD 00004ED1 ?Release@CLRRuntimeHostInternalImpl@@UAGKXZ
00004ED1 00004F08 ?LoadMainRuntimeModule@RuntimeDesc@@AAEJPAPAUHINSTANCE__@@PAH@Z
00004F30 00004FC7 ?InternalQueryInterface@?$InternalUnknownImpl@VCLRRuntimeInfoImpl@@$E?IID_ICLRRuntimeInfo@@3U_GUID@@BUICLRRuntimeInfo@@$E?2@3U3@BU4@@@IAEJABU_GUID@@PAPAX@Z
00004FC7 00004FE1 ?QueryInterface@CLRRuntimeInfoImpl@@UAGJABU_GUID@@PAPAX@Z
00004FE1 00005012 ??1?$BaseWrapper@PAUIStream@@V?$FunctionBase@PAUIStream@@$1??$DoNothing@PAUIStream@@@@YGXPAU1@@Z$1??$DoTheRelease@UIStream@@@@YGX0@Z$01@@$0A@$1??$CompareDefault@PAUIStream@@@@YGHPAU1@0@Z$01@@QAE@XZ
00005012 00005026 ?Release@CLRRuntimeInfoImpl@@UAGKXZ
00005026 0000503D ?InternalRelease@?$InternalUnknownImpl@VCLRRuntimeInfoImpl@@$E?IID_ICLRRuntimeInfo@@3U_GUID@@BUICLRRuntimeInfo@@$E?2@3U3@BU4@@@IAEKXZ
0000503D 0000505D ??G?$Indexer@$$CBGVCIterator@SString@@@@QBEHABVCIterator@SString@@@Z
0000505D 00005147 ?MatchCaseInsensitive@SString@@QBEHABVCIterator@1@ABV1@K@Z
00005147 00005174 ??1?$Holder@PAU_RTL_CRITICAL_SECTION@@$1?TakeLock@NSCriticalSectionHolderHelper@@YGXPAU1@@Z$1?ReleaseLock@3@YGX0@Z$0A@$1??$CompareDefault@PAU_RTL_CRITICAL_SECTION@@@@YGH00@Z$01@@QAE@XZ
00005174 000051C0 ?SetRuntimeLoadStatus@RuntimeDesc@@QAEXH@Z
000051C0 0000533F ?EnsureLoaded@RuntimeDesc@@AAEJXZ
0000533F 000053C6 ?GetProcAddressInternal@RuntimeDesc@@QAEJPBDPAPAX@Z
000053C6 00005439 ?GetProcAddress@CLRRuntimeInfoImpl@@UAGJPBDPAPAX@Z
00005439 0000546F ??I?$BaseWrapper@PAUIXMLParser@@V?$FunctionBase@PAUIXMLParser@@$1??$DoNothing@PAUIXMLParser@@@@YGXPAU1@@Z$1??$DoTheRelease@UIXMLParser@@@@YGX0@Z$01@@$0A@$1??$CompareDefault@PAUIXMLParser@@@@YGHPAU1@0@Z$01@@QAE?AVTypedAddressInitHolder@0@XZ
0000546F 00005573 ?GetCorExeMainEntrypoint@@YGJPBDHPAPAX@Z
00005573 000055B4 __CorExeMain@0
000055C8 000055CE ?GetShimInst@@YGPAUHINSTANCE__@@XZ
000055CE 0000565C ?LoadMainRuntimeModuleHelper@RuntimeDesc@@AAEJPAPAUHINSTANCE__@@@Z
0000568C 000056B1 ??1?$BaseWrapper@PAUHINSTANCE__@@V?$FunctionBase@PAUHINSTANCE__@@$1??$DoNothing@PAUHINSTANCE__@@@@YGXPAU1@@Z$1?HolderFreeLibrary@@YGX0@Z$01@@$0A@$1??$CompareDefault@PAUHINSTANCE__@@@@YGHPAU1@0@Z$01@@QAE@XZ
000056B1 000056DF ??1?$Holder@PAVRuntimeDesc@@$1?TakeLock@NSRuntimeLoadStatusHelper@@YGXPAV1@@Z$1?ReleaseLock@3@YGX0@Z$0A@$1??$CompareDefault@PAVRuntimeDesc@@@@YGH00@Z$01@@QAE@XZ
000056DF 00005739 __CorExeMain2@20
00005749 0000579C _CoInitializeEE@4
000057AB 0000584D _ClrCreateManagedInstance@12
00005869 000058BC _EEDllRegisterServer@4
000058D0 00005923 _EEDllUnregisterServer@4
