000013A5 00001414 __DllMainCRTStartup@12
00001419 0000145A _DllMain@12
0000145F 00001497 __CRT_INIT@12
0000149C 000014B5 @__security_check_cookie@4
000014B5 000014F0 __SEH_prolog
000014F0 00001501 __SEH_epilog
00001506 0000152D ?TF_InitThreadSystem@@YGHXZ
00001532 0000155A ?IsThreadId@CTimList@@QAEPAUtag_TL_THREADINFO@@K@Z
00001571 00001581 ?Enter@CTimList@@QAEHXZ
00001586 0000159C _cicMemFree@4
000015AB 000015BA ??3@YAXPAX@Z
000015BF 000015D6 ?Uninit@CCicMutex@@QAEXXZ
000015DB 000015F1 ?FindSYSTHREAD@@YGPAUSYSTHREAD@@XZ
000015F6 0000162E ?Uninit@CGCompartList@@QAEHPAUSYSTHREAD@@@Z
0000168F 00001690 nullsub_5
0000169C 00001713 ?UninitThread@@YGXXZ
00001718 0000172C ?MakeSetFocusNotify@@YGXIIJ@Z
00001781 0000179B ?TLFlagFromMsg@@YGKI@Z
000017A0 000017B1 ?TF_UninitThreadSystem@@YGHXZ
0000183E 00001841 nullsub_6
00001D28 00001D40 ?Delete@CCicCriticalSectionStatic@@QAEXXZ
00001D99 00001DB0 ?_UninitClass@CAnchorRef@@SGXXZ
00001DC1 00001DCB _MuiClearResource@0
00001DDD 00001DEE ?ProcessDetach@@YGXPAUHINSTANCE__@@@Z
00001E0D 00001E24 ?_UninitClass@CRange@@SGXXZ
00001E29 00001E4B ?MemCache_Delete@@YGXPAU_MEMCACHE@@@Z
00001E50 00001E52 _DllCanUnloadNow@0
00001E57 00001E63 ?COMBase_DllCanUnloadNow@@YGJXZ
00001E68 00001E97 ?Close@CCicFileMappingStatic@@QAEXXZ
00001E9C 00001EB2 ?CleanUp@CGCompartList@@QAEXXZ
00001EB7 00001ECD ?CleanUp@CTimList@@QAEXXZ
00001ED2 00001EE9 ?ClearMarshalWndProc@CThreadMarshalWnd@@SGXK@Z
00001EEE 00001F04 ?StaticUnInit@CDispAttrGuidCache@@SGXXZ
00001F09 00001F33 ?RemoveProcess@CTimList@@QAEHK@Z
00001F49 00001F51 ?UninitLayoutMappedFile@@YGXXZ
00001F56 00001F80 ??_E?$CStructArray@Utag_LBAREVENTSINKLOCAL@@@@UAEPAXI@Z
00001FD5 00002019 ?UninitProcess@@YGXXZ
0000201E 00002034 ?UninitGlobal@CCategoryMgr@@SGXXZ
00002039 0000208D ?InitStaticHooks@@YGXXZ
00002092 000020A9 ?GetHandle@?$CNativeOrWow64_WinHandle@PAUHHOOK__@@@@QAEPAUHHOOK__@@H@Z
0000217A 0000218B ?Finalize@CCicFileMappingStatic@@QAEXXZ
00002190 000021AB ?UninitINAT@@YGXXZ
000021B0 000021E2 ?RemoveAll@CStaticIconList@@QAEXH@Z
000021F9 00002229 ?UninitThreadHooks@@YGXPAUSYSTHREAD@@@Z
00002263 0000227C ?DestroySharedHeap@@YGXPAUSYSTHREAD@@@Z
00002281 0000229A ?DestroySharedBlocks@@YGXPAUSYSTHREAD@@@Z
0000229F 000022B8 ?RemoveThread@CTimList@@QAEHK@Z
000022BD 000022E4 ?UninitLangBarAddIns@@YGXPAUSYSTHREAD@@@Z
000022E9 00002311 ?ClearLangBarAddIns@@YGHPAUSYSTHREAD@@ABU_GUID@@@Z
00002329 00002364 ?Remove@CVoidPtrArray@@QAEXHH@Z
000023FD 00002427 ??_G?$CPtrArray@VCAnchor@@@@UAEPAXI@Z
00002485 0000249E ?FreeMarshaledStubs@@YGXPAUSYSTHREAD@@@Z
