000043D5 000043EC ?Invalid@_IMCLock@@QAE_NXZ
000043F1 00004413 ??_G_IMCLock@@UAEPAXI@Z
00004418 0000443A ??_G_IMCCLock@@UAEPAXI@Z
0000443F 00004460 ??1IMCLock@@UAE@XZ
00004465 00004486 ??_EIMCLock@@UAEPAXI@Z
0000448B 000044AC ??1InternalIMCCLock@@UAE@XZ
000044B1 000044E1 ?IS_EA_KBDLAYOUT@@YGHPAUHKL__@@@Z
000044E6 00004538 ?InternalAllocateTLS@TLS@@CGPAV1@XZ
0000453D 0000455A ??0CThreadMgrEventSink_DIMCallBack@@QAE@XZ
0000455F 0000459B ?QueryInterface@CicBridge@@UAGJABU_GUID@@PAPAX@Z
000045A0 000045CF ?Release@CicBridge@@UAGKXZ
000045D4 000045D9 ?OnSysShellProc@CicBridge@@UAGJHIJ@Z
000045DE 00004652 ?UnInitIMMX@CicBridge@@QAEHPAVTLS@@@Z
00004657 0000466C ?SetCallbackPV@CThreadMgrEventSink@@IAEXPAX@Z
00004671 0000469B ?IsOwnDim@CicBridge@@SGHPAUITfDocumentMgr@@@Z
000046A0 000046EA ?OnSetKorImxConversionMode@CicBridge@@AAEJPAUITfThreadMgr_P@@AAVIMCLock@@AAVCicInputContext@@@Z
000046EF 0000471D ?PostTransMsg@CicBridge@@AAEXPAUHWND__@@HPAUtagTRANSMSG@@@Z
00004722 0000473F ??0?$IMCCLock@UtagCTFIMECONTEXT@@@@QAE@PAUHIMCC__@@@Z
00004744 00004765 ??_EInternalIMCCLock@@UAEPAXI@Z
0000476A 0000486B ?InitIMMX@CicBridge@@QAEJPAVTLS@@@Z
00004870 00004933 ?DestroyInputContext@CicBridge@@QAEJPAVTLS@@PAUHIMC__@@@Z
00004938 00004A3F ?SetCompositionString@CicBridge@@QAEHPAVTLS@@PAUITfThreadMgr_P@@PAUHIMC__@@KPAXK3K@Z
00004A44 00004AC4 ?GetGuidAtom@CicBridge@@QAEJPAVTLS@@PAUHIMC__@@EPAK@Z
00004AC9 00004AE5 ?EnumDestroyInputContextCallback@CicBridge@@CGHPAUHIMC__@@J@Z
00004AEA 00004B16 ?ReadCompData@?$CompData@GG@@QAE?BHPAGK@Z
00004B1B 00004B3B ??1?$Interface_RefCnt@UITfContext@@@@UAE@XZ
00004B40 00004B60 ??1?$Interface_RefCnt@UITfDocumentMgr@@@@UAE@XZ
00004B65 00004B85 ??1?$Interface_RefCnt@UITfSourceSingle@@@@UAE@XZ
00004B8A 00004BAA ??1?$Interface_RefCnt@UITfContextOwnerServices@@@@UAE@XZ
00004BAF 00004BCF ??1?$Interface_RefCnt@UITfContext_P@@@@UAE@XZ
00004BD4 00004BF4 ??1?$Interface_RefCnt@UITfFunctionProvider@@@@UAE@XZ
00004BF9 00004C19 ??1?$Interface_RefCnt@UITfFnConfigure@@@@UAE@XZ
00004C1E 00004C3E ??1?$Interface_RefCnt@UITfFnConfigureRegisterWord@@@@UAE@XZ
00004C43 00004C63 ??1?$Interface_RefCnt@UITfRange@@@@UAE@XZ
00004C68 00004C88 ??1?$Interface_RefCnt@UITfFnReconversion@@@@UAE@XZ
00004C8D 00004CAD ??1?$Interface_RefCnt@UITfDisplayAttributeInfo@@@@UAE@XZ
00004CB2 00004CD2 ??1?$Interface_RefCnt@UITfConfigureSystemKeystrokeFeed@@@@UAE@XZ
00004CD7 00004CF8 ??_G?$Interface_RefCnt@UITfContext@@@@UAEPAXI@Z
00004CFD 00004D1E ??_G?$Interface_RefCnt@UITfDocumentMgr@@@@UAEPAXI@Z
00004D23 00004D4A ??_E?$Interface@UITfDocumentMgr@@@@UAEPAXI@Z
00004D4F 00004D70 ??_E?$Interface_RefCnt@UITfSourceSingle@@@@UAEPAXI@Z
00004D75 00004D96 ??_E?$Interface_RefCnt@UITfContextOwnerServices@@@@UAEPAXI@Z
00004D9B 00004DBC ??_G?$Interface_RefCnt@UITfContext_P@@@@UAEPAXI@Z
00004DC1 00004DE2 ??_G?$Interface_RefCnt@UITfFunctionProvider@@@@UAEPAXI@Z
00004DE7 00004E08 ??_G?$Interface_RefCnt@UITfFnConfigure@@@@UAEPAXI@Z
00004E0D 00004E2E ??_E?$Interface_RefCnt@UITfFnConfigureRegisterWord@@@@UAEPAXI@Z
00004E33 00004E54 ??_G?$Interface_RefCnt@UITfRange@@@@UAEPAXI@Z
00004E59 00004E7A ??_E?$Interface_RefCnt@UITfFnReconversion@@@@UAEPAXI@Z
00004E7F 00004EA0 ??_E?$Interface_RefCnt@UITfDisplayAttributeInfo@@@@UAEPAXI@Z
00004EA5 00004EC6 ??_E?$Interface_RefCnt@UITfConfigureSystemKeystrokeFeed@@@@UAEPAXI@Z
00004ECB 00004EF0 ??0?$Interface_RefCnt@UITfContext@@@@QAE@PAUITfContext@@@Z
00004EF5 00004F1A ??0?$Interface_RefCnt@UITfDocumentMgr@@@@QAE@PAUITfDocumentMgr@@@Z
00004F1F 00004F44 ??0?$Interface_RefCnt@UITfContextOwnerServices@@@@QAE@PAUITfContextOwnerServices@@@Z
00004F49 00005086 ?SetSize@?$CArray@GG@@QAEHHH@Z
0000508B 000050E4 ?ReadCompData@CWReconvertString@@QAE?BKPAUtagRECONVERTSTRING@@K@Z
000050E9 0000511D ?WriteCompData@?$CompData@GG@@QAEKPAGK@Z
00005122 0000513F ??0?$Interface_Attach@UITfContext@@@@QAE@PAUITfContext@@@Z
00005144 00005164 ??0?$Interface_Attach@UITfContext@@@@QAE@ABV0@@Z
00005169 00005186 ??0?$Interface_Attach@UITfDocumentMgr@@@@QAE@PAUITfDocumentMgr@@@Z
0000518B 000051AB ??0?$Interface_Attach@UITfDocumentMgr@@@@QAE@ABV0@@Z
000051B0 000051CD ??0?$Interface_Attach@UITfContextOwnerServices@@@@QAE@PAUITfContextOwnerServices@@@Z
000051D2 000051F9 ??_G?$Interface_Attach@UITfContext@@@@UAEPAXI@Z
000051FE 00005225 ??_G?$Interface_Attach@UITfDocumentMgr@@@@UAEPAXI@Z
