00033718 00033719 nullsub_10
0004BE85 0004BEDE ?LoadHistoryHelper@CMarkup@@QAEJPAUIStream@@PAUIBindCtx@@KPAUIMoniker@@0PAVCDwnBindData@@IPAKPAPAGPAULOADINFO@CDoc@@PAH@Z
000618B2 000618E2 ?HandleScrollbarMessage@CLayout@@QAEJPAVCMessage@@PAVCElement@@@Z
00067E80 00067E99 @__security_check_cookie@4
00067E9E 00067EC1 ?UIntAdd@@YGJIIPAI@Z
00067EC6 00067F46 __MemAllocClear@4
00067F4B 00068116 ___sbh_alloc_block
0006811B 00068161 ___sbh_alloc_block_from_page
00068166 0006818A ??_H@YGXPAXIHP6EPAX0@Z@Z
0006818F 00068221 ?GetPixelValueCore@CUnitValue@@QBEJPBVCDocScaleInfo@@W4DIRECTION@1@JJ@Z
00068226 00068249 ?ConvertTo@CUnitValue@@CGJJW4UNITVALUETYPE@1@0W4DIRECTION@1@JPAUtagSIZE@@@Z
0006824E 00068254 ??0CColorValue@@QAE@XZ
00068259 00068283 ?SetValue@CUnitValue@@QAEJJW4UNITVALUETYPE@1@@Z
00068288 000682C1 ??0CBorderDefinition@@QAE@XZ
000682C6 000682CC ??0CScriptAuthorHolder@@QAE@XZ
000682D1 000682F2 ?GetCiImpl@CImplPtrBag@@QAEPAXPBGKK@Z
000682F7 0006834E ?AssocFromStringCi@CAssocArray@@QBEPBVCAssoc@@PBGKK@Z
00068353 0006835A ??0CDwnCrit@@QAE@XZ
0006835F 000683A1 ?Init@CCriticalSection@@QAEJXZ
000683B4 000683C5 __SEH_epilog
000683CA 000683F2 ?HrInitializeCriticalSection@@YGJPAU_RTL_CRITICAL_SECTION@@@Z
00068404 0006843F __SEH_prolog
0006845F 00068498 ?StringLengthWorkerW@@YGJPBGIPAI@Z
0006849D 000684D4 ?StringCatNWorkerW@@YGJPAGIPBGI@Z
000684D9 00068522 ?StringCopyNWorkerW@@YGJPAGIPBGI@Z
00068527 00068559 ?GetCi@?$CPtrBagCi@K@@QAEKPBGK@Z
00068590 000685A3 ?GetThreadState@@YGPAUTHREADSTATE@@XZ
000685B0 000685D0 ?HasLookasidePtr@CMarkup@@QAEHH@Z
000685D5 000685F3 ?PrivateRelease@CBase@@UAGKXZ
000685F8 00068615 ??0CWin9xStackSave@@QAE@XZ
0006861A 0006862B ?AddRef@CIVersionVectorThunk@@UAGKXZ
