000064ED 0000650A ?SetupDelayloadErrorHandler@@YGXXZ
00006532 00006563 ?Init@CGetBlockFmtCommand@@SGJXZ
00006568 00006587 ?Init@CComposeSettingsCommand@@SGJXZ
0000658C 000065C0 ?InitMetrics@CEditTracker@@SGXXZ
000065C5 000065EE ___security_init_cookie
000065EE 00006629 __SEH_prolog
0000662E 00006654 ?IsFarEastLCID@@YGHK@Z
00006659 000066A7 ?IsBidiLCID@@YGHK@Z
000066AC 000066EC ?IsComplexLCID@@YGHK@Z
000066F1 0000675A ?IEisOS@@YGHK@Z
0000675F 0000699D ?InitUnicodeWrappers@@YGXXZ
000069A2 000069B0 ?IsTerminalServer@@YGHXZ
000069B5 000069BB _SHGetMachineInfo@4
000069C0 000069DF ?Init@CComModule@ATL@@QAEXPAU_ATL_OBJMAP_ENTRY@2@PAUHINSTANCE__@@@Z
000069E4 00006A38 ?AtlModuleInit@ATL@@YGJPAU_ATL_MODULE@1@PAU_ATL_OBJMAP_ENTRY@1@PAUHINSTANCE__@@@Z
00006A3D 00006A91 __DllMainStartup@12
00006A96 00006AFE __DllMainCRTStartup@12
00006B03 00006BF0 _DllMain@12
00006BF5 00006C0E @__security_check_cookie@4
00006C13 00006C2C ?Init@CRtfToHtmlConverter@@SGJXZ
00006C31 00006C59 ?HrInitializeCriticalSection@@YGJPAU_RTL_CRITICAL_SECTION@@@Z
00006C6C 00006C7D __SEH_epilog
00006C82 00006CF4 __CRT_INIT@12
00006CF9 00006CFF __initterm
00006D04 00006D0C ?IsBiDiLocalizedSystem@@YGHXZ
00006D11 00006D9C ?IsBiDiLocalizedSystemEx@@YGHPAG@Z
00006DA1 00006DE3 ?Mirror_GetUserDefaultUILanguage@@YGGXZ
00006E09 00006E46 __chkstk
000073B1 000073C4 ?ocslen@@YGHPBG@Z
000073C9 000073FD _InlineIsEqualGUID@8
00007402 00007411 ??0CComVariant@ATL@@QAE@XZ
00007416 0000742D ?wsprintf@@YAHPAGPBGZZ
00007432 00007462 ?InlineIsEqualUnknown@ATL@@YGHABU_GUID@@@Z
00007467 0000749E ?Init@_stdcallthunk@ATL@@QAEHKPAX@Z
000074A3 000074CD ?Init@CDynamicStdCallThunk@ATL@@QAEHKPAX@Z
000074D2 000074F0 ?DefWindowProcWrapW@CWindowImplBase@ATL@@QAEJIIJ@Z
000074F5 00007519 ?DoesVerbActivate@CComControlBase@ATL@@QAEHJ@Z
0000751E 0000753C ??0CExpansionVector@ATL@@QAE@XZ
00007541 0000755D ?EndOfVar@CRegParser@ATL@@IAEHXZ
0000763D 00007645 ?GenerateError@CRegParser@ATL@@IAEJI@Z
0000764A 00007665 ??0CRegParser@ATL@@QAE@PAVCRegObject@1@@Z
0000766A 00007692 ?IsSpace@CRegParser@ATL@@IAEHG@Z
00007697 000076B1 ?IncrementLinePos@CRegParser@ATL@@IAEXXZ
000076B6 000076D7 ?SkipWhiteSpace@CRegParser@ATL@@IAEXXZ
000076DC 000077E8 ?NextToken@CRegParser@ATL@@IAEJPAG@Z
00007864 00007895 ?CanForceRemoveKey@CRegParser@ATL@@IAEHPBG@Z
0000789A 000078D1 ?HasSubKeys@CRegParser@ATL@@IAEHPAUHKEY__@@@Z
000078D6 0000793B ?HasValues@CRegParser@ATL@@IAEHPAUHKEY__@@@Z
00007940 000079A3 ?SkipAssignment@CRegParser@ATL@@IAEJPAG@Z
000079A8 000079B0 ?Detach@CParseBuffer@ATL@@QAEPAGXZ
000079B5 000079E0 ??0CParseBuffer@ATL@@QAE@H@Z
000079E5 00007A26 ?AddChar@CParseBuffer@ATL@@QAEHG@Z
00007A2B 00007B1A ?Add@CExpansionVector@ATL@@QAEJPBG0@Z
00007B1F 00007B5C ?Find@CExpansionVector@ATL@@QAEPBGPAG@Z
00007B61 00007BA9 ?ClearReplacements@CExpansionVector@ATL@@QAEJXZ
00007BAE 00007BC5 ?AddReplacement@CRegObject@ATL@@QAGJPBG0@Z
00007BCA 00007BDB ?ClearReplacements@CRegObject@ATL@@QAGJXZ
00007BE0 00007BEB ?StrFromMap@CRegObject@ATL@@QAEPBGPAG@Z
00007BF0 00007C16 ?AtlA2WHelper@@YGPAGPAGPBDH@Z
00007C1B 00007C3A ?AddRef@CComTypeInfoHolder@ATL@@QAEXXZ
00007C3F 00007C71 ?Release@CComTypeInfoHolder@ATL@@QAEXXZ
00007C76 00007D0B ?GetTI@CComTypeInfoHolder@ATL@@QAEJKPAPAUITypeInfo@@@Z
00007D10 00007D2F ?GetTypeInfo@CComTypeInfoHolder@ATL@@QAEJIKPAPAUITypeInfo@@@Z
00007D34 00007D6F ?GetIDsOfNames@CComTypeInfoHolder@ATL@@QAEJABU_GUID@@PAPAGIKPAJ@Z
00007D74 00007DC8 ?Invoke@CComTypeInfoHolder@ATL@@QAEJPAUIDispatch@@JABU_GUID@@KGPAUtagDISPPARAMS@@PAUtagVARIANT@@PAUtagEXCEPINFO@@PAI@Z
00007DCD 00007E0D ?CreateInstance@CComClassFactory@ATL@@UAGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
00007E12 00007E36 ?LockServer@CComClassFactory@ATL@@UAGJH@Z
