0000123D 00001275 __CRT_INIT@12
0000127A 000012E9 __DllMainCRTStartup@12
000012EE 0000131F _DllMain@12
00001324 00001342 ?IsOldAImm@@YGHXZ
00001349 0000134A ?WIN32LR_DllThreadDetach@@YGXXZ
00001354 0000135D ?OldAImm_DllThreadAttach@@YGHXZ
00001362 0000137D ?IMTLS_Free@@YGXXZ
000013C5 000013CC ?OldAImm_DllThreadDetach@@YGXXZ
00001525 00001548 ?TFUninitLib@@YGXXZ
0000154D 0000154F _DllCanUnloadNow@0
00001554 00001560 ?COMBase_DllCanUnloadNow@@YGJXZ
0000157C 000015AD ?ProcessDettach@@YGXPAUHINSTANCE__@@@Z
000015B2 000015CA ?Delete@CCicCriticalSectionStatic@@QAEXXZ
000015CF 000015E6 ?OldAImm_DllProcessDetach@@YGXXZ
000015EB 0000162A ?_UnRegisterImeClass@ImmIfIME@@SGXXZ
0000164F 00001671 ?Init@CCicCriticalSectionStatic@@QAEHXZ
00001691 000016FE ___security_init_cookie
00001710 00001723 ?Close@CRegKey@ATL@@QAEJXZ
00001728 00001757 ?Open@CRegKey@ATL@@QAEJPAUHKEY__@@PBDK@Z
0000175C 00001789 ??0?$CMap@PAUHWND__@@PAU1@UGUID_MAP_CLIENT@CGuidMapList@@U23@@@QAE@H@Z
0000178E 000017B5 ?TFInitLib_PrivateForCiceroOnly@@YGHP6GJABU_GUID@@PAUIUnknown@@K0PAPAX@Z@Z
000017BA 000017E6 ??0CProcessIMM@@QAE@XZ
00001961 000019F5 ??0CFilterList@@QAE@XZ
000019FA 00001A1F ??0?$CMapStringToOb@UCParserTypeOfHwnd@@U1@@@QAE@H@Z
00001A24 00001B1D ?InitOSVer@@YGXXZ
00001B22 00001B3B @__security_check_cookie@4
00001B55 00001B99 ?ProcessAttach@@YGHPAUHINSTANCE__@@@Z
00001B9E 00001BD7 ?OldAImm_DllProcessAttach@@YGHPAUHINSTANCE__@@@Z
00001BDC 00001BED ?WIN32LR_DllProcessAttach@@YGHXZ
00001BF2 00001C89 ?_RegisterImeClass@ImmIfIME@@SGHP6GJPAUHWND__@@IIJ@Z@Z
00001C8E 00001C9D ??2@YAPAXI@Z
00001CA2 00001CB6 _cicMemAllocClear@4
00001CBB 00001DF0 ?DIMM12_DllProcessAttach@@YGHXZ
00001EBC 00001F07 ?GetSystemModuleHandle@@YGPAUHINSTANCE__@@PBD@Z
00001F0C 00001F8B ?Init@CicSystemModulePath@@QAEIPBDH@Z
00001FD0 00001FD6 __initterm
00002001 00002043 ?StringLengthWorkerA@@YGJPBDIPAI@Z
00002099 000020F4 ?IsDisabledTextServices@@YGHXZ
00002130 00002148 ?CreateInstance@CClassFactory@@UAGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
0000214D 000022B9 ?StringAToCLSID@@YGHPADPAU_GUID@@@Z
000022E0 00002349 ?HexStringToDword@@YGHAAPBDAAKHG@Z
0000234E 000023AD ?RunningInExcludedModule@@YGHXZ
000024AE 00002675 ?NoTipsInstalled@@YGHPAH@Z
0000267A 00002682 _DllGetClassObject@12
00002687 00002731 ?COMBase_DllGetClassObject@@YGJABU_GUID@@0PAPAX@Z
00002736 0000274A ?DllAddRef@@YGXXZ
0000274A 0000274E ?DllInit@@YGHXZ
00002753 0000282F ?IsTIPClsidEnabled@@YGHPAUHKEY__@@PADPAH@Z
00002851 00002884 ?StringCatWorkerA@@YGJPADIPBD@Z
00002889 000028C1 ?StringCopyWorkerA@@YGJPADIPBD@Z
000028C6 000028F9 ?FreeGlobalObjects@@YGXXZ
00002999 000029DF ?BuildGlobalObjects@@YGXXZ
000029F9 00002A07 ?Release@CClassFactory@@UAGKXZ
00002A0C 00002A4A ?DllRelease@@YGXXZ
00002A4F 00002A55 ?GetServerCritSec@@YGPAU_RTL_CRITICAL_SECTION@@XZ
00002A5A 00002A69 ??3@YAXPAX@Z
00002A6E 00002A84 _cicMemFree@4
00002A89 00002AE2 ?CActiveIMM_CreateInstance@@YGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
00002AE7 00002B67 ?IsInteractiveUserLogon@@YGHXZ
00002B6C 00002B72 _CheckTokenMembership@12
00002B9B 00002BB3 ?CreateInstance@CActiveIMMAppEx@@SGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
00002BB8 00002BFD ?QueryValueCch@CMyRegKey@@UAEJPADPBDK@Z
00002C02 00002C08 _GetFileVersionInfoA@16
00002C0D 00002C13 _GetFileVersionInfoSizeA@8
00002C18 00002C2C _cicMemAlloc@4
00002C31 00002DC0 ?IsTridentModule@@YGHXZ
00002DD1 00002E00 ?QueryValue@CMyRegKey@@UAEJAAKPBD@Z
00002E05 00002E1D ?CreateInstance@CActiveIMMApp@@SGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
00002E1D 00002E68 ?CActiveIMM_CreateInstance_Legacy@@YGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
00002E6D 00002E9E ?GetCompatibility@@YGXPAKPAH1@Z
00002EA3 00002FD3 ?IsTridentNewVersion@@YGHXZ
00002FE4 00003021 _VerQueryValueA@16
00003044 0000308C ?GetFn@@YGP6GHXZPAPAUHINSTANCE__@@PBD1@Z
00003091 000030DC ?LoadSystemLibrary@@YGPAUHINSTANCE__@@PBD@Z
000030E1 0000313F ?IsAimm12Enable@@YGKXZ
00003151 00003189 ?Open@CMyRegKey@@QAEJPAUHKEY__@@PBDK@Z
0000318E 000031A9 ?Close@CMyRegKey@@QAEJXZ
000031AE 000031C6 ?CreateInstance@CActiveIMMAppEx_Trident@@SGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
000031C6 00003551 ?CActiveIMM_CreateInstance_Trident@@YGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
00003B6E 00003B6F nullsub_1
00003B6F 00003B70 nullsub_2
0000452D 00004558 ?InternalDestroyTLS@TLS@@CGHXZ
0000455D 0000458B ?VerifyCreateInstance@CComActiveIMMApp@@SGHPAUIUnknown@@ABU_GUID@@PAPAX@Z
00004590 00004593 __purecall
00004598 000045B3 ??0CComObjectRootImmx@@QAE@XZ
000045B8 000045C5 ?PostCreateInstance@CActiveIMMAppEx@@SGXABU_GUID@@PAX@Z
000045CA 000045D7 ?PostCreateInstance@CActiveIMMAppEx_Trident@@SGXABU_GUID@@PAX@Z
000045DC 000045EA _DllRegisterServer@0
000045EF 000045FD _DllUnregisterServer@0
00004602 00004616 ??0?$CComObjectRoot_CreateInstance_Verify@VCActiveIMMAppEx@@@@QAE@XZ
0000461B 0000463D ??0CComActiveIMMApp@@QAE@XZ
000047B9 000047C1 ?End@CComActiveIMMApp@@UAGJXZ
000047C6 000047CE ?Pause@CComActiveIMMApp@@UAGJPAK@Z
000047D3 000047F3 ?CreateContext@CComActiveIMMApp@@UAGJPAPAUHIMC__@@@Z
000047F8 00004817 ?DestroyContext@CComActiveIMMApp@@UAGJPAUHIMC__@@@Z
0000481C 00004837 ?AssociateContext@CComActiveIMMApp@@UAGJPAUHWND__@@PAUHIMC__@@PAPAU3@@Z
0000483C 00004861 ?AssociateContextEx@CComActiveIMMApp@@UAGJPAUHWND__@@PAUHIMC__@@K@Z
00004866 0000487E ?GetContext@CComActiveIMMApp@@UAGJPAUHWND__@@PAPAUHIMC__@@@Z
00004883 000048A5 ?ReleaseContext@CComActiveIMMApp@@UAGJPAUHWND__@@PAUHIMC__@@@Z
000048AA 000048C0 ?GetOpenStatus@CComActiveIMMApp@@UAGJPAUHIMC__@@@Z
000048C5 000048E7 ?SetOpenStatus@CComActiveIMMApp@@UAGJPAUHIMC__@@H@Z
000048EC 00004911 ?GetConversionStatus@CComActiveIMMApp@@UAGJPAUHIMC__@@PAK1@Z
