00001000 00001204 _LsCreateContext@8
00001204 00001295 _DisposeChunkArrays@4
00001295 000012A4 _AutonumDestroyILSObj@4
000012A4 00001361 _LsDestroyContext@4
00001361 0000138B _DestroyQuickHeap@4
0000138B 000014FB _DestroyILSObjText@4
000015AC 0000165B _CreateLNObjText@8
0000165B 00001679 _PvNewQuickProc@4
00001679 0000174A _LsCreateLine@40
00001ADA 00001B61 _LsSetDoc@16
00001C20 00001C3D _DestroyLNObjText@4
00001C3D 00001C4C _FlushQuickHeap@4
00001C92 00001D75 _LsDestroyLine@8
00001D75 00001D8D _DisposeQuickPvProc@8
00001D8D 00001DE6 _SetTextLineParams@8
00001DE6 00001F11 _LsdnFinishRegular@24
00001F4A 0000216B _QuickFormatting@28
0000238D 000023B9 _ZqFromZa_Asm@8
000023B9 00002423 _FmtText@12
00002457 000025C8 _PrepareLineForDisplayProc@4
00002628 00002634 _FSuspectDeviceDifferent@4
00002634 0000264E _LsdnFInChildList@12
000026F1 0000272A _GetObjDimSublineCore@8
0000272A 0000285C _FindListDims@12
000028C0 000028EA _LsdnSetStopr@12
000028EA 000028FF _FlushStringState@4
0000295B 000029FB _BreakQuickCase@24
00002A2D 00002AA1 _DestroyDnodeList@20
00002AA1 00002AE5 _FIsSublineEmpty@8
00002AE5 00002AEA _ReverseDestroyLNObj@4
00002AEA 00002B5C _LsQueryLineDup@24
00002B94 00002C31 _AllocChunkArrays@16
00002E36 00002EA7 _GetTrailInfoText@16
00002FF7 0000305E _GetWidths@40
000031E6 00003241 _FillRegularPresWidths@16
00003241 00003285 _FormatString@28
00003380 000033AF _LsLwMultDivR@12
000033F4 0000340D _LsdnGetObjDim@12
0000340D 00003461 _CalcPartWidths@16
0000365A 0000369F _GetVisiCharDup@20
0000375B 0000389C _GetTrailingInfoForTextGroupChunk@44
000038F0 00003A81 _LsDisplayLine@16
00003A81 00003AB8 _LsPointXYFromPointUV@16
00003AB8 00003B86 _DisplayText@8
00003BBB 00003C0B _RightMarginIncreasing@8
00003C0B 00003CD3 _BreakGeneralCase@36
00003EEA 000041AD _ProcessOneRun@24
000042F5 000044A3 _FetchAppendEscCore@36
000044A3 00004505 _HandleTab@4
00004505 00004533 _ResolvePrevTabCore@16
0000458B 0000460B _SetBreakText@20
00004612 00004648 _LssbGetObjDimSubline@12
00004648 0000467E _LssbGetDupSubline@12
0000467E 00004696 _GetDupSublineCore@8
00004696 000046C6 _FindListDup@12
000046C6 00004783 _CollectChunkAround@16
0000486C 000049B8 _FillChunkArray@8
00004AEA 00004B19 _SetPosInChunk@16
00004B60 00004B92 _CollectPreviousChunk@8
00004BD3 00004C5D _LsdnQueryObjDimRange@16
00004CD4 00004E0E _FindPrevBreakText@16
00004FB5 0000501F _GetPbrkinf@16
0000501F 000050D8 _FindNonSpaceBefore@20
00005322 000053D1 _TruncateText@8
000054AF 00005526 _LsGetMinDurBreaks@16
00005526 0000566E _GetMinDurBreaksCore@12
0000566E 000056D3 _LsEnumLine@16
000056D3 00005752 _EnumSublineCore@20
000057D7 0000584A _EnumObjText@44
00005E73 00005F3F _FindNonSpaceAfter@24
00006304 0000634D _FindNextChar@24
000064BE 00006567 _LsGetRubyLsimethods@4
00006567 0000660D _LsGetTatenakayokoLsimethods@4
0000660D 000066B3 _LsGetHihLsimethods@4
000066B3 0000675C _LsGetWarichuLsimethods@4
0000675C 00006802 _LsGetReverseLsimethods@4
00006802 0000688E _CreateQuickHeap@16
000068C9 00006CA9 _SetTextConfig@8
00006D3E 00006D82 _AutonumCreateILSObj@20
00006D82 00006DA5 _SetAutonumConfig@8
00006DA5 00006DC3 _RubySetDoc@8
00006DC3 00006DC8 _ReverseSetDoc@8
00006DC8 00006DE6 _WarichuSetDoc@8
00006DE6 00006E2F _SetDocText@8
00006EF2 00006F70 _LsSetModWidthPairs@20
00006F70 00007041 _SetTextModWidthPairs@20
0000708C 0000710F _LsSetBreaking@20
0000710F 000071E0 _SetTextBreaking@20
000071E0 00007278 _RubyCreateILSObj@20
00007278 000072FF _TatenakayokoCreateILSObj@20
000072FF 00007375 _HihCreateILSObj@20
00007375 0000743D _WarichuCreateILSObj@20
0000743D 000074CA _ReverseCreateILSObj@20
000074CA 00007511 _CreateILSObjText@20
0000762D 000076ED _LsQueryLineCpPpoint@24
00007843 00007967 _QuerySublineCpPpointCore@24
00007967 00007979 _LsdnGetCpFirst@12
00007A27 00007BCD _QuickBreakText@16
00007BCD 00007BDF _LsdnGetPlsrun@12
00007E5C 00007E8C _GetOneCharDur@20
00007E8C 00007EC0 _GetOneCharDup@24
00007FEA 0000806E _AddCharacterWithWidth@24
00008170 000081A5 _LsdnFStoppedAfterChunk@12
000082DA 00008335 _CollectNextChunk@8
00008863 0000890C _QueryCpPpointText@16
00008D15 00008E29 _LsFetchAppendToCurrentSubline@36
00008E66 00008E92 _InitGroupChunkExt@12
0000901F 0000904B _LssbFDonePresSubline@8
000094DE 000095CF _AdjustText@68
000099D4 00009BC1 _CollectTextGroupChunk@16
00009BC7 00009CDA _FinalAdjustmentOnPres@36
00009CDA 00009CEA _LsdnSetTextDup@12
00009CEA 00009D4B _LsCreateSubline@20
00009D4B 00009E75 _CreateSublineCore@20
00009E75 00009EA7 _LsFinishCurrentSubline@8
00009EA7 00009F39 _FinishSublineCore@4
00009F39 00009F71 _IncreaseWchMacBy2@4
00009F71 0000A134 _LsdnSubmitSublines@36
0000A134 0000A16A _FAreTabsPensInSubline@4
0000A16A 0000A19F _LsDestroySubline@4
0000A19F 0000A1E6 _DestroySublineCore@20
0000A1E6 0000A204 _DestroyChunkContext@4
0000A3C9 0000A416 _GetFirstCharInChunk@28
0000A4F0 0000A53C _GetLastCharInChunk@28
0000A56B 0000A66D _DisplaySublineCore@24
0000A66D 0000A697 _AdvanceToNextDnode@12
0000A730 0000A74F _AdvanceToFirstDnode@12
0000A800 0000A841 _LsDisplaySubline@16
0000A926 0000A9D2 _DrawUnderlineMerge@44
0000AB73 0000AC52 _GetUnderlineMergeMetric@40
0000ACE3 0000AD38 _Div64_Asm@16
0000ADA9 0000ADD9 _Mul64_Asm@16
0000AE8B 0000AEB4 _AdvanceToFirstSubmittingDnode@12
0000AEB4 0000AEE9 _AdvanceToNextSubmittingDnode@12
0000AEF3 0000AF29 _CreateDisplayTree@4
0000AF39 0000AF5F _DestroyDisplayTree@4
0000B587 0000B5DA _LsFindPrevBreakSubline@32
0000B5DA 0000B776 _FindPrevBreakSublineCore@32
0000B8F6 0000B949 _FCanBreakBeforeNextChunkCore@12
0000B949 0000BB59 _DuplicateChunkContext@8
0000BB59 0000BBA3 _LsSetBreakSubline@20
0000BBA3 0000BC07 _SetBreakSublineCore@20
0000BCFA 0000BEA0 _FindNextBreakText@16
0000D47A 0000D52A _GetCurTabInfoCore@24
0000D5D9 0000D6F9 _QueryPointPcpText@16
0000D6F9 0000D794 _LsQueryLinePointPcp@24
0000D794 0000D915 _QuerySublinePointPcpCore@24
0000D915 0000D967 _LsPointUV2FromPointUV1@20
00012D70 00012D83 _AutonumGetSpecialEffectsInside@8
00012D83 00012D92 _AutonumCalcPresentation@16
00012D92 00012D98 _AutonumTruncateChunk@8
00012D98 00012D9E _AutonumFindPrevBreakChunk@16
00012D9E 00012DA4 _AutonumForceBreakChunk@12
00012DA4 00012DAA _AutonumSetBreak@20
00012DAA 00012DDD _AutonumDisplay@8
00012DDD 00012E05 _AutonumDestroyDobj@4
00012E05 00012E78 _AllignAutonum95@28
00012E78 00012EE2 _AllignAutonum@32
00012EE2 00012EFD _AutonumEnumerate@44
00012EFD 00013045 _AutonumFmt@12
000131CC 00013272 _SqueezeSublineCore@16
00013302 00013372 _GetLineDurCore@12
000134FE 0001353D _TruncateSublineCore@12
0001353D 000136F4 _FindNextBreakSublineCore@32
000136F4 000138B3 _ForceBreakSublineCore@28
000138B3 00013935 _GetUrPenAtBeginingOfLastChunk@20
00013935 00013C24 _FindPointOffset@28
00013C68 00013CE7 _CollectPreviousTextGroupChunk@16
000145FB 00014614 _CalcPresentationText@16
00014614 000146CE _GetStrikeMetric@20
000146CE 00014785 _StrikeDnode@40
00014785 000147E4 _FindListFinalPenMovement@20
000147E4 00014800 _DurBorderFromDnodeInside@4
00014800 00014849 _FSpacesOnly@8
0001486A 00014940 _HihFmt@12
00014940 00014953 _HihGetSpecialEffectsInside@8
00014953 00014962 _HihCalcPresentation@16
00014962 0001497D _HihQueryPointPcp@16
0001497D 00014997 _HihDisplay@8
00014997 000149A5 _HihDestroyDobj@4
000149A5 000149DB _HihEnum@44
000149F2 00014A56 _LsModifyLineHeight@24
00014A56 00014AC8 _LsGetLineDur@16
00014C80 00014DD6 _LsFetchAppendToCurrentSublineResume@44
00014DD6 00014EC6 _LsAppendRunToCurrentSubline@24
00014EC6 00014F00 _LsResetRMInCurrentSubline@8
00014F00 00014F49 _LsTruncateSubline@12
00014F49 00014F9C _LsFindNextBreakSubline@32
00014F9C 00014FEC _LsForceBreakSubline@28
00014FEC 0001500A _LsMatchPresSubline@4
0001500A 00015032 _LsExpandSubline@12
00015032 0001505A _LsCompressSubline@12
0001505A 00015086 _LsGetSpecialEffectsSubline@8
00015086 000150CD _LsSqueezeSubline@16
000150CD 000151A4 _LsdnFinishRegularAddAdvancePen@36
000151A4 00015215 _LsdnFinishDelete@8
00015215 0001533B _LsdnFinishByPen@28
0001533B 000154A3 _LsdnFinishBySubline@12
000154A3 000155F5 _LsdnFinishDeleteAll@8
000155F5 000156AA _LsdnFinishByOneChar@24
000156AA 000157E0 _LsdnGetCurTabInfo@8
000157E0 0001584D _LsdnResolvePrevTab@4
0001584D 000158C3 _LsdnSkipCurTab@4
000158C3 00015911 _LsdnSetRigidDup@12
00015911 00015963 _LsdnGetDup@12
00015963 000159ED _LsdnResetObjDim@12
000159ED 00015ADC _LsdnResetPenNode@20
00015ADC 00015B2D _LsdnQueryPenNode@20
