00001AF8 00001B9C DllEntryPoint
00002E2A 00002E2B nullsub_13
00003117 00003118 nullsub_15
00003259 00003265 EbLibraryLoad
000035A4 00003657 ThunRTMain
000067AC 000067DB EbCreateContext
000067ED 00006807 EbSetContextWorkerThread
00006C28 00006C38 Zombie_AddRef
00006C5C 00006C73 BASIC_CLASS_QueryInterface
00007567 0000756A nullsub_10
00008ECA 000090E1 EbLoadRunTime
00009474 00009477 nullsub_1
0000A0E5 0000A127 DllFunctionCall
0000A19D 0000A1A3 GetLastError
0000A1A3 0000A1C5 rtcCommandBstr
0000A278 0000A27E SysFreeString
0000A27E 0000A39E __vbaInStr
0000A3BF 0000A3E7 __vbaStrToAnsi
0000AB29 0000AB61 EbGetObjConnectionCounts
0000AD53 0000ADA2 EbResetProjectNormal
0000CA33 0000CA50 EbIsProjectOnStack
0000CA50 0000CA7A EbResetProject
0000CF34 0000CFF3 TipUnloadProject
0000E4BF 0000E4D4 EbDestroyContext
0000EA13 0000EA23 Zombie_Release
0001CE4F 0001CE50 nullsub_9
0001DF0D 0001DF0E nullsub_14
0001EDB4 0001EDB5 nullsub_8
000202BE 000202BF nullsub_7
0002233D 0002233E nullsub_6
00022C67 00022C68 nullsub_16
0004AF4D 0004AF4E nullsub_12
00052E31 00052E34 nullsub_2
00052F06 00052F12 Proc
0005EE2D 0005EE85 EnumFunc
00061C8C 00061CED fn
00062A11 00062A14 nullsub_11
00065358 00065367 BASIC_DISPINTERFACE_GetTICount
0006C209 0006C259 DialogFunc
0006C259 0006C2E2 proc
00088779 0008877C nullsub_3
0009377B 00093888 UserDllMain
000938EF 00093966 VBDllCanUnloadNow
00093966 00093ABB VBDllGetClassObject
00093ABB 00093B43 VBDllRegisterServer
00093B43 00093B8D VBDllUnRegisterServer
0009FA7D 0009FB02 DllGetClassObject
0009FB02 0009FB0E DllCanUnloadNow
000A67C7 000A67C8 EbLibraryUnload
000B751C 000B75ED TimerFunc
000BC074 000BC0CE pfnCallback
000C5EB3 000C5FF1 DllRegisterServer
000C6091 000C6104 DllUnregisterServer
000C619E 000C6284 DLLGetDocumentation
000C92D4 000C93C7 EbGetVBAObject
000C962C 000C9651 BASIC_DISPINTERFACE_GetTypeInfo
000C98E0 000C997E EVENT_SINK_QueryInterface
000C99CF 000C99E2 EVENT_SINK_AddRef
000C99E2 000C99F5 EVENT_SINK_Release
000C99F5 000C9A07 EVENT_SINK2_AddRef
000C9A07 000C9A19 EVENT_SINK2_Release
000C9A19 000C9A37 EVENT_SINK_GetIDsOfNames
000C9A37 000C9A90 EVENT_SINK_Invoke
