000012D0 000013F2 memset
00001400 00001761 memcpy
00001780 00001BD0 memmove
00002140 000021ED memchr
00002200 0000225B _memccpy
00002260 00002267 strcpy
00002270 00002358 strcat
00002360 000023E8 strcmp
00002400 00002446 strcspn
00002450 000024DB strlen
00002500 00002635 strncat
00002640 00002764 strncpy
00002780 000027AB _strnset
000027B0 000027F0 strpbrk
00002800 0000282D strrchr
00002840 00002875 _strrev
00002880 000028A1 _strset
000028B0 000028F6 strspn
000028F8 00002917 _EH_prolog
00002947 0000296C _NLG_Return
00002980 00002989 _inp
00002989 00002991 _inpw
00002991 00002998 _inpd
000029A0 000029AD _outp
000029AD 000029BA _outpw
000029BA 000029C5 _outpd
00002A00 00002A90 _local_unwind4
00002AD6 00002AF2 _seh_longjmp_unwind4
000031C8 00003276 _except_handler2
00003280 000032B8 _setjmp
000032C0 0000333B _setjmp3
00003340 00003354 _CIsqrt
00003354 0000335D sqrt
00003400 0000343F acos
00003440 0000348F _CIacos
00003550 0000358F asin
00003590 000035DF _CIasin
000036C0 000036FF atan
00003700 0000374F _CIatan
00003800 0000383F cos
00003840 0000388F _CIcos
00003940 0000397F log
00003980 000039CF _CIlog
00003AC0 00003AFF log10
00003B00 00003B4F _CIlog10
00003C10 00003C4F sin
00003C50 00003C9F _CIsin
00003D40 00003D7F tan
00003D80 00003DCF _CItan
00003E80 00003EA7 _ftol
00003EB0 00003FCD ceil
00004040 00004161 floor
000041C0 00004308 modf
00004350 0000435A fmod
0000435A 00004364 _CIfmod
000044FC 000044FD nullsub_1
00004600 0000463F pow
00004640 00004694 _CIpow
00004A60 00004A6A atan2
00004A6A 00004A74 _CIatan2
0000F570 0000F57A sinh
0000F57A 0000F581 cosh
0000F581 0000F588 tanh
0000F588 0000F592 _CIsinh
0000F592 0000F599 _CIcosh
0000F599 0000F5A0 _CItanh
0000F948 0000FA46 _except_handler3
0000FA46 0000FA61 _seh_longjmp_unwind
0000FA70 0000FA90 _global_unwind2
0000FAD5 0000FB59 _local_unwind2
0000FB59 0000FB7C _abnormal_termination
0000FB9C 0000FBA4 _NLG_Dispatch2
0000FBA6 0000FBA7 _NLG_Return2
0000FBC0 0000FBFB exp
0000FBFC 0000FCEB _CIexp
00010080 00010106 strstr
00010120 000101DE strchr
000101DE 000101EE ??1type_info@@UAE@XZ
000102C0 000102C5 _longjmpex
000102E0 0001038D longjmp
00010391 000103AE __set_flsgetvalue
000103DD 000103F3 _getptd
000103F3 000104AC strncmp
000104AC 000104FB strcpy_s
00010522 0001053E _finite
0001053E 000105B3 strncpy_s
000105B3 000105EB _isnan
000105EB 00010606 ??2@YAPAXI@Z
00010606 00010652 wcscpy_s
00010652 00010679 wcschr
000106A0 000106E8 __SEH_prolog4_GS
000106E8 000106F7 __SEH_epilog4_GS
0001070E 000107AD qsort
00010DC3 00010E16 _towupper_l
00010E16 00010E29 towupper
00010E29 00010F5C memcmp
00010F5C 00010F9A memcpy_s
00010F9A 00010FBA wcsnlen
00010FBA 00010FE0 free
00010FE0 00010FE8 ??3@YAXPAX@Z
00010FEB 00011036 malloc
00011063 00011069 __p__iob
00011069 0001107A _errno
00011180 000111C6 _fputwc_nolock
0001126F 000112CB _mbtowc_l
000113D8 00011411 wcsncmp
00011439 0001146E _isleadbyte_l
0001146E 0001149E wcsrchr
0001149E 000114C2 isdigit
000115DB 0001163B wcscat_s
00011A05 00011A98 _vsnwprintf_l
00011A98 00011AB5 _vsnwprintf
00011E3C 00011E76 iswctype
00011E76 00011E89 iswspace
00012085 0001209F wcstoul
0001209F 000120B4 _fileno
000120B4 000120F0 _flsbuf
00012186 0001218E _wtoi
000121C6 000121E0 wcstol
000121E0 000121F6 _wtol
000121F6 0001221A tolower
0001221A 00012235 wcslen
0001224B 0001225E isleadbyte
00012305 00012329 isspace
00012745 00012767 sscanf
00012767 000127DB _ungetc_nolock
000128D7 00012963 wcsncpy_s
000129D9 00012A53 _wcsnicmp
00012A58 00012B0D bsearch
00012B32 00012B54 _malloc_crt
00012B5D 00012B99 __dllonexit
00012BBC 00012BDE _msize
00012C18 00012C36 _initterm
00012C36 00012C5A _initterm_e
00012CC1 00012CF9 _strnicmp
00012CF9 00012D1F _stricmp
000131E1 00013234 _vsprintf_s_l
00013234 00013252 sprintf_s
0001362C 000136A3 _vsnwprintf_s_l
000136E1 00013701 _vsnwprintf_s
00013962 000139CA _wcsicmp
00013AF8 00013B47 _towlower_l
00013B47 00013B5A towlower
00013BB5 00013BC8 iswupper
00013C1A 00013C6C _stricmp_l
00013C7C 00013CEF _dupenv_s
00013D73 00013DE0 _strnicmp_l
00013DE0 00013E4F _strnicoll_l
00013E4F 00013EBE _mbsnbicoll_l
00013EBE 00013ED8 _mbsnbicoll
00013ED8 00013EEA srand
00013EEA 00013F30 _time64
0001445B 000144D0 _vsnprintf_s_l
000144D0 000144F0 _vsnprintf_s
0001451B 0001456E _vswprintf_s_l
0001456E 0001458B vswprintf_s
00014792 000147B3 _snwprintf_s
000149A2 000149AD ??_V@YAXPAX@Z
000149E6 00014B2F _wsplitpath_s
00014B38 00014C30 _fread_nolock_s
00014C5F 00014CEE _lseek
00014D0C 00014D7C _fseek_nolock
00014D84 00014E24 _read
00014E44 00014F3D _filbuf
00014F7B 00014FD6 fseek
000150CB 00015112 _get_osfhandle
00015179 000151E0 fread_s
000151FC 00015219 fread
0001537F 00015406 _wfsopen
000155CC 000155EC _wsopen_s
0001596A 00015986 _get_fmode
0001598E 00015A15 _close
00015A34 00015A89 _fclose_nolock
00015A89 00015ADF fclose
00015B04 00015B30 calloc
00015B30 00015B7F _wcsdup
00015C08 00015C66 _wfullpath
00015C75 00015CF2 _wcsnicoll
00015D63 00015E37 _wdupenv_s
00015E37 00015F32 _wmakepath_s
000162FE 0001632A strtol
0001632A 00016332 atoi
00016332 00016348 atol
000163AD 000163DD _fgetwc_nolock
0001685C 000168EE _ungetwc_nolock
00016950 00016972 swscanf
00016972 000169C0 _wcslwr
000169C0 000169E6 _set_error_mode
00016A0F 00016A18 _encoded_null
00016C6F 00016CA2 __EH_prolog3
00016CA2 00016CBF ??0exception@std@@QAE@ABQBDH@Z
00017021 0001703E _freea_s
000171E1 00017227 __crtLCMapStringA
0001722D 00017263 _onexit
00017284 0001729B atexit
00017564 00017578 __EH_epilog3
000175D7 000175DF ??1exception@std@@UAE@XZ
000175DF 000175F8 ?_Tidy@exception@std@@AAEXXZ
000175F8 00017625 ??4exception@std@@QAEAAV01@ABV01@@Z
00017625 0001764A ??0exception@std@@QAE@ABV01@@Z
00017852 000179CB _setmbcp
00017C31 00017C67 __EH_prolog3_catch
00017F00 00017F16 __alloca_probe_16
00017F16 00017F2C __alloca_probe_8
00017F40 00017F6B __alloca_probe
000180A0 000180BD ??0__non_rtti_object@std@@QAE@ABV01@@Z
000180E5 000180F4 __set_app_type
00018300 0001836B __wgetmainargs
00023E8B 00023EB7 _CreateFrameInfo
00023F42 00023F7B __TypeMatch
00024108 0002411C ?_ValidateWrite@@YAHPAXI@Z
0002411C 000241D8 __BuildCatchObjectHelper
000241F4 0002424C __BuildCatchObject
0002426C 00024297 _FindAndUnlinkFrame
00024481 000244A9 __DestructExceptionObject
000244ED 00024508 _IsExceptionObjectToBeDestroyed
0002455C 00024562 RtlUnwind
00024A65 00024B29 _except_handler4_common
00024B29 00024B9C strncat_s
00024BB6 00024BD3 __AdjustPointer
00024BD3 00024C42 _CxxThrowException
00024D9C 00024DD2 __CxxFrameHandler3
00025080 000250C5 __SEH_prolog4
000250C5 000250D9 __SEH_epilog4
000250D9 000250FD _lock
000250FD 00025114 _unlock
000251D4 000251F4 DllEntryPoint
000252E0 00025309 _calloc_crt
000253DE 0002547A _initptd
000254B1 0002560D _control87
0002560D 00025647 _controlfp_s
00025A22 00025AA1 _vsnprintf_l
00025AA1 00025ABE _vsnprintf
00025D81 00025E65 _freefls
00025E99 00025ED6 _lock_file
00025EFE 00025F36 _unlock_file
00025F80 00025FC4 fflush
00025FE4 00026016 _fflush_nolock
00026628 0002663E exit
0002663E 0002664D _cexit
00026694 00026752 _fcloseall
00026839 00026842 _flushall
00026DBF 00026DF7 __clean_type_info_names_internal
00029C8B 00029C96 Func
000341C9 000341DE ??0?$_SpinWait@$0A@@details@Concurrency@@QAE@P6AXXZ@Z
000341DE 0003424C ?_SpinOnce@?$_SpinWait@$00@details@Concurrency@@QAE_NXZ
00034286 00034289 ?_DoYield@?$_SpinWait@$00@details@Concurrency@@IAEXXZ
00034289 00034299 ?_Reset@?$_SpinWait@$00@details@Concurrency@@IAEXXZ
00034299 000342BD ?_SetSpinCount@?$_SpinWait@$00@details@Concurrency@@QAEXI@Z
000342F8 00034358 ?_CheckTaskCollection@_UnrealizedChore@details@Concurrency@@IAEXXZ
0003485A 0003486D ?Id@Context@Concurrency@@SAIXZ
0003486D 00034881 ?VirtualProcessorId@Context@Concurrency@@SAIXZ
00034881 00034895 ?ScheduleGroupId@Context@Concurrency@@SAIXZ
00034895 000348A6 ?Block@Context@Concurrency@@SAXXZ
000348A6 000348B2 ?Yield@Context@Concurrency@@SAXXZ
000348B2 000348BE ?_SpinYield@Context@Concurrency@@SAXXZ
000348BE 000348E4 ?IsCurrentTaskCollectionCanceling@Context@Concurrency@@SA_NXZ
000348E4 000348EE ?CurrentContext@Context@Concurrency@@SAPAV12@XZ
000348EE 00034904 ?Oversubscribe@Context@Concurrency@@SAX_N@Z
00034D7C 00034D94 ??4?$_SpinWait@$0A@@details@Concurrency@@QAEAAV012@ABV012@@Z
00034D94 00034DA0 ??_F?$_SpinWait@$0A@@details@Concurrency@@QAEXXZ
0003553F 000355AA ?_SpinOnce@?$_SpinWait@$0A@@details@Concurrency@@QAE_NXZ
00035925 00035928 ?_DoYield@?$_SpinWait@$0A@@details@Concurrency@@IAEXXZ
00035928 00035938 ?_Reset@?$_SpinWait@$0A@@details@Concurrency@@IAEXXZ
00035938 0003593C ?_NumberOfSpins@?$_SpinWait@$0A@@details@Concurrency@@IAEKXZ
0003593C 00035949 ?_ShouldSpinAgain@?$_SpinWait@$0A@@details@Concurrency@@IAE_NXZ
0003597C 000359A2 ?_SetSpinCount@?$_SpinWait@$0A@@details@Concurrency@@QAEXI@Z
000359A2 000359B6 ?Id@CurrentScheduler@Concurrency@@SAIXZ
000359B6 000359CA ?GetNumberOfVirtualProcessors@CurrentScheduler@Concurrency@@SAIXZ
000359CA 000359E9 ?GetPolicy@CurrentScheduler@Concurrency@@SA?AVSchedulerPolicy@2@XZ
000359E9 000359F2 ?Get@CurrentScheduler@Concurrency@@SAPAVScheduler@2@XZ
000359F2 00035A10 ?Create@CurrentScheduler@Concurrency@@SAXABVSchedulerPolicy@2@@Z
00035A10 00035A42 ?Detach@CurrentScheduler@Concurrency@@SAXXZ
00035A7C 00035AAF ?RegisterShutdownEvent@CurrentScheduler@Concurrency@@SAXPAX@Z
00035AB0 00035ABD ?CreateScheduleGroup@CurrentScheduler@Concurrency@@SAPAVScheduleGroup@2@XZ
00035ABD 00035AD7 ?ScheduleTask@CurrentScheduler@Concurrency@@SAXP6AXPAX@Z0@Z
00035B0A 00035BAB ?GetSharedTimerQueue@details@Concurrency@@YAPAXXZ
00035C10 00035C2D ??0event@Concurrency@@QAE@XZ
00035C2D 00035CA4 ??1event@Concurrency@@QAE@XZ
00035CA4 00035DE3 ?wait@event@Concurrency@@QAEII@Z
00035DE3 00035E80 ?reset@event@Concurrency@@QAEXXZ
00035E80 00035F5D ?set@event@Concurrency@@QAEXXZ
00035F5D 000362BC ?wait_for_multiple@event@Concurrency@@SAIPAPAV12@I_NI@Z
00036501 00036572 Callback
00036776 0003679A ??0scheduler_resource_allocation_error@Concurrency@@QAE@PBDJ@Z
0003679A 000367C6 ??0scheduler_resource_allocation_error@Concurrency@@QAE@J@Z
000367C6 000367E4 ??0unsupported_os@Concurrency@@QAE@PBD@Z
000367E4 00036808 ??0unsupported_os@Concurrency@@QAE@XZ
00036808 00036826 ??0scheduler_not_attached@Concurrency@@QAE@PBD@Z
00036826 0003684A ??0scheduler_not_attached@Concurrency@@QAE@XZ
0003684A 00036868 ??0improper_scheduler_attach@Concurrency@@QAE@PBD@Z
00036889 000368AD ??0improper_scheduler_attach@Concurrency@@QAE@XZ
000368AD 000368CB ??0improper_scheduler_detach@Concurrency@@QAE@PBD@Z
000368CB 000368EF ??0improper_scheduler_detach@Concurrency@@QAE@XZ
000368EF 0003690D ??0improper_scheduler_reference@Concurrency@@QAE@PBD@Z
0003690D 00036931 ??0improper_scheduler_reference@Concurrency@@QAE@XZ
00036931 0003694F ??0default_scheduler_exists@Concurrency@@QAE@PBD@Z
0003694F 00036973 ??0default_scheduler_exists@Concurrency@@QAE@XZ
00036973 00036991 ??0context_unblock_unbalanced@Concurrency@@QAE@PBD@Z
00036991 000369B5 ??0context_unblock_unbalanced@Concurrency@@QAE@XZ
000369B5 000369D3 ??0context_self_unblock@Concurrency@@QAE@PBD@Z
000369D3 000369D8 j_??1exception@std@@UAE@XZ
000369D8 000369FC ??0context_self_unblock@Concurrency@@QAE@XZ
000369FC 00036A1A ??0missing_wait@Concurrency@@QAE@PBD@Z
00036A1A 00036A3E ??0missing_wait@Concurrency@@QAE@XZ
00036A3E 00036A5C ??0bad_target@Concurrency@@QAE@PBD@Z
00036A5C 00036A80 ??0bad_target@Concurrency@@QAE@XZ
