00001222 0000127B memset
000013AE 0000155A __crtLCMapStringA
000016E9 000016FB malloc
0000174A 000017C4 strcpy
000017D5 0000183D strlen
00001AED 00001AFA @__security_check_cookie@4
00001B9C 00001CB3 _setmbcp
00001CBE 00001CDA _initterm
00001D5F 00001D91 _onexit
00001D91 00001DA3 atexit
000020A2 000020E4 _msize
0000211A 0000213C _lock
0000213C 00002151 _unlock
00002151 00002190 free
0000229F 0000230B DllEntryPoint
0000230B 00002346 __SEH_prolog
00002346 00002357 __SEH_epilog
00002357 000023C6 calloc
00002408 00002409 nullsub_3
0000240D 000024F3 _except_handler3
000024F3 0000250E _seh_longjmp_unwind
0000250E 0000252E _global_unwind2
00002550 000025B8 _local_unwind2
000025B8 000025DB _abnormal_termination
00002608 00002609 nullsub_5
0000262A 0000262B nullsub_4
00002652 000026C3 strcat
000026C3 000027E7 strncpy
00002811 000028CF strchr
000028CF 00002955 strstr
00002955 0000298E strncmp
0000298E 00002CC0 memmove
00002CC0 00002D47 strcmp
00002D47 00002D86 strpbrk
00002D86 00002EBB strncat
00002EBB 000031F0 memcpy
000031F0 00003234 strcspn
00003234 000032EC memcmp
00003438 00003457 _EH_prolog
000034A3 000034AC _inp
000034AC 000034B4 _inpw
000034B4 000034BB _inpd
000034BB 000034C8 _outp
000034C8 000034D5 _outpw
000034D5 000034E0 _outpd
000034E0 0000358E _except_handler2
0000358E 00003593 _longjmpex
00003593 000035CB _setjmp
000035CB 00003646 _setjmp3
00003646 000036BE longjmp
000036E1 0000373C _memccpy
0000373C 00003767 _strnset
00003767 0000379C _strrev
0000379C 000037BD _strset
000037BD 00003868 memchr
00003868 00003895 strrchr
00003895 000038D9 strspn
00003931 00003945 _CIacos
00003945 0000394E acos
000039FC 00003A10 _CIasin
00003A10 00003A19 asin
00003AC7 00003B06 atan
00003B06 00003B54 _CIatan
00003BDA 00003BE4 atan2
00003BE4 00003BEE _CIatan2
00003BEE 00003C02 _CIcos
00003C02 00003C0B cos
00003C9C 00003CA6 sinh
00003CA6 00003CB0 cosh
00003CB0 00003CBA tanh
00003CBA 00003CC4 _CIsinh
00003CC4 00003CCE _CIcosh
00003CCE 00003CD8 _CItanh
00003CD8 00003D13 exp
00003D13 00003D62 _CIexp
00003D62 00003D6C fmod
00003D6C 00003D76 _CIfmod
00003D94 00003DD3 log
00003DD3 00003E21 _CIlog
00003EE2 00003F21 log10
00003F21 00003F6F _CIlog10
00004030 0000406F pow
0000406F 000040C2 _CIpow
000042B8 000042CC _CIsin
000042CC 000042D5 sin
00004366 0000437A _CIsqrt
0000437A 00004383 sqrt
00004420 00004434 _CItan
00004434 0000443D tan
000045E9 00004A88 _adj_fdiv_r
00004AAE 00004AFA _adj_fdiv_m32
00004AFA 00004B46 _adj_fdiv_m64
00004B46 00004B7A _adj_fdiv_m16i
00004B7A 00004BAE _adj_fdiv_m32i
00004BAE 00004BFA _adj_fdivr_m32
00004BFA 00004C46 _adj_fdivr_m64
00004C46 00004C7A _adj_fdivr_m16i
00004C7A 00004CAE _adj_fdivr_m32i
00004CAE 00004CC3 _safe_fdiv
00004CC3 00004CD8 _safe_fdivr
00004EDE 00004F90 _adj_fprem
00005196 0000524B _adj_fprem1
0000524B 00005251 _safe_fprem
00005251 00005257 _safe_fprem1
00005257 0000525A _adj_fpatan
0000525A 0000525D _adj_fptan
0000525D 00005284 _ftol
00005284 0000539F ceil
0000539F 000054BE floor
000054BE 00005604 modf
000056FB 000056FC nullsub_6
000076ED 000076FD _cexit
0000842E 00008459 Func
000085BE 000085CA _flushall
000085CA 00008656 _fcloseall
000086F4 00008772 _rmtmp
000087B5 000087D9 ?_set_new_handler@@YAP6AHI@ZP6AHI@Z@Z
000087D9 000087DF ?_query_new_handler@@YAP6AHI@ZXZ
000087DF 000087FA _callnewh
000087FA 00008820 ?set_new_handler@@YAP6AXXZP6AXXZ@Z
00008820 0000883D ?_set_new_mode@@YAHH@Z
0000883D 00008843 ?_query_new_mode@@YAHXZ
00008843 0000886B _set_error_mode
0000886B 00008875 __set_app_type
00008875 00008886 __setusermatherr
00008D04 00008D15 exit
00008D15 00008D26 _exit
00008D26 00008D35 _c_exit
00008EEE 00008F48 __wgetmainargs
00008F48 00008F8E __getmainargs
00008F8E 00008FBE _amsg_exit
00008FC1 00008FC7 __p__acmdln
00008FC7 00008FCD __p__wcmdln
00008FCD 00008FD3 __p__amblksiz
00008FD3 00008FD9 __p___argc
00008FD9 00008FDF __p___argv
00008FDF 00008FE5 __p___wargv
00008FE5 00008FEB __p__commode
00008FEB 00008FF1 __p__daylight
00008FF1 00008FF7 __p__dstbias
00008FF7 00008FFD __p__environ
00008FFD 00009003 __p__wenviron
00009003 00009009 __p__fmode
00009009 0000900F __p__fileinfo
0000900F 00009015 __p___initenv
00009015 0000901B __p___winitenv
0000901B 00009021 __p__iob
00009021 00009027 __p__mbctype
00009027 0000902D __p__mbcasemap
0000902D 00009033 __p___mb_cur_max
00009033 00009039 __p__osver
00009039 0000903F __p__pctype
0000903F 00009045 __p__pwctype
00009045 0000904B __p__pgmptr
0000904B 00009051 __p__wpgmptr
00009051 00009057 __p__timezone
00009057 0000905D __p__tzname
0000905D 00009063 __p__winmajor
00009063 00009069 __p__winminor
00009069 0000906F __p__winver
00009365 000093A2 _endthread
000093A3 00009434 StartAddress
00009434 000094C5 _beginthread
000094C5 000094F5 _endthreadex
000096A7 000096AD __threadid
000096AD 000096B3 __threadhandle
00009ED0 00009ED9 _errno
00009ED9 00009EE2 __doserrno
0000A02B 0000A031 _get_heap_handle
0000A031 0000A050 _get_sbh_threshold
0000B289 0000B33E _set_sbh_threshold
0000B948 0000B958 _getmbcp
0000B958 0000BAA3 _mbsicmp
0000BAA3 0000BB36 _mbsnbcpy
0000BB36 0000BBCA _mbscmp
0000BBCA 0000BC19 _mbsdec
0000BC95 0000BCBC _mbspbrk
0000BCBC 0000C095 _assert
0000C095 0000C130 __dllonexit
0000C2DB 0000C2E1 __pwctype_func
0000C2E1 0000C2E7 __pctype_func
0000C2F7 0000C45B _XcptFilter
0000C45B 0000C476 __CppXcptFilter
0000C476 0000C47C ___setlc_active_func
0000C47C 0000C482 ___unguarded_readlc_active_add_func
0000C613 0000C616 _CRT_RTC_INIT
0000CE22 0000CF74 setlocale
0000CF7C 0000CF93 abort
0000CF93 0000D00C HandlerRoutine
0000D059 0000D062 __pxcptinfoptrs
0000D062 0000D203 signal
0000D203 0000D34B raise
0000D5A5 0000D6EC __security_error_handler
0000D6EC 0000D6FC _set_security_error_handler
0000D6FC 0000D705 __buffer_overrun
0000DA86 0000DA8C localeconv
0000E710 0000E716 ___mb_cur_max_func
0000E716 0000E72F ___lc_codepage_func
0000E72F 0000E748 ___lc_collate_cp_func
0000E748 0000E761 ___lc_handle_func
0000E9A4 0000EA38 LocaleEnumProc
0000F388 0000F4B8 __crtGetLocaleInfoW
0000F6F4 0000F744 fflush
0000F744 0000F7A2 fprintf
0000F7A2 0000F878 setvbuf
00010223 00010274 fclose
00010274 0001038D _flsbuf
000103CB 000103F6 _strdup
000103F6 00010420 wcscat
00010420 0001043C wcscpy
0001043C 00010452 wcslen
00010452 000104FF _wcsicmp
000104FF 0001053C wcsncpy
0001053C 0001056A _wcsdup
0001056A 0001059C wcscmp
0001059C 000105DC wcspbrk
000105DC 00010645 _stricmp
00010645 00010702 _wcsnicoll
00010702 00010724 wcschr
00010724 000107A3 _strnicmp
000107A3 00010822 _Getdays
00010822 000108B7 _Getmonths
