00001000 0000100A __initp_heap_handler
0000100A 0000103B ?_set_new_handler@@YAP6AHI@ZP6AHI@Z@Z
0000103B 00001044 ?_set_new_handler@@YAP6AHI@ZH@Z
00001044 00001051 ?_query_new_handler@@YAP6AHI@ZXZ
00001051 00001073 __callnewh
00001073 00001099 ?set_new_handler@@YAP6AXXZP6AXXZ@Z
00001099 000010D3 ?_set_new_mode@@YAHH@Z
000010D3 000010D9 ?_query_new_mode@@YAHXZ
000010D9 0000113D __set_error_mode
0000113D 00001164 ___set_app_type
00001164 00001182 ___get_app_type
00001182 00001199 ___setusermatherr
00001199 000011B7 __matherr
000011B7 00001345 parse_cmdline
00001345 000013F4 ___setargv
000013F4 0000155C wparse_cmdline
0000155C 0000160E ___wsetargv
00001610 0000163B __chkstk
00001640 0000166C __alloca_probe_16
0000166C 000016C2 check_managed_app
000016C2 000016E6 __amsg_exit
000016E6 0000170C ___crtCorExitProcess
0000170C 00001721 ___crtExitProcess
00001721 0000172A __lockexit
0000172A 00001733 __unlockexit
00001733 0000174D __initterm
0000174D 0000176D __initterm_e
0000176D 000017A4 __get_osplatform
000017A4 000017E0 __get_osver
000017E0 0000181C __get_winver
0000181C 00001858 __get_winmajor
00001858 00001894 __get_winminor
00001894 000018CB __get_wpgmptr
000018CB 00001902 __get_pgmptr
00001902 00001942 __cinit
00001942 00001A07 doexit
00001A07 00001A29 ___crtdll_callstaticterminators
00001A29 00001A3A _exit_0
00001A3A 00001A4B __exit
00001A4B 00001A5A __cexit
00001A5A 00001A69 __c_exit
00001A69 00001AB5 __init_pointers
00001AB5 00001C55 __NMSG_WRITE
00001C55 00001C75 __GET_RTERRMSG
00001C75 00001CAE __FF_MSGBANNER
00001CAE 00001D1B ___wgetmainargs
00001D1B 00001D61 ___getmainargs
00001D61 00001FE2 _check_manifest
00001FE2 00001FE8 ___p__acmdln
00001FE8 00001FEE ___p__wcmdln
00001FEE 00001FF4 ___p__amblksiz
00001FF4 00001FFA ___p___argc
00001FFA 00002000 ___p___argv
00002000 00002006 ___p___wargv
00002006 0000200C ___p__commode
0000200C 00002011 ___p__daylight
00002011 00002016 ___p__dstbias
00002016 0000201C ___p__environ
0000201C 00002022 ___p__wenviron
00002022 00002028 ___p__fmode
00002028 0000202E ___p___initenv
0000202E 00002034 ___p___winitenv
00002034 0000203A ___p__iob
0000203A 00002040 ___p__mbctype
00002040 00002046 ___p__mbcasemap
00002046 0000206E ___p___mb_cur_max
0000206E 00002074 ___p__osver
00002074 0000207A ___p__osplatform
0000207A 000020A2 ___p__pctype
000020A2 000020A8 ___p__pwctype
000020A8 000020AE ___p__pgmptr
000020AE 000020B4 ___p__wpgmptr
000020B4 000020B9 ___p__timezone
000020B9 000020BE ___p__tzname
000020BE 000020C4 ___p__winmajor
000020C4 000020CA ___p__winminor
000020CA 000020D0 ___p__winver
000020D0 0000231A __CRTDLL_INIT
0000231A 0000233D __CRTDLL_INIT@12
0000233D 00002386 __mtinitlocks
00002386 000023DB __mtdeletelocks
000023DB 000023F0 __unlock
000023F0 000024B3 __mtinitlocknum
000024B3 000024E4 __lock
000024E4 0000267C parse_cmdline_0
0000267C 00002728 __setargv
00002728 000027EC __setenvp
000027EC 0000281C __endthread
0000281C 0000285D _callthreadstart
0000285D 000028B8 _threadstart
000028B8 0000296F __beginthread
0000296F 0000298F __endthreadex
0000298F 000029D0 _callthreadstartex
000029D0 00002A37 _threadstartex
00002A37 00002AE5 __beginthreadex
00002AE5 00002B48 __encode_pointer
00002B48 00002B51 __encoded_null
00002B51 00002BB4 __decode_pointer
00002BB4 00002BBD ___crtTlsAlloc@4
00002BBD 00002BD2 ___fls_getvalue@4
00002BD2 00002BD8 ___get_flsindex
00002BD8 00002C02 ___set_flsgetvalue
00002C02 00002C1B ___fls_setvalue@8
00002C1B 00002C58 __mtterm
00002C58 00002D0C __initptd
00002D0C 00002D8F __getptd_noexit
00002D8F 00002DA7 __getptd
00002DA7 00002EC8 __freefls@4
00002EC8 00002F31 __freeptd
00002F31 00002F37 ___threadid
00002F37 00002F3D ___threadhandle
00002F3D 000030C1 __mtinit
000030C1 000030FC add
000030FC 00003188 find
00003188 0000336F match
0000336F 00003425 __cwild
00003425 00003571 wparse_cmdline_0
00003571 0000361C __wsetargv
0000361C 000036EC __wsetenvp
000036EC 00003727 wadd
00003727 000037B3 wfind
000037B3 00003998 wmatch
00003998 00003A53 __wcwild
00003A53 00003A7C __setdefaultprecision
00003A7C 00003A82 __getdrives
00003A82 00003AA2 __findclose
00003AA2 00003B06 ___timet_from_ft
00003B06 00003C2D __findfirst32
00003C2D 00003D53 __findnext32
00003D53 00003E83 __wfindfirst64i32
00003E83 00003FB2 __wfindnext64i32
00003FB2 00004018 ___time64_t_from_ft
00004018 00004148 __findfirst64i32
00004148 00004277 __findnext64i32
00004277 000042B2 __get_errno_from_oserr
000042B2 000042C5 __errno
000042C5 000042D8 ___doserrno
000042D8 000042F6 __dosmaperr
000042F6 00004311 __set_errno
00004311 0000433B __get_errno
0000433B 00004356 __set_doserrno
00004356 00004380 __get_doserrno
00004380 000044C5 ?__Detect_msvcrt_and_setup@@YAHXZ
000044C5 000044FC ?set_terminate@@YAP6AXXZP6AXXZ@Z
000044FC 0000451D __get_terminate
0000451D 00004554 ?set_unexpected@@YAP6AXXZP6AXXZ@Z
00004554 00004575 __get_unexpected
00004575 00004594 ?_set_se_translator@@YAP6AXIPAU_EXCEPTION_POINTERS@@@ZP6AXI0@Z@Z
00004594 000045A7 ?set_terminate@@YAP6AXXZH@Z
000045A7 000045BA ?set_unexpected@@YAP6AXXZH@Z
000045BA 000045CD ?_set_se_translator@@YAP6AXIPAU_EXCEPTION_POINTERS@@@ZH@Z
000045CD 00004620 ?terminate@@YAXXZ
00004620 0000464B ?unexpected@@YAXXZ
0000464B 00004682 ?_inconsistency@@YAXXZ
00004682 00004693 __initp_eh_hooks
00004693 000046A3 __set_malloc_crt_max_wait
000046A3 000046E3 __malloc_crt
000046E3 0000472B __calloc_crt
0000472B 00004776 __realloc_crt
00004776 000047C6 __recalloc_crt
000047C6 000047CE @_malloc_crt_fastcall@4
000047CE 000047D8 @_calloc_crt_fastcall@8
000047D8 000047E2 @_realloc_crt_fastcall@8
000047E2 0000480F __GetLinkerVersion
0000480F 000049C9 ___heap_select
000049C9 00004A2F __heap_init
00004A2F 00004ACC __heap_term
00004ACC 00004AD2 __get_heap_handle
00004AD2 00004BBF _free
00004BBF 00004C0E _V6_HeapAlloc
00004C0E 00004C6F _V5_HeapAlloc
00004C6F 00004D3F _malloc
00004D3F 00004EBE __calloc_impl
00004EBE 00004EFD _calloc
00004EFD 000052BC _realloc
000052BC 00005303 __recalloc
00005303 0000532E __get_sbh_threshold
0000532E 00005374 __set_amblksiz
00005374 000053B0 __get_amblksiz
000053B0 000053F8 ___sbh_heap_init
000053F8 00005423 ___sbh_find_block
00005423 00005737 ___sbh_free_block
00005737 000057E7 ___sbh_alloc_new_region
000057E7 000058ED ___sbh_alloc_new_group
000058ED 00005BCC ___sbh_resize_block
00005BCC 00005C99 ___sbh_heapmin
00005C99 00005F7B ___sbh_heap_check
