00021A95 00021AA4 __initp_heap_handler
00021AA9 00021ADF ?_set_new_handler@@YAP6AHI@ZP6AHI@Z@Z
00021AE4 00021AED ?_set_new_handler@@YAP6AHI@ZH@Z
00021AF2 00021AFF ?_query_new_handler@@YAP6AHI@ZXZ
00021B04 00021B2C __callnewh
00021B31 00021B3C ?set_new_handler@@YAP6AXXZP6AXXZ@Z
00021B41 00021B80 ?_set_new_mode@@YAHH@Z
00021B85 00021B8B ?_query_new_mode@@YAHXZ
00021B90 00021BDB __set_error_mode
00021BE0 00021BEF ___set_app_type
00021BF4 00021BFA ___get_app_type
00021BFF 00021C1B ___setusermatherr
00021C20 00021C45 __matherr
00021DDF 00021E90 ___setargv
0002200A 000220BF ___wsetargv
000220C4 000220F4 __crt_waiting_on_module_handle
00022157 00022180 __amsg_exit
00022185 000221B0 ___crtCorExitProcess
000221B5 000221CC ___crtExitProcess
000221D2 000221DB __lockexit
000221E0 000221E9 __unlockexit
000221EE 0002220C __initterm
00022211 00022235 __initterm_e
0002223A 00022276 __get_wpgmptr
0002227B 000222B7 __get_pgmptr
000222BC 00022301 __cinit
0002242E 00022450 ___crtdll_callstaticterminators
00022455 0002246B _exit_0
00022470 00022486 __exit
0002248B 0002249A __cexit
0002249F 000224AE __c_exit
000224B3 00022501 __init_pointers
00022506 000226B1 __NMSG_WRITE
000226B6 000226DC __GET_RTERRMSG
000226E1 0002271A __FF_MSGBANNER
0002271F 0002278E ___wgetmainargs
00022793 000227DB ___getmainargs
00022A57 00022A5D ___p__acmdln
00022A62 00022A68 ___p__wcmdln
00022A6D 00022A73 ___p__amblksiz
00022A78 00022A7E ___p___argc
00022A83 00022A89 ___p___argv
00022A8E 00022A94 ___p___wargv
00022A99 00022A9F ___p__commode
00022AA4 00022AA9 ___p__daylight
00022AAE 00022AB3 ___p__dstbias
00022AB8 00022ABE ___p__environ
00022AC3 00022AC9 ___p__wenviron
00022ACE 00022AD4 ___p__fmode
00022AD9 00022ADF ___p___initenv
00022AE4 00022AEA ___p___winitenv
00022AEF 00022AF5 ___p__mbctype
00022AFA 00022B00 ___p__mbcasemap
00022B05 00022B2D ___p___mb_cur_max
00022B32 00022B5A ___p__pctype
00022B5F 00022B65 ___p__pwctype
00022B6A 00022B70 ___p__pgmptr
00022B75 00022B7B ___p__wpgmptr
00022B80 00022B85 ___p__timezone
00022B8A 00022B8F ___p__tzname
00022D40 00022D65 __CRTDLL_INIT@12
00022D6A 00022DB5 __mtinitlocks
00022DBA 00022E11 __mtdeletelocks
00022E16 00022E2D __unlock
00022E32 00022EF5 __mtinitlocknum
00022EFA 00022F2D __lock
000230D1 0002317F __setargv
00023184 0002324C __setenvp
00023251 00023282 __endthread
000232CE 0002332B StartAddress
00023331 000233EA __beginthread
000233EF 00023412 __endthreadex
000234CD 0002357D __beginthreadex
00023582 000235F4 __encode_pointer
000235F9 00023602 __encoded_null
00023607 00023679 __decode_pointer
0002367E 00023687 ___crtTlsAlloc@4
0002368C 000236A6 ___fls_getvalue@4
000236AB 000236B1 ___get_flsindex
000236B6 000236EA ___set_flsgetvalue
000236EF 0002370C ___fls_setvalue@8
00023711 0002374E __mtterm
00023753 0002383A __initptd
0002383F 000238B8 __getptd_noexit
000238BD 000238D7 __getptd
000238DC 00023A0B __freefls@4
00023A10 00023A7E __freeptd
00023A83 00023A89 ___threadid
00023A8E 00023A94 ___threadhandle
00023A99 00023C26 __mtinit
00023EF5 00023FAD __cwild
00024108 000241B6 __wsetargv
000241BB 0002428F __wsetenvp
0002455C 00024619 __wcwild
000246AA 0002478D __VEC_memcpy
00024792 00025D92 _memcmp
00025E73 00025F02 __VEC_memzero
00025F07 00025F32 __setdefaultprecision
00025F40 00025F56 __alloca_probe_16
00025F56 00025F6C __alloca_probe_8
00025F80 00025FAB __chkstk
00025FB0 0002606F __fptostr
00026074 0002608A _atol
0002608F 000260A8 __atol_l
000260AD 000260B8 _atoi
000260BD 000260C8 __atoi_l
000260CD 000260E3 __atoi64
000260E8 00026101 __atoi64_l
00026106 0002615C __swab
00026161 0002633C __wchartodigit
00026341 00026357 __wtol
0002635C 00026375 __wtol_l
0002637A 00026385 __wtoi
0002638A 00026395 __wtoi_l
0002639A 000263B0 __wtoi64
000263B5 000263CE __wtoi64_l
0002641C 00026446 __itoa
0002644B 00026472 __ltoa
00026477 00026491 __ultoa
0002650A 0002653D __i64toa
00026542 0002655F __ui64toa
00026646 00026670 __itoa_s
00026675 0002669C __ltoa_s
000266A1 000266BB __ultoa_s
000267BD 000267F2 __i64toa_s
000267F7 00026816 __ui64toa_s
00026874 0002689E __itow
000268A3 000268CA __ltow
000268CF 000268E9 __ultow
00026972 000269A5 __i64tow
000269AA 000269C7 __ui64tow
00026AC7 00026AF3 __itow_s
00026AF8 00026B1F __ltow_s
00026B24 00026B3E __ultow_s
00026C4E 00026C83 __i64tow_s
00026C88 00026CA7 __ui64tow_s
00026CAC 00026CB2 __getdrives
00026CB7 00026D6D __getdiskfree
00026D72 00026D98 __findclose
00026D9D 00026E03 ___timet_from_ft
00026E08 00026F2F __findfirst32
00026F34 0002705A __findnext32
0002705F 000271AC __findfirst64
000271B1 000272FE __findnext64
00027303 0002736B ___time64_t_from_ft
00027370 000274A0 __findfirst64i32
000274A5 000275D4 __findnext64i32
000275D9 0002771D __findfirst32i64
00027722 00027866 __findnext32i64
0002786B 0002787B __seterrormode
00027880 0002789D __sleep
000278A2 000278B5 __beep
000278BA 000279E1 __wfindfirst32
000279E6 00027B0C __wfindnext32
00027B11 00027C5E __wfindfirst64
00027C63 00027DB0 __wfindnext64
00027DB5 00027EE5 __wfindfirst64i32
00027EEA 00028019 __wfindnext64i32
0002801E 00028162 __wfindfirst32i64
00028167 000282AB __wfindnext32i64
000282B0 00028339 __access_s
0002833E 00028356 __access
0002835B 000283CA __chmod
000283CF 00028507 __chdir
0002850C 0002854E __get_errno_from_oserr
00028553 00028566 __errno
0002856B 0002857E ___doserrno
00028583 000285A6 __dosmaperr
000285AB 000285CC __set_errno
000285D1 00028600 __get_errno
00028605 00028626 __set_doserrno
0002862B 0002865A __get_doserrno
0002865F 00028728 __getdrive
0002872D 000287CF __chdrive
000287D4 000288DE __fullpath
000288E3 0002891C __validdrive
00028921 00028A58 __getdcwd_nolock
00028A5D 00028AA6 __getcwd
00028AAB 00028AF5 __getdcwd
00028AFA 00028B00 __getpid
00028B05 00028B37 __mkdir
00028B3C 00028B6F _rename
00028B74 00028BA4 __rmdir
00028BA9 00028C66 ___dtoxmode
00028C6B 0002907D __stat32
000290E7 0002953D __stat64
000295C1 00029A00 __stat64i32
00029A05 00029E2E __stat32i64
00029E33 00029E63 _remove
00029E68 00029E73 __unlink
00029E78 00029F01 __waccess_s
00029F06 00029F1E __waccess
00029F23 0002A05B __wchdir
0002A060 0002A0CF __wchmod
0002A0D4 0002A1E2 __wfullpath
0002A1E7 0002A333 __wgetdcwd_nolock
0002A338 0002A381 __wgetcwd
0002A386 0002A3D0 __wgetdcwd
0002A3D5 0002A407 __wmkdir
0002A40C 0002A43F __wrename
0002A444 0002A474 __wrmdir
0002A479 0002A53C ___wdtoxmode
0002A541 0002A95A __wstat32
0002A9C4 0002AE21 __wstat64
