0000BB05 0000BB49 _isalpha
0000BB4E 0000BB8D _isupper
0000BB92 0000BBD1 _islower
0000BBD6 0000BC15 _isdigit
0000BC1A 0000BC5E _isxdigit
0000BC63 0000BCA2 _isspace
0000BCA7 0000BCE6 _ispunct
0000BCEB 0000BD2F _isalnum
0000BD34 0000BD78 _isprint
0000BD7D 0000BDC1 _isgraph
0000BDC6 0000BE05 _iscntrl
0000BE0A 0000BE1C ___isascii
0000BE21 0000BE2E ___toascii
0000BE33 0000BE52 ___iscsymf
0000BE57 0000BE76 ___iscsym
0000BE7B 0000BF13 _atol
0000BF18 0000BF23 _atoi
0000BF28 0000BFEB __atoi64
0000BFF0 0000C04F __fpcvt
0000C054 0000C09D __fcvt
0000C0A2 0000C0F5 __ecvt
0000C0FA 0000C1A5 __gcvt
0000C1F3 0000C21D __itoa
0000C222 0000C249 __ltoa
0000C24E 0000C268 __ultoa
0000C2E1 0000C314 __i64toa
0000C319 0000C336 __ui64toa
0000C392 0000C3BC __itow
0000C3C1 0000C3E8 __ltow
0000C3ED 0000C407 __ultow
0000C489 0000C4BC __i64tow
0000C4C1 0000C4DE __ui64tow
0000C4E3 0000C55C ___isctype_mt
0000C561 0000C58C __isctype
0000C591 0000C60B __mbstrlen
0000C877 0000C891 __strtoi64
0000C896 0000C8B0 __strtoui64
0000C8B5 0000C8E3 __swab
0000C8E8 0000C8F5 __tolower
0000C8FA 0000C9C4 ___tolower_mt
0000C9C9 0000C9F0 _tolower
0000C9F5 0000CA02 __toupper
0000CA07 0000CAD2 ___toupper_mt
0000CAD7 0000CAFE _toupper
0000CD5D 0000CD77 __wcstoi64
0000CD7C 0000CD96 __wcstoui64
0000CD9B 0000CE72 __wtof
0000CE77 0000CEDE __wtol
0000CEE3 0000CEEE __wtoi
0000CEF3 0000CF8B __wtoi64
0000CF90 0000CFD3 _atof
0000CFD8 0000D031 ___iswctype_mt
0000D036 0000D08B _iswctype
0000D090 0000D09B _is_wctype
0000D0A0 0000D0BA _isleadbyte
0000D0BF 0000D0D5 _iswalpha
0000D0DA 0000D0ED _iswupper
0000D0F2 0000D105 _iswlower
0000D10A 0000D11D _iswdigit
0000D122 0000D138 _iswxdigit
0000D13D 0000D150 _iswspace
0000D155 0000D168 _iswpunct
0000D16D 0000D183 _iswalnum
0000D188 0000D19E _iswprint
0000D1A3 0000D1B9 _iswgraph
0000D1BE 0000D1D1 _iswcntrl
0000D1D6 0000D1E7 _iswascii
0000D1EC 0000D278 _mblen
0000D27D 0000D37B ___mbstowcs_mt
0000D380 0000D3AE _mbstowcs
0000D3B3 0000D475 ___mbtowc_mt
0000D47A 0000D4A8 _mbtowc
0000D4AD 0000D546 _strtod
0000D711 0000D72B _strtol
0000D730 0000D74A _strtoul
0000D74F 0000D7B2 ___towlower_mt
0000D7B7 0000D80A _towlower
0000D80F 0000D872 ___towupper_mt
0000D877 0000D8C0 _towupper
0000D8C5 0000DA40 _wcstod
0000DC2B 0000DC45 _wcstol
0000DC4A 0000DC64 _wcstoul
0000DC69 0000DE11 ___wcstombs_mt
0000DE16 0000DE44 _wcstombs
0000DE49 0000DEAB ___wctomb_mt
0000DEB0 0000DEDB _wctomb
0000DEE0 0000DF61 __fptostr
0000DF66 0000E0E3 __wchartodigit
0000E0E8 0000E105 __sleep
0000E10A 0000E11D __beep
0000E122 0000E148 __findclose
0000E14D 0000E1B3 ___timet_from_ft
0000E1B8 0000E29F __findfirst
0000E2A4 0000E386 __findnext
0000E38B 0000E3F3 ___time64_t_from_ft
0000E3F8 0000E507 __findfirst64
0000E50C 0000E616 __findnext64
0000E61B 0000E721 __findfirsti64
0000E726 0000E827 __findnexti64
0000E82C 0000E880 __getdiskfree
0000E885 0000E88B __getdrives
0000E890 0000E8A0 __seterrormode
0000E8A5 0000E985 __wfindfirst
0000E98A 0000EA65 __wfindnext
0000EA6A 0000EB74 __wfindfirst64
0000EB79 0000EC7E __wfindnext64
0000EC83 0000ED84 __wfindfirsti64
0000ED89 0000EE85 __wfindnexti64
0000EE8A 0000EEE6 ___wgetmainargs
0000EEEB 0000EF33 ___getmainargs
0000EF38 0000EF6C __core_crt_dll_init
0000EF71 0000F120 ___CRTDLL_INIT@12
0000F125 0000F159 __amsg_exit
0000F162 0000F168 ___p__acmdln
0000F16D 0000F173 ___p__wcmdln
0000F178 0000F17E ___p__amblksiz
0000F183 0000F189 ___p___argc
0000F18E 0000F194 ___p___argv
0000F199 0000F19F ___p___wargv
0000F1A4 0000F1AA ___p__commode
0000F1AF 0000F1B5 ___p__daylight
0000F1BA 0000F1C0 ___p__dstbias
0000F1C5 0000F1CB ___p__environ
0000F1D0 0000F1D6 ___p__wenviron
0000F1DB 0000F1E1 ___p__fmode
0000F1E6 0000F1EC ___p__fileinfo
0000F1F1 0000F1F7 ___p___initenv
0000F1FC 0000F202 ___p___winitenv
0000F207 0000F20D ___p__iob
0000F212 0000F218 ___p__mbctype
0000F21D 0000F223 ___p__mbcasemap
0000F228 0000F22E ___p___mb_cur_max
0000F233 0000F239 ___p__osver
0000F23E 0000F244 ___p__pctype
0000F249 0000F24F ___p__pwctype
0000F254 0000F25A ___p__pgmptr
0000F25F 0000F265 ___p__wpgmptr
0000F26A 0000F270 ___p__timezone
0000F275 0000F27B ___p__tzname
0000F280 0000F286 ___p__winmajor
0000F28B 0000F291 ___p__winminor
0000F296 0000F29C ___p__winver
0000F2A1 0000F2B7 __CRTDLL_INIT@12
0000F2CA 0000F2D3 ___doserrno
0000F2D8 0000F350 __dosmaperr
0000F355 0000F3A0 __access
0000F3A5 0000F44D __chdir
0000F452 0000F4A7 __getdrive
0000F4AC 0000F53A __chdrive
0000F53F 0000F584 __chmod
0000F589 0000F635 __fullpath
0000F63A 0000F673 __validdrive
0000F678 0000F780 __getdcwd_lk
0000F785 0000F7CB __getcwd
0000F7D0 0000F817 __getdcwd
0000F81C 0000F822 __getpid
0000F827 0000F859 __mkdir
0000F85E 0000F88E __rmdir
0000F893 0000F954 ___dtoxmode
0000F959 0000FC9D __stat
0000FCA2 00010025 __stat64
000100A8 00010404 __stati64
00010409 00010439 _remove
0001043E 00010449 __unlink
0001044E 00010499 __waccess
0001049E 0001053F __wchdir
00010544 00010589 __wchmod
0001058E 0001063E __wfullpath
00010643 0001073B __wgetdcwd_lk
00010740 00010786 __wgetcwd
0001078B 000107D2 __wgetdcwd
000107D7 00010809 __wmkdir
0001080E 0001083E __wremove
00010843 0001084E __wunlink
00010853 00010886 __wrename
0001088B 000108BB __wrmdir
000108C0 00010987 ___wdtoxmode
0001098C 00010CCE __wstat
00010D65 000110E6 __wstat64
000110EB 00011445 __wstati64
0001144A 0001147D _rename
00011482 00011493 ??0exception@@QAE@XZ
00011498 000114E2 ??0exception@@QAE@ABQBD@Z
000114E7 0001153B ??0exception@@QAE@ABV0@@Z
00011540 00011556 ??1exception@@UAE@XZ
0001155B 00011568 ?what@exception@@UBEPBDXZ
0001156D 0001158B ??0bad_cast@@QAE@PBD@Z
00011590 000115AD ??0bad_cast@@QAE@ABV0@@Z
000115B2 000115BD ??1bad_cast@@UAE@XZ
000115C2 000115DF ??0bad_cast@@AAE@PBQBD@Z
000115E4 00011602 ??0bad_typeid@@QAE@PBD@Z
00011607 00011624 ??0bad_typeid@@QAE@ABV0@@Z
00011629 00011646 ??0__non_rtti_object@@QAE@PBD@Z
0001164B 00011668 ??0__non_rtti_object@@QAE@ABV0@@Z
0001166D 00011678 ??1bad_typeid@@UAE@XZ
0001167D 0001169E ??_Gexception@@UAEPAXI@Z
000116A3 000116F1 ??_Eexception@@UAEPAXI@Z
000116F6 00011701 ??_Fbad_cast@@QAEXXZ
00011706 00011727 ??_Gbad_cast@@UAEPAXI@Z
0001172C 0001177A ??_Ebad_cast@@UAEPAXI@Z
0001177F 0001178A ??_Fbad_typeid@@QAEXXZ
0001178F 000117DD ??_E__non_rtti_object@@UAEPAXI@Z
000117E2 00011803 ??_G__non_rtti_object@@UAEPAXI@Z
00011808 0001182B ??4exception@@QAEAAV0@ABV0@@Z
00011830 00011847 ??4bad_cast@@QAEAAV0@ABV0@@Z
0001184C 00011863 ??4__non_rtti_object@@QAEAAV0@ABV0@@Z
00011868 00011893 ??1type_info@@UAE@XZ
00011898 000118DC ??8type_info@@QBEHABV0@@Z
000118E1 00011925 ??9type_info@@QBEHABV0@@Z
0001192A 0001196E ?before@type_info@@QBEHABV1@@Z
00011973 00011977 ?raw_name@type_info@@QBEPBDXZ
0001197C 000119CA ??_Etype_info@@UAEPAXI@Z
00011A6E 00011B3C ___FrameUnwindToState
00011B41 00011B86 ___DestructExceptionObject
00011BB1 00011BC4 ?__uncaught_exception@@YA_NXZ
00011BC9 00011C2E ___CxxRegisterExceptionObject
00011C33 00011C86 ___CxxDetectRethrow
00011C8B 00011D0F ___CxxUnregisterExceptionObject
00011D14 00011D18 ___CxxQueryExceptionSize
00011D1D 00011D4B ___CxxCallUnwindDtor
0001207D 000121A0 ___CxxExceptionFilter
000124BE 00012562 ___InternalCxxFrameHandler
00012567 00012585 ?set_terminate@@YAP6AXXZP6AXXZ@Z
0001258A 000125A8 ?set_unexpected@@YAP6AXXZP6AXXZ@Z
000125AD 000125CB ?_set_se_translator@@YAP6AXIPAU_EXCEPTION_POINTERS@@@ZP6AXI0@Z@Z
000125D0 00012668 ?name@type_info@@QBEPBDXZ
0001266D 000126A2 ?terminate@@YAXXZ
000126A7 000126BF ?unexpected@@YAXXZ
000126C4 000126F1 ?_inconsistency@@YAXXZ
000126F6 00012732 __CxxThrowException@8
00012738 00012757 __EH_prolog
0001275C 00012789 ?_JumpToContinuation@@YGXPAXPAUEHRegistrationNode@@@Z
00012793 0001279C ?_CallMemberFunction1@@YGXPAX00@Z
000127A1 000127F5 ?_UnwindNestedFrames@@YGXPAUEHRegistrationNode@@PAUEHExceptionRecord@@@Z
000127FA 00012832 ___CxxFrameHandler
00012837 00012856 ___CxxLongjmpUnwind@4
0001289E 00012967 ?_CallSETranslator@@YAHPAUEHExceptionRecord@@PAUEHRegistrationNode@@PAX2PBU_s_FuncInfo@@H1@Z
00012A25 00012AA1 ?_GetRangeOfTrysToCheck@@YAPBU_s_TryBlockMapEntry@@PBU_s_FuncInfo@@HHPAI1@Z
00012AA6 00012AD2 ?_CreateFrameInfo@@YAPAUFrameInfo@@PAU1@PAX@Z
00012AD7 00012AFE ?IsExceptionObjectToBeDestroyed@@YAHPAX@Z
00012B03 00012B55 ?_FindAndUnlinkFrame@@YAXPAUFrameInfo@@@Z
00012B5A 00012BB5 ?_CallCatchBlock2@@YAPAXPAUEHRegistrationNode@@PBU_s_FuncInfo@@PAXHK@Z
00012BBA 00012C55 ___RTtypeid
00012D19 00012D75 ___RTCastToVoid
00013079 00013155 ___RTDynamicCast
0001315B 00013183 ?Destructor@HeapManager@@QAEXXZ
00013188 000131EB ?getNumberOfDimensions@UnDecorator@@CAHXZ
000131F0 0001362E ?getTypeEncoding@UnDecorator@@CAHXZ
00013669 00013687 ?UScore@UnDecorator@@SAPBDW4Tokens@@@Z
0001368C 00013714 ?getMemory@HeapManager@@QAEPAXIH@Z
00013719 00013787 ??0DName@@QAE@ABV0@@Z
0001378C 000137FC ??4DName@@QAEAAV0@ABV0@@Z
00013801 0001382F ??AReplicator@@QBEABVDName@@H@Z
00013834 00013862 ??YDNameNode@@QAEAAV0@PAV0@@Z
00013867 00013882 ??0charNode@@QAE@D@Z
00013887 0001388B ?length@charNode@@UBEHXZ
00013890 00013894 ?getLastChar@charNode@@UBEDXZ
00013899 000138B8 ?getString@charNode@@UBEPADPADH@Z
000138BD 000138F1 ??0pDNameNode@@QAE@PAVDName@@@Z
000138F6 00013920 ??0DNameStatusNode@@QAE@W4DNameStatus@@@Z
00013925 00013929 ?length@DNameStatusNode@@UBEHXZ
0001392E 0001393B ?getLastChar@DNameStatusNode@@UBEDXZ
00013996 000139CB ?getDataIndirectType@UnDecorator@@CA?AVDName@@XZ
000139D0 00013A06 ?getThisType@UnDecorator@@CA?AVDName@@XZ
00013A0B 00013A64 ??0DName@@QAE@PAV0@@Z
00013A69 00013ACE ??0DName@@QAE@W4DNameStatus@@@Z
00013AD3 00013AEA ?isValid@DName@@QBEHXZ
00013AEF 00013B04 ?isEmpty@DName@@QBEHXZ
00013B09 00013B1D ?isUDC@DName@@QBEHXZ
00013B22 00013B49 ?length@DName@@QBEHXZ
00013B4E 00013B88 ?getLastChar@DName@@QBEDXZ
00013B8D 00013C20 ?getString@DName@@QBEPADPADH@Z
00013C25 00013C5F ??_5DName@@QAEAAV0@ABV0@@Z
00013C64 00013CEA ??4DName@@QAEAAV0@W4DNameStatus@@@Z
