00001430 00001441 __SEH_epilog
00001450 0000148B __SEH_prolog
00001490 000014C8 __CRT_INIT@12
000014CD 0000153C __DllMainCRTStartup@12
00001541 000015C5 _DllMain@12
000015F6 0000160F @__security_check_cookie@4
00001614 0000161A _wcslen
0000161F 00001625 _wcscpy
0000162A 0000164A _SockFindAndReferenceSocket@8
0000164F 00001694 _SockBuildTdiAddress@12
000016A9 000016AC _WsPrintSockaddr@8
000016B1 000016B7 _DnsRecordListFree@8
000016C2 000016C8 _wcscmp
000016CD 000016FC _MSWSOCK_Initialize@0
0000176C 000017A6 _RNRPROV_SockEnterApi@12
000017AB 000017B1 _DnsQuery_W@24
000017B6 00001828 _GetAnsiNameRnR@12
0000182D 000018EA _GetOemNameRnR@8
000018EF 0000192F _RnR2GetContext@4
00001934 00001956 _FlatBuf_Init@12
0000195B 00001CD4 _NSPLookupServiceNext@16
00001CD9 00001D01 _RnR2ReleaseContext@4
00001D06 00001D35 _NSPLookupServiceEnd@4
00001E31 00001E6B _FetchPortFromClassInfo@12
00001E70 00001EA5 _GetServerAndProtocolsFromString@12
00001EAA 0000218D _NSPLookupServiceBegin@20
00002192 00002198 _DnsNameCompare_W@8
0000219D 0000220A _RnR2MakeContext@8
0000220F 0000224A _AllocLocal@4
00002261 0000227C _TryFetchClass@8
000022B9 000022BF _wcschr
000022C4 000022E2 _FlatBuf_ReserveAlignDword@8
000022E7 00002323 _FlatBuf_Arg_Reserve@16
00002328 00002347 _FlatBuf_WriteString@12
0000234C 0000239A _FlatBuf_Arg_WriteString@16
0000239F 0000258F _PackCsAddr@32
00002594 0000259A _htons@4
0000259F 000025BA _GetDnsQueryTypeFromGuid@4
000025BF 000025E2 _DoLocalProvider@4
000025E7 00002600 _DoDnsProvider@4
00002605 00002698 _Rnr_DoDnsLookup@4
0000269D 0000270B _HostentBlob_Query@20
00002710 000027EE _InitTlsHostent@12
000027F3 00002821 _GetAliasSize@12
00002826 00002969 _CopyHostEntry@24
0000296E 000029A4 _GetAddrSize@8
000029A9 00002A16 _Dns_GetBufferLengthForStringCopy@16
00002A1B 00002AAB _Dns_StringCopy@24
00002AB0 00002ADE _TryNbt@16
00002AE3 00002B2D _DoNbtProvider@8
00002D04 00002D1F ___WSAFDIsSet@8
00002D1F 00002D4E __allmul
00002D53 00002E60 _WSPSelect@24
00002E7D 0000311F _WSPSendTo@44
0000313D 00003349 _WSPRecvFrom@44
00003384 000034A7 _SockOpenNbt@4
000034AC 0000350E _CopyNbtHandles@8
00003513 00003605 _QueryNbtWins@8
0000360A 0000396E _SockNbtResolveName@12
00003AFC 00003B39 _SockAcquireRwLockShared@4
00003B3E 00003B73 _SockReleaseRwLockShared@4
00003B78 00003BC1 _SockNotifyHelperDll@8
00003BC6 00003C5D _SockGetTdiHandles@4
00003C62 00003CAD _SockWaitForSingleObject@16
00003CB2 00003D3B _NtStatusToSocketError@4
00003D40 00003ED2 _WSPGetSockName@16
00003EF5 00003F36 _SockBuildSockaddr@12
00004057 000041D0 _WSPCloseSocket@8
000041E1 00004236 _SockDestroySocket@4
0000423B 000042A8 _MSAFD_SockThreadInitialize@0
000042AD 00004303 _SockEnterApiSlow@4
0000433A 000044AB _WSPRecv@36
0000459B 00004607 _SockIsTripleInMapping@32
0000460C 00004ACB _WSPSocket@28
00004B25 00004BF2 _SockGetTdiName@36
00004BF7 00004D94 _SockSetHandleContext@4
00004D99 0000505B _WSPBind@16
00005071 000050CF _SockUpdateWindowSizes@8
000050DD 00005147 _IsValidOptionForSocket@12
000051B2 000053C3 _WSPSetSockOpt@24
000053C8 00005433 _WSPConnect@32
00005438 000055DF _SockDoConnect@28
000055F1 00005773 _SockDoConnectReal@20
000057F1 0000583A _SockPostProcessConnect@4
0000583F 00005977 _WSPSend@36
00005CD3 00005D50 _WSPIoctl@44
00005EA5 00005F11 _SockSetInformation@20
00005F16 00005F59 _SockAcquireRwLockExclusive@4
00005F5E 00005F82 _SockReleaseRwLockExclusive@4
00005FDD 00006202 _WSPGetSockOpt@24
00006207 00006287 _SockBuildProtocolInfoForSocket@8
000062D4 00006619 _SockLoadHelperDll@12
00006889 00006926 _SockGetInformation@28
000069AB 00006A1A _NewIcfConnection@4
00006AA2 00006B8B _SockLoadTransportMapping@8
00006B90 00006B96 _wcscat
00006B9B 00006D0F _WSPStartup@76
00006D5F 00006D9B _InitializeIcfConnection@4
00006DA0 00006E41 _SockLoadTransportList@4
00006ECF 00006ED5 _WSCEnumProtocols@16
00006F00 00006FA7 _SockpGetProtocolInfoArray@0
00006FAC 00007071 ___delayLoadHelper2@8
00007071 00007082 __tailMerge_DNSAPI
00007087 000071BC _RNRPROV_NSPStartup@8
00007216 00007220 __imp_load__DnsQueryConfigAllocEx@12
00007225 0000722F __imp_load__DnsApiFree@4
00007234 0000723E __imp_load__DnsQuery_W@24
00007243 0000724D __imp_load__DnsNameCompare_W@8
00007252 0000725C __imp_load__DnsRecordListFree@8
000072E8 000073C9 _MSAFD_AcceptEx@32
000073ED 000075D2 _WSPListen@12
