00001259 00001265 ?Leave@CSMutex@@UAEXXZ
00001280 000012AA ?item@?$_array@VOperandValue@@@@QAEAAVOperandValue@@H@Z
000012AF 00001308 ?testForGC@Base@@SGXK@Z
0000130D 0000133B ?ShortIsEqualGUID@@YGHABU_GUID@@0@Z
00001340 0000134F ?setSibling@Node@@UAEXPAV1@@Z
00001354 00001363 ?setLastChild@Node@@UAEXPAV1@@Z
00001368 0000137B ?checkhr@@YGXJ@Z
000013F0 00001454 ___xsbh_find_block
00001459 00001484 ___xsbh_free_block
00001489 000014A2 ?releaseNodeRef@Document@@QAEXXZ
00005C30 00005C45 ?EnsureTlsData@@YGPAUTLSDATA@@XZ
00005C50 00005C5D ?StackEntryNormal@Base@@SGPAUTLSDATA@@XZ
00005C90 00005CB9 ?assign@@YGXPAPAUIUnknown@@PAX@Z
00005CBE 00005CD1 ?AddRef@Node@@UAGKXZ
00005CD6 00005CFB ?_releaseLocked@Base@@QAEKK@Z
00005D00 00005D73 ?setNodeParent@Node@@UAEXPAV1@@Z
00005D80 00005D90 ?isRental@Base@@QAEHXZ
00005D95 00005DA0 ?model@Base@@QAE?AW4RentalEnum@@XZ
00005DAC 00005E32 ?_release@Base@@QAEKXZ
00005E37 00005E48 ?Release@Base@@UAGKXZ
00005E4D 00005E79 ?isObjectRegion@@YG_NPAX@Z
00005E7E 00005E93 ??1GCObject@@MAE@XZ
00005F20 00005F46 ?StackExitNormal@Base@@SGXPAUTLSDATA@@@Z
00005F4B 00005FE1 ?freeRentalObjects@Base@@CGXPAUTLSDATA@@_NPAV1@@Z
00005FF9 00006013 ?weakRelease@Base@@UAEXXZ
00006035 0000603A ?Leave@ShareMutex@@UAEXXZ
0000605E 00006124 ?MpHeapFree@@YGHPAX0@Z
00006132 000061A6 ?_release@Node@@QAEKXZ
000061CB 000061DC ?SpinUnlock@@YGXPAKJ@Z
0000621D 0000623C ?Decrement@_xunknown@@QAEKXZ
00006241 00006271 ?Release@DOMNode@@UAGKXZ
000062A6 000062B1 ?reset@DOMNode@@IAEXXZ
000062D2 000062D7 ??_EDOMDocumentWrapper@@WCI@AEPAXI@Z
000062DC 000062FC ??_GDOMDocumentWrapper@@UAEPAXI@Z
00006301 00006342 ??1DOMDocumentWrapper@@UAE@XZ
00006347 00006392 ??1DOMNode@@MAE@XZ
00006392 000063B3 ?DecrementComponents@@YGJXZ
000063B8 000063CD ??1__comexport@@MAE@XZ
000063E0 000063FD ?release@@YGXPAPAUIUnknown@@@Z
00006402 00006415 ?Release@Node@@UAGKXZ
