00001000 000010D2 _RtlEnterCriticalSection@4
000010E0 00001117 _RtlLeaveCriticalSection@4
00001118 00001166 _RtlTryEnterCriticalSection@4
00001166 00001175 _LdrInitializeThunk@16
00001176 00001193 _LdrpCallInitRoutine@16
00001198 000011D8 _RtlActivateActivationContextUnsafeFast@8
000011DD 0000120E _RtlDeactivateActivationContextUnsafeFast@4
0000120E 00001210 _DbgBreakPoint@0
00001212 00001214 _DbgUserBreakPoint@0
00001216 0000121A _DbgBreakPointWithStatus@4
0000121A 0000121E _RtlpBreakWithStatusInstruction@0
0000121E 00001225 ___NtCurrentTeb@0
00001225 0000125D _RtlInitString@8
0000125D 00001295 _RtlInitAnsiString@8
00001295 000012D1 _RtlInitUnicodeString@8
000012D1 000012E5 __CIsin
000012E5 000012EE _sin
0000137F 00001393 __CIsqrt
00001393 0000139C _sqrt
0000143B 000014E5 __alldiv
000014E5 000015C4 __alldvrm
000015C4 000015F8 __allmul
000015F8 00001635 __chkstk
00001635 000016E9 __allrem
000016E9 00001708 __allshl
00001708 00001729 __allshr
00001729 00001791 __aulldiv
00001791 00001826 __aulldvrm
00001826 0000189B __aullrem
0000189B 000018BA __aullshr
000018BA 000018E1 __ftol
000018E1 00001934 __memccpy
00001934 00001936 _atan
00001938 0000194C __CIatan_default
0000194C 00001955 __atan_default
000019D7 000019DC _ceil
000019E7 00001AC4 __ceil_pentium4
00001B18 00001B1D _floor
00001B28 00001C09 __floor_pentium4
00001C60 00001D07 _memchr
00001D07 00001DB3 _memcmp
00001DB3 000020F5 _memcpy
000020F5 00002435 _memmove
00002435 0000248D _memset
0000248D 00002494 _strcpy
0000249D 00002583 _strcat
00002583 00002608 _strcmp
00002608 00002645 _strcspn
00002645 000026C0 _strlen
000026C0 000027E5 _strncat
000027E5 0000281D _strncmp
0000281D 0000291D _strncpy
0000291D 00002956 _strpbrk
00002956 0000297D _strrchr
0000297D 000029BA _strspn
000029BA 000029CE __CItan
000029CE 000029D7 _tan
00002A6C 00002A8B @ExInterlockedFlushSList@4
00002A8C 00002A90 @ExInterlockedPopEntrySList@8
00002A90 00002A9D _ExpInterlockedPopEntrySListResume@0
00002A9D 00002A9F ExpInterlockedPopEntrySListFault
00002A9F 00002AA9 _ExpInterlockedPopEntrySListEnd@0
00002AAC 00002AB0 @ExInterlockedPushEntrySList@12
00002AB0 00002ACE @InterlockedPushEntrySList@8
00002AD0 00002AF8 @InterlockedPushListSList@16
00002AF8 00002B01 _FirstEntrySList@4
00002B04 00002B20 @RtlInterlockedCompareExchange64@12
00002B20 00002B25 @RtlUshortByteSwap@4
00002B30 00002B35 @RtlUlongByteSwap@4
00002B40 00002B53 @RtlUlonglongByteSwap@8
00002B53 00002B9A _RtlCompareMemory@12
00002BA3 00002BC4 _RtlCompareMemoryUlong@12
00002BD3 00002C04 _RtlFillMemory@12
00002C13 00002C3A _RtlFillMemoryUlonglong@16
00002C43 00002C59 _RtlFillMemoryUlong@12
00002C64 00002C88 _RtlZeroMemory@8
00002C94 00002CD7 _RtlMoveMemory@12
00002CD8 00002F1A _RtlCopyMemoryNonTemporal@12
00002F1B 00002F84 _RtlPrefetchCopyMemory@12
00002F86 00003002 _RtlPrefetchCopyMemory32@12
00003002 00003015 _RtlLargeIntegerAdd@16
00003016 00003021 __RtlEnlargedIntegerMultiply@8
00003022 0000302D __RtlEnlargedUnsignedMultiply@8
0000302E 0000304B __RtlEnlargedUnsignedDivide@16
0000304E 000030A8 _RtlExtendedLargeIntegerDivide@16
000030AA 00003138 _RtlExtendedMagicDivide@20
0000313A 00003190 _RtlExtendedIntegerMultiply@12
00003192 000031B9 _RtlLargeIntegerShiftLeft@12
000031BA 000031E1 _RtlLargeIntegerShiftRight@12
000031E2 0000320E _RtlLargeIntegerArithmeticShift@12
0000320E 00003220 _RtlLargeIntegerNegate@8
00003222 00003235 _RtlLargeIntegerSubtract@16
00003236 0000323E ___RtlConvertLongToLargeInteger@4
0000323E 00003247 ___RtlConvertUlongToLargeInteger@4
00003247 0000324E _RtlpExecuteHandlerForException@20
0000324F 00003256 _RtlpExecuteHandlerForUnwind@20
00003256 00003280 ExecuteHandler@20
00003282 000032BC ExecuteHandler2@20
0000330A 0000331A _RtlpUnlinkHandler@4
0000331A 00003348 _RtlCaptureContext@4
0000334A 000033DB _RtlpCaptureContext@4
000033DC 000033F7 _RtlpGetStackLimits@8
000033F8 000033FF _RtlpGetRegistrationHead@0
0000CE40 0000CE4F _NtAcceptConnectPort@24
0000CE50 0000CE5F _NtAccessCheck@32
0000CE60 0000CE6F _ZwAccessCheckAndAuditAlarm@44
0000CE70 0000CE7F _NtAccessCheckByType@44
0000CE80 0000CE8F _NtAccessCheckByTypeAndAuditAlarm@64
0000CE90 0000CE9F _NtAccessCheckByTypeResultList@44
0000CEA0 0000CEAF _NtAccessCheckByTypeResultListAndAuditAlarm@64
0000CEB0 0000CEBF _ZwAccessCheckByTypeResultListAndAuditAlarmByHandle@68
0000CEC0 0000CECF _NtAddAtom@12
0000CED0 0000CEDF _ZwAddBootEntry@8
0000CEE0 0000CEEF _ZwAdjustGroupsToken@24
0000CEF0 0000CEFF _ZwAdjustPrivilegesToken@24
0000CF00 0000CF0F _NtAlertResumeThread@8
0000CF10 0000CF1F _NtAlertThread@4
0000CF20 0000CF2F _ZwAllocateLocallyUniqueId@4
0000CF30 0000CF3F _NtAllocateUserPhysicalPages@12
0000CF40 0000CF4F _NtAllocateUuids@16
0000CF50 0000CF5F _NtAllocateVirtualMemory@24
0000CF60 0000CF6F _ZwAreMappedFilesTheSame@8
0000CF70 0000CF7F _ZwAssignProcessToJobObject@8
0000CF80 0000CF8F _ZwCallbackReturn@12
0000CF90 0000CF9F _NtCancelDeviceWakeupRequest@4
0000CFA0 0000CFAF _ZwCancelIoFile@8
0000CFB0 0000CFBF _ZwCancelTimer@8
0000CFC0 0000CFCF _NtClearEvent@4
0000CFD0 0000CFDF _NtClose@4
0000CFE0 0000CFEF _ZwCloseObjectAuditAlarm@12
0000CFF0 0000CFFF _NtCompactKeys@8
0000D000 0000D00F _ZwCompareTokens@12
0000D010 0000D01F _NtCompleteConnectPort@4
