00001250 000012B5 DllEntryPoint
0000131E 00001324 _initterm
00001429 00001464 __SEH_prolog
00001464 00001475 __SEH_epilog
000054D5 00005932 DsBindWithSpnW
00005975 00005AFB DsBindWithSpnA
00005B11 00005B2D DsBindWithCredW
00005B32 00005B4E DsBindWithCredA
00005B53 00005BA3 DsUnBindW
00005C0D 00005C18 DsUnBindA
00005C1D 00005C57 DsFreePasswordCredentials
00005C5C 00005C75 DsBindA
00005C7A 00005C93 DsBindW
00005C98 00005D95 DsMakePasswordCredentialsW
00005D9A 00005E24 DsMakePasswordCredentialsA
0000602B 00006086 DsFreeNameResultW
0000608B 00006093 DsFreeNameResultA
00006842 00006A5C DsCrackNamesW
00006A7D 00006D27 DsCrackNamesA
00006D39 00006D6F DsFreeSpnArrayW
00006D74 00006E61 DsWriteAccountSpnW
0000702F 000071C9 DsMakeSpnW
000071F1 00007531 DsGetSpnW
00007536 00007541 DsFreeSpnArrayA
00007546 000076B7 DsCrackSpnW
000076BC 000078AC DsCrackSpn2W
000078B1 00007ABE DsCrackSpn3W
00007AC3 00007BC0 DsWriteAccountSpnA
00007BC5 00007D31 DsClientMakeSpnForTargetServerW
00007D36 00007F09 DsServerRegisterSpnW
00007F0E 00008056 DsMakeSpnA
0000805B 00008237 DsGetSpnA
0000823C 000083BF DsCrackSpnA
000083C4 0000854D DsCrackSpn2A
00008552 0000864B DsClientMakeSpnForTargetServerA
00008650 000086C3 DsServerRegisterSpnA
000086C8 00008771 DsReplicaConsistencyCheck
00008789 0000898B DsReplicaGetInfo2W
000089C1 00008B7D DsReplicaFreeInfo
00008BB6 00008CD0 DsReplicaVerifyObjectsW
00008CE1 00008D25 DsReplicaVerifyObjectsA
00008D5A 00008E60 DsReplicaSyncW
00008E71 00009173 DsReplicaAddW
00009189 000092A2 DsReplicaDelW
000092B9 0000951F DsReplicaModifyW
00009531 00009691 DsReplicaUpdateRefsW
000096A9 000096CC DsReplicaGetInfoW
000096D1 00009715 DsReplicaSyncA
0000971A 000097E2 DsReplicaAddA
000097E7 0000985D DsReplicaDelA
00009862 0000990C DsReplicaModifyA
00009911 00009983 DsReplicaUpdateRefsA
