0000A066 0000A092 _CcCopyReadExceptionFilter@8
0000A098 0000A23B _CcCanIWrite@16
0000A240 0000A2F5 _CcPostDeferredWrites@0
0000A2FA 0000A5A8 _CcCopyWrite@20
0000A5AE 0000A7E6 _CcFastCopyWrite@16
0000A7EC 0000A89C _CcDeferWrite@24
0000A8A2 0000A8B8 _CcSetReadAheadGranularity@8
0000A8BE 0000AC48 @CcPerformReadAhead@4
0000AC4E 0000AD1A _CcFindBitmapRangeToDirty@16
0000AD20 0000AD62 _CcFindBitmapRangeToClean@12
0000AD68 0000AED8 _CcSetDirtyPinnedData@8
0000AEDE 0000AFAB _CcSetValidData@8
0000AFB0 0000AFEA _CcAllocateVacbLevel@4
0000AFF0 0000B02A _CcDeallocateVacbLevel@8
0000B030 0000B190 _CcGetFlushedValidData@8
0000B196 0000B1DE _CcRemapBcb@4
0000B1E4 0000B213 _CcRepinBcb@4
0000B218 0000B2D7 _CcFindBcb@16
0000B2DC 0000B3C1 _CcAllocateInitializeBcb@16
0000B3C6 0000B3E5 @CcDeallocateBcb@4
0000B3EA 0000B4DA _CcMapAndRead@24
0000B4EA 0000B5FB _CcLogError@20
0000B600 0000B7A8 @CcUnpinFileData@12
0000B7AE 0000BA67 _CcScheduleReadAhead@12
0000BA6C 0000BD86 _CcSetDirtyInMask@12
0000BD8C 0000C5E2 _CcAcquireByteRangeForWrite@24
0000C5E8 0000C677 _CcReleaseByteRangeFromWrite@20
0000C67C 0000C73B _CcUnpinRepinnedBcb@12
0000C740 0000C835 _CcFreeActiveVacb@16
0000C83A 0000CCF1 _CcMapAndCopy@32
0000CCF6 0000D19F _CcPinFileData@36
0000D1A4 0000D797 _CcFlushCache@16
0000D79C 0000DB2E @CcWriteBehind@8
0000DB34 0000DB7D _CcSetAdditionalCacheAttributes@12
0000DB82 0000DC9F _CcSetPrivateWriteFile@4
0000DCA4 0000DE82 _CcGetDirtyPages@16
0000DE88 0000DF27 _CcIsThereDirtyData@4
0000DF2C 0000E001 _CcGetLsnForFileObject@8
0000E006 0000E11D _CcWaitForUninitializeCacheMap@4
0000E122 0000E161 _CcCancelMmWaitForUninitializeCacheMap@4
0000E166 0000E210 _CcDeleteBcbs@4
0000E216 0000E24E _CcUnmapAndPurge@4
0000E254 0000E3A5 _CcDeleteMbcb@4
0000E3AA 0000E3D8 _CcSetDirtyPageThreshold@8
0000E3DE 0000E40E _CcGetFileObjectFromSectionPtrs@4
0000E414 0000E426 _CcGetFileObjectFromBcb@4
0000E42C 0000E593 @CcDeleteSharedCacheMap@12
0000E598 0000EB1F _CcInitializeCacheMap@20
0000EB24 0000ED58 _CcUninitializeCacheMap@12
0000ED5E 0000EEF6 _CcPurgeCacheSection@16
0000EEFC 0000F06A _CcZeroEndOfLastPage@4
0000F070 0000F190 _CcPurgeAndClearCacheSection@8
0000F196 0000F487 _CcSetFileSizes@8
0000F48C 0000F5AF _CcMdlWriteComplete2@12
0000F5B4 0000F65C _CcMdlWriteAbort@8
0000F662 0000F939 _CcPrepareMdlWrite@20
0000F93E 0000F994 _CcScheduleLazyWriteScan@4
0000F99A 0000F9B1 _CcExceptionFilter@4
0000F9B6 0000FA21 @CcPostWorkQueue@8
0000FA26 0000FA8C _CcScanDpc@16
0000FA92 0000FB69 _CcWaitForCurrentLazyWriterActivity@0
0000FB6E 0000FF95 _CcLazyWriteScan@0
0000FF9C 00010175 _CcWorkerThread@4
0001017A 0001020B @CcFreeVirtualAddress@4
00010210 00010280 _CcWaitOnActiveCount@4
00010286 0001036F _CcPrefillVacbLevelZone@12
00010374 000103FD _CcDrainVacbLevelZone@0
00010402 00010540 _CcGetBcbListHeadLargeOffset@16
00010546 000105C7 _CcGetVacbLargeOffset@12
000105CC 000105F1 _VacbLevelReference@12
000105F6 00010614 _IsVacbLevelReferenced@12
0001061A 00010668 _CcGetActiveVacb@16
0001066E 000107A6 _CcSetActiveVacb@16
000107AC 000107D3 _ReferenceVacbLevel@20
000107D8 000108C0 _CcGetVirtualAddressIfMapped@20
000108C6 00010956 _CcGetBcbListHead@16
0001095C 000109B9 _CcCalculateVacbLevelLockCount@12
000109BE 00010BAD _CcSetVacbLargeOffset@16
00010BB2 00010BF4 _SetVacb@16
00010BFA 00010C5A _CcReferenceFileOffset@12
00010C60 00010CA5 _CcDereferenceFileOffset@12
00010CAA 0001110D _CcExtendVacbArray@12
00011112 000112DC @CcUnmapVacbArray@16
000112E2 000113A0 _CcAdjustVacbLevelLockCount@16
000113A6 00011773 _CcGetVacbMiss@16
000118A8 000119A3 _CcGetVirtualAddress@20
000119A8 000119F5 _FsRtlCompareNodeAndKey@16
000119FA 00011A25 _ExAllocateFromPagedLookasideList@4
00011A2A 00011A69 _FsRtlFreeTunnelNode@8
00011A6E 00011A99 _FsRtlEmptyFreePoolList@4
00011A9E 00011AF5 _FsRtlRemoveNodeFromTunnel@16
00011AFA 00011B10 _FsRtlMdlReadCompleteDev@12
00011B16 00011B6D _FsRtlRegisterFileSystemFilterCallbacks@8
00011B72 00011E1B _FsRtlAcquireFileForModWriteEx@12
00011E20 00011FB7 _FsRtlReleaseFileForModWrite@8
00011FBC 00011FC9 _FsRtlIncrementCcFastReadNoWait@0
00011FCE 00011FD5 _FsRtlIncrementCcFastReadResourceMiss@0
00011FDA 0001203E _FsRtlMdlReadComplete@8
00012044 00012075 _FsRtlResetLargeMcb@8
0001207A 000120A6 _ExFreeToNPagedLookasideList@8
000120AC 00012142 _FsRtlLookupLastLargeMcbEntry@12
00012148 000121FF _FsRtlLookupLastLargeMcbEntryAndIndex@16
00012204 00012229 _FsRtlNumberOfRunsInLargeMcb@4
0001222E 000122DB _FsRtlGetNextLargeMcbEntry@20
000122E0 00012343 _FsRtlFindLargeIndex@12
00012348 0001240A _FsRtlAddLargeEntry@12
00012410 00012450 _FsRtlRemoveLargeEntry@12
00012456 0001248E _FsRtlLookupLastMcbEntry@12
00012494 0001249F _FsRtlNumberOfRunsInMcb@4
000124A4 000124EB _FsRtlGetNextMcbEntry@20
000124F0 000125A8 _FsRtlInitializeLargeMcb@8
000125AE 000125F5 _FsRtlUninitializeLargeMcb@4
000125FA 00012731 _FsRtlTruncateLargeMcb@12
00012736 00012BD0 _FsRtlAddLargeMcbEntry@28
00012BD6 00012CC6 _FsRtlLookupLargeMcbEntry@32
00012CCC 00012E34 _FsRtlSplitLargeMcb@20
00012E3A 0001314F _FsRtlRemoveMcbEntryPrivate@12
00013154 0001316A _FsRtlTruncateMcb@8
00013170 0001318F _FsRtlAddMcbEntry@16
00013194 000131DB _FsRtlRemoveMcbEntry@12
000131E0 00013232 _FsRtlLookupMcbEntry@20
00013238 0001327F _FsRtlRemoveLargeMcbEntry@20
00013284 000132CC _FsRtlCompleteLockIrpReal@24
000132D2 000132F1 _FsRtlInitializeFileLock@12
000132F6 000133E8 _FsRtlFindFirstOverlappingSharedNode@20
000133EE 000134E7 _FsRtlFindFirstOverlappingExclusiveNode@20
000134EC 00013568 _FsRtlFindFirstOverlapInNode@12
0001356E 00013795 _FsRtlGetNextFileLock@8
0001379A 000137F8 _FsRtlCheckNoSharedConflict@12
000137FE 0001388B _FsRtlCheckNoExclusiveConflict@24
00013890 00013963 _FsRtlFastCheckLockForRead@24
00013968 00013A5D _FsRtlFastCheckLockForWrite@24
00013A62 00013AC8 _FsRtlPrivateInsertExclusiveLock@8
00013ACE 00013B85 _FsRtlPrivateCheckForExclusiveLockAccess@8
00013B8A 00013C1F _FsRtlPrivateCheckForSharedLockAccess@8
00013C24 00013C94 _FsRtlPrivateResetLowestLockOffset@4
00013C9A 00013CB0 _FsRtlFreeSharedLock@4
00013CB6 00013CCC _FsRtlFreeExclusiveLock@4
00013CD2 00013CE8 _FsRtlFreeWaitingLock@4
00013CEE 00013D04 _FsRtlFreeLockTreeNode@4
00013D0A 00013D20 _FsRtlFreeLockInfo@4
00013D26 00013DC4 _FsRtlPrivateInitializeFileLock@8
00013DCA 00013F1F _FsRtlUninitializeFileLock@4
00013F24 00013F4B _FsRtlAllocateFileLock@8
00013F50 00013F6E _FsRtlFreeFileLock@4
00013F74 00013FEF _FsRtlCheckLockForReadAccess@8
00013FF4 00014074 _FsRtlCheckLockForWriteAccess@8
0001407A 00014240 _FsRtlSplitLocks@16
00014246 00014402 _FsRtlFastUnlockSingleShared@36
00014408 00014557 _FsRtlFastUnlockSingleExclusive@36
0001455C 0001472E _FsRtlPrivateInsertSharedLock@8
00014734 00014806 _FsRtlPrivateCancelFileLockIrp@8
0001480C 00014842 _FsRtlPrivateRemoveLock@12
00014848 000148A2 _FsRtlFastUnlockSingle@32
000148A8 0001493F _FsRtlPrivateInsertLock@12
00014944 00014AB0 _FsRtlPrivateCheckWaitingLocks@12
00014AB6 00014DE4 _FsRtlPrivateFastUnlockAll@24
00014DEA 00014E08 _FsRtlFastUnlockAll@16
00014E0E 00014E2D _FsRtlFastUnlockAllByKey@20
00014E32 0001504E _FsRtlPrivateLock@48
00015054 00015161 _FsRtlProcessFileLock@12
00015166 00015194 _FsRtlIsNtstatusExpected@4
0001519A 000151C7 _FsRtlAllocatePool@8
000151CC 000151F9 _FsRtlAllocatePoolWithQuota@8
000151FE 00015229 _FsRtlAllocatePoolWithTag@12
0001522E 00015259 _FsRtlAllocatePoolWithQuotaTag@12
0001525E 00015285 _FsRtlIsTotalDeviceFailure@4
0001528A 000152A5 _FsRtlNormalizeNtstatus@8
000152AA 0001530D _FsRtlRemoveAndCompleteIrp@4
00015312 000153A5 _FsRtlCancelOplockIIIrp@8
000153AA 00015407 _FsRtlRemoveAndCompleteWaitIrp@4
0001540C 0001555E _FsRtlUninitializeOplock@4
00015564 00015666 _FsRtlRequestOplockII@12
0001566C 000157E8 _FsRtlAcknowledgeOplockBreak@16
000157EE 000158EB _FsRtlOplockCleanup@8
000158F0 0001596B _FsRtlCancelWaitIrp@8
00015970 00015A05 _FsRtlCancelExclusiveIrp@8
00015A0A 00015B27 _FsRtlRequestExclusiveOplock@16
00015B2C 00015C82 _FsRtlWaitOnIrp@24
00015C88 00015DEA _FsRtlOplockBreakToII@24
00015DF0 00015F5A _FsRtlOplockBreakToNone@24
00015F60 000160C7 _FsRtlCheckOplock@20
000160CC 00016127 _FsFilterFreeCompletionStack@4
0001612C 00016144 _FsFilterCtrlFree@4
0001614A 00016237 _FsFilterGetCallbacks@16
