000025A7 000025D0 KeQuerySystemTime
000025EA 000025F7 KeEnterCriticalRegion
000025FC 00002616 KeLeaveCriticalRegion
00002685 0000277B KeInsertQueueDpc
00002890 00002981 KeI386Call16BitFunction
00002A34 00002AE7 KeI386Call16BitCStyleFunction
00002B44 00002BCF KeReleaseMutant
00002D16 00002DF4 KiIpiServiceRoutine
00003063 0000307E ObfReferenceObject
0000307E 00003087 READ_REGISTER_UCHAR
0000308A 00003094 READ_REGISTER_USHORT
00003096 0000309F READ_REGISTER_ULONG
000030A2 000030BB READ_REGISTER_BUFFER_UCHAR
000030BE 000030D8 READ_REGISTER_BUFFER_USHORT
000030DA 000030F3 READ_REGISTER_BUFFER_ULONG
000030F6 00003108 WRITE_REGISTER_UCHAR
0000310A 0000311D WRITE_REGISTER_USHORT
0000311E 00003130 WRITE_REGISTER_ULONG
00003132 00003150 WRITE_REGISTER_BUFFER_UCHAR
00003152 00003171 WRITE_REGISTER_BUFFER_USHORT
00003172 00003190 WRITE_REGISTER_BUFFER_ULONG
00003190 0000321B RtlGetCallersAddress
0000322D 00003265 RtlInitString
00003265 0000329D RtlInitAnsiString
0000329D 000032D9 RtlInitUnicodeString
000032D9 000032E3 RtlRaiseException
0000339C 000033EF ExAcquireResourceExclusiveLite
000033F4 00003425 ExQueueWorkItem
00003425 000034CF _alldiv
000034CF 000035AE _alldvrm
000035AE 000035E2 _allmul
000035E2 0000361F _alloca_probe
0000361F 000036D3 _allrem
000036D3 000036F2 _allshl
000036F2 00003713 _allshr
00003713 0000377B _aulldiv
0000377B 00003810 _aulldvrm
00003810 00003885 _aullrem
00003885 000038A4 _aullshr
000038AC 0000395A _except_handler2
0000395A 00003983 _strnset
00003983 000039B3 _strrev
000039B3 000039D3 _strset
000039D3 00003A7A memchr
00003A7A 00003DB5 memcpy
00003DB5 000040F5 memmove
000040F5 0000414D memset
0000414D 00004154 strcpy
0000415D 00004243 strcat
00004243 000042C8 strcmp
000042C8 00004343 strlen
00004343 00004468 strncat
00004468 000044A0 strncmp
000044A0 000045A0 strncpy
000045A0 000045C7 strrchr
000045C7 00004604 strspn
00004609 0000460F KdReceivePacket
0000460F 00004612 Kii386SpinOnSpinLock
00004612 00004619 KeGetCurrentThread
0000461A 00004628 KeGetPreviousMode
0000462A 00004631 KeIsExecutingDpc
0000467A 000046B9 KeSynchronizeExecution
00004AE4 00004AEB KiUnexpectedInterrupt
00004B8C 00004B91 RtlUshortByteSwap
00004B9C 00004BA1 RtlUlongByteSwap
00004BAC 00004BBF RtlUlonglongByteSwap
