0001CEED 0001CF11 ??_H@YGXPAXIHP6EPAX0@Z@Z
0001CF41 0001CF47 ?RequestNewObjectLayout@COleClientSiteImpl@CDefClient@@UAGJXZ
0001CF4C 0001CF6E ?FInit@XLOCK@@QAEHXZ
0001CF73 0001CF7D ??0OWNERENTRY@XSLOCK@@QAE@XZ
0001CF82 0001CF8D ??1CSharedMemoryBlock@@QAE@XZ
0001CF92 0001CFAF ?CloseSharedFileMapping@@YGXPAX0@Z
0001CFAF 0001CFEA __SEH_prolog
0001CFEA 0001CFFB __SEH_epilog
0001D000 0001D020 ?CRetailMalloc_Free@@YGXPAUIMalloc@@PAX@Z
0001D025 0001D03F ?CRetailMalloc_Alloc@@YGPAXPAUIMalloc@@K@Z
0001D044 0001D05B _CoTaskMemFree@4
0001D060 0001D077 _CoTaskMemAlloc@4
0001D07C 0001D0B4 __CRT_INIT@12
0001D0B9 0001D120 __DllMainCRTStartup@12
0001D125 0001D160 _DllMain@12
0001D165 0001D1BC _ThreadNotification@12
0001D1C1 0001D1DA ?DoThreadSpecificCleanup@@YGXXZ
0001D1DF 0001D1F7 ?Release@COleStaticMutexSem@@QAEXXZ
0001D1FC 0001D225 ?Request@COleStaticMutexSem@@QAEXXZ
0001D22A 0001D230 _NdrClientCall2
0001D235 0001D24D ?RetryRPC@CRpcResolver@@CGHJ@Z
0001D24D 0001D266 __chkstk
0001D26B 0001D2A4 ?GetCurrentApartmentId@@YGKXZ
0001D2A9 0001D2C1 ??3@YAXPAX@Z
0001D2C6 0001D2DE ??2@YAPAXI@Z
0001D2E3 0001D309 ?ReleaseEntry@CPageAllocator@@QAEXPAUtagPageEntry@@@Z
0001D30E 0001D347 ?PushSList@@YGXPAUtagPageEntry@@0PAVCOleStaticMutexSem@@@Z
0001D361 0001D381 ?Remove@CHashTable@@QAEXPAUSHashChain@@@Z
0001D386 0001D39B _ValidateInPointers@0
0001D3A0 0001D3B9 @__security_check_cookie@4
0001D3BE 0001D3CD ?IsWOWThread@@YGHXZ
0001D3D2 0001D3EC ?PrivateMemFree@@YGXPAX@Z
0001D3F1 0001D40B ??2?$CArray@VCStatData@@@@SGPAXI@Z
0001D410 0001D434 ?CRetailMalloc_GetSize@@YGKPAUIMalloc@@PAX@Z
0001D439 0001D468 _IsValidInterface@4
0001D479 0001D4C2 ?GetBindOptions@CBindCtx@@UAGJPAUtagBIND_OPTS@@@Z
0001D5F9 0001D60A ?Release@CStmBufWrite@@QAEXXZ
0001D60F 0001D62B ?Release@CSmAllocator@@UAGKXZ
0001D630 0001D63E ??1CMutexSem2@@QAE@XZ
0001D643 0001D64A ??0CMutexSem2@@QAE@XZ
0001D64F 0001D65D ?Request@CMutexSem2@@QAEXXZ
0001D662 0001D670 ?Release@CMutexSem2@@QAEXXZ
0001D675 0001D6B5 ?CRetailMalloc_Realloc@@YGPAXPAUIMalloc@@PAXK@Z
0001D6BA 0001D6D0 ?AddRef@CPipePSFactory@@UAGKXZ
0001D6D5 0001D6FB ?Release@CComApartment@@UAGKXZ
0001D700 0001D728 ?IsThreadInNTA@@YGHXZ
0001D72D 0001D746 ?CommonRelease@CObjectContext@@QAEKXZ
0001D74B 0001D769 ?InternalRelease@CObjectContext@@QAEKXZ
0001D76E 0001D793 ?GetCurrentApartmentKind@@YG?AW4tagAPTKIND@@AAVCOleTls@@@Z
0001D798 0001D7F4 ?GetCurrentComApartment@@YGJPAPAVCComApartment@@@Z
0001D819 0001D860 ?Lookup@CHashTable@@IAEPAUSHashChain@@KPBX@Z
0001D865 0001D87C ?OIDChainToIDObject@CIDObject@@SGPAV1@PAUSHashChain@@@Z
0001D881 0001D898 ?PIDChainToIDObject@CIDObject@@SGPAV1@PAUSHashChain@@@Z
0001D89D 0001D8B8 ?InternalAddRef@CObjectContext@@QAEKXZ
0001D8BD 0001D8EE ?AllocEntry@CPageAllocator@@QAEPAUtagPageEntry@@H@Z
0001D8F3 0001D935 ?PopSList@@YGPAUtagPageEntry@@PAU1@PAVCOleStaticMutexSem@@@Z
0001D93A 0001D974 ?Add@CHashTable@@IAEXKPAUSHashChain@@@Z
0001D979 0001DA05 ?ReleaseWriterLock@CRWLock@@QAEJXZ
0001DA0A 0001DAC3 ?AcquireWriterLock@CRWLock@@QAEJXZ
0001DAC8 0001DAE6 ?Finish@CFinishComposite@CClassCache@@QAEJXZ
0001DAEB 0001DB00 ??1CFinishComposite@CClassCache@@QAE@XZ
0001DB05 0001DB39 _InlineIsEqualGUID@8
0001DB3E 0001DB5E ?HasBCEs@CClassEntry@CClassCache@@QAEHXZ
0001DB7D 0001DB93 ?AddRef@CGIPMessageParam@@UAGKXZ
0001DB98 0001DBBA ?GetCurrentContext@@YGPAVCObjectContext@@XZ
0001DBC6 0001DC04 ?IsApartmentInitialized@@YGHXZ
0001DC3A 0001DC6F ?GetPrivateClipboardWindow@@YGPAUHWND__@@W4tagCLIPWINDOWFLAGS@@@Z
0001DC74 0001DC8E ?AddRef@CUrlMonWrapper@@UAGKXZ
0001DCCD 0001DCD2 ?Flush@CFileStream@@UAGJXZ
0001DCD7 0001DD03 ??_I@YGXPAXIHP6EX0@Z@Z
0001DD08 0001DD28 _CoGetMalloc@8
0001DD2D 0001DD3B ?CycleToClassEntry@CClassEntry@CClassCache@@QAEPAV12@XZ
0001DD40 0001DD4D ?NoLongerNeeded@CClassEntry@CClassCache@@UAEHXZ
0001DD6A 0001DDCF ?wStringFromUUID@@YGJABU_GUID@@PAG@Z
0001DDD4 0001DE0D ?wStringFromGUID2@@YGHABU_GUID@@PAGH@Z
0001DE12 0001DE6D _StringFromGUID2@12
