000013B0 0000141E ??0CAltTab@@QAE@PAUHWND__@@J@Z
0000141E 00001466 ??0CAnimation@@QAE@PAUHWND__@@J@Z
00001466 00001496 ??0CCaret@@QAE@XZ
00001496 00001535 ??0CCombo@@QAE@PAUHWND__@@J@Z
00001535 00001565 ??0CCursor@@QAE@XZ
00001565 000015AD ??0CDatePicker@@QAE@PAUHWND__@@J@Z
000015AD 000015EE ??0CDesktop@@QAE@PAUHWND__@@J@Z
000015EE 0000162F ??0CDialog@@QAE@PAUHWND__@@J@Z
0000162F 00001677 ??0CEdit@@QAE@PAUHWND__@@J@Z
00001677 000016BF ??0CHotKey32@@QAE@PAUHWND__@@J@Z
000016BF 00001707 ??0CIPAddress@@QAE@PAUHWND__@@J@Z
00001707 00001781 ??0CListBoxFrame@@QAE@PAUHWND__@@J@Z
00001781 000017C2 ??0CMdiClient@@QAE@PAUHWND__@@J@Z
000017C2 0000180A ??0CProgressBar@@QAE@PAUHWND__@@J@Z
0000180A 0000183A ??0CScrollBar@@QAE@XZ
0000183A 0000186A ??0CSizeGrip@@QAE@XZ
0000186A 000018DC ??0CScrollCtl@@QAE@PAUHWND__@@J@Z
000018DC 0000193F ??0CSlider32@@QAE@PAUHWND__@@J@Z
0000193F 000019CB ??0CStatic@@QAE@PAUHWND__@@J@Z
000019CB 000019FB ??0CTitleBar@@QAE@XZ
000019FB 00001A3C ??0CToolTips32@@QAE@PAUHWND__@@J@Z
00001A3C 00001A9A ??0CUpDown32@@QAE@PAUHWND__@@J@Z
00001A9A 00001AA5 ??3@YAXPAX@Z
00001AA5 00001AB2 ??2@YAPAXI@Z
00001AB2 00001AE3 ?MakeHwndKey@@YGXPAEPAUHWND__@@KK@Z
00001AE3 00001B37 ?DecodeHwndKey@@YGHPBEKPAPAUHWND__@@PAK2@Z
00001B37 00001B3B ?PropMgrClient_CheckAlive@@YGHXZ
00001B3B 00001BA1 ?MakeKeyString@@YGPAGPBEK@Z
00001BA1 00001BE2 ??0CButton@@QAE@PAUHWND__@@J@Z
00001BE2 00001C23 ??0CHeader32@@QAE@PAUHWND__@@J@Z
00001C23 00001CA8 ??0CListBox@@QAE@PAUHWND__@@J@Z
00001CA8 00001CF0 ??0CListView32@@QAE@PAUHWND__@@J@Z
00001CF0 00001D3B ??0CMenu@@QAE@PAUHWND__@@HJ@Z
00001D3B 00001D83 ??0COutlineView32@@QAE@PAUHWND__@@J@Z
00001D83 00001DC4 ??0CStatusBar32@@QAE@PAUHWND__@@J@Z
00001DC4 00001E05 ??0CTabControl32@@QAE@PAUHWND__@@J@Z
00001E05 00001E46 ??0CToolBar32@@QAE@PAUHWND__@@J@Z
00001E46 00001E62 ??_EAccWrap_Annotate@@EAEPAXI@Z
00001E62 00001E84 ??1AccWrap_Annotate@@EAE@XZ
00001E84 00001EA6 ??1AccWrap_AddIAccProp@@UAE@XZ
00001EA6 00001F1A ??1AccWrap_Base@@UAE@XZ
00001F1A 00001F36 ??_ECMenuPopup@@UAEPAXI@Z
00001F36 00001F69 ??1CMenuPopup@@UAE@XZ
00001F69 00001F8C ??1CAccessible@@UAE@XZ
00001F8C 00001FB1 ?Release@CAccessible@@UAGKXZ
00001FB1 00001FC1 ?TermTypeInfo@CAccessible@@AAEXXZ
00001FC1 00001FDB ?Release@AccWrap_Base@@UAGKXZ
00001FF3 00002001 _EXTERNAL_AccessibleObjectFromWindow@16
00002001 0000206A _AccessibleObjectFromWindow@16
0000206A 00002111 _ORIGINAL_AccessibleObjectFromWindow@16
00002111 00002168 _CreateStdAccessibleObject@16
0000217A 000021E2 ?LookupWindowClassName@@YGHPBGHPAW4CLASS_ENUM@@PAH@Z
000021E2 00002216 ?CreateWindowObject@@YGJPAUHWND__@@JABU_GUID@@PAPAX@Z
00002216 00002286 ?FindAndCreateWindowClass@@YGJPAUHWND__@@HW4CLASS_ENUM@@JJABU_GUID@@PAPAX@Z
00002286 000022A6 ?SameBitness@@YGJPAUHWND__@@PAH@Z
000022A6 000022B8 ?ProcessorIsX86@CProcessorType@@SGHXZ
000022B8 000022CE ?Init@CProcessorType@@CGXXZ
000022CE 00002317 ?LookupWindowClass@@YGHPAUHWND__@@HPAW4CLASS_ENUM@@PAH@Z
00002317 0000233B ?MyGetWindowClass@@YGIPAUHWND__@@PAGI@Z
0000233B 00002388 ?CreateMenuPopupWindow@@YGJPAUHWND__@@JABU_GUID@@PAPAX@Z
00002388 00002404 ??0CMenuPopupFrame@@QAE@PAUHWND__@@J@Z
00002404 0000241C ?Initialize@CWindow@@QAEXPAUHWND__@@J@Z
0000241C 00002450 ??0CWindow@@QAE@W4CLASS_ENUM@@@Z
00002450 00002491 ??0CAccessible@@QAE@W4CLASS_ENUM@@@Z
00002491 000024B6 ?MyGetGUIThreadInfo@@YGHKPAUtagGUITHREADINFO@@@Z
000024B6 00002504 ?MyGetMenuBarInfo@@YGHPAUHWND__@@JJPAUtagMENUBARINFO@@@Z
00002504 00002526 ?QueryService@CAccessible@@UAGJABU_GUID@@0PAPAX@Z
00002526 00002530 ?Release@CAccessible@@WM@AGKXZ
00002530 0000255C ?QueryInterface@AccWrap_AddIAccProp@@UAGJABU_GUID@@PAPAX@Z
0000255C 00002569 ?AddRef@AccWrap_Base@@UAGKXZ
00002569 000025A6 ?Init@AccWrap_Annotate@@AAEXXZ
000025A6 000025B0 ?AddRef@CAccessible@@WBA@AGKXZ
000025B0 000025BA ?Release@AccWrap_Base@@WM@AGKXZ
000025BA 000025F0 ?GetIdentityString@AccWrap_AddIAccProp@@UAGJKPAPAEPAK@Z
000025F0 00002650 ?GetIdentityString@CAccessible@@UAGJKPAPAEPAK@Z
0000266B 0000269B ?ValidateChild@CWindow@@UAEHPAUtagVARIANT@@@Z
0000269B 000026C7 ?ValidateNavDir@@YGHJJ@Z
000026C7 000026FB ??0CClient@@QAE@W4CLASS_ENUM@@@Z
00002706 00002710 ?Release@CAccessible@@WBA@AGKXZ
00002710 0000276C ?accNavigate@CMenuPopupFrame@@UAGJJUtagVARIANT@@PAU2@@Z
0000276C 000027B5 ?CreateMenuPopupClient@@YGJPAUHWND__@@JABU_GUID@@PAPAX@Z
000027B5 0000283B ??0CMenuPopup@@QAE@PAUHWND__@@J@Z
0000283B 0000296E ?FindItemIDThatOwnsThisMenu@@YGJPAUHMENU__@@PAPAUHWND__@@PAH2@Z
000029E6 00002A4B ?QueryInterface@AccWrap_Base@@UAGJABU_GUID@@PAPAX@Z
00002AC4 00002B1D ?QueryInterface@CAccessible@@UAGJABU_GUID@@PAPAX@Z
00002B1D 00002B22 ?AddRef@CAccessible@@WM@AGKXZ
00002B22 00002B2F ?AddRef@CAccessible@@UAGKXZ
00002B2F 00002BA5 ?GetGenericProp@AccWrap_Annotate@@QAEHUtagVARIANT@@W4PROPINDEX@@FPAU2@@Z
00002BA5 00002BAA ?PropMgrClient_LookupProp@@YGHPBEKW4PROPINDEX@@PAUtagVARIANT@@@Z
00002BAA 00002C17 ?LookupProp@MapReaderMgr@@QAEHPBEKW4PROPINDEX@@PAUtagVARIANT@@@Z
00002C17 00002C44 ?DecodeHmenuKey@@YGHPBEKPAKPAPAUHMENU__@@1@Z
00002C44 00002C56 ?WrapFactory@AccWrap_Annotate@@UAEPAUIUnknown@@PAU2@@Z
00002C56 00002C92 ??0AccWrap_Annotate@@AAE@PAUIUnknown@@@Z
00002C92 00002CCE ??0AccWrap_AddIAccProp@@QAE@PAUIUnknown@@@Z
00002CCE 00002D24 ??0AccWrap_Base@@IAE@PAUIUnknown@@@Z
00002D28 00002D73 ?CheckForInterface@AccWrap_Base@@AAEJPAUIUnknown@@ABU_GUID@@HPAPAX@Z
00002D73 00002DC6 ?WrapObject@@YGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
00002DC6 00002E1D ?AlreadyWrapped@AccWrap_Base@@SGHPAUIUnknown@@@Z
00002E1D 00002E79 ?accNavigate@AccWrap_Annotate@@UAGJJUtagVARIANT@@PAU2@@Z
00002E79 00002EB5 ?accNavigate@AccWrap_Base@@UAGJJUtagVARIANT@@PAU2@@Z
00002EB5 00002EDE ?ProcessVariant@AccWrap_Base@@AAEJPAUtagVARIANT@@H@Z
00002EDE 00002F31 ?ProcessIDispatch@AccWrap_Base@@AAEJPAPAUIDispatch@@@Z
00002F31 00002F54 ?Wrap@AccWrap_Base@@AAEPAUIUnknown@@PAU2@@Z
00002F54 00002FA8 ?_LookupProp@MapReaderMgr@@AAEHPBEK0KW4PROPINDEX@@HPAUtagVARIANT@@@Z
00002FA8 00002FD3 ?PropHwndFromKey@MapReaderMgr@@AAEPAUHWND__@@PBEK@Z
00002FD3 00002FF6 ?Initialize@CClient@@QAEXPAUHWND__@@J@Z
00002FF6 00003037 ?IsComboEx@@YGHPAUHWND__@@@Z
00003037 00003053 ??_GCMenuPopupFrame@@UAEPAXI@Z
