00001D15 00001D3D ?ULongLongToULong@@YGJ_KPAK@Z
00001D42 00001D86 ?StringCopyWorkerW@@YGJPAGIPBG@Z
00001D8B 00001DDA ?StringCopyNWorkerW@@YGJPAGIPBGI@Z
00001DDF 00001E18 ?StringLengthWorkerW@@YGJPBGIPAI@Z
00001E1D 00001EAD ?FChangeSourceInit@@YGHPAUHWND__@@IJ@Z
00001EB2 00001ECF ?StringCchCopyW@@YGJPAGIPBG@Z
00001ED4 00001EF7 ?StringCchCopyNW@@YGJPAGIPBGI@Z
00001EFC 00001F30 ?StringCatWorkerW@@YGJPAGIPBG@Z
00001F35 00001F52 ?StringCchCatW@@YGJPAGIPBG@Z
00001F57 00002231 ?ChangeSourceHookProc@@YGIPAUHWND__@@IIJ@Z
00002236 0000259C _OleUIChangeSourceW@4
000025A1 000025EF ?StringVPrintfWorkerW@@YGJPAGIPBGPAD@Z
0000276D 000027EB ?EnableDisableScaleControls@@YGXPAUtagVIEWPROPS@@PAUHWND__@@@Z
000027F0 000029A1 ?FViewPropsInit@@YGHPAUHWND__@@IJ@Z
00002AF9 00002CFA ?FLinkPropsInit@@YGHPAUHWND__@@IJ@Z
00002CFF 000031A7 ?LinkPropsDialogProc@@YGHPAUHWND__@@IIJ@Z
000032CD 000032F6 ?StringCchPrintfW@@YAJPAGIPBGZZ
000032FB 00003497 ?InternalObjectProperties@@YGIPAUtagOLEUIOBJECTPROPSW@@H@Z
0000349C 0000354E ?AddCommas@@YGPAGKPAGI@Z
00003553 000036BD ?ShortSizeFormat64@@YGPAG_JPAG@Z
000036C2 000036D8 ?ShortSizeFormat@@YGPAGKPAG@Z
000036DD 000038ED ?FGnrlPropsRefresh@@YGHPAUHWND__@@PAUtagGNRLPROPS@@@Z
000038F2 000039AE ?FGnrlPropsInit@@YGHPAUHWND__@@IJ@Z
000039B3 00003D51 ?GnrlPropsDialogProc@@YGHPAUHWND__@@IIJ@Z
00003D56 000042D5 ?ViewPropsDialogProc@@YGHPAUHWND__@@IIJ@Z
000042DA 000042ED _OleUIObjectPropertiesW@4
000042F2 00004372 ?BuildBusyDialogString@@YGXPAUHWND__@@KHPAG@Z
00004377 000043FD ?GetTaskInfo@@YGHPAUHWND__@@PAUHTASK__@@PAPAGPAPAU1@@Z
00004402 00004433 ?MakeWindowActive@@YGXPAUHWND__@@@Z
00004438 00004553 ?FBusyInit@@YGHPAUHWND__@@IJ@Z
00004558 000046AC ?BusyDialogProc@@YGHPAUHWND__@@IIJ@Z
000046B1 000046E7 _OleUIBusyW@4
000046EC 000047E1 ?UStandardValidation@@YGIPAUtagOLEUISTANDARD@@IPAPAX@Z
000047E6 0000484C ?UStandardInvocation@@YGIP6GHPAUHWND__@@IIJ@ZPAUtagOLEUISTANDARD@@PAXPAG@Z
00004851 00004948 ?LpvStandardInit@@YGPAXPAUHWND__@@IPAPAUHFONT__@@@Z
0000494D 00004976 ?UStandardHook@@YGIPAXPAUHWND__@@IIJ@Z
0000497B 000049BF ?StandardCleanup@@YGXPAXPAUHWND__@@@Z
000049C4 000049FB ?StandardShowDlgItem@@YGXPAUHWND__@@HH@Z
00004A00 00004A23 ?StandardEnableDlgItem@@YGXPAUHWND__@@HH@Z
00004A28 00004A67 ?LoadHelpInfo@@YGPAKI@Z
00004A6C 00004A92 ?StandardHelp@@YGXPAUHWND__@@I@Z
00004A97 00004ABD ?StandardContextMenu@@YGXIJI@Z
00004AC2 00004B0D ?StandardInitCommonControls@@YGHXZ
00004B12 00004B51 ?StandardPropertySheet@@YGHPAU_PROPSHEETHEADERW@@H@Z
00004B56 00004BAA ?StandardExtractIcon@@YGPAUHICON__@@PAUHINSTANCE__@@PBGI@Z
00004BAF 00004C03 ?StandardGetOpenFileName@@YGHPAUtagOFNW@@@Z
00004C08 00004C5E ?StandardGetFileTitle@@YGFPBGPAGG@Z
00004C63 00004DDF ?LpvStandardEntry@@YGPAXPAUHWND__@@IIJPAI@Z
00004EA9 00004EF9 ?ConvertCleanup@@YGXPAUHWND__@@PAUtagCONVERT@@@Z
00004EFE 00004F78 ?SwapWindows@@YGXPAUHWND__@@00@Z
00004F7D 00005017 ?FormatIncluded@@YGHPAGG@Z
0000501C 0000547E ?FillClassList@@YGIU_GUID@@PAUHWND__@@1PAPAGHGIPAU1@H@Z
00005483 000056FC _OleUICanConvertOrActivateAs@12
00005701 000058F1 ?SetConvertResults@@YGXPAUHWND__@@PAUtagCONVERT@@@Z
000058F6 00005F68 ?FConvertInit@@YGHPAUHWND__@@IJ@Z
00005F6D 00006573 ?ConvertDialogProc@@YGHPAUHWND__@@IIJ@Z
00006578 000066C5 _OleUIConvertW@4
000066CA 000066F5 _OleUIMetafilePictIconFree@4
000066FA 00006760 ?EnumMetafileIconDraw@@YGHPAUHDC__@@PAUtagHANDLETABLE@@PAUtagMETARECORD@@HJ@Z
00006765 000067F5 ?EnumMetafileExtractLabel@@YGHPAUHDC__@@PAUtagHANDLETABLE@@PAUtagMETARECORD@@HPAUtagLABELEXTRACT@@@Z
000067FA 00006AE1 ?EnumMetafileExtractIcon@@YGHPAUHDC__@@PAUtagHANDLETABLE@@PAUtagMETARECORD@@HPAUtagICONEXTRACT@@@Z
00006AE6 00006BA0 ?EnumMetafileExtractIconSource@@YGHPAUHDC__@@PAUtagHANDLETABLE@@PAUtagMETARECORD@@HPAUtagLABELEXTRACT@@@Z
00006BA5 00006C88 _OleUIMetafilePictIconDraw@16
00006C8D 00006D2C _OleUIMetafilePictExtractLabel@16
00006D31 00006D9B _OleUIMetafilePictExtractIcon@4
00006DA0 00006E32 _OleUIMetafilePictExtractIconSource@12
00006E37 00006FE4 ?UFillIconList@@YGIPAUHWND__@@IPAGH@Z
00006FE9 0000707F ?FDrawListIcon@@YGHPAUtagDRAWITEMSTRUCT@@@Z
00007084 0000716F ?IsLongComponent@@YGHPBGPAPAG@Z
00007174 000071F4 ?DetermineDosPathNameType@@YG?AW4PATH_TYPE@@PBG@Z
