00001F65 00001FC1 ?LoadOleAut@@YGJXZ
00001FC6 00001FD2 __OleTranslateColor@12
00001FD7 00001FE3 __OleCreateFontIndirect@12
00001FE8 00001FF4 __OleCreatePictureIndirect@16
00001FF9 00002005 __OleLoadPicture@20
0000200A 00002016 __OleCreatePropertyFrame@44
0000201B 00002027 __OleCreatePropertyFrameIndirect@4
0000202C 00002038 __OleIconToCursor@8
0000203D 000020DE _DllMain@12
000020E3 000020FD _DllCanUnloadNow@0
00002102 00002128 _DllGetClassObject@12
0000212D 00002147 _DllRegisterServer@0
0000214C 0000214F _DllUnregisterServer@0
00002154 0000216A ?LoadStdole2@@YGJPAPAUITypeLib@@@Z
0000216F 000021A6 ?OleAlloc@@YGPAXK@Z
000021AB 000021E5 ?OleRealloc@@YGPAXPAXK@Z
000021EA 0000221F ?OleFree@@YGXPAX@Z
00002224 00002260 ?DynLoad@@YGJPADPAPAX@Z
00002265 000022B2 ?_PropertySheet@@YGHPBU_PROPSHEETHEADERA@@@Z
000022B7 00002304 ?_CreatePropertySheetPage@@YGPAU_PSP@@PBU_PROPSHEETPAGEA@@@Z
00002309 0000232E ?AFromO@@YGXPBGHPAD@Z
00002333 00002370 ?AnsiFromOle@@YGJPBGPAPAD@Z
00002375 000023A2 ?_OlePropSheetProc@@YGHPAUHWND__@@IJ@Z
000023A7 000023D2 ?IsPageWindowUnicode@@YGHPAUHWND__@@@Z
000023D7 00002469 ?IsMnemonic@@YGHPAUHWND__@@D@Z
0000246E 00002569 ?PreTranslateAccelerator@COlePropertySheet@@QAEJPAUtagMSG@@H@Z
0000256E 0000259B ?SiteTranslateAccelerator@COlePropertySheet@@QAEJPAUtagMSG@@H@Z
000027B6 000027F0 ??0CPageHolderTemplate@@QAE@XZ
000027F5 000028DF ?SetSize@CPageHolderTemplate@@QAEXAAUtagSIZE@@@Z
000028E4 0000290E ??1CPageHolder@@QAE@XZ
00002913 00002935 ?SetObjects@CPageHolder@@QAEJKPAPAUIUnknown@@@Z
0000293A 0000297B ?PageTranslateAccelerator@CPageHolder@@QAEJPAUtagMSG@@H@Z
00002980 000029C0 ?QueryInterface@CPageHolder@@UAGJABU_GUID@@PAPAX@Z
000029C5 000029CB ?AddRef@CStreamDummy@@UAGKXZ
000029D0 00002A12 ?OnStatusChange@CPageHolder@@UAGJK@Z
00002A17 00002A38 ?GetLocaleID@CPageHolder@@UAGJPAK@Z
00002A3D 00002A69 ?TranslateAcceleratorW@CPageHolder@@UAGJPAUtagMSG@@@Z
00002A6E 00002A8A ?OnInitDialog@CPageHolder@@IAEHPAUHWND__@@@Z
00002A8F 00002AC3 ?OnSize@CPageHolder@@IAEXXZ
00002AC8 00002BCA ?OnActivate@CPageHolder@@IAEIPAUtagNMHDR@@@Z
00002BCF 00002C0B ?OnDeactivate@CPageHolder@@IAEIPAUtagNMHDR@@@Z
00002C10 00002C2D ?OnApply@CPageHolder@@IAEIPAUtagNMHDR@@@Z
00002C32 00002CFD ?GetHelpDirW@CPageHolder@@IAEHPAGJ@Z
00002D02 00002D38 ?ValidateParams@COlePropertySheet@@SGJPAUtagOCPFIPARAMS@@@Z
00002D3D 00002D61 ??$ConstructElements@U_GUID@@@@YGXPAU_GUID@@H@Z
00002D66 00002D87 ??_GCPageHolder@@QAEPAXI@Z
00002D8C 00002F49 ?DoModal@COlePropertySheet@@QAEHXZ
00002F4E 00002F67 ?_PageHolderPageProc@@YGIPAUHWND__@@IPAU_PROPSHEETPAGEA@@@Z
00002F6C 00003035 ?OnHelp@CPageHolder@@IAEHPAUtagNMHDR@@@Z
0000303A 0000307D ?RemoveAt@?$CArray@U_GUID@@AAU1@@@QAEXHH@Z
00003082 00003090 ??1?$CArray@PAVCPageHolder@@AAPAV1@@@QAE@XZ
00003095 000031E3 ?SetSize@?$CArray@PAVCPageHolder@@AAPAV1@@@QAEJHH@Z
000031E8 0000321A ?SetAtGrow@?$CArray@PAVCPageHolder@@AAPAV1@@@QAEJHAAPAVCPageHolder@@@Z
0000321F 00003348 ?SetSize@?$CArray@U_GUID@@AAU1@@@QAEJHH@Z
0000334D 00003381 ?SetAtGrow@?$CArray@U_GUID@@AAU1@@@QAEJHAAU_GUID@@@Z
00003386 00003471 ?_PageHolderDlgProc@@YGHPAUHWND__@@IIJ@Z
00003476 000035C6 ??0CPageHolder@@QAE@ABU_GUID@@KPAVCOlePropertySheet@@@Z
000035CB 000035E9 ?Add@?$CArray@PAVCPageHolder@@AAPAV1@@@QAEHAAPAVCPageHolder@@PAJ@Z
000035EE 0000360C ?Add@?$CArray@U_GUID@@AAU1@@@QAEHAAU_GUID@@PAJ@Z
00003611 0000368D ??1COlePropertySheet@@QAE@XZ
00003692 000037DA ?GetPageIDs@COlePropertySheet@@IAEXAAV?$CArray@U_GUID@@AAU1@@@@Z
000037DF 0000388C ?CreatePages@COlePropertySheet@@IAEXABV?$CArray@U_GUID@@AAU1@@@@Z
00003891 00003A8D ??0COlePropertySheet@@QAE@PAUtagOCPFIPARAMS@@@Z
00003A92 00003ADB _OleCreatePropertyFrameIndirect@4
00003AE0 00003B36 _OleCreatePropertyFrame@44
00003B3B 00003B60 ?_WinVer@@YGGXZ
00003B65 00003C3E _OleTranslateColor@12
00003C43 00003C5E ?SafeIntOnOverflow@CppEHPolicy@@SGXXZ
00003C64 00003D9B ?VgaPalIx@@YGHPAUtagRGBQUAD@@@Z
00003DA0 00003DED ??1CGdiCustodian@@EAE@XZ
00003DF2 00003E21 ?AddObj@CGdiCustodian@@QAGJPAX@Z
00003E26 00003E40 ?HrWrite@@YGJPAUIStream@@PAXK@Z
00003E45 00003E74 ?HrRead@@YGJPAUIStream@@PAXK@Z
00003E79 00003F29 ?HrCopyTo@@YGJPAUIStream@@0J@Z
00003F2E 00003F39 ?IncPictObjs@CPicture@@CGIXZ
00003F3E 00003F6A ?DecPictObjs@CPicture@@CGIXZ
00003F6F 00004114 ?QueryInterface@CPicture@@UAGJABU_GUID@@PAPAX@Z
00004119 0000412F ?AddRef@CPicture@@UAGKXZ
00004134 00004148 ?GetTypeInfoCount@CPicture@@UAGJPAI@Z
0000414D 00004192 ?GetTypeInfo@CPicture@@UAGJIKPAPAUITypeInfo@@@Z
00004197 000041F0 ?GetIDsOfNames@CPicture@@UAGJABU_GUID@@PAPAGIKPAJ@Z
000041F5 00004484 ?Invoke@CPicture@@UAGJJABU_GUID@@KGPAUtagDISPPARAMS@@PAUtagVARIANT@@PAUtagEXCEPINFO@@PAI@Z
00004489 000044AE ?IsPending@CPicture@@QAGJXZ
000044B3 00004508 ?get_Handle@CPicture@@UAGJPAI@Z
0000450D 0000454F ?get_hPal@CPicture@@UAGJPAI@Z
00004554 0000459E ?set_hPal@CPicture@@UAGJI@Z
000045A3 000045D7 ?get_Type@CPicture@@UAGJPAF@Z
000045DC 00004611 ?get_Width@CPicture@@UAGJPAJ@Z
00004616 0000464B ?get_Height@CPicture@@UAGJPAJ@Z
00004650 0000473C ?get_Mask@CPicture@@QAGJPAI@Z
00004741 000047C3 ?GetMember@CPicture@@QAGJKPAUtagSTGMEDIUM@@@Z
000047C8 000047F0 ?get_KeepOriginalFormat@CPicture@@UAGJPAH@Z
000047F5 00004843 ?put_KeepOriginalFormat@CPicture@@UAGJH@Z
00004848 0000487B ?PictureChanged@CPicture@@UAGJXZ
00004880 000048EC ?get_Attributes@CPicture@@UAGJPAK@Z
000048F1 00004925 ?_SetMetaFileBitsSize@@YGPAUHMETAFILE__@@PAXK@Z
0000492A 00004A64 ?PictSetSize@CPicture@@QAEJXZ
00004A69 00004A98 ?_RestoreBitmap@@YGXPAUHDC__@@PAUHBITMAP__@@@Z
00004A9D 00004AB9 ?_FMetafile@@YGHPAUHDC__@@@Z
00004ABE 00004AF6 ?_PictFMemDC@@YGHPAUHDC__@@@Z
00004AFB 00004B2D ?_PictFDibSection@@YGHPAUHBITMAP__@@@Z
00004B32 00004BB9 ?_PictEmfToWmf@@YGPAUHMETAFILE__@@PAUHENHMETAFILE__@@@Z
00004BBE 00004C69 ?_SetDCToDrawInHimetric@@YGHPAUHDC__@@PAUtagRECT@@111@Z
00004C6E 00004CD2 ?_ResetOrigDC@@YGXPAUHDC__@@HPAUtagRECT@@1@Z
00004CD7 00004D19 ?get_CurDC@CPicture@@UAGJPAPAUHDC__@@@Z
00004D1E 00004DAD ?SelectPicture@CPicture@@UAGJPAUHDC__@@PAPAU2@PAI@Z
00004DB2 00004DD8 ?GetClassID@CPicture@@UAGJPAU_GUID@@@Z
00004DDD 00004E0F ?FindConnectionPoint@CPicture@@UAGJABU_GUID@@PAPAUIConnectionPoint@@@Z
00004E14 00004E1C ?GetUnmarshalClass@CPicture@@UAGJABU_GUID@@PAXK1KPAU2@@Z
00004E21 00004E29 ?GetMarshalSizeMax@CPicture@@UAGJABU_GUID@@PAXK1KPAK@Z
00004E2E 00004E36 ?UnmarshalInterface@CPicture@@UAGJPAUIStream@@ABU_GUID@@PAPAX@Z
00004E3B 00004E43 ?DisconnectObject@CPicture@@UAGJK@Z
00004E48 00004F15 ?_PictLoadDIBitmap@@YGJPAVCPicture@@PAUIStream@@J@Z
00004F2A 000050D8 ?_PictLoadMetaFileRaw@@YGJPAVCPicture@@PAUIStream@@JPAURECTS@@@Z
000050DD 00005194 ?_PictLoadUnknownMetaFile@@YGJPAVCPicture@@PAUIStream@@J@Z
00005199 00005252 ?_PictLoadMetaFile@@YGJPAVCPicture@@PAUIStream@@J@Z
00005257 0000526F ?StashOriginal@CPicture@@QAEJPAUIStream@@J@Z
00005274 000054A8 ?_FHbmpsOfHicon@@YGJPAUHICON__@@PAPAUHBITMAP__@@1@Z
000054AD 000054F8 ?_GetMetaFileBitsSize@@YGPAXPAUHMETAFILE__@@PAK@Z
000054FD 00005573 ?_PictSaveEnhMetaFile@@YGJPAUIStream@@PAVCPicture@@PAJ@Z
00005578 0000564C ?_PictSaveMetaFile@@YGJPAUIStream@@PAVCPicture@@PAJ@Z
00005651 000056BE ?SaveHeader@CPicture@@QAEJPAUIStream@@PAJ@Z
000056C3 0000573F ?SaveOriginal@CPicture@@QAEJPAUIStream@@PAJ@Z
00005744 000057D4 ?_UtDupPalette@@YGPAUHPALETTE__@@PAU1@@Z
000057D9 00005873 ?SetPictOrg@CPicture@@AAEXPAUHDC__@@HHH@Z
00005878 0000592C ?SetPictExt@CPicture@@AAEXPAUHDC__@@HH@Z
00005931 00005974 ?ScalePictExt@CPicture@@AAEXPAUHDC__@@HHHH@Z
00005979 000059D8 ?ScaleRectExt@CPicture@@AAEXPAUHDC__@@HHHH@Z
000059DD 00005A1B ?PushDc@CPicture@@AAEHXZ
00005A20 00005A57 ?PopDc@CPicture@@AAEHXZ
00005A5C 00005AA6 ?CleanStack@CPicture@@AAEXXZ
00005AAB 00005ACC ?Empty@CCacheStream@@UAGJXZ
00005AD1 00005AE5 ?IsCached@CCacheStream@@UAGJXZ
00005AEA 00005B3F ?OpenStream@CCacheStream@@UAGJKPAPAUIStream@@@Z
00005B44 00005BE9 ?Copy@CCacheStream@@UAGJPAUIStream@@J@Z
00005BEE 00005BF6 ?Read@CStreamDummy@@UAGJPAXKPAK@Z
00005BFB 00005C18 ?Write@CStreamDummy@@UAGJPBXKPAK@Z
00005C1D 00005C25 ?LockRegion@CStreamDummy@@UAGJT_ULARGE_INTEGER@@0K@Z
00005C2A 00005C32 ?Revert@CStreamDummy@@UAGJXZ
00005C37 00005C3F ?QueryInterface@CGdiCustodian@@UAGJABU_GUID@@PAPAX@Z
00005C44 00005C5E ?addition@?$SafeInt@KVCppEHPolicy@@@@CGKKK@Z
00005C63 00005C78 ??$SafeCast@JI@?$SafeInt@IVCppEHPolicy@@@@CGIJ@Z
00005C7D 00005CA2 ??0CGdiCustodian@@AAE@XZ
00005CA7 00005CC8 ??_GCGdiCustodian@@EAEPAXI@Z
00005CCD 00005D16 ?Create@CGdiCustodian@@SGJPAPAV1@@Z
00005D1B 00005D4A ?Release@CGdiCustodian@@UAGKXZ
00005D4F 00005E90 ?CallbackFuncForDraw@CPicture@@QAEHPAUHDC__@@PAUtagHANDLETABLE@@PAUtagMETARECORD@@H@Z
00005E95 00005EA4 ??1CCacheStream@@UAE@XZ
00005EA9 00005EC9 ?multiply@?$SafeInt@GVCppEHPolicy@@@@CGGGG@Z
00005ECE 00005EFE ?multiply@?$SafeInt@JVCppEHPolicy@@@@CGJJJ@Z
00005F03 00005F32 ?addition@?$SafeInt@JVCppEHPolicy@@@@CGJJJ@Z
00005F38 00005F52 ?multiply@?$SafeInt@KVCppEHPolicy@@@@CGKKK@Z
00005F57 00005F70 ??$?0J@?$SafeInt@KVCppEHPolicy@@@@QAE@J@Z
00005F75 0000603D ??0CPicture@@QAE@K@Z
000060BA 00006194 ??1CPicture@@QAE@XZ
00006199 000061F5 ?CreatePicture@@YGJPAPAUIUnknown@@@Z
000061FA 0000621B ??_GCPicture@@QAEPAXI@Z
00006220 0000623D ?_MfCallbackFuncForDraw@@YGHPAUHDC__@@PAUtagHANDLETABLE@@PAUtagMETARECORD@@HJ@Z
00006242 0000648C ?RenderMetafile@CPicture@@QAEJPAUHDC__@@JJJJJJJJPBUtagRECT@@@Z
00006491 0000657B _OleCreatePictureIndirect@16
00006580 000065A1 ??_GCCacheStream@@UAEPAXI@Z
000065A6 000065C6 ??X?$SafeInt@GVCppEHPolicy@@@@QAEAAV0@G@Z
000065CB 000065FA ?Release@CPicture@@UAGKXZ
000065FF 000068ED ?_PictStretchBlt@@YGHPAUHDC__@@HHHH0HHHHK@Z
