000028D8 000028E4 glCallList
000028E4 000028F0 glCallLists
000028F0 000028FC glBegin
000028FC 00002908 glColor3b
00002908 00002914 glColor3bv
00002914 00002920 glColor3d
00002920 0000292C glColor3dv
0000292C 00002938 glColor3f
00002938 00002944 glColor3fv
00002944 00002950 glColor3i
00002950 0000295C glColor3iv
0000295C 00002968 glColor3s
00002968 00002974 glColor3sv
00002974 00002980 glColor3ub
00002980 0000298C glColor3ubv
0000298C 00002998 glColor3ui
00002998 000029A4 glColor3uiv
000029A4 000029B0 glColor3us
000029B0 000029BC glColor3usv
000029BC 000029C8 glColor4b
000029C8 000029D4 glColor4bv
000029D4 000029E0 glColor4d
000029E0 000029EC glColor4dv
000029EC 000029F8 glColor4f
000029F8 00002A04 glColor4fv
00002A04 00002A10 glColor4i
00002A10 00002A1C glColor4iv
00002A1C 00002A28 glColor4s
00002A28 00002A34 glColor4sv
00002A34 00002A40 glColor4ub
00002A40 00002A4C glColor4ubv
00002A4C 00002A58 glColor4ui
00002A58 00002A64 glColor4uiv
00002A64 00002A70 glColor4us
00002A70 00002A7C glColor4usv
00002A7C 00002A88 glEdgeFlag
00002A88 00002A94 glEdgeFlagv
00002A94 00002AA0 glEnd
00002AA0 00002AAC glIndexd
00002AAC 00002AB8 glIndexdv
00002AB8 00002AC4 glIndexf
00002AC4 00002AD0 glIndexfv
00002AD0 00002ADC glIndexi
00002ADC 00002AE8 glIndexiv
00002AE8 00002AF4 glIndexs
00002AF4 00002B00 glIndexsv
00002B00 00002B0C glNormal3b
00002B0C 00002B18 glNormal3bv
00002B18 00002B24 glNormal3d
00002B24 00002B30 glNormal3dv
00002B30 00002B3C glNormal3f
00002B3C 00002B48 glNormal3fv
00002B48 00002B54 glNormal3i
00002B54 00002B60 glNormal3iv
00002B60 00002B6C glNormal3s
00002B6C 00002B78 glNormal3sv
00002B78 00002B84 glTexCoord1d
00002B84 00002B90 glTexCoord1dv
00002B90 00002B9C glTexCoord1f
00002B9C 00002BA8 glTexCoord1fv
00002BA8 00002BB4 glTexCoord1i
00002BB4 00002BC0 glTexCoord1iv
00002BC0 00002BCC glTexCoord1s
00002BCC 00002BD8 glTexCoord1sv
00002BD8 00002BE4 glTexCoord2d
00002BE4 00002BF0 glTexCoord2dv
00002BF0 00002BFC glTexCoord2f
00002BFC 00002C08 glTexCoord2fv
00002C08 00002C14 glTexCoord2i
00002C14 00002C20 glTexCoord2iv
00002C20 00002C2C glTexCoord2s
00002C2C 00002C38 glTexCoord2sv
00002C38 00002C44 glTexCoord3d
00002C44 00002C50 glTexCoord3dv
00002C50 00002C5C glTexCoord3f
00002C5C 00002C68 glTexCoord3fv
00002C68 00002C74 glTexCoord3i
00002C74 00002C80 glTexCoord3iv
00002C80 00002C8C glTexCoord3s
00002C8C 00002C98 glTexCoord3sv
00002C98 00002CA4 glTexCoord4d
00002CA4 00002CB0 glTexCoord4dv
00002CB0 00002CBC glTexCoord4f
00002CBC 00002CC8 glTexCoord4fv
00002CC8 00002CD4 glTexCoord4i
00002CD4 00002CE0 glTexCoord4iv
00002CE0 00002CEC glTexCoord4s
00002CEC 00002CF8 glTexCoord4sv
00002CF8 00002D04 glVertex2d
00002D04 00002D10 glVertex2dv
00002D10 00002D1C glVertex2f
00002D1C 00002D28 glVertex2fv
00002D28 00002D34 glVertex2i
00002D34 00002D40 glVertex2iv
00002D40 00002D4C glVertex2s
00002D4C 00002D58 glVertex2sv
00002D58 00002D64 glVertex3d
00002D64 00002D70 glVertex3dv
00002D70 00002D7C glVertex3f
00002D7C 00002D88 glVertex3fv
00002D88 00002D94 glVertex3i
00002D94 00002DA0 glVertex3iv
00002DA0 00002DAC glVertex3s
00002DAC 00002DB8 glVertex3sv
00002DB8 00002DC4 glVertex4d
00002DC4 00002DD0 glVertex4dv
00002DD0 00002DDC glVertex4f
00002DDC 00002DE8 glVertex4fv
00002DE8 00002DF4 glVertex4i
00002DF4 00002E00 glVertex4iv
00002E00 00002E0C glVertex4s
00002E0C 00002E18 glVertex4sv
00002E18 00002E24 glMaterialf
00002E24 00002E30 glMaterialfv
00002E30 00002E3C glMateriali
00002E3C 00002E48 glMaterialiv
00002E48 00002E54 glDisable
00002E54 00002E60 glEnable
00002E60 00002E6C glPopAttrib
00002E6C 00002E78 glPushAttrib
00002E78 00002E84 glEvalCoord1d
00002E84 00002E90 glEvalCoord1dv
00002E90 00002E9C glEvalCoord1f
00002E9C 00002EA8 glEvalCoord1fv
00002EA8 00002EB4 glEvalCoord2d
00002EB4 00002EC0 glEvalCoord2dv
00002EC0 00002ECC glEvalCoord2f
00002ECC 00002ED8 glEvalCoord2fv
00002ED8 00002EE4 glEvalPoint1
00002EE4 00002EF0 glEvalPoint2
00002EF0 00002EFC glLoadIdentity
00002EFC 00002F08 glLoadMatrixf
00002F08 00002F14 glLoadMatrixd
00002F14 00002F20 glMatrixMode
00002F20 00002F2C glMultMatrixf
00002F2C 00002F38 glMultMatrixd
00002F38 00002F44 glPopMatrix
00002F44 00002F50 glPushMatrix
00002F50 00002F5C glRotated
00002F5C 00002F68 glRotatef
00002F68 00002F74 glScaled
00002F74 00002F80 glScalef
00002F80 00002F8C glTranslated
00002F8C 00002F98 glTranslatef
00002F98 00002FA4 glArrayElement
00002FA4 00002FB0 glBindTexture
00002FB0 00002FBC glColorPointer
00002FBC 00002FC8 glDisableClientState
00002FC8 00002FD4 glDrawArrays
00002FD4 00002FE0 glDrawElements
