00004B25 00004B46 _QCapDllEntry@12
00004B4B 00004B53 _DllRegisterServer@0
00004B58 00004B60 _DllUnregisterServer@0
00004B65 00004BD3 ___security_init_cookie
00004BD8 00004BEE @__security_check_cookie@4
00004BF3 00004CEB ___report_gsfailure
00004CF0 00004D02 ?AddRef@CClassFactory@@UAGKXZ
00004D07 00004D26 ?LockServer@CClassFactory@@UAGJH@Z
00004D2B 00004D61 ?DllInitClasses@@YGXH@Z
00004D66 00004DCC __DllEntryPoint@12
00004DD1 00004DF0 ?IsClassID@CFactoryTemplate@@QBEHABU_GUID@@@Z
00004DF5 00004E49 ?QueryInterface@CClassFactory@@UAGJABU_GUID@@PAPAX@Z
00004E4E 00004EDB ?CreateInstance@CClassFactory@@UAGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
00004EE0 00004EF9 _DllCanUnloadNow@0
00004EFE 00004F14 _DllEntryPoint@12
00004F19 00004F45 ??0CClassFactory@@QAE@PBVCFactoryTemplate@@@Z
00004F4A 00004F67 ?Release@CClassFactory@@UAGKXZ
00004F6C 00005002 _DllGetClassObject@12
00005007 000050D8 _EliminateSubKey@8
000050DD 000052D9 _AMovieSetupRegisterServer@32
000052DE 0000534D _AMovieSetupUnregisterServer@16
00005352 000053C0 _AMovieSetupRegisterFilter2@12
000053C5 00005432 _RegisterAllServers@8
00005437 000055B6 _AMovieDllRegisterServer2@4
000055BB 000055D1 ??0CBaseObject@@QAE@PBG@Z
000055D6 000055FD ??1CBaseObject@@QAE@XZ
00005602 00005632 ??0CUnknown@@QAE@PAGPAUIUnknown@@PAJ@Z
00005637 0000565B _GetInterface@8
00005660 000056B2 ?IsEqualObject@@YGHPAUIUnknown@@0@Z
000056B7 000056E7 ??0CUnknown@@QAE@PBGPAUIUnknown@@@Z
000056EC 0000572D ?NonDelegatingQueryInterface@CUnknown@@UAGJABU_GUID@@PAPAX@Z
00005732 00005755 ?NonDelegatingAddRef@CUnknown@@UAGKXZ
0000575A 00005792 ?NonDelegatingRelease@CUnknown@@UAGKXZ
00005797 000057B7 _CreateMemoryAllocator@4
000057BC 00005835 _CreatePosPassThru@16
0000583A 000058BA ?NonDelegatingQueryInterface@CBaseFilter@@UAGJABU_GUID@@PAPAX@Z
000058BF 000058DA ??0CAutoLock@@QAE@PAVCCritSec@@@Z
000058DF 00005900 ?GetState@CBaseFilter@@UAGJKPAW4_FilterState@@@Z
00005905 00005948 ?SetSyncSource@CBaseFilter@@UAGJPAUIReferenceClock@@@Z
0000594D 00005995 ?GetSyncSource@CBaseFilter@@UAGJPAPAUIReferenceClock@@@Z
0000599A 000059D4 ?StreamTime@CBaseFilter@@UAEJAAVCRefTime@@@Z
000059D9 00005A2B ?QueryFilterInfo@CBaseFilter@@UAGJPAU_FilterInfo@@@Z
00005A30 00005AC8 ?JoinFilterGraph@CBaseFilter@@UAGJPAUIFilterGraph@@PBG@Z
00005ACD 00005AFF ?NotifyEvent@CBaseFilter@@QAEJJJJ@Z
00005B04 00005B5E ?ReconnectPin@CBaseFilter@@QAEJPAUIPin@@PBU_AMMediaType@@@Z
00005B63 00005B67 ?GetPinVersion@CBaseFilter@@UAEJXZ
00005B6C 00005B77 ?IncrementPinVersion@CBaseFilter@@QAEXXZ
00005B7C 00005B9C ??1CEnumPins@@UAE@XZ
00005BA1 00005BF0 ?QueryInterface@CEnumPins@@UAGJABU_GUID@@PAPAX@Z
00005BF5 00005C0B ?AddRef@CEnumPins@@UAGKXZ
00005C10 00005C3F ?Release@CEnumPins@@UAGKXZ
00005C44 00005C76 ?Reset@CEnumPins@@UAGJXZ
00005C7B 00005CA5 ?Refresh@CEnumPins@@AAGJXZ
00005CAA 00005CBD ??1CEnumMediaTypes@@UAE@XZ
00005CC2 00005D11 ?QueryInterface@CEnumMediaTypes@@UAGJABU_GUID@@PAPAX@Z
00005D16 00005D2C ?AddRef@CEnumMediaTypes@@UAGKXZ
00005D31 00005D60 ?Release@CEnumMediaTypes@@UAGKXZ
00005D65 00005D84 ?Reset@CEnumMediaTypes@@UAGJXZ
00005D89 00005DA8 ??1CBasePin@@UAE@XZ
00005DAD 00005E05 ?NonDelegatingQueryInterface@CBasePin@@UAGJABU_GUID@@PAPAX@Z
00005E0A 00005E22 ?NonDelegatingAddRef@CBasePin@@UAGKXZ
00005E27 00005E3F ?NonDelegatingRelease@CBasePin@@UAGKXZ
00005E44 00005EEC ?AttemptConnection@CBasePin@@IAEJPAUIPin@@PBVCMediaType@@@Z
00005EF1 00005F0A ?AreWeOutOfSync@CEnumPins@@AAEHXZ
00005F0F 00005F28 ?AreWeOutOfSync@CEnumMediaTypes@@AAEHXZ
00005F2D 00005FEB ?TryMediaTypes@CBasePin@@IAEJPAUIPin@@PBVCMediaType@@PAUIEnumMediaTypes@@@Z
00005FF0 000060A4 ?AgreeMediaType@CBasePin@@IAEJPAUIPin@@PBVCMediaType@@@Z
000060A9 000060C3 ?SetMediaType@CBasePin@@UAEJPBVCMediaType@@@Z
000060C8 000060F3 ?CheckConnect@CBasePin@@UAEJPAUIPin@@@Z
000060F8 000061EE ?ReceiveConnection@CBasePin@@UAGJPAUIPin@@PBU_AMMediaType@@@Z
000061F3 00006226 ?DisconnectInternal@CBasePin@@IAGJXZ
0000622B 0000625D ?ConnectedTo@CBasePin@@UAGJPAPAUIPin@@@Z
00006262 000062B6 ?ConnectionMediaType@CBasePin@@UAGJPAU_AMMediaType@@@Z
000062BB 00006321 ?QueryPinInfo@CBasePin@@UAGJPAU_PinInfo@@@Z
00006326 00006347 ?GetMode@CFileWriterFilter@@UAGJPAK@Z
0000634C 00006364 ?QueryId@CBasePin@@UAGJPAPAG@Z
00006369 00006394 ?QueryAccept@CBasePin@@UAGJPBU_AMMediaType@@@Z
00006399 000063A1 ?GetMediaType@CBasePin@@UAEJHPAVCMediaType@@@Z
000063A6 000063AA ?GetMediaTypeVersion@CBasePin@@UAEJXZ
000063AF 000063D9 ?SetSink@CBasePin@@UAGJPAUIQualityControl@@@Z
000063DE 00006410 ?NewSegment@CBasePin@@UAGJ_J0N@Z
00006415 0000642A ?CompleteConnect@CBaseOutputPin@@UAEJPAUIPin@@@Z
0000642F 00006462 ?CheckConnect@CBaseOutputPin@@UAEJPAUIPin@@@Z
00006467 000064AC ?BreakConnect@CBaseOutputPin@@UAEJXZ
000064B1 000064BC ?InitAllocator@CBaseOutputPin@@UAEJPAPAUIMemAllocator@@@Z
000064C1 00006581 ?DecideAllocator@CBaseOutputPin@@UAEJPAUIMemInputPin@@PAPAUIMemAllocator@@@Z
00006586 000065B5 ?GetDeliveryBuffer@CBaseOutputPin@@UAEJPAPAUIMediaSample@@PA_J1K@Z
000065BA 000065E0 ?Deliver@CBaseOutputPin@@UAEJPAUIMediaSample@@@Z
000065E5 000065FB ?DeliverEndOfStream@CBaseOutputPin@@UAEJXZ
00006600 0000661A ?Active@CBaseOutputPin@@UAEJXZ
0000661F 0000663A ?Inactive@CBaseOutputPin@@UAEJXZ
0000663F 00006655 ?DeliverBeginFlush@CBaseOutputPin@@UAEJXZ
0000665A 00006670 ?DeliverEndFlush@CBaseOutputPin@@UAEJXZ
00006675 000066A8 ?DeliverNewSegment@CBaseOutputPin@@UAEJ_J0N@Z
000066AD 000066D1 ??1CBaseInputPin@@UAE@XZ
000066D6 00006713 ?NonDelegatingQueryInterface@CBaseInputPin@@UAGJABU_GUID@@PAPAX@Z
00006718 00006770 ?GetAllocator@CBaseInputPin@@UAGJPAPAUIMemAllocator@@@Z
