00001370 000024DF _RasApiDebugInit@0
000024E4 0000250D _IsRasmanProcess@0
00002520 000025E7 _RasEnumConnectionsW@12
000025F0 00002664 _IsRasmanServiceRunning@0
00002677 00002690 _DebugInitEx@8
000026A0 000026B9 @__security_check_cookie@4
000026D5 00002897 _DwEnumEntriesForPbkMode@24
0000289C 00002941 _GetPhonebookDirectory@8
000029B0 00002B04 _DwEnumEntriesInDir@28
00002B09 00002B10 __imp_load__SHGetFolderPathW@20
00002B10 00002B21 __tailMerge_SHELL32
00002B26 00002BE9 ___delayLoadHelper2@8
00002BEE 00002CA8 _RasDefIntConnOpenKey@8
00002CFD 00002D17 _IsConsumerPlatform@0
00002D1C 00002D3D _IsStandaloneWKS@0
00002D42 00002D6A _GetComputerRole@4
00002D6F 00002EA2 _DwEnumEntryDetails@16
00002EA7 00002F35 _DwMarkDefaultInternetConnnection@8
00002F3A 00003066 _RasGetAutodialAddressW@20
0000306B 000030DF _RasDefIntConnReadName@4
00003105 00003126 _IsPersonalPlatform@0
0000312B 00003152 _GetComputerSuite@4
0000315D 00003164 __imp_load__DsRoleGetPrimaryDomainInformation@12
00003169 0000316F _DsRoleGetPrimaryDomainInformation@12
00003174 0000317B __imp_load__DsRoleFreeMemory@4
0000317B 0000318C __tailMerge_NETAPI32
00003191 0000322D _LoadSkuAndRole@0
00003232 00003238 _DsRoleFreeMemory@4
0000323D 000032A8 __CRT_INIT@12
000032AD 00003312 __DllMainCRTStartup@12
00003317 00003402 _DllMain@12
00003407 00003444 _RasScriptDllMain@12
00003460 00003471 __SEH_epilog
00003476 000034B1 _CsDllMain@4
000034D0 0000350B __SEH_prolog
0000366C 00003695 ___security_init_cookie
0000369A 000036A0 __initterm
000036A5 000036CD _DtlCreateList@4
000036D2 000039CE _LoadRasapi32Dll@0
000039D3 00003A58 _InitializePbk@0
00003A67 00003B6F _DwAllocateSecurityDescriptorAllowAccessToWorld@4
00003BA7 00003C60 _DebugLoadTraceLibary@0
00003CE9 00003DF4 _RasEnumEntriesW@20
00003DF9 00003E36 _UnloadDlls@0
00003EAA 00003F2C _UnloadRasapi32Dll@0
00003F31 00003F44 _UnloadRasmanDll@0
00003F49 00003F6E _DtlDestroyList@8
00003F73 00003F84 _TerminatePbk@0
00003FEF 0000400E _RasApiDebugTerm@0
00004013 0000403E _DebugTermEx@4
00004043 0000406A _DebugFreeTraceLibrary@0
000040B1 000040BF _CsShutdownModule@0
00004133 00004170 __chkstk
000050A0 000050A1 nullsub_1
000066E1 0000673C _CallRasEntryDlgW@12
00006767 000067D6 _RasCreatePhonebookEntryW@8
000067DB 00006834 _RasCreatePhonebookEntryA@8
00006839 000068B6 _RasEditPhonebookEntryW@12
000068BB 0000693E _RasEditPhonebookEntryA@12
00006943 00006D80 _RasEnumConnectionsA@12
00006D85 000070C6 _RasEnumEntriesA@20
000070CB 000075EB _RasGetConnectStatusW@8
00007696 000077A8 _RasGetConnectStatusA@8
000077AD 000078BA _RasGetEntryHrasconnW@12
000078D5 000079B3 _RasGetEntryHrasconnA@12
000079D3 00007AB1 _RasGetConnectResponse@8
00007AD0 00007D1A _RasGetEntryDialParamsW@12
00007D38 00007DF7 _RasGetErrorStringW@12
00007DFC 00007EBA _RasGetErrorStringA@12
00007EBF 00007F80 _RasGetHport@4
00007F85 0000800A _DwGetReplyMessage@12
0000800F 00008676 _RasGetProjectionInfoW@16
00008699 00008A63 _RasGetProjectionInfoA@16
00008A68 00008B24 _DwHangUpConnection@4
00008BCD 00008FA6 _RasHangUpW@4
00009167 00009177 _RasHangUpA@4
0000917C 0000928D _RasSetEntryDialParamsW@12
000092AC 00009472 _RasSetEntryDialParamsA@12
00009477 000094DF _RasSetOldPassword@8
000094E4 00009714 _RasEnumDevicesW@12
00009729 00009842 _RasEnumDevicesA@12
00009847 00009974 _RasGetCountryInfoW@8
00009979 00009A56 _RasGetCountryInfoA@8
00009A5B 00009B6D _RasGetEntryPropertiesW@24
00009B72 00009CF9 _RasSetEntryPropertiesW@24
00009D18 0000A1F3 _RasSetEntryPropertiesA@24
0000A1F8 0000A2FF _RasRenameEntryW@12
0000A315 0000A3BD _RasRenameEntryA@12
0000A3C2 0000A53A _RasDeleteEntryW@8
0000A5B9 0000A635 _RasDeleteEntryA@8
0000A63A 0000A703 _RasValidateEntryNameW@8
0000A708 0000A784 _RasValidateEntryNameA@8
0000A789 0000A7FD _RasGetSubEntryHandleW@12
0000A802 0000A812 _RasGetSubEntryHandleA@12
0000A817 0000A853 _RasConnectionNotificationW@12
0000A858 0000A860 _RasConnectionNotificationA@12
0000A865 0000A94A _RasGetSubEntryPropertiesW@28
0000A96B 0000AA79 _RasSetSubEntryPropertiesW@28
0000AA9B 0000ACAC _RasSetSubEntryPropertiesA@28
0000ACB1 0000AF2E _RasGetCredentialsW@12
0000AF33 0000B073 _RasGetCredentialsA@12
0000B078 0000B2E2 _RasSetCredentialsW@16
0000B343 0000B448 _RasSetCredentialsA@16
0000B44D 0000B54D _NewAutodialNetwork@8
0000B587 0000B689 _AutodialEntryToNetwork@16
0000B68E 0000B6CF _DwOpenUsersRegistry@8
0000B6D4 0000B792 _RasAutodialEntryToNetwork@12
