000011B0 0000121B __CRT_INIT@12
00001240 00001259 @__security_check_cookie@4
00001260 000012C5 __DllMainCRTStartup@12
000012D0 00001310 _DllMain@12
00001315 0000133E ___security_init_cookie
00001343 00001349 __initterm
000026F2 00002744 _IsRasmanProcess@0
0000279C 0000279D _RasmanOutputDebug
000027F1 0000282C __SEH_prolog
0000282C 0000283D __SEH_epilog
000035F1 0000360D _ValidateConnectionHandle@4
00003612 00003660 _IsKnownDll@4
0000367F 00003816 _RasStartRasAutoIfRequired@0
0000399D 00003A4D _RasInitializeNoWait@0
00003ACD 00003AF4 _RasPortOpen@12
00003AF9 00003B1E _RasPortReserve@8
00003B23 00003B44 _RasPortFree@4
00003B49 00003B6A _RasPortClose@4
00003B6F 00003E29 _RasPortEnum@16
00003E43 00003E8F _RasPortGetInfo@16
00003E94 00003EAF _RasPortSetInfo@8
00003EB4 00003F45 _RasPortDisconnect@8
00003F4A 00003F6C _RasPortSend@12
00003F71 00003FA0 _RasPortReceive@20
00003FA5 00003FC3 _RasPortReceiveEx@12
00003FC8 00003FE0 _RasPortCancelReceive@4
00003FE5 0000400A _RasPortListen@12
0000400F 00004027 _RasPortConnectComplete@4
0000402C 0000405E _RasPortGetStatistics@16
00004063 00004095 _RasBundleGetStatistics@16
0000409A 000040CC _RasPortGetStatisticsEx@16
000040D1 00004103 _RasBundleGetStatisticsEx@16
00004108 00004134 _RasPortClearStatistics@8
00004139 00004165 _RasBundleClearStatistics@8
0000416A 000041BC _RasDeviceEnum@20
000041C1 000041F9 _RasDeviceGetInfo@24
000041FE 00004229 _RasDeviceConnect@20
0000422E 0000425D _RasGetInfo@12
00004262 00004268 _RasGetInfoEx@12
0000426D 0000430B _RasGetBuffer@8
00004370 000043CC _RasFreeBuffer@4
00004400 0000441E _RasProtocolEnum@12
00004423 00004444 _RasAllocateRoute@16
00004449 0000446A _RasActivateRoute@16
0000446F 00004493 _RasActivateRouteEx@20
00004498 000044B3 _RasDeAllocateRoute@8
000044B8 000044D6 _RasCompressionGetInfo@12
000044DB 000044F9 _RasCompressionSetInfo@12
000044FE 00004528 _RasGetUserCredentials@28
0000452D 0000454B _RasSetCachedCredentials@12
00004550 00004572 _RasRequestNotification@8
00004577 00004592 _RasEnumLanNets@8
00004597 000045C9 _RasPortEnumProtocols@16
000045CE 00004671 _RasPortSetFraming@16
00004676 00004694 _RasPortStoreUserData@12
00004699 000046B7 _RasPortRetrieveUserData@12
000046BC 000046E9 _RasPortRegisterSlip@32
000046EE 00004709 _RasPortSetFramingEx@8
0000470E 0000473D _RasPortGetFramingEx@12
00004742 00004763 _RasPortGetProtocolCompression@16
00004768 00004789 _RasPortSetProtocolCompression@16
0000478E 000047A9 _RasGetFramingCapabilities@8
000047AE 00004802 _RasSecurityDialogSend@12
00004807 00004881 _RasSecurityDialogReceive@20
