00001449 00001462 ?lstrcmpi@CW32System@@SGHPBG0@Z
00001467 000014A6 ?GetModuleFileName@CW32System@@SGKPAUHINSTANCE__@@PAGK@Z
000014AB 00001518 ___security_init_cookie
0000151D 00001582 __DllMainCRTStartup@12
00001587 00001666 _DllMain@12
00001710 000017DB ?RegisterREClass@CW32System@@SGGPBUtagWNDCLASSW@@PBDP6GJPAUHWND__@@IIJ@Z@Z
000017E0 000017F9 @__security_check_cookie@4
000017FE 000018EE ??0CW32System@@QAE@XZ
00001961 000019CF ?GetVersion@CW32System@@SGHPAK00@Z
000019D4 000019E5 ??2@YAPAXI@Z
000019EA 00001A17 ?PvAlloc@CW32System@@SGPAXKI@Z
00001A1C 00001A43 ?ZeroMemory@CW32System@@SGPAXPAXI@Z
00001A48 00001AB3 __CRT_INIT@12
00001AB8 00001ABE __initterm
00001AC3 00001AF0 ?DestroyFormatCaches@@YGJXZ
00001AF5 00001B23 ?DeleteDanglingHosts@@YGXXZ
00001B28 00001B65 ?ReleaseOutlineBitmaps@@YGXXZ
00001B6A 00001B8F ?FreeFontSubInfo@CRTFConverter@@SGXXZ
00001B94 00001BAF ?ReleaseTypeInfoPtrs@@YGXXZ
00001BB4 00001BDF ?FreeIME@CW32System@@SGXXZ
00001BE4 00001C20 ?UnregisterClassW@CW32System@@SGHPBGPAUHINSTANCE__@@@Z
00001C7A 00001C9B ??1CW32System@@QAE@XZ
00001CA0 00001CBF ?FreeOle@CW32System@@SGXXZ
00001CC4 00001CDB ?UninitKinsokuClassify@@YGXXZ
00001CE0 00001CF6 ?FreePv@CW32System@@SGXPAX@Z
00001CFB 00001D15 ?FreeFontCache@@YGXXZ
00001D15 00001D3B ?FreeFontNames@@YGXXZ
00001D40 00001D61 ??_GCW32System@@QAEPAXI@Z
00001D66 00001D75 ??3@YAXPAX@Z
00001E21 00001E3A ?OurUnloadDelayLoadedDlls@@YGXXZ
00001E8E 00001ECB __chkstk
00004CAF 00004CB2 ?PostIMEChar@CIme_Protected@@UAEXAAVCTextMsgFilter@@@Z
00004CB7 00004CC6 ?SetNext@CBaseAE@@UAEXPAVIAntiEvent@@@Z
00004CCB 00004CCF ?GetObjectCount@CObjectMgr@@QAEJXZ
00004CD4 00004D95 ?Undo@CReplaceRangeAE@@UAEJPAVCTxtEdit@@PAVIUndoBuilder@@@Z
00004D9A 00004DE6 ?MergeData@CReplaceRangeAE@@UAEJKPAX@Z
00004DEB 00004E0C ??1CReplaceRangeAE@@AAE@XZ
00004E11 00004E35 ??_H@YGXPAXIHP6EPAX0@Z@Z
00004E3A 00004E93 ??1CReplaceFormattingAE@@AAE@XZ
00004E98 00004ED4 ?Undo@CReplaceObjectAE@@UAEJPAVCTxtEdit@@PAVIUndoBuilder@@@Z
00004ED9 00004EE6 ?OnCommit@CReplaceObjectAE@@UAEXPAVCTxtEdit@@@Z
00004EEB 00004F1D ?Undo@CResizeObjectAE@@UAEJPAVCTxtEdit@@PAVIUndoBuilder@@@Z
00004F22 00004F67 ?MergeData@CSelectionAE@@UAEJKPAX@Z
00004F6C 00004F83 ??0?$CRunPtr@VCFormatRun@@@@QAE@AAVCRunPtrBase@@@Z
00004F88 00004F9F ??0CFormatRunPtr@@QAE@ABV0@@Z
00004FA4 00004FC5 ??_GCReplaceRangeAE@@AAEPAXI@Z
00004FCA 00005003 ??0CReplaceRangeAE@@AAE@JJJPAGPAVIAntiEvent@@1@Z
00005008 00005029 ??_GCReplaceFormattingAE@@AAEPAXI@Z
0000502E 00005057 ??0CReplaceObjectAE@@AAE@PAVCOleObject@@@Z
00005075 000050A2 ??0CResizeObjectAE@@AAE@PAVCOleObject@@UtagRECT@@@Z
000050C1 000050E3 ??_GCReplaceObjectAE@@AAEPAXI@Z
000050E8 00005115 ??0CSelectionAE@@AAE@JJJJ@Z
00005135 0000517C ?CreateReplaceRangeAE@CAntiEventDispenser@@QAEPAVIAntiEvent@@PAVCTxtEdit@@JJJPAGPAV2@2@Z
00005181 000051B9 ?CreateReplaceObjectAE@CAntiEventDispenser@@QAEPAVIAntiEvent@@PAVCTxtEdit@@PAVCOleObject@@@Z
000051BE 00005204 ?CreateResizeObjectAE@CAntiEventDispenser@@QAEPAVIAntiEvent@@PAVCTxtEdit@@PAVCOleObject@@UtagRECT@@@Z
00005209 0000524A ?CreateSelectionAE@CAntiEventDispenser@@QAEPAVIAntiEvent@@PAVCTxtEdit@@JJJJ@Z
0000524F 0000527D ?Destroy@CReplaceRangeAE@@UAEXXZ
00005282 0000528E ?Destroy@CReplaceFormattingAE@@UAEXXZ
00005293 000052BF ?Destroy@CReplaceObjectAE@@UAEXXZ
000052C4 000052D0 ?Destroy@CResizeObjectAE@@UAEXXZ
000052D5 000052E1 ?Destroy@CSelectionAE@@UAEXXZ
000052E6 0000533C ?Undo@CSelectionAE@@UAEJPAVCTxtEdit@@PAVIUndoBuilder@@@Z
00005341 0000544F ??0CReplaceFormattingAE@@AAE@PAVCTxtEdit@@AAVCFormatRunPtr@@JPAUIFormatCache@@H@Z
00005454 00005498 ?CreateReplaceFormattingAE@CAntiEventDispenser@@QAEPAVIAntiEvent@@PAVCTxtEdit@@AAVCFormatRunPtr@@JPAUIFormatCache@@H@Z
0000549D 000056DF ?Undo@CReplaceFormattingAE@@UAEJPAVCTxtEdit@@PAVIUndoBuilder@@@Z
000056E4 000056FF ??0CArrayBase@@QAE@J@Z
00005704 0000571F ?MoveMemory@CW32System@@SGPAXPAXPBXI@Z
00005724 0000579A ?ArAdd@CArrayBase@@IAEPAXJPAJ@Z
0000579F 0000582B ?ArInsert@CArrayBase@@IAEPAXJJ@Z
00005830 000058AD ?Remove@CArrayBase@@QAEXJJ@Z
000058B2 000058FC ?Clear@CArrayBase@@QAEXW4tagArrayFlag@@@Z
00005901 000059A1 ?Replace@CArrayBase@@QAEHJJPAV1@@Z
000059A6 000059D6 ?SetChangeEvent@CCallMgr@@QAEXW4CHANGETYPE@@@Z
00005A56 00005A7B ?SetInProtected@CCallMgr@@QAEXH@Z
00005A98 00005AB3 ?RegisterComponent@CCallMgr@@QAEXPAVIReEntrantComponent@@W4CompName@@@Z
00005AB8 00005ADB ?RevokeComponent@CCallMgr@@QAEXPAVIReEntrantComponent@@@Z
00005AE0 00005B04 ?GetComponent@CCallMgr@@QAEPAVIReEntrantComponent@@W4CompName@@@Z
00005B09 00005B2A ??_GCTxtEdit@@QAEPAXI@Z
00005B2F 00005B51 ?NotifyEnterContext@CCallMgr@@AAEXXZ
00005B56 00005B86 ??0CCallMgr@@QAE@PAVCTxtEdit@@@Z
00005B8B 00005CDB ?SendAllNotifications@CCallMgr@@AAEXXZ
00005CE0 00005D7A ??1CCallMgr@@QAE@XZ
00005D7F 00005D95 ?UpdateCbWindow@CCmbBxWinHost@@QAEXXZ
00005D9A 00005E03 ?QueryInterface@CCmbBxWinHost@@UAGJABU_GUID@@PAPAX@Z
00005E08 00005E44 ?OnNCDestroy@CCmbBxWinHost@@SGXPAV1@@Z
00005E49 00005E82 ??0CCmbBxWinHost@@QAE@XZ
00005E87 00005E8D ?get_accRole@CTxtWinHost@@UAGJUtagVARIANT@@PAU2@@Z
00005E92 00005EB2 ?TxSetCursor2@CCmbBxWinHost@@UAEPAUHICON__@@PAU2@H@Z
00005EB7 00005EC9 ??1CCmbBxWinHost@@UAE@XZ
00005ECE 000060E4 ?Init@CCmbBxWinHost@@UAEHPAUHWND__@@PBUtagCREATESTRUCTW@@@Z
000060E9 0000611F ?GetTextLength@CCmbBxWinHost@@QAEJXZ
00006124 00006168 ?GetEditText@CCmbBxWinHost@@QAEJPAGH@Z
0000616D 000061E1 ?DrawButton@CCmbBxWinHost@@IAEXPAUHDC__@@H@Z
000061E6 00006201 ?SetSelectionInfo@CCmbBxWinHost@@QAEXHH@Z
00006206 0000621F ?DXtoHimetricX@CW32System@@SGJJJ@Z
00006224 000062E6 ?HiliteEdit@CCmbBxWinHost@@IAEXH@Z
000062EB 00006312 ?CbGetItemHeight@CCmbBxWinHost@@QAEJH@Z
00006317 00006338 ?CbSetExtendedUI@CCmbBxWinHost@@QAEJH@Z
0000633D 00006472 ?OnChar@CCmbBxWinHost@@UAEJGK@Z
00006477 00006540 ?OnMouseMove@CCmbBxWinHost@@QAEJIJ@Z
00006545 000065B7 ?OnMouseWheel@CCmbBxWinHost@@QAEJIJ@Z
000065BC 00006641 ?OnSetCursor@CCmbBxWinHost@@QAEJIJ@Z
00006646 00006689 ?OnGetDlgCode@CCmbBxWinHost@@UAEJIJ@Z
0000668E 000066DF ?OnSetTextEx@CCmbBxWinHost@@QAEJIJ@Z
000066E4 0000672C ?Get@?$CDynamicArray@VCLbData@@@@QAEABVCLbData@@H@Z
00006731 0000673B ?QueryInterface@CLstBxWinHost@@W3AGJABU_GUID@@PAPAX@Z
00006740 0000674A ?AddRef@CTxtWinHost@@W3AGKXZ
0000674F 00006759 ?Release@CTxtWinHost@@W3AGKXZ
0000675E 00006778 ?GetData@CLstBxWinHost@@QAEJJ@Z
0000677D 000067D6 ?OnNCCreate@CCmbBxWinHost@@SGJPAUHWND__@@PBUtagCREATESTRUCTW@@@Z
000067DB 000067FC ??_GCCmbBxWinHost@@UAEPAXI@Z
00006801 00006862 ?SetSizeEdit@CCmbBxWinHost@@IAEXHHHH@Z
00006867 00006BA1 ?CbCalcControlRects@CCmbBxWinHost@@QAEHPAUtagRECT@@H@Z
00006BA6 00006C35 ?DrawEditFocus@CCmbBxWinHost@@QAEXPAUHDC__@@@Z
00006C3A 00006D20 ?AutoUpdateEdit@CCmbBxWinHost@@IAEXH@Z
00006D25 00006DCE ?UpdateListBox@CCmbBxWinHost@@QAEHH@Z
00006DD3 00006F0F ?HideListBox@CCmbBxWinHost@@QAEHHH@Z
00006F14 00007186 ?ShowListBox@CCmbBxWinHost@@QAEXH@Z
0000718B 00007352 ?CbMessageItemHandler@CCmbBxWinHost@@QAEJPAUHDC__@@HIJ@Z
00007357 0000738A ?OnEnable@CCmbBxWinHost@@QAEJIJ@Z
0000738F 00007404 ?OnSyskeyDown@CCmbBxWinHost@@UAEJGK@Z
00007409 00007439 ?OnCaptureChanged@CCmbBxWinHost@@QAEJIJ@Z
0000743E 000074A3 ?OnLButtonUp@CCmbBxWinHost@@QAEJIJ@Z
000074A8 0000752E ?OnLButtonDown@CCmbBxWinHost@@QAEJIJ@Z
00007533 000075A8 ?OnSetFocus@CCmbBxWinHost@@QAEJIJ@Z
000075AD 00007646 ?OnKillFocus@CCmbBxWinHost@@QAEJIJ@Z
0000764B 0000782F ?OnPaint@CCmbBxWinHost@@QAEJIJ@Z
00007834 000078A4 ?SetDropSize@CCmbBxWinHost@@IAEXPAUtagRECT@@@Z
000078A9 00007969 ?TxNotify@CCmbBxWinHost@@UAEJKPAX@Z
0000796E 00007A23 ?UpdateEditBox@CCmbBxWinHost@@QAEXXZ
00007A28 00007A92 ?OnCommand@CCmbBxWinHost@@QAEJIJ@Z
00007A97 00007C8B ?OnKeyDown@CCmbBxWinHost@@UAEJGK@Z
00007C90 00007D2C ?OnSize@CCmbBxWinHost@@QAEJIJ@Z
00007D31 00007F5A ?OnCreate@CCmbBxWinHost@@UAEJPBUtagCREATESTRUCTW@@@Z
00007F8B 00008003 ?CbSetItemHeight@CCmbBxWinHost@@QAEJHH@Z
00008008 00008A17 ?RichComboBoxWndProc@@YGJPAUHWND__@@IIJ@Z
00008A84 00008AC8 ?StringCopyWorkerW@@YGJPAGIPBG@Z
00008ACD 00008AEF ?IsValidTwip@@YGHJ@Z
00008AF4 00008B86 ?ApplyDefaultStyle@CCharFormat@@QAEXJ@Z
00008BA1 00008C91 ?Delta@CCharFormat@@QBEKPAV1@H@Z
00008C96 00008CD1 ?fSetStyle@CCharFormat@@QBEHKK@Z
00008CD6 00008CFD ?ApplyDefaultStyle@CParaFormat@@QAEXJ@Z
00008D02 00008D43 ?fSetStyle@CParaFormat@@QBEHK@Z
00008D48 00008DF5 ?GetTab@CParaFormat@@QBEJJPAJ00PBJ@Z
00008DFA 00008E0C ?GetTabs@CParaFormat@@QBEPBJXZ
00008E11 00008EBE ?HandleStyle@CParaFormat@@QAEHJ@Z
00008EC3 00008EE4 ?CompareMemory@CW32System@@SGHPBX0I@Z
00008EE9 00008F0C ?IsValidCharFormatW@@YGHPBU_charformatw@@@Z
00008F11 00008F34 ?IsValidCharFormatA@@YGHPBU_charformat@@@Z
00008F39 00008F60 ?IsValidParaFormat@@YGHPBU_paraformat@@@Z
00008F65 00008F82 ?StringCchCopyW@@YGJPAGIPBG@Z
00008F87 00009062 ?Get@CCharFormat@@QBEXPAUCHARFORMAT2W@@I@Z
00009067 000091F3 ?InitDefault@CCharFormat@@QAEJPAUHFONT__@@@Z
000091F8 000092A4 ?AddTab@CParaFormat@@QAEJJJJHPAJ@Z
000092A9 000094EA ?Apply@CParaFormat@@QAEJPBV1@K@Z
000094EF 0000954B ?DeleteTab@CParaFormat@@QAEJJPAJ@Z
00009550 000096B6 ?Delta@CParaFormat@@QBEKPAV1@H@Z
000096BB 0000975F ?Get@CParaFormat@@QBEXPAUPARAFORMAT2@@@Z
00009764 00009795 ?InitDefault@CParaFormat@@QAEJG@Z
0000979A 000099F2 ?NumToStr@CParaFormat@@QBEJPAGJK@Z
00009A03 00009A7F ?Set@CParaFormat@@QAEXPBUPARAFORMAT2@@@Z
00009A84 00009AEB ?UpdateNumber@CParaFormat@@QBEJJPBV1@@Z
00009AF0 00009B80 ?GetUsableFontHeight@@YGJJJ@Z
00009B93 00009BB6 ?Get16BitTwips@@YGFJ@Z
00009BBB 00009F03 ?Apply@CCharFormat@@QAEJPBV1@KK@Z
00009F08 00009FD3 ?Set@CCharFormat@@QAEXPBUCHARFORMAT2W@@I@Z
0000A000 0000A062 ?IsSameClass@@YGHGGGG@Z
0000A067 0000A116 ?ClassifyChar@@YGGG@Z
0000A11B 0000A228 ?BatchClassify@@YGXPBGHPAGPAH1@Z
0000A22D 0000A2A7 ?GetKinsokuClass@@YGHG@Z
0000A2AC 0000A2C8 ?CanBreak@@YGHHH@Z
0000A2ED 0000A337 ?IsURLDelimiter@@YGHG@Z
0000A33C 0000A372 ?FillMemory@CW32System@@SGPAXPAXHI@Z
0000A377 0000A4BC ?InitKinsokuClassify@@YGHXZ
0000A4C1 0000A522 ??1CTextMsgFilter@@QAE@XZ
0000A527 0000A573 ?QueryInterface@CTextMsgFilter@@UAGJABU_GUID@@PAPAX@Z
0000A578 0000A58A ?AddRef@CTextMsgFilter@@UAGKXZ
0000A58F 0000A5B0 ??_GCTextMsgFilter@@QAEPAXI@Z
0000A5B5 0000A5E7 ?AttachMsgFilter@CTextMsgFilter@@UAGJPAUITextMsgFilter@@@Z
0000A5EC 0000A611 ?GetTxSelection@CTextMsgFilter@@QAEHXZ
0000A616 0000A660 ?CheckIMEType@CTextMsgFilter@@AAEXPAUHKL__@@@Z
0000A665 0000A808 ?InputFEChar@CTextMsgFilter@@AAEJG@Z
0000A80D 0000A891 ?OnKillFocus@CTextMsgFilter@@AAEXXZ
0000A896 0000A8B9 ?OnGetIMEOptions@CTextMsgFilter@@AAEJXZ
0000A8BE 0000A8DB ?GetBuf@CTempWcharBuf@@QAEPAGJ@Z
0000A8E0 0000A8FD ?Release@CTextMsgFilter@@UAGKXZ
0000A902 0000A9DF ?AttachDocument@CTextMsgFilter@@UAGJPAUHWND__@@PAUITextDocument2@@@Z
0000A9E4 0000AA56 ?OnWMChar@CTextMsgFilter@@AAEJPAI0PAJ1@Z
0000AA5B 0000AAE6 ?OnWMIMEChar@CTextMsgFilter@@AAEJPAI0PAJ1@Z
0000AAEB 0000AD0E ?OnIMEQueryPos@CTextMsgFilter@@AAEJPAI0PAJ1H@Z
0000AD13 0000ADE6 ?SetupIMEOptions@CTextMsgFilter@@AAEXXZ
0000ADEB 0000AFE7 ?CheckIMEChange@CTextMsgFilter@@AAEHPAUtagRECONVERTSTRING@@JJJJH@Z
0000AFEC 0000B07B ?OnSetFocus@CTextMsgFilter@@AAEXXZ
0000B080 0000B113 ?OnSetIMEOptions@CTextMsgFilter@@AAEJIJ@Z
0000B118 0000B13C ?CreateIMEMessageFilter@@YGXPAPAUITextMsgFilter@@@Z
0000B141 0000B721 ?OnIMEReconvert@CTextMsgFilter@@AAEJPAI0PAJ1H@Z
0000B726 0000BFD2 ?HandleMessage@CTextMsgFilter@@UAGJPAI0PAJ1@Z
0000BFD7 0000BFEC ?TxUpdateWindow@CTxtEdit@@QAEXXZ
0000BFF1 0000C006 ?ReleaseDC@CDevDesc@@QBEXPAUHDC__@@@Z
0000C00B 0000C03C ?IsExcelCLSID@@YGHABU_GUID@@@Z
0000C085 0000C178 ?QueryInterface@COleObject@@UAGJABU_GUID@@PAPAX@Z
0000C1AD 0000C1C1 ?AddRef@COleObject@@UAGKXZ
0000C1C6 0000C1DA ?Release@COleObject@@UAGKXZ
0000C1DF 0000C20D ?SaveObject@COleObject@@UAGJXZ
0000C212 0000C22A ?GetMoniker@COleObject@@UAGJKKPAPAUIMoniker@@@Z
0000C22F 0000C247 ?GetContainer@COleObject@@UAGJPAPAUIOleContainer@@@Z
