00006254 0000628A UuidCreate
0000628F 0000647C DllEntryPoint
00006693 0000669E I_RpcBCacheFree
000081B8 000081BE _alloca_probe
00008805 00008808 nullsub_1
000089B9 00008A24 I_RpcGetBufferWithObject
00008A29 00008A3C I_RpcGetBuffer
00008B6F 00008BA4 NdrClientInitializeNew
00008BA9 00008C5D NdrClientInitialize
00009045 00009086 NdrGetBuffer
000090CC 000090F9 NdrFreeBuffer
00009123 0000913D NdrCorrelationFree
00009142 00009159 NdrFullPointerXlatFree
000091A3 000091B9 I_RpcFreeBuffer
000092F4 00009308 NdrGetTypeFlags
000095A8 000095AB nullsub_3
000095B7 000095BD wcslen
0000973A 0000977A NdrCorrelationInitialize
00009795 000097B6 NdrCorrelationPass
00009984 000099C4 CheckVerificationTrailer
00009AED 00009BA5 NdrServerInitialize
00009FBF 0000A03A NdrOutInit
0000A23F 0000A255 NdrAllocate
0000A31B 0000A342 I_RpcSendReceive
0000A347 0000A395 NdrSendReceive
0000A3A3 0000A3E7 NdrServerInitializeNew
0000A436 0000A48E RpcImpersonateClient
0000A4BE 0000A503 RpcRevertToSelfEx
0000A5FD 0000A64F NdrpMemoryIncrement
0000AA2C 0000AA88 NdrSimpleStructMarshall
0000AA8D 0000AB46 NdrSimpleStructUnmarshall
0000ABDF 0000AC84 NdrPointerFree
0000AD0D 0000AD43 NdrPointerMarshall
0000AD48 0000AD75 NdrPointerBufferSize
0000AD7A 0000ADB5 NdrPointerUnmarshall
0000ADDC 0000AE16 NdrSimpleTypeMarshall
0000AF2A 0000AF66 NdrSimpleStructBufferSize
0000B164 0000B184 NdrSimpleStructFree
0000B26A 0000B270 _wcsicmp
0000B3D8 0000B427 RpcBindingFree
0000B42C 0000B432 RtlDllShutdownInProgress
0000B487 0000B48F RpcRevertToSelf
0000B4B1 0000B4C3 I_RpcFree
0000B4C8 0000B4E7 I_RpcAllocate
0000B635 0000B641 NdrOleFree
0000B854 0000B87B NdrConformantArrayBufferSize
0000B880 0000B8AC NdrConformantArrayMarshall
0000B976 0000B9F1 NdrConformantArrayUnmarshall
0000B9F6 0000BA23 NdrConformantArrayFree
0000C90A 0000C95B I_RpcBindingInqTransportType
0000D0E9 0000D1CA NDRSContextUnmarshall2
0000D48C 0000D4DB NDRCContextMarshall
0000D4F1 0000D5A5 NdrServerContextNewUnmarshall
0000D833 0000D861 NDRCContextBinding
0000D92D 0000D9CC NDRCContextUnmarshall
0000DA6A 0000DAC3 NdrServerContextNewMarshall
0000DAC8 0000DC1F NDRSContextMarshall2
0000DD2F 0000DD76 NdrContextHandleInitialize
0000DD8A 0000DDCB I_RpcBindingCopy
0000E1E4 0000E1EA wcscat
0000E41B 0000E421 wcscpy
0000E75E 0000E794 RpcStringFreeW
0000E968 0000E9B1 RpcBindingToStringBindingW
0000E9B6 0000EA89 RpcStringBindingParseW
0000EAC5 0000EB6D RpcBindingFromStringBindingW
0000EC67 0000EC6D _wcsnicmp
0000ED21 0000EDA7 RpcStringBindingComposeW
0000EFDD 0000F0DC I_RpcParseSecurity
0000F16D 0000F19D NdrConformantStringBufferSize
0000F210 0000F24A NdrConformantStringMarshall
0000F2F0 0000F3B3 NdrConformantStringUnmarshall
0000F529 0000F59A NdrConformantStructBufferSize
0000F59F 0000F653 NdrConformantStructMarshall
0000F658 0000F7AC NdrConformantStructUnmarshall
0001062B 00010642 I_RpcTransConnectionAllocatePacket
00010672 00010682 I_RpcTransGetThreadEvent
0001207C 000120D7 RpcBindingServerFromClient
000122E3 0001234E NdrSimpleStructMemorySize
00012776 000127A7 RpcMgmtSetCancelTimeout
000127C8 00012802 NdrConformantStringMemorySize
00012957 00012979 I_RpcMapWin32Status
00013022 0001305C NdrConformantVaryingArrayFree
00013061 00013088 NdrConformantVaryingArrayBufferSize
0001312E 0001315A NdrConformantVaryingArrayMarshall
00013212 00013269 NdrConformantVaryingArrayUnmarshall
00013450 0001348D NdrConformantVaryingArrayMemorySize
000135BD 00013684 NdrConformantStructMemorySize
00013689 000136CA NdrNonEncapsulatedUnionBufferSize
0001379B 000137DE NdrNonEncapsulatedUnionMarshall
000139CC 00013A04 NdrNonEncapsulatedUnionFree
00013A96 00013AFA NdrNonEncapsulatedUnionUnmarshall
00013C42 00013C71 NdrNonEncapsulatedUnionMemorySize
00015A0A 00015A28 I_RpcTransServerNewConnection
000162A2 00016493 NdrComplexStructBufferSize
00016498 00016691 NdrComplexStructMarshall
000167B1 00016924 NdrComplexStructMemorySize
00016929 00016B29 NdrComplexStructUnmarshall
00016BA3 00016F17 NdrComplexStructFree
000173BC 00017434 I_RpcBindingIsClientLocal
00017A7E 00017B43 RpcBindingSetAuthInfoExW
0001876C 0001877D I_RpcTransConnectionFreePacket
00018782 00018785 I_RpcLogEvent
00018C71 00018DB2 NdrComplexArrayFree
000194BA 000195AA NdrComplexArrayMarshall
00019609 0001966E NdrComplexArrayBufferSize
00019673 00019752 NdrComplexArrayUnmarshall
00019757 000197DA NdrComplexArrayMemorySize
0001A0AD 0001A16D CreateStubFromTypeInfo
0001A505 0001A51F NdrOleAllocate
0001A52C 0001A582 RpcBindingInqObject
0001A5B3 0001A5F7 I_RpcBindingInqLocalClientPID
0001A7EE 0001A82C RpcBindingSetObject
0001A906 0001A956 RpcBindingInqAuthClientExW
0001A9A4 0001A9C6 RpcBindingInqAuthClientW
0001AA4A 0001AA7C I_RpcSend
0001AAAF 0001AAE7 I_RpcAsyncSetHandle
0001B115 0001B152 I_RpcReceive
0001B941 0001B95F I_RpcBCacheAllocate
0001D53A 0001D562 RpcServerRegisterIf2
