0000118D 000011D2 _InitializeDll@12
000011D7 00001200 ___security_init_cookie
00001E80 00001E91 __SEH_epilog
00001EA0 00001EB7 _SampMapCompletionStatus@4
00001EC0 00001ECC _MIDL_user_free@4
00001ED1 00001EF3 _SamrCloseHandle@4
00001EF8 00001F4D _SamCloseHandle@4
00001F6D 00001FA2 _SampFreeHandle@4
00002EE0 00002F1B __SEH_prolog
00002F20 00002F26 _NdrClientCall2
00003780 000037E2 _SampIsValidClientHandle@8
000037F9 0000387D _SampCreateNewHandle@12
00003890 000038A4 _MIDL_user_allocate@4
000038A9 000039EE _SamConnect@16
00003A25 00003A47 _SamrConnect5@28
00003A4C 00003A65 _SamFreeMemory@4
00003A6A 00003A7B _PSAMPR_SERVER_NAME_unbind@8
00003A80 00003A9B _RpcpUnbindRpc@4
00003AA0 00003AEB _SamLookupDomainInSamServer@12
00003B01 00003B23 _SamrLookupDomainInSamServer@12
00003B28 00003BE5 _SamOpenDomain@16
00003C05 00003C27 _SamrOpenDomain@16
00003C2C 00003CB0 _SamEnumerateDomainsInSamServer@20
00003CC1 00003CE3 _SamrEnumerateDomainsInSamServer@20
00003CF3 00003D21 _wcscat
00003D26 00003D45 _wcscpy
00003D4A 00003D64 _wcslen
00003D69 00003DB8 _PSAMPR_SERVER_NAME_bind@4
00003DC9 00003E9E _RpcpBindRpc@16
00003EC7 00003EE0 @__security_check_cookie@4
00003EE5 00003F07 _SamrLookupNamesInDomain@20
00003F0C 00004077 _SamLookupNamesInDomain@20
00004083 00004114 _SamOpenUser@16
00004129 0000414B _SamrOpenUser@16
00004150 0000419B _SamQueryInformationUser@12
000041B1 000041D3 _SamrQueryInformationUser@12
000041D8 0000426B _SamGetAliasMembership@20
00004281 000042A3 _SamrGetAliasMembership@12
000042A8 00004318 _SamGetGroupsForUser@12
00004329 0000434B _SamrGetGroupsForUser@8
00004350 000043A2 _SamRidToSid@12
000043A7 00004408 _SampMakeSid@12
000044A9 000044CB _SamrQuerySecurityObject@12
000045B4 0000461D __wcsnicmp
00004622 00004667 _SamGetCompatibilityMode@8
0000466C 0000472A _SamQueryDisplayInformation@36
00004741 00004763 _SamrQueryDisplayInformation@32
00004791 000047EB _SamLookupIdsInDomain@20
000047F0 00004893 _SampLookupIdsInDomain@20
000048A9 000048CB _SamrLookupIdsInDomain@20
000048D0 00004928 _SamQueryInformationDomain@12
00004939 0000495B _SamrQueryInformationDomain@12
0000495B 00004A41 __except_handler3
00004A41 00004D60 _memmove
00004D60 00004D80 __global_unwind2
00004DBB 00004E2B __local_unwind2
00004E2B 00004E41 __NLG_Notify
00004E41 00004E49 __NLG_Dispatch2
00004E49 00004F96 _rc4@12
00004F96 00005080 _rc4_key@12
00005080 00005BD7 _SHATransform@8
00005BD7 00006E76 _SHATransformP3@8
00006E76 00006F74 _strncpy
00006F74 00006FB1 __chkstk
0000835D 000083AE _SampSecureBind@8
000083B3 000083BE _SampSecureUnbind@4
000083C3 000083E5 _SamrConnect@12
000083EA 0000840C _SamrSetSecurityObject@12
00008411 00008433 _SamrShutdownSamServer@4
00008438 0000845A _SamrSetInformationDomain@12
0000845F 00008481 _SamrCreateGroupInDomain@20
00008486 000084A8 _SamrEnumerateGroupsInDomain@20
000084AD 000084CF _SamrCreateUserInDomain@20
000084D4 000084F6 _SamrEnumerateUsersInDomain@24
000084FB 0000851D _SamrCreateAliasInDomain@20
00008522 00008544 _SamrEnumerateAliasesInDomain@20
00008549 0000856B _SamrOpenGroup@16
00008570 00008592 _SamrQueryInformationGroup@12
00008597 000085B9 _SamrSetInformationGroup@12
000085BE 000085E0 _SamrAddMemberToGroup@12
000085E5 00008607 _SamrDeleteGroup@4
0000860C 0000862E _SamrRemoveMemberFromGroup@8
00008633 00008655 _SamrGetMembersInGroup@8
0000865A 0000867C _SamrSetMemberAttributesOfGroup@12
00008681 000086A3 _SamrOpenAlias@16
000086A8 000086CA _SamrQueryInformationAlias@12
000086CF 000086F1 _SamrSetInformationAlias@12
000086F6 00008718 _SamrDeleteAlias@4
0000871D 0000873F _SamrAddMemberToAlias@8
00008744 00008766 _SamrRemoveMemberFromAlias@8
0000876B 0000878D _SamrGetMembersInAlias@8
00008792 000087B4 _SamrDeleteUser@4
000087B9 000087DB _SamrSetInformationUser@12
000087E0 00008802 _SamrChangePasswordUser@44
00008807 00008829 _SamrGetDisplayEnumerationIndex@16
0000882E 00008850 _SamrGetUserDomainPasswordInformation@8
00008855 00008877 _SamrRemoveMemberFromForeignDomain@8
0000887C 0000889E _SamrQueryInformationDomain2@12
000088A3 000088C5 _SamrQueryDisplayInformation2@32
000088CA 000088EC _SamrGetDisplayEnumerationIndex2@16
000088F1 00008913 _SamrCreateUser2InDomain@28
00008918 0000893A _SamrQueryDisplayInformation3@32
0000893F 00008961 _SamrAddMultipleMembersToAlias@8
00008966 00008988 _SamrRemoveMultipleMembersFromAlias@8
0000898D 000089AF _SamrOemChangePasswordUser2@20
000089B4 000089D6 _SamrUnicodeChangePasswordUser2@32
000089DB 000089FD _SamrGetDomainPasswordInformation@12
00008A02 00008A24 _SamrConnect2@12
00008A29 00008A4B _SamrSetInformationUser2@12
00008A50 00008A72 _SamrSetBootKeyInformation@16
00008A77 00008A99 _SamrGetBootKeyInformation@8
00008A9E 00008AC0 _SamrConnect4@16
00008AC5 00008AE7 _SamrUnicodeChangePasswordUser3@44
00008AEC 00008B0E _SamrRidToSid@12
00008B13 00008B35 _SamrSetDSRMPassword@16
00008B8E 00008C92 _SampEncryptClearPasswordNew@12
00008C97 00008D53 _SampEncryptClearPassword@12
00008D58 00008DC2 _SampEncryptOwfs@28
00008DC7 00008E7D _SampSetInfoUserUseOldInfoClass@16
00008E82 00008E8A _SamTestPrivateFunctionsDomain@4
00008E8F 0000900A _SampCheckStrongPasswordRestrictions@4
00009055 000090C7 _SampCheckPasswordRestrictions@12
000090CC 000092D1 _SamiChangePasswordUser2@28
000092E9 0000945B _SamiOemChangePasswordUser2@16
00009471 000094CD _SampEncryptPasswordWithIndex@16
000094D2 0000960D _SampSetDSRMPassword@16
00009621 0000963A _SamiSetDSRMPassword@12
0000963F 00009658 _SamiSetDSRMPasswordOWF@12
0000965D 00009731 _SamSetSecurityObject@12
00009749 000097BF _SamShutdownSamServer@4
000097D1 00009844 _SamSetInformationDomain@12
00009859 0000992E _SamCreateGroupInDomain@20
00009941 000099F7 _SamEnumerateGroupsInDomain@20
00009A09 00009ADA _SamCreateUserInDomain@20
00009AF1 00009BAA _SamEnumerateUsersInDomain@24
00009BC1 00009C96 _SamCreateAliasInDomain@20
00009CA9 00009D5F _SamEnumerateAliasesInDomain@20
00009D71 00009E06 _SamGetDisplayEnumerationIndex@16
00009E19 00009EE8 _SamOpenGroup@16
00009EF9 00009FC9 _SamQueryInformationGroup@12
00009FED 0000A060 _SamSetInformationGroup@12
0000A071 0000A0E4 _SamAddMemberToGroup@12
0000A0F9 0000A178 _SamDeleteGroup@4
0000A189 0000A1F9 _SamRemoveMemberFromGroup@8
0000A211 0000A2D7 _SamGetMembersInGroup@16
0000A2E9 0000A35C _SamSetMemberAttributesOfGroup@12
0000A371 0000A440 _SamOpenAlias@16
0000A451 0000A4C8 _SamQueryInformationAlias@12
0000A4D9 0000A54C _SamSetInformationAlias@12
0000A561 0000A5E0 _SamDeleteAlias@4
0000A5F1 0000A661 _SamAddMemberToAlias@8
0000A679 0000A6E9 _SamRemoveMemberFromAlias@8
0000A701 0000A771 _SamRemoveMemberFromForeignDomain@8
0000A789 0000A82C _SamGetMembersInAlias@12
0000A841 0000A8C9 _SamAddMultipleMembersToAlias@12
