000013D0 000013D5 _SpAcceptCredentials@16
000013DA 00001442 __DllMainCRTStartup@12
00001447 00001487 _DllMain@12
0000148C 00001492 __initterm
00001497 00001508 __CRT_INIT@12
00001519 00001542 ___security_init_cookie
00001547 0000157E _SpSslGetInfo@4
000015CB 000015E4 @__security_check_cookie@4
00001616 0000167D _SpGetExtendedInformation@8
00001682 00001794 _SpInitialize@12
000017CA 0000182C _SslDuplicateString@8
00001831 00001847 _SPExternalAlloc@4
0000184C 00001880 _SpUniGetInfo@4
00002076 0000209C _SpLsaModeInitialize@16
000020A1 000020A4 _SpLogonTerminated@4
000020A4 000020DF __SEH_prolog
000020DF 000020F0 __SEH_epilog
000020F0 0000223D _rc4@12
0000223D 00002327 _rc4_key@12
00002B59 00002CAC _PctTranslateError@4
00002CD9 00002CF3 _SslGenerateRandomBits@8
00002CF8 00002D12 _SslGenerateKeyPair@16
00002D17 00002D1F _SslGetMaximumKeySize@4
00002D24 00002D29 _SslLoadCertificate@12
00002D2E 00002D6D _SslGetClientProcess@4
00002D72 00002DB0 _SslImpersonateClient@0
00002DB5 00002DE9 _SslGetClientLogonId@4
00002DEE 00002E07 _SPExternalFree@4
00002E0C 00002E2C _SslFreeCertificate@4
00002E31 00003052 _SslCrackCertificate@16
00003057 0000305D _ApplyControlToken@8
00003062 000031C2 _OpenSslPerformanceData@4
0000324C 000032CD _GetCacheInfo@4
000032D2 000032ED _CloseSslPerformanceData@0
000032F2 00003346 _GetQueryType@4
0000337B 000033DC _MonBuildInstanceDefinition@24
000033E1 0000345C _IsNumberInUnicodeList@8
00003461 000035B5 _CollectSslPerformanceData@16
000035BA 000035F2 _SpUserModeInitialize@16
000035F7 0000362F _SpInstanceInit@12
00003634 00003647 _SpDeleteUserModeContext@4
0000364C 00003691 _SpInitUserModeContext@8
00003696 0000369E _SpVerifySignature@16
000036A3 000039D6 _SpSealMessage@16
000039DB 00003A3C _SpGetContextToken@8
00003A41 00003A46 _SpCompleteAuthToken@8
00003A4B 00003A53 _SpFormatCredentials@8
00003A58 00003A60 _SpMarshallSupplementalCreds@16
00003A65 00003AF8 _UpdateContextUsrToLsa@4
00003AFD 00003C1D _SslEmptyCacheW@8
00003C2E 00003CDB _SpExportSecurityContext@16
00003CE0 00003D1B _SpImportSecurityContext@12
00003D20 0000400A _SpUnsealMessage@16
0000400F 0000407F _SslEmptyCacheA@8
00004084 000040A5 _MyStrToL@4
000040AA 00004102 _IsSchEncryptionPermitted@0
00004107 00004135 _LoadSecurityDll@0
00004169 0000417A _UnloadSecurityDll@0
0000417F 000042DC _SchannelInit@4
000042E9 00004332 _SchannelShutdown@0
00004337 00004366 _SpQueryAccessToken@8
0000436B 0000447C _SpQueryAuthority@8
00004481 000044FE _SpQueryConnectionInfo@8
00004503 0000458F _SpQueryIssuerList@8
00004594 00004724 _SpQueryIssuerListEx@8
00004729 00004873 _SpQueryKeyInfo@8
00004878 000048F9 _SpQueryLifespan@8
000048FE 000049E1 _SpQueryLocalCertContext@8
000049E6 00004A2A _SpQueryRemoteCertContext@8
00004A2F 00004AF8 _SpQueryLocalCred@8
00004AFD 00004BCE _SpQueryRemoteCred@8
00004BD3 00004CA3 _SpQueryNames@8
00004CA8 00004D45 _SpQueryPackageInfo@8
00004D4A 00004DCD _SpQueryProtoInfo@8
00004E55 00004F22 _SpQuerySizes@8
00004F27 00005038 _SpQueryStreamSizes@8
0000503D 000051C3 _SpQueryEapKeyBlock@8
000051DF 00005273 _SpQueryMappedCredAttr@8
00005278 00005346 _SpQueryApplicationData@8
0000534B 000053B0 _SpQuerySessionInfo@8
000053B5 00005441 _SpLsaQueryContextAttributes@12
00005446 00005546 _SpUserQueryContextAttributes@12
0000554B 00005602 _SpSetCredentialNameProp@12
00005607 000056B8 _SpSetApplicationData@12
000056BD 00005702 _SpSetContextAttributes@16
00005707 00005AA4 _SpInitLsaModeContext@48
00005AA9 00005ABC _SpDeleteContext@4
00005AC1 00005BAF _SpApplyControlToken@8
00005BB4 00005E9E _SpAcceptLsaModeContext@44
00005EA3 00005FC2 _SslPurgeSessionCache@28
00005FC7 00006176 _SslSessionCacheInfo@28
0000617B 00006226 _SslGetPerfmonInfo@28
0000622B 00006231 _SpShutdown@0
00006236 0000623E _SpGetUserInfo@12
00006243 0000624B _SpDeleteCredentials@8
