0000155D 00001595 __CRT_INIT@12
0000159A 00001601 __DllMainCRTStartup@12
00001606 0000163E _DllMain@12
00001667 0000169C _ThreadTlsInitialize@4
000016A4 000016DF __SEH_prolog
000016DF 000016F0 __SEH_epilog
0000694E 00006968 _pSetupFree@4
0000696D 00006986 @__security_check_cookie@4
0000698B 000069A9 _BeginSynchronizedAccess@4
000069AE 000069DD _DestroyPrivateResource@4
000069E2 000069FC _pSetupMalloc@4
00006A01 00006A1E _pSetupRealloc@8
00006A23 00006A61 _InitPrivateResource@4
00006CD5 00006E3D _InitializeContextLogging@4
00006F11 00006F17 _DiamondProcessAttach@4
00006F1C 00006F36 _pSetupInitPlatformPathOverrideSupport@4
00006F3B 00006F63 _MemoryInitializeEx@4
00006F68 00006F82 _pSetupInitNetConnectionList@4
00006FD9 00007105 _CfgmgrEntry@12
00007127 000075C0 _CommonProcessAttach@4
00007606 00007650 _DestroyDrvSearchInProgressList@0
00007673 000076A4 _spFusionUninitialize@4
000076D1 000076EB _pCleanUpDllArray@0
00007784 000077AA _DestroyMiniIconList@0
000077AF 000077F3 _DestroyMiniIcons@0
000079AC 000079D3 _DestroyDrvSignPolicyList@0
000079E9 00007AFB _ProcessDetach@12
00007B11 00007B60 _pSetupUninitializeUtils@0
00007B65 00007B79 __pSpUtilsMemoryUninitialize@0
00007B7E 00007B8F _PNP_HANDLE_unbind@8
00007B94 00007BAF _RpcpUnbindRpc@4
00007BB4 00007BBA _wcscpy
00007BBF 00007BC5 _wcslen
00007BCA 00007C13 _pSetupDuplicateString@4
00007C3C 00007C42 __abnormal_termination
00007C61 00007C7A _InitDrvSearchInProgressList@0
00007C7F 00007C9A _InitMiniIconList@0
00007C9F 00007CDB _IsInteractiveWindowStation@0
00007CE0 00007DC8 _GetDriverCacheSourcePath@0
00007DED 00007ED2 _pSetupGetSystemPartitionRoot@0
00007F19 00007F62 _pSetupGetProcessPath@0
00007F67 00007FE0 _pGetGuiSetupInProgress@0
0000802B 00008059 _GetIsWow64@0
0000805E 0000806E _IsNoDriverPrompts@0
00008073 000080F2 _GetSeed@0
00008123 00008193 _pSetupAppendPath@12
00008198 000081B9 _InitDrvSignPolicyList@0
000081BE 000081F2 _spFusionInitialize@0
00008209 00008239 _QueryRegistryDwordValue@12
0000823E 0000829B _MyLoadString@4
000082A0 000082C9 ___security_init_cookie
000082CE 000083AA _pSetupMakeSurePathExists@4
000083AF 000083B5 _VerSetConditionMask@16
000083BA 000084D7 _DelimStringToMultiSz@12
000084DC 0000850B _IsWhitespace@4
00008510 00008568 _AllocAndReturnDriverSearchList@4
0000856D 00008730 _MultiSzFromSearchControl@16
00008738 000087CC _pSetupConcatenatePaths@16
000087D1 00008866 _GetSystemSourcePath@0
00008885 00008902 _QueryRegistryValue@20
00008907 0000899F _GetServicePackSourcePath@0
000089E5 00008A6E _GetServicePackCachePath@0
00008AF9 00008B57 _pSetupGetOsLoaderPath@0
00008B93 00008C04 _GetEmbeddedFlags@0
00008C09 00008C39 _IsWinPEMode@0
00008CB0 00008D9B _ProcessAttach@12
00008DB3 00008DB4 _InitializeStubFnPtrs@0
00008DB9 00008E16 _pSetupInitializeUtils@0
00008E1B 00008E2F __pSpUtilsMemoryInitialize@0
00008E74 00008E7A __initterm
00008F3E 00008FAC _PNP_HANDLE_bind@4
00009025 00009096 _CM_Get_Device_Interface_List_Size_ExW@20
000090B5 000090D7 _PNP_GetInterfaceDeviceListSize@20
00009FD5 00009FDB _NdrClientCall2
00009FE0 0000A073 _PnPGetGlobalHandles@12
0000A089 0000A157 _EnablePnPPrivileges@0
0000A15C 0000A1E1 _CM_Get_Device_Interface_List_ExW@24
0000A205 0000A227 _PNP_GetInterfaceDeviceList@24
0000A22C 0000A241 _EndSynchronizedAccess@4
0000A2D8 0000A3A6 __pSpUtilsStringTableLookUpString@32
0000A3C4 0000A3D9 __pSpUtilsStringTableStringFromId@8
0000A3DE 0000A437 _pSetupUnicodeToMultiByte@8
0000A46B 0000A48B _DestroySetupTlsData@0
0000A4A1 0000A4D9 _pSetupStringTableDestroy@4
0000A4F1 0000A53B _InfLineFromContext@4
0000A552 0000A5DC _InfLocateSection@12
0000A5E1 0000A6DC _SetupFindFirstLineW@16
