00014970 00014989 @__security_check_cookie@4
0001498E 000149B6 _SHCheckRegistry@0
000149BB 000149C7 _DllRelease@0
000149CC 000149DE ??2@YAPAXI@Z
000149E3 000149EF _DllAddRef@0
000149F4 000149FA _QISearch@16
000149FF 00014A0F ??3@YAXPAX@Z
00014A14 00014A3A ?StringCchPrintfW@@YAJPAGIPBGZZ
00014A3F 00014A8C ?StringVPrintfWorkerW@@YGJPAGIPBGPAD@Z
00014B30 00014B46 ?AddRef@CShellWindowListCF@@UAGKXZ
00014B4B 00014B97 ?StringCopyWorkerW@@YGJPAGIPBG@Z
00014BA0 00014BD3 __chkstk
00014BD8 00014C14 _IECreateInstance@20
00014C19 00014C2F _SafeILClone@4
00014C2F 00014C35 _ILClone@4
00014C3A 00014C40 _ILFree@4
00014C45 00014C4B _ILFindLastID@4
00014C50 00014CBF _SHBindToObjectEx@20
00014CC4 00014CCA _SHGetDesktopFolder@4
00014CCF 00014CEB _SHBindToIDListParent@16
00014CF0 00014D3E _SHBindToFolderIDListParent@20
00014D43 00014D64 _ILCloneParent@4
00014D69 00014D6F _ILRemoveLastID@4
00014D74 00014DB9 _DisplayNameOf@20
00014DBE 00014DC4 _StrRetToBufW@16
00014DC9 00014E41 _SHGetNameAndFlagsW@20
00014E46 00014E4C _CoUninitialize@0
00014E51 00014E63 _SHCoInitialize@0
00014E68 00014E6E _CoInitializeEx@8
000152BD 000152C8 ?Release@CClassFactory@@QAGKXZ
0001531D 0001537E _DllGetClassObject@12
00015383 000153CD ?CreateInstance@CClassFactory@@QAGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
000153D2 000153F8 ?Release@CMruBase@@UAGKXZ
000153FD 0001547C ?InitData@CMruBase@@UAGJIKPAUHKEY__@@PBGP6GHPBE2H@Z@Z
00015481 000154E8 ?_InitSlots@CMruLongList@@MAEJXZ
00015502 00015535 ?_SaveSlots@CMruLongList@@MAEXXZ
0001553A 000155A0 ??1CMruBase@@MAE@XZ
000155A5 000155CA ??1CMruLongList@@MAE@XZ
00015759 000157E1 ?WndProcBS@CBaseBrowser2@@UAGJPAUHWND__@@IIJ@Z
000157E6 000157F2 ?_DefWindowProc@CBaseBrowser2@@MAEJPAUHWND__@@IIJ@Z
000157F7 0001582D ?v_OnSetCursor@CBaseBrowser2@@MAEHJ@Z
00015832 00015846 ?GetWindowPtr0@@YGPAXPAUHWND__@@@Z
0001584B 0001586D ?s_ThreadNotifyWndProc@CSDWindows@@CGJPAUHWND__@@IIJ@Z
000158F9 00015907 _GetWheelMsg@0
0001590C 00015926 _IsURLChild@8
0001592B 00015962 ?_FindUrlChild@@YGPBUtagURLID@@PBU_ITEMIDLIST@@H@Z
00015967 0001597E _ILIsRooted@4
00015983 000159AB ?_IsRooted@@YGPBU_IDREGITEM@@PBU_ITEMIDLIST@@@Z
000159B0 000159CB ??$IUnknown_SafeReleaseAndNullPtr@UIDeskBand@@@@YGXAAPAUIDeskBand@@@Z
000159D0 00015A95 __IEBindToObjectInternal@20
00015A9A 00015B79 ?_IEGetAttributesOf@@YGJPBU_ITEMIDLIST@@PAKH@Z
00015B7E 00015BA5 ?_ShouldDocObjBind@@YG?AW4SHOULDBIND@@KH@Z
00015BAA 00015BC7 _IEBindToObject@8
00015D51 00015D59 ?GetClipboardData@CShellEmbedding@@UAGJKPAPAUIDataObject@@@Z
00015D8F 00015DAE ?OnSetFocus@CBaseBrowser2@@UAGJXZ
00015DB3 00015DCF ?OnViewWindowActive@CBaseBrowser2@@UAGJPAUIShellView@@@Z
00015DE8 00015E03 ?_NextObjectMapEntry@ATL@@YGPAU_ATL_OBJMAP_ENTRY@1@PAU_ATL_MODULE_30@1@PAU21@@Z
00015E08 00015E0E _GetModuleHandleWrapW@4
00015E35 00015E5F __GetProcFromComCtl32@8
00015E5F 00015E70 __tailMerge_ole32
00015E75 00015E7C __imp_load__CreateBindCtx@8
00015E94 00015E9E __imp_load__ILClone@4
00015EA3 00015EAD __imp_load__ILFindLastID@4
00015EB2 00015EBC __imp_load__ILRemoveLastID@4
00015ED1 00015F36 __DllMainCRTStartup@12
00015F49 00015F4C ?OnSave@CDocObjectView@@UAGXXZ
00015F51 00016012 _DllMain@12
00016017 00016082 __CRT_INIT@12
00016089 000161A5 ___delayLoadHelper2@8
000161AA 000161E1 _DelayloadNotifyHook@8
0001620A 0001621B __tailMerge_SHELL32
00016267 0001626E __imp_load__ILFree@4
00016273 0001627A __imp_load__SHGetDesktopFolder@4
0001627F 00016298 ?GetParent@CMruNode@@QAEPAV1@XZ
0001629D 000162C8 ?Enter@CSafeMutex@@QAEJPAX@Z
000162CD 00016309 ?_LoadNodeSlots@CMruPidlList@@IAEHXZ
0001630E 000163A2 ?GetNode@CMruNode@@QAEJHPBU_ITEMIDLIST@@PAPAV1@@Z
000163A7 000163EE _CMruPidlList_CreateInstance@12
000163F3 000163FA ?Release@CMruPidlList@@WDI@AGKXZ
000163FF 0001640A ?Release@CMruPidlList@@UAGKXZ
0001640F 00016416 ?AddRef@CMruPidlList@@WDI@AGKXZ
0001641B 00016426 ?AddRef@CMruPidlList@@UAGKXZ
0001642B 00016432 ?QueryInterface@CMruPidlList@@WDI@AGJABU_GUID@@PAPAX@Z
00016437 00016453 ?QueryInterface@CMruPidlList@@UAGJABU_GUID@@PAPAX@Z
00016458 00016479 ??_GCMruPidlList@@MAEPAXI@Z
0001647E 000164B8 ??1CMruPidlList@@MAE@XZ
000164B8 000164E5 ??1CMruNode@@MAE@XZ
000164EA 00016542 ?InitList@CMruPidlList@@UAGJIPAUHKEY__@@PBG@Z
0001656F 000165A8 ?_InitNodeSlots@CMruPidlList@@IAEJXZ
000165AD 000165C6 ?_SaveNodeSlots@CMruPidlList@@IAEXXZ
000165CB 0001668C ?QueryPidl@CMruPidlList@@UAGJPBU_ITEMIDLIST@@KPAK1@Z
00016691 000166CD ?GetNodeSlot@CMruNode@@QAEJPAK@Z
000166EB 0001675F ?UsePidl@CMruPidlList@@UAGJPBU_ITEMIDLIST@@PAK@Z
00016769 00016796 _InitCommonControlsEx@4
0001679B 000167C8 _DelayLoadCC@0
000167CD 000167E6 _xGetSystemMetrics@4
000167EB 00016813 _InitMultipleMonitorStubs@0
00016CC9 00016D2C _staticIsOS@4
00016D31 00016D71 _SHFusionLoadLibrary@4
00016D89 00016DC9 _SHFusionInitializeFromModule@4
00016DCE 00016DE1 _SHFusionInitialize@4
00016DE6 00016DFC _SHFusionInitializeID@8
00016E01 00016E96 _SHFusionInitializeIDCC@12
00016E9B 00016EC4 ___security_init_cookie
00016EC4 00016EFF __SEH_prolog
00016F04 00016F0A __initterm
00016F0F 00016F15 _LoadLibraryWrapW@4
00016F1A 00016F20 _GetModuleFileNameWrapW@12
00016F25 00016F67 _NT5_CreateActCtx@4
00016FC8 00016FDF _atexit
00016FE4 0001700D __onexit
00017012 00017018 ___dllonexit
0001701D 00017042 _SHActivateContext@4
00017047 00017097 _NT5_ActivateActCtx@8
000170B7 000170BD ??0stringdispid@CComTypeInfoHolder@ATL@@QAE@XZ
000170C2 000170E3 ?InitNFCtl@@YGXXZ
000170E8 00017105 ?SetupDelayloadErrorHandler@@YGXXZ
00017131 00017167 _MLLoadResourcesW@8
0001716C 000171AB _IsBiDiLocalizedWin95@4
000171B0 000171D1 _Mirror_IsEnabledOS@0
000171FC 0001720D __SEH_epilog
00017212 00017218 _StopWatchMode@0
0001721D 0001723A _AtlInit@4
0001723F 0001727D ?Init@CComModule@ATL@@QAEJPAU_ATL_OBJMAP_ENTRY@2@PAUHINSTANCE__@@PBU_GUID@@@Z
00017282 00017301 ?AtlModuleInit@ATL@@YGJPAU_ATL_MODULE_30@1@PAU_ATL_OBJMAP_ENTRY@1@PAUHINSTANCE__@@@Z
00017328 0001733D _SHDeactivateContext@4
0001733D 00017388 _NT5_DeactivateActCtx@4
0001745F 000174AE _IsPlatformNT@0
000174B3 0001750E ?SHShouldRegisterActxprxy@@YGXXZ
000176A3 0001772D ?IsProxyRegisteredProperly@@YGHPBG0@Z
00017789 0001779F ?AddRef@CToolbarExt@@UAGKXZ
000177A4 000177C0 ?QueryInterface@CDocObjectFolder@@UAGJABU_GUID@@PAPAX@Z
000177C5 00017802 ??0CDocObjectFolder@@QAE@PBU_ITEMIDLIST@@@Z
00017821 00017847 ?Release@CInternetFolder@@UAGKXZ
0001784C 00017878 ?Initialize@CDocObjectFolder@@UAGJPBU_ITEMIDLIST@@@Z
0001787D 000178A8 ??1CDocObjectFolder@@IAE@XZ
000178AD 000178B7 ?AddRef@CBrowserExtension@@W3AGKXZ
000178BC 000178D3 ??0ShStrW@@QAE@XZ
000178D8 0001790A ?Reset@ShStrW@@QAEXXZ
00017925 00017946 ??_GCInternetFolder@@IAEPAXI@Z
0001794B 00017975 ??1CInternetFolder@@IAE@XZ
0001797A 00017984 ?Release@CInternetFolder@@W3AGKXZ
00017989 000179D3 _CInternetFolder_CreateInstance@12
000179D8 00017A03 ??0CInternetFolder@@QAE@PBU_ITEMIDLIST@@@Z
00017AE9 00017B81 _SHRestricted2W@12
