00005D95 00005E40 _DebugPrintfEx
00005E45 00005F08 _SeiInitDebugSupport@0
00005F0D 000060B0 _SeiConstructChain@8
000060B5 00006162 _SeiGetPatchAddress@4
00006167 000062E9 _SeiApplyPatch@4
000062EE 00006574 _SeiResolveAPIs@0
00006579 0000682B _SeiIsExcluded@12
00006830 00006B31 _SeiHookImports@16
00006B36 00006DD2 _SeiBuildGlobalInclList@4
00006DD7 00006E6F _SeiEmptyInclExclList@4
00006E74 000071B9 _SeiBuildInclExclListForShim@16
000071BE 0000729C _SeiCopyGlobalInclList@4
000072A1 00007364 _SeiBuildInclListWithOneModule@8
00007369 00007427 _SeiBuildInclExclList@16
0000742C 00007475 _SeiGetLoaderEntry@8
0000747A 00007555 _SeiLoadPatches@8
0000755A 0000760C _SeiGetModuleHandle@8
00007611 00007704 _SeiRemoveDll@4
00007709 0000776F _SeiGetModuleByAddress@12
00007774 000078D8 _StubGetProcAddress@8
000078DD 00007B3F _SeiInitFileLog@4
00007B44 00007BCA _SeiGetLayerName@8
00007BCF 00007C2B _SeiClearLayerEnvVar@0
00007C30 00007D05 _SeiCheckLayerEnvVarFlags@8
00007D0A 00007DE1 _SeiSetLayerEnvVar@4
00007DE6 00007EB0 _SeiAddInternalHooks@4
00007EB5 00007F7E _NotifyShims@8
00007F83 00007F8D _NotifyShimDlls@0
00007F92 00007FC6 _SeiGetExeName@8
00007FCB 0000800C _SE_IsShimDll@4
00008011 000080E5 _SeiSetEntryProcessed@4
000080EA 000081AC _SeiResetEntryProcessed@4
000081B1 000081B4 _SE_GetProcAddress@4
000081B9 000082F6 _SE_DllUnloaded@4
000082FB 0000831B _SE_InstallAfterInit@8
00008320 0000834A _SeiGetShortName@4
0000834F 000084C6 _SeiInitGlobals@4
000084CB 000085A7 _SeiLayersCheck@16
000085AC 00008657 _SeiGetShimCommandLine@12
0000865C 000086FE _SeiAddShim@12
00008703 00008909 _SeiBuildShimRefArray@24
0000890E 000089AF _SeiIsSetup@4
000089B4 00008A91 _SeiGetShimData@16
00008A96 00008C99 _SeiDisplayAppHelp@8
00008C9E 00008CFF _SeiCheckComPlusImage@4
00008D04 00008D0E _SE_ProcessDying@0
00008D13 00008E50 _SeiSendDataToPipe@0
00008E55 00008E6F _DllMain@12
00008E74 00008EE3 _SeiAttemptPatches@0
00008EE8 0000904C _PatchNewModules@4
00009051 000090BE _SE_DllLoaded@4
000090C3 000091C0 _SeiSetApphackFlags@8
000091C5 00009B52 _SeiInit@20
00009B57 00009C17 __SE_InstallBeforeInit@8
00009C1C 00009C57 _SE_DynamicShim@16
00009C5C 00009C6C _SE_InstallBeforeInit@8
00009C71 00009CDF ___security_init_cookie
00009CE4 00009CFA @__security_check_cookie@4
00009CFF 00009DF7 ___report_gsfailure
00009DFC 00009E02 _DbgPrint
00009E08 00009E0E __vsnprintf
00009E14 00009E1A _LdrGetDllHandle@16
00009E20 00009E26 _wcscpy
00009E2C 00009E32 _LdrGetProcedureAddress@16
00009E38 00009E3E _wcslen
00009E44 00009E4A _sprintf
00009E50 00009E56 __wcsicmp
00009E5C 00009E62 _wcscat
00009E68 00009E6E _LdrLoadDll@16
00009E74 00009E7A _swprintf
00009E80 00009E86 _LdrUnloadDll@4
00009E8C 00009E92 _LdrInitShimEngineDynamic@4
00009E97 00009EDA _SdbFindFirstTag@12
00009EDF 00009F53 _SdbFindNextTag@12
00009F58 00009FE1 _SdbFindFirstNamedTag@20
00009FE6 0000A073 _SdbFindFirstTagRef@12
0000A078 0000A119 _SdbFindNextTagRef@12
0000A11E 0000A171 _SdbpGetTagHeadSize@8
0000A176 0000A20D _SdbGetTagDataSize@8
0000A212 0000A28B _SdbpGetTagRefDataSize@8
0000A290 0000A312 _SdbpReadTagData@16
