00004020 00004039 @__security_check_cookie@4
0000403E 00004071 _PathBuildRootW@8
00004076 000040ED _QISearch@16
000040F2 0000413A _RegOpenKeyExWrapW@20
0000413F 00004158 _SHUnicodeToAnsi@12
0000415D 000041C0 _SHUnicodeToAnsiCP@16
000041C5 000041FE _SHUnicodeToAnsiNativeCP@20
00004203 00004241 _RestrictArguments@20
00004246 00004259 _ZeroDataOnFailure@16
0000425E 000042C6 _RegQueryValueExWrapW@24
000042CB 000042EB _RestrictBootMode@4
000042F0 0000431A _FixRegDataW@32
0000431F 000043E1 _SHRegGetValueW@28
00004407 000044D3 _SHRegQueryValueW@24
000044D8 0000451E _RestrictRegType@16
00004587 000045AC _SHGetValueW@24
000045B1 000045C1 ??3@YAXPAX@Z
000045C6 000045D8 ??2@YAPAXI@Z
000048D4 00004941 _IsOS@4
00004946 0000497E ?StringCopyWorkerA@@YGJPADIPBD@Z
00004983 000049B6 ?StringCatWorkerA@@YGJPADIPBD@Z
000049BB 000049F2 ?StringLengthWorkerA@@YGJPBDIPAI@Z
00004AAF 00004BC8 _PathMakeSystemFolderW@4
00004D01 00004DA1 _SHStringFromGUIDW@12
00004E3B 00004F39 _SHGetAllAccessSA@0
00004F71 00004FDB _InitStopWatchMode@0
0000502E 0000504B _StopWatchMode@0
00005050 00005091 _SHGlobalCounterCreate@4
00005096 000050D9 _SHGlobalCounterCreateNamedW@8
000050DE 00005164 _SHGlobalCounterCreateNamedA@8
00005170 00005186 _InitShellKeys@4
0000518B 000051F6 __CRT_INIT@12
000051FB 00005260 __DllMainCRTStartup@12
00005265 00005317 _DllMain@12
0000532A 00005365 _WindowsPolicies_ProcessAttachDetach@4
0000544D 00005468 _MLFreeResources@4
0000546D 00005495 _FreeAllAccessSA@0
00005602 00005610 _TermPalette@0
00005625 0000563C _SHPolicyCache_DllProcessDetach@4
00005641 00005662 ??_GCPolicyCache@@QAEPAXI@Z
00005667 00005680 ??1CPolicyCache@@QAE@XZ
000056D9 000057B4 _AssocGetUrlAction@4
00005B1D 00005B37 _MLLoadResourcesA@8
00005B3C 00005B65 ___security_init_cookie
00005CAD 00005D68 _InitTimerQueue@0
00005E16 00005E37 _Mirror_IsEnabledOS@0
00005E3C 00005E42 __initterm
00005E5E 00005E94 _IsCurrentUserShellSID@4
00005E99 000060D6 _GetShellSecurityDescriptor@8
000064DB 00006558 _staticIsOS@4
0000655D 000065DF _SHPolicyCache_DllProcessAttach@28
000065E4 0000664F ?Initialize@CPolicyCache@@QAEHPBGU_GUID@@PBUSHPOLICY_ITEM_@@I@Z
00006654 00006697 _StringCopyWorkerW@12
0000669C 000066B1 ?StringCchCopyW@@YGJPAGIPBG@Z
000066BD 000066E8 _StrChrW@8
000066FF 0000674E _StrCpyNXW@12
00006753 0000676D _StrCpyNW@12
00006772 000067B0 _StrDupW@4
000067B5 000067CD _CharPrevWrapW@8
000067D2 00006803 _PathIsRelativeW@4
00006808 00006825 _SHUnicodeToUnicode@12
0000682A 00006854 _Shlwapi_StrCpyW@8
00006859 0000689F _PathFindExtensionW@4
000068A4 000068EE _SHGetAppCompatFlags@4
000068F3 00006914 _PathRemoveExtensionW@4
00006919 00006943 _StrCmpCW@8
00006948 00006961 _SHAnsiToUnicode@12
00006966 000069CA _SHAnsiToUnicodeCP@16
000069CF 00006A06 _SHAnsiToUnicodeNativeCP@20
00006A0B 00006A55 _CompareStringWrapW@24
00006A5A 00006A89 __StrCmpLocaleW@20
00006A8E 00006AA8 _StrCmpIW@8
00006AC9 00006AF4 _SHGlobalCounterGetValue@4
00006AF9 00006B4B _NullTerminateRegSzStringW@16
00006B50 00006B8D _StrCatBuffW@12
00006B92 00006BD5 _ExpandEnvironmentStringsWrapW@12
00006BDA 00006C20 _PathGetDriveNumberW@4
00006C63 00006CB7 _SHStrDupW@8
00006CBC 00006CC2 _CoTaskMemAlloc@4
00006CC7 00006CCD _CoTaskMemFree@4
00006CF7 00006D2A _SHRestrictionLookup@16
00006D2F 00006D7A _StrRetToBufW@16
