00003CB5 00003CD7 _DisableSRS@8
00003CDC 00003CFE _EnableSRS@8
00003D03 00003D25 _ResetSRS@8
00003D2A 00003D4C _SRUpdateMonitoredListS@8
00003D51 00003D73 _SRSetRestorePointS@12
00003D78 00003D9A _SRRemoveRestorePointS@8
00003D9F 00003DC1 _DisableFIFOS@8
00003DC6 00003DE8 _EnableFIFOS@4
00003DED 00003E0F _SRUpdateDSSizeS@16
00003E14 00003E36 _SRSwitchLogS@4
00003E3B 00003E5D _SRNotifyS@16
00003E62 00003E84 _FifoS@24
00003E89 00003EAB _CompressS@8
00003EB0 00003ED2 _FreezeS@8
00003ED7 00003EF9 _SRPrintStateS@4
00003EFE 00003F14 _PreAsyncTrace
00003F19 00003F71 ?CheckPolicy@@YGKXZ
00003F76 000040EC ?SRRPCInit@@YGKPAPAXH@Z
000040F1 00004118 ?SRRPCTerm@@YGKPAPAX@Z
0000411D 000041BF _DisableSR@4
000041C4 000042FE ?StartSRService@@YGKH@Z
00004303 0000435A ?SetDisableFlag@@YGKK@Z
0000435F 0000449F _EnableSR@4
000044A4 000045E6 _EnableSREx@8
000045EB 000046F0 _SRUpdateMonitoredListA@4
000046F5 0000478C _SRUpdateMonitoredListW@4
00004791 0000493F _SRSetRestorePointA@8
00004944 00004A21 _SRSetRestorePointW@8
00004A26 00004ABD _SRRemoveRestorePoint@4
00004AC2 00004B59 _DisableFIFO@4
00004B5E 00004BF0 _EnableFIFO@0
00004BF5 00004C8C _ResetSR@4
00004C91 00004D3D _SRUpdateDSSize@12
00004D42 00004DD4 _SRSwitchLog@0
00004DD9 00004E6C _SRNotify@12
00004E71 00004EF9 _SRPrintState@0
00004EFE 00004FA1 _SRFifo@20
00004FA6 0000503D _SRCompress@4
00005042 000050D9 _SRFreeze@4
000050DE 00005338 _SRRegisterSnapshotCallback@4
0000533D 00005529 _SRUnregisterSnapshotCallback@4
0000552E 000055E0 _CreateSnapshot@4
000055E5 00005697 _RestoreSnapshot@4
0000569C 000056B7 _MIDL_user_allocate@4
000056BC 000056DD _MIDL_user_free@4
000056E2 00005703 ?SetDir@CRestorePoint@@QAEXPAG@Z
00005708 00005744 ??0CSystemRestore@@QAE@PBG0@Z
00005749 00005773 ??1CSystemRestore@@UAE@XZ
