00001360 0000139B __SEH_prolog
0000139B 000013AC __SEH_epilog
000013C0 000013E8 ??0CFrame@@QAE@ABU_SXS_STATIC_TRACE_CONTEXT@@@Z
000013F0 0000140F __EH_prolog
00001420 00001437 ?Enter@?$CFnTracerAddRef@VCMemoryStream@@@@QAEXXZ
0000143C 00001459 ??0CFnTracerWin32@@QAE@ABU_SXS_STATIC_TRACE_CONTEXT@@AAH@Z
0000145E 00001494 ??1CFnTracerHR@@QAE@XZ
00001985 0000199E ?InitializeInlineBuffer@?$CGenericBaseStringBuffer@V?$CMBCSCharTraits@$02@@@@IAEXXZ
000019A3 000019BC @__security_check_cookie@4
000019D1 000019D5 ?GetInlineBuffer@?$CGenericStringBuffer@$0BAE@V?$CMBCSCharTraits@$02@@@@MBEPADXZ
00001A10 00001A46 ??1CFnTracerWin32@@QAE@XZ
00001A4B 00001A51 _wcslen
00001A69 00001A92 ??1?$CGenericStringBuffer@$0EA@VCUnicodeCharTraits@@@@QAE@XZ
00001A97 00001A9B ?GetInlineBufferCch@?$CGenericStringBuffer@$0EA@VCUnicodeCharTraits@@@@MBEKXZ
00001AA0 00001AE0 ??0?$CGenericStringBuffer@$0EA@VCUnicodeCharTraits@@@@QAE@XZ
00001C21 00001C35 ?MarkSuccess@CFnTracerWin32@@QAEXXZ
00001C3A 00001C7A ??0?$CGenericStringBuffer@$0BAE@VCUnicodeCharTraits@@@@QAE@XZ
00001C7F 00001C85 ?GetInlineBufferCch@?$CGenericStringBuffer@$0BAE@V?$CMBCSCharTraits@$02@@@@MBEKXZ
00001C8A 00001CA8 ?Win32CopyIntoBuffer@?$CCharTraitsBase@GD@@SGHQAGKPBGK@Z
00001CAD 00001CFD ??$CopyIntoBuffer@VCReturnStrategyBoolLastError@@@?$CCharTraitsBase@GD@@SGHAAVCReturnStrategyBoolLastError@@QAGKPBGK@Z
00001D02 00001DAC ?Win32Assign@?$CGenericBaseStringBuffer@VCUnicodeCharTraits@@@@QAEHPBGK@Z
00001E66 00001E88 ??1CSxsLockCriticalSection@@QAE@XZ
00001E8D 00001EFB ?Lock@CSxsLockCriticalSection@@QAEHXZ
00001F64 00001F7C ??2@YAPAXI@Z
00001F81 00001FB5 ??1CFnTracer@@QAE@XZ
00001FBA 00001FE3 ??1?$CGenericStringBuffer@$0BAE@VCUnicodeCharTraits@@@@QAE@XZ
00001FE8 00001FF8 ??1?$CGenericStringBufferAccessor@VCUnicodeCharTraits@@@@QAE@XZ
00001FFD 00002057 ??_L@YGXPAXIHP6EX0@Z1@Z
0000206C 0000209A ?FusionpDbgPrintEx@@YAKKPBDZZ
0000209F 000020FD ?FusionpvDbgPrintEx@@YGKKPBDPAD@Z
00002102 0000211B ?Cch@CUnicodeCharTraits@@SGKPBG@Z
00002120 00002186 ?Attach@?$CGenericStringBufferAccessor@VCUnicodeCharTraits@@@@QAEXPAV?$CGenericBaseStringBuffer@VCUnicodeCharTraits@@@@@Z
000021DC 00002246 ?Detach@?$CGenericStringBufferAccessor@VCUnicodeCharTraits@@@@QAEXXZ
0000229C 000022AF ??0CBucketChain@?$CHashTable@ABV?$CCountedStringHolder@VCUnicodeCharTraits@@@@V?$CGenericStringBuffer@$0BAE@VCUnicodeCharTraits@@@@ABVCMetaDataFileElement@@V3@VCFileInformationTableHelper@@$06$0A@@@QAE@XZ
000031E4 000031FB ??0CFnTracer@@QAE@ABU_SXS_STATIC_TRACE_CONTEXT@@H@Z
00003200 00003219 ?Win32Assign@?$CGenericBaseStringBuffer@VCUnicodeCharTraits@@@@QAEHABV1@@Z
0000321E 00003223 ?OnBeginChildren@CXMLNamespaceManager@@QAEJPAUIXMLNodeSource@@PAU_XML_NODE_INFO@@@Z
00003228 00003233 ??1CImpersonate@@QAE@XZ
00003238 00003263 ?Win32EqualStrings@?$CCharTraitsBase@GD@@SGHAA_NPBGK1K_N@Z
00003268 00003281 ?Reset@?$CConstDequeIterator@U_ASSEMBLY@@$0A@@@QAEXXZ
00003286 000032A2 ?Release@_ASSEMBLY@@QAEXXZ
