000039A4 00003A33 _TTFPtrWriteTableData@20
00003A38 00003A85 _RenameDSIGTable@8
00003A8A 00003B10 _Expand@8
00003B15 00003B54 _AllocDC@4
00003B59 00003B86 _FreeDC@8
00003B8B 00003BC8 _StringCopyWorkerA@12
00003BCD 00003C1A _StringVPrintfWorkerA@16
00003C1F 00003C56 _StringLengthWorkerA@12
00003C5B 00003D39 _TTCharToUnicode@24
00003D3E 00003D93 _CompareOffsets
00003D98 00003DEB _CompareTags
00004433 000044DD _DllMain@12
000044E2 000044E8 _TTRunValidationTests@8
000044ED 0000450A _StringCchCopyA@12
0000450F 00004538 _StringCchPrintfA
0000453D 00004560 _StringCchLengthA@12
00004565 00004598 _StringCatWorkerA@12
0000459D 0000487E _TTLoadEmbeddedFont@40
00004883 00004937 _TTGetEmbeddedFontInfo@28
0000493C 00004B00 _TTDeleteEmbeddedFont@12
00004B05 00004B9F _TTGetEmbeddingType@8
00004BA4 00004C10 _TTIsEmbeddingEnabledForFacename@8
00004C15 00004C80 _TTEnableEmbeddingForFacename@8
00004C85 00004D34 _TTGetNewFontName@20
00004D39 00004D56 _StringCchCatA@12
00004D5B 00004DEF _TTIsEmbeddingEnabled@8
00005078 000052E5 _TTEmbedFontEx@44
000052EA 00005365 _TTEmbedFont@44
0000536A 00005607 _TTEmbedFontFromFileA@52
0000560C 0000563E _T2RemoveFont@12
00005643 00005682 _T2IsEmbeddingEnabledForFacename@12
00005687 000056B9 _T2EnableEmbeddingForFacename@12
00005B3E 00005BD1 _T2GetFontPermissions@16
0000733A 000075E3 _T2EmbedFont@76
000075E8 00007CCE _T2LoadEmbeddedFont@48
00007CD3 00007E78 _T2GetEmbeddedFontInfo@32
00007E7D 00007E81 _T2Mem_Init@0
00007E86 00007E87 _Mem_End@0
00007E8C 00007EB0 _T2malloc@8
00007EB5 00007ED6 _T2free@4
00007EDB 00007EEC _T2MemAlloc
00007EF1 00007F1F _T2MemReAlloc
00007F24 00007F33 _T2MemFree
00007F38 00007F57 _T2OSSvcReadFontData@20
00007F5C 00008000 _T2OSSvcInstallFont@16
00008005 00008071 _T2OSSvcIsEmbeddingEnabledForFacename@12
00008076 000080F0 _T2OSSvcEnableEmbeddingForFacename@12
000080F5 0000810C _T2OSSvcAllocConvertToUnicode@16
00008111 000081B1 _T2OSSvcCompressFontBuffer@24
000081B6 0000824F _T2OSSvcDecompressFontBuffer@20
