000013A0 000013EB _DllMain@12
000013F0 00001428 __CRT_INIT@12
00001472 0000147E ?initialize@?$NodePool@PAVCCallingCard@@@@SGXXZ
00001483 0000148F ?initialize@?$NodePool@PAVCCountry@@@@SGXXZ
00001494 000014A0 ?initialize@?$NodePool@PAVCLocation@@@@SGXXZ
000014A5 000014CE ___security_init_cookie
000014CE 00001509 __SEH_prolog
00001509 0000151A __SEH_epilog
0000151F 00001562 _NT5_CreateActCtx@4
00001735 00001744 _ListNodePoolsInitialize@0
00001744 00001750 ?initialize@?$NodePool@PAVCAreaCodeRule@@@@SGXXZ
00001755 000017EA _SHFusionInitializeIDCC@12
000017EF 0000181C _DelayLoadCC@0
0000183B 0000187C _SHFusionLoadLibrary@4
0000189F 000018B4 _SHDeactivateContext@4
000018B4 00001900 _NT5_DeactivateActCtx@4
00001916 0000196E _CreateHandleTable@16
00001973 00001A2A _GrowTable@4
00001A2F 00001A75 _SHFusionInitializeFromModuleID@8
00001A7A 00001A93 @__security_check_cookie@4
00001AD8 00001ADE __initterm
00001AE3 00001B08 _SHActivateContext@4
00001B0D 00001B5E _NT5_ActivateActCtx@8
00001B74 00001B80 ?uninitialize@?$NodePool@PAVCCallingCard@@@@SGXXZ
00001B85 00001B91 ?uninitialize@?$NodePool@PAVCCountry@@@@SGXXZ
00001B96 00001BA2 ?uninitialize@?$NodePool@PAVCLocation@@@@SGXXZ
00001BF3 00001C23 _DeleteHandleTable@4
00001C28 00001C37 _ListNodePoolsUninitialize@0
00001C37 00001C43 ?uninitialize@?$NodePool@PAVCAreaCodeRule@@@@SGXXZ
00001CEC 00001D04 _SHFusionUninitialize@0
00001D09 00001D4C _NT5_ReleaseActCtx@4
00001D5A 00001D79 __EH_prolog
000029D2 000029F4 _ClientAttach@20
000029F9 00002A1B _ClientRequest@16
00002A20 00002A42 _ClientDetach@4
00002A47 00002A97 _GetFunctionIndex@4
00002B1B 00002B1E _FreeContextCallback@8
00002B23 00002C55 _IsLeastCostRoutingEnabled@0
00002CC3 00002D1F _IsBadDwordPtr@4
00002D31 00002D3E _GetTlsPCtxHandle@0
00002D43 00002D5B _SetTlsPCtxHandle@4
00002D60 00002EBD _ValidateXxxInitializeParams@16
00002F39 0000300B _lineCompleteCallPostProcess@4
00003041 00003129 _lineDevSpecificPostProcess@4
00003161 0000324C _lineGatherDigitsWPostProcess@4
00003281 00003369 _lineGatherDigitsPostProcess@4
000033A1 00003473 _lineMakeCallPostProcess@4
000034A9 000035C3 _lineSetupConferencePostProcess@4
000035F9 000036E1 _phoneDevSpecificPostProcess@4
00003719 000037E3 _GetTapi16CallbackMsg@8
00003839 00003A02 _TAPIWndProc@16
00003AE1 00003BA1 _CreateHiddenWindow@8
00003C1A 00003F4A _xxxGetMessage@16
000040A1 000040D6 _ClientAllocReal@4
000040DB 000040F4 _ClientFree@4
000040F9 000041A1 _FreeClientResources@0
000041B9 0000423A _LAddrParamsInited@4
0000423F 000042F9 _LOpenDialAsst@16
000042FE 000043BF _WaveStringIdToDeviceId@12
000043C4 00004429 _NotSoWideStringToWideString@8
0000442E 0000454E _WideStringToNotSoWideString@8
000045A1 00004601 _GrowBuf@16
00004606 000046BE _GetTls@0
000046C3 000047AA _lineGetAgentActivityListAPostProcess@4
000047E9 000048AC _lineGetAgentCapsAPostProcess@4
000048E1 000049C8 _lineGetAgentGroupListAPostProcess@4
00004A09 00004AFC _lineGetAgentStatusAPostProcess@4
00004B39 00004B52 _lineGetMessage@12
00004B57 00004C3E _lineGetQueueListAPostProcess@4
00004C79 00004CCA _MultiToWide@4
00004CCF 00004E91 _lineParkAPostProcess@4
00004EC1 00004EDA _phoneGetMessage@12
00004EDF 00004FA9 _FreeInitData@4
00004FAE 00004FCE _MIDL_user_allocate@4
00004FF9 00005019 _MIDL_user_free@4
